visible_surface	master_card_id	source_instruction_de	master_form	surface_role	read_rule
char	MC055	davon	char	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
dar	MC055	davon	char	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sar	MC055	davon	char	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
cthoor	MC158	den Ansatz bereitstellen	cthoor	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
kchy	MC117	den laufenden Posten bearbeiten	kchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chokchy	MC103	den laufenden Posten einsetzen und weiterbearbeiten	chokchy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
okchy	MC103	den laufenden Posten einsetzen und weiterbearbeiten	chokchy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokchy	MC103	den laufenden Posten einsetzen und weiterbearbeiten	chokchy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
kchey	MC122	den laufenden Posten kurz bearbeiten	kchey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokokchy	MC015	denselben Posten erneut einsetzen	qokokchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cholor	MC157	derselbe Ansatz	cholor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
olor	MC157	derselbe Ansatz	cholor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
kaiiin	MC048	die Arbeitsstufe setzen	kaiiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okchol	MC041	die Fortsetzung einsetzen	okchol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
oltchy	MC021	die laufende Bereitung fortsetzen	oltchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cthaiin	MC169	die Sollvorbereitung setzen	cthaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chey	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chy	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
dy	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shy	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sy	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
y	MC123	dies	chey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
al	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chal	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
cheal	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
dal	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sal	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
tal	MC154	dorthin	al	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
okal	MC040	dorthin einsetzen	okal	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokal	MC040	dorthin einsetzen	okal	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shckhedy	MC143	durchlassen; Schluss	shckhedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chckhy	MC035	durchleiten	chckhy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shckhy	MC035	durchleiten	chckhy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shfydaiin	MC111	eine vorgeschriebene Stehzeit einhalten	shfydaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cho	MC034	EINGABE_ODER_BEDINGUNG	cho	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sho	MC034	EINGABE_ODER_BEDINGUNG	cho	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
dain	MC059	Einlage	dain	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokshedy	MC151	Einsatzabsetzen; Schluss	qokshedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
choky	MC026	einsetzen	choky	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
oky	MC026	einsetzen	choky	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qoky	MC026	einsetzen	choky	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
raly	MC046	Endposten	raly	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
daiiin	MC172	Endstufe	daiiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ldalor	MC101	Endziel	ldalor	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ykain	MC047	erste Portion	ykain	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
oldy	MC019	fertig	oldy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
solshedy	MC149	Folgeabsetzen; Schluss	solshedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otchor	MC013	Folgeansatz	otchor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qotchor	MC013	Folgeansatz	otchor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
tshey	MC141	Folgeklarlauf	tshey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otaiin	MC060	Folgemaß	otaiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sotaiin	MC060	Folgemaß	otaiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
otar	MC121	Folgequelle	otar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otytchol	MC069	Folgeteil	otytchol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otchedy	MC057	Folgetransfer; Schluss	otchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qotchedy	MC057	Folgetransfer; Schluss	otchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
octheol	MC112	Fortsetzung vorbereiten	octheol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dshedy	MC138	Frischwasser zugeben; Schluss	dshedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
oykchor	MC027	Gefäß für den Ansatz	oykchor	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
tchody	MC037	kalt stellen; Schluss	tchody	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lcheey	MC066	Klarabzug	lcheey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheey	MC119	Klarlauf	cheey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shey	MC119	Klarlauf	cheey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
etyd	MC108	kleiner Rest	etyd	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
tshol	MC098	Kochgut	tshol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheedy	MC128	kurz absetzen; Schluss	cheedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shedy	MC128	kurz absetzen; Schluss	cheedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
tedy	MC128	kurz absetzen; Schluss	cheedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qekey	MC052	kurz bearbeiten	qekey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokedy	MC083	kurz einwirken; Schluss	qokedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qcthey	MC073	kurz vorbereiten	qcthey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shcthey	MC073	kurz vorbereiten	qcthey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
keol	MC104	kurz weiterbearbeiten	keol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
teol	MC106	kurz weiterführen	teol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheky	MC147	kurz wärmen	cheky	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okey	MC007	KURZ_SETZEN	okey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokey	MC007	KURZ_SETZEN	okey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qockhey	MC165	Kurzdurchgang	qockhey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
sheckhal	MC058	Kurze Zielpassage	sheckhal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otedy	MC135	Kurzfolge; Schluss	otedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dsheol	MC076	Kurzhalt	dsheol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
rsheal	MC102	Kurzhalt am Ziel	rsheal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
sheckhy	MC132	Kurzpassage	sheckhy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
solkey	MC050	Kurzsammlung	solkey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qotedaiin	MC018	Kurzsoll	qotedaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ytey	MC109	Kurzteil	ytey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
shecthy	MC137	Kurzvorbereitung	shecthy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okeey	MC002	LAENGER_SETZEN_ODER_HALTEN	okeey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokeey	MC002	LAENGER_SETZEN_ODER_HALTEN	okeey	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sheedy	MC003	Langabsetzen; Schluss	sheedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokeedy	MC082	lange einwirken; Schluss	qokeedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qoteedy	MC173	lange Folgestufe; Schluss	qoteedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
olkeedy	MC045	lange sammeln; Schluss	olkeedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
solkeedy	MC045	lange sammeln; Schluss	olkeedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokeedal	MC096	Langer Zieleinsatz	qokeedal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
oteey	MC063	Langfolge	oteey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okeeol	MC150	Langfortsetzung	okeeol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
sheey	MC095	Langhalt	sheey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
solkeey	MC020	Langsammlung	solkeey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chkeey	MC166	Langwärmen	chkeey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chkeedy	MC110	Langwärmen; Schluss	chkeedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okair	MC081	Laufeinsatz	okair	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chair	MC014	laufendes Medium zugießen	chair	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dairydy	MC091	Laufschluss	dairydy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheeky	MC032	länger bearbeiten	cheeky	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cphy	MC156	nachseihen	cphy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otchdy	MC067	Nachtransfer; Schluss	otchdy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokchdy	MC088	neuen Posten einsetzen; Schluss	qokchdy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chkain	MC105	Portion	chkain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
kain	MC105	Portion	chkain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chedchy	MC064	Postentransfer	chedchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lchedar	MC011	Quellabführung	lchedar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lar	MC029	Quellabzug	lar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
skar	MC089	Quellausguss	skar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokar	MC044	Quelleinsatz	qokar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chary	MC009	Quellposten	chary	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheedar	MC042	Quelltransfer	cheedar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chldaiin	MC144	Sollabsetzung	chldaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
aiin	MC039	Sollmaß	aiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chaiin	MC039	Sollmaß	aiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
daiin	MC039	Sollmaß	aiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
saiin	MC039	Sollmaß	aiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
taiin	MC039	Sollmaß	aiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
ykaiin	MC170	Sollportion	ykaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
solkaiin	MC036	Sollsammlung	solkaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
sh	MC114	Stängel	sh	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
schoal	MC049	Sudansatz	schoal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chety	MC086	Teil	chety	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chty	MC086	Teil	chety	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
ches	MC152	teilen	ches	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dchdy	MC139	Transfer; Schluss	dchdy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lcheckhedy	MC133	Trennabzug; Schluss	lcheckhedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
talam	MC160	Verwahrort	talam	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokeeedy	MC140	Volleinsatz; Schluss	qokeeedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheeety	MC094	Vollteil	cheeety	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
rshedy	MC084	Vollwaschung; Schluss	rshedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dchol	MC142	vom vorigen Arbeitsgang nehmen	dchol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
schol	MC142	vom vorigen Arbeitsgang nehmen	dchol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shecthedchy	MC043	Vorbereitungstransfer	shecthedchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okchedy	MC005	vorigen Posten überführen; Schluss	okchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokchedy	MC005	vorigen Posten überführen; Schluss	okchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
lsho	MC130	Waschgang	lsho	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lshedy	MC038	Waschgang; Schluss	lshedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
ol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
tol	MC153	weiter	cheol	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
lkedy	MC124	weiter abziehen; Schluss	lkedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
kchol	MC090	weiter bearbeiten	kchol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokol	MC024	Weiter einsetzen	qokol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lol	MC092	Weiterabzug	lol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
olkain	MC097	weiterer Anteil	olkain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qolkain	MC097	weiterer Anteil	olkain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
olchedy	MC028	weiterführen; Schluss	olchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qolchedy	MC028	weiterführen; Schluss	olchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
schedair	MC116	Weiterlauf	schedair	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qolchey	MC162	Weiterposten	qolchey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qolky	MC134	Weiterweg	qolky	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dchey	MC071	Wurzel	dchey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lchedal	MC051	Zielabführung	lchedal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chealror	MC146	Zielbereitung	chealror	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokaly	MC054	Zieleinsatz	qokaly	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ral	MC056	Zielmarke	ral	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chckhal	MC022	Zielpassage	chckhal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
daldy	MC079	Zielschluss	daldy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chdal	MC001	Zieltransfer	chdal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dalchdy	MC031	Zieltransfer; Schluss	dalchdy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
pchedal	MC126	Zielzuführung	pchedal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
pchedy	MC070	Zuführung; Schluss	pchedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chodaly	MC010	Zugabe am aktuellen Ziel	chodaly	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chochor	MC125	Zugabeansatz	chochor	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chodaiin	MC087	Zugabemaß	chodaiin	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
shoyty	MC062	Zugabeteil	shoyty	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qotchol	MC163	zum Folgegang wechseln	qotchol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qotchy	MC107	zum nächsten Posten wechseln	qotchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
sotodan	MC068	zur Folgeanwendung weiterführen	sotodan	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ody	MC100	ZURUECKNEHMEN__SCHLUSS	ody	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
dl	MC012	Zusatz	dl	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ykan	MC148	zweite Portion	ykan	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
olsaly	MC078	Zwischenziel	olsaly	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chdy	MC074	überführen	chdy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chedy	MC074	überführen	chdy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
dchedy	MC025	überführen; Schluss	dchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
schedy	MC025	überführen; Schluss	dchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
tchedy	MC025	überführen; Schluss	dchedy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sshkchdy	MC061	übertragen; Schluss	sshkchdy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
