statement_id	record_unit_id	free_fluent_german	free_layer_reverse_status	controlled_workshop_line	source_event_ids	source_surfaces	source_values_de	recovered_values_de	recovered_slots	controlled_reverse_status
B1-S014	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Umsetzen] · BEZUG[Weiterweg] · TRANSFER[Zielabführung] · BEZUG[Fortsetzung] · BEZUG[Folgequelle]	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE	EXACT
B1-S015	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Nimm einen kleinen Teil; dann führe den vorigen Posten über.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Kurzteil] · TRANSFER[Rücktransfer]	E150|E151	ytey okchedy	Kurzteil → Rücktransfer	Kurzteil → Rücktransfer	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	EXACT
B1-S016	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Zieleinsatz] · ZUSTAND[Langkontakt] · BEZUG[Fortsetzung] · TRANSFER[Kurzabsetzung]	E152|E153|E154|E155	qokal okeey qol cheedy	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	S5_ZIEL_ANWENDUNG → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	EXACT
B1-S017	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Stelle] · BEZUG[Kurzfortgang] · TRANSFER[Transfer]	E156|E157|E158	sal teol dchdy	Stelle → Kurzfortgang → Transfer	Stelle → Kurzfortgang → Transfer	S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	EXACT
B1-S018	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Auffanggefäß] · ZUSTAND[Kurzhalt] · MASS[Arbeitsstufe] · TRANSFER[Langsammlung]	E159|E160|E161|E162	ly dsheol oiiin olkeedy	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	EXACT
B1-S019	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz absetzen.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Kurzabsetzung]	E163	tedy	Kurzabsetzung	Kurzabsetzung	S3_PROZESS_TRANSFER	EXACT
B1-S020	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Wärme ihn kurz; dann lass ihn hindurch.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZUSTAND[Kurzwärme] · TRANSFER[durchlassen]	E164|E165	cheky shckhedy	Kurzwärme → durchlassen	Kurzwärme → durchlassen	S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	EXACT
B1-S021	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Stelle]	E166	chal	Stelle	Stelle	S5_ZIEL_ANWENDUNG	EXACT
B2-S001	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe den Posten über.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[überführen]	E167	dchedy	überführen	überführen	S3_PROZESS_TRANSFER	EXACT
B2-S002	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn weiter.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[weiterführen]	E168	qolchedy	weiterführen	weiterführen	S1_BEZUG_FOLGE	EXACT
B2-S003	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Zugabe] · BEZUG[Diesposten] · ZUSTAND[Langkontakt]	E169|E170|E171	qokain dy qokeedy	Zugabe → Diesposten → Langkontakt	Zugabe → Diesposten → Langkontakt	S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	EXACT
