surface	working_meaning_de	composition	strongest_rival_de	family
dols	abgemessener Drogenstoffposten	LEARNED_DOLS_WHOLE	Drogenstoff abmessen und abschließen	MEASURED_MATERIAL
qokchaiin	erhitze drei Dosen Trockendroge	LEARNED_QOKCHAIIN_WHOLE	drei Teile heiß getrockneter Droge	HEAT_DRY_DOSE_III
ytoiin	kühle hiervon Ansatzform II	LEARNED_YTOIIN_WHOLE	kalte Ansatzform II	REFERENCE_COOL_FORM_II
tody	Ansatz abkühlen und abschließen	LEARNED_TODY_WHOLE	fertig abgekühlter Ansatz	COOL_CLOSE
ykchom	erhitze hiervon eine Handvoll Trockendroge	LEARNED_YKCHOM_WHOLE	heiße Handvoll Trockendroge	REFERENCE_HEAT_HANDFUL
chkchy	heiß antrocknen	LEARNED_CHKCHY_WHOLE	heiß-trockene Droge	HOT_DRY_ACTION
dcheeey	vollständig getrocknete Dosis	LEARNED_DCHEEEY_WHOLE	Trockendosis auf Endstufe	DRY_DOSE_END
qod	nimm den fertigen Ansatz	LEARNED_QOD_WHOLE	Ansatz abschließen	TAKE_FINISHED_PREP
cheeor	eine Portion vollständig getrockneter Droge	LEARNED_CHEEOR_WHOLE	eine Portion bis zur Mittelstufe getrockneter Droge	DRY_PORTION
chelal	erste Rohstofffraktion bis zur Mittelstufe trocknen	LEARNED_CHELAL_WHOLE	Holzdroge I bis zur Mittelstufe trocknen	DRY_RAW_I
chkor	eine Portion heiß getrockneter Droge	LEARNED_CHKOR_WHOLE	heiß-trockene Drogenportion	HOT_DRY_PORTION
cheeckhody	vollständig getrockneten Arzneiansatz abschließen	LEARNED_CHEECKHODY_WHOLE	fertiger vollständig getrockneter Arzneiansatz	COMPOSITE_DRY_FINISH
ykchor	erhitze hiervon eine Drogenportion	LEARNED_YKCHOR_WHOLE	heiße Portion Trockendroge	REFERENCE_HEAT_PORTION
talchos	kalte Rohdroge I trocknen und abschließen	LEARNED_TALCHOS_WHOLE	Posten kalt getrockneter Rohdroge I	RAW_COLD_DRY
ykey	erhitze hiervon bis zur Mittelstufe	LEARNED_YKEY_WHOLE	bis zur Mittelstufe erhitzter Ansatz	REFERENCE_HEAT_MIDDLE
olkaly	Rohdroge I im Ansatz erhitzen und abschließen	LEARNED_OLKALY_WHOLE	heißer Rohdrogenstoff I	RAW_MATERIAL_HEAT_CLOSE
ychos	trockne hiervon die Saatgutzubereitung	LEARNED_YCHOS_WHOLE	hiervon getrockneter Ansatzposten	REFERENCE_DRY_SEED
chekam	ein Maß bis zur Mittelstufe erhitzte Trockendroge	LEARNED_CHEKAM_WHOLE	ein Maß heiß getrocknete Droge	HOT_DRY_UNIT
ocheain	zwei Teile Ansatz bis zur Mittelstufe trocknen	LEARNED_OCHEAIN_WHOLE	Ansatzform II, mitteltrocken	PREP_DRY_QUANTITY_II
rom	eine Handvoll Wurzeldroge	LEARNED_ROM_WHOLE	eine Portion Wurzelansatz	ROOT_HANDFUL
solkedy	Saatgutzubereitung vollständig erhitzen und abschließen	LEARNED_SOLKEDY_WHOLE	fertig erhitzter Saatgutposten	SEED_HEAT_FINISH
qolchey	gib die bis zur Mittelstufe getrocknete Droge hinzu	LEARNED_QOLCHEY_WHOLE	Drogenstoff zugeben und bis zur Mittelstufe trocknen	ADD_DRY_MATERIAL
okees	Charge vollständig erhitzten Ansatzes	LEARNED_OKEES_WHOLE	Ansatz auf Heizendstufe	HEATED_PREP_CHARGE
san	Saatgutmenge I	LEARNED_SAN_WHOLE	Saatgut in Grundform	SEED_QUANTITY_I
keeal	Rohdroge I vollständig erhitzt	LEARNED_KEEAL_WHOLE	Rohstoff I auf Heizendstufe	RAW_I_HEAT_END
skain	Saatgut bis zur Heizstufe II erhitzen	LEARNED_SKAIN_WHOLE	heißes Saatgut, Menge II	SEED_HEAT_II
qokoin	erhitze Ansatzform I	LEARNED_QOKOIN_WHOLE	heißer Ansatz, Form I	HEAT_PREP_FORM_I
daral	abgemessene erste Rohdrogenfraktion	LEARNED_DARAL_WHOLE	erste Rohdrogenfraktion	MEASURED_RAW_FRACTION_I
qcthdys	Krautdrogenposten fertigstellen	LEARNED_QCTHDYS_WHOLE	Krautdroge nehmen und abschließen	HERB_FINISH_COMMAND
lchpchdy	Holzdrogenpulver trocknen und fertigstellen	LEARNED_LCHPCHDY_WHOLE	fertiges trockenes Holzpulver	WOOD_POWDER_FINISH
lcheckhy	Holzdroge bis zur Mittelstufe heiß trocknen und abschließen	LEARNED_LCHECKHY_WHOLE	Holzdroge heiß bis zur Endstufe trocknen	WOOD_HOT_DRY_CLOSE
otechd	kalten Ansatz trocknen und abschließen	LEARNED_OTECHD_WHOLE	Trocknung eines kalten Ansatzes abschließen	PREP_COLD_DRY_CLOSE
sqokeodaiin	drei Dosen Saatgutansatz vollständig erhitzen	LEARNED_SQOKEODAIIN_WHOLE	drei Dosen erhitzter Saatgutzubereitung	SEED_HEAT_DOSE_III
dalchom	eine Handvoll abgemessene Rohdroge I	LEARNED_DALCHOM_WHOLE	ein Maß nachgetrocknete Rohdroge I	RAW_HANDFUL
odam	ein Maß Ansatz	LEARNED_ODAM_WHOLE	ein Maß Drogenstoff	PREP_UNIT_I
teols	Drogenstoff auf Kühlendstufe	LEARNED_TEOLS_WHOLE	Posten vollständig gekühlten Drogenstoffs	MATERIAL_COOL_END
chotey	Trockenansatz bis zur mittleren Kühlstufe	LEARNED_CHOTEY_WHOLE	bis zur Mittelstufe gekühltes Trockengut	DRY_COOL_PREP
cheeol	vollständig getrockneter Drogenstoff	LEARNED_CHEEOL_WHOLE	Drogenstoff bis zur Mittelstufe getrocknet	DRY_MATERIAL_END
olkeeoldy	vollständig erhitzten Drogenstoff trocknen und fertigstellen	LEARNED_OLKEEOLDY_WHOLE	fertig getrockneter erhitzter Drogenstoff	MATERIAL_HEAT_DRY_FINISH
ksheody	heiß eingeweichten Ansatz abschließen	LEARNED_KSHEODY_WHOLE	fertiger heiß-feuchter Ansatz	HOT_MOIST_CLOSE
rokyd	Wurzelansatz leicht erhitzen und abschließen	LEARNED_ROKYD_WHOLE	fertiger heißer Wurzelansatz	ROOT_HEAT_CLOSE
