surface	working_meaning_de	composition	strongest_rival_de	family
sholo	eingeweichten Drogenstoff erneut ansetzen	SH_MOIST+OL_MATERIAL+O_PREP	feuchter Drogenstoff im Ansatz	MOIST_PREP
keaiin	drei Teile bis zur Mittelstufe erhitzter Droge	K_HOT+E_MIDDLE+AIIN_III	erhitzte Droge auf Stufe III	HEAT
dolcheey	eine Dosis Drogenstoff vollständig trocknen und abschließen	D_MEASURE+OL_MATERIAL+CH_DRY+EE_END+Y_START_OR_CLOSE	Dosis vollständig getrockneter Drogenstoff	MEASURE
okeor	eine Portion Ansatz bis zur Mittelstufe erhitzen	O_PREP+K_HOT+E_MIDDLE+OR_PORTION	mäßig erhitzte Ansatzportion	HEAT
chod	Trockenansatz abschließen	CH_DRY+O_PREP+D_TERM_CLOSE	Trockenansatz abziehen	DRY
doty	eine Dosis Ansatz abkühlen und leicht abschließen	D_MEASURE+O_PREP+T_COLD+Y_START_OR_CLOSE	leicht gekühlte Ansatzdosis	MEASURE
opchol	Trockenpulverstoff im Ansatz	O_PREP+P_POWDER+CH_DRY+OL_MATERIAL	getrockneter Pulverauszug	POWDER
otchyd	kalten Ansatz trocknen und abschließen	O_PREP+T_COLD+CH_DRY+Y_START_OR_CLOSE+D_TERM_CLOSE	abgezogener kaltgetrockneter Ansatz	COLD_DRY
oeeeos	lang bereitete Ansatzcharge	O_PREP+EEE_LONG_OR_FINAL+O_PREP+S_TERM_SPECIES	Ansatzspecies der letzten Stufe	PREPARATION
okoeor	eine Portion Ansatz erneut bis zur Mittelstufe erhitzen	O_PREP+K_HOT+O_PREP+E_MIDDLE+OR_PORTION	Portion eines wiedererwärmten Ansatzes	HEAT
qotcho	kühle und trockne den Ansatz	QO_COMMAND+T_COLD+CH_DRY+O_PREP	kalt getrockneten Ansatz bereiten	COLD_DRY
eaiin	drei Teile der Mittelstufe	E_MIDDLE+AIIN_III	Stufe III des mittleren Prozesses	MEASURE
dorchory	miss eine Portion Pflanzenteil ab und schließe	D_MEASURE+OR_PORTION+CHOR_PLANT_PART+Y_START_OR_CLOSE	abgemessener Pflanzenteil	PLANT_PART
otcheor	eine Portion Ansatz bis zur Mittelstufe abkühlen und trocknen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+OR_PORTION	Portion mäßig kaltgetrockneter Droge	COLD_DRY
cths	Krautdrogencharge	CTH_HERB+S_TERM_SPECIES	Krautdroge als Arzneispecies	HERB
dols	eine Dosis Drogenstoff als Charge	D_MEASURE+OL_MATERIAL+S_TERM_SPECIES	Drogenstoffspecies abmessen	MEASURE
qokchaiin	erhitze drei Teile Trockendroge	QO_COMMAND+K_HOT+CH_DRY+AIIN_III	drei Teile heiß getrocknete Droge	HEAT_DRY
ytoiin	kühle hiervon einen Ansatz der Form III	Y_REFERENCE+T_COLD+O_PREP+IIN_FORM_III	kalter Ansatz hiervon, Form III	COLD
tody	Kaltansatz fertigstellen	T_COLD+O_PREP+DY_FINISHED	fertige gekühlte Zubereitung	COLD
ykchom	erhitze und trockne hiervon eine Handvoll Ansatz	Y_REFERENCE+K_HOT+CH_DRY+OM_HANDFUL_PREP	eine Handvoll heiß getrockneter Ansatz	MEASURE
chkchy	Trockendroge erhitzen, erneut leicht trocknen und abschließen	CH_DRY+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrocknete Droge	HEAT_DRY
dcheeey	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	vollständig getrocknete Dosis	MEASURE
qod	Ansatz abschließen	QO_COMMAND+O_PREP+D_TERM_CLOSE	Ansatz abziehen	ACTION
cheeor	eine Portion vollständig getrockneter Droge	CH_DRY+EE_END+OR_PORTION	vollständig trocknen und eine Portion nehmen	DRY
chelal	getrocknete Holzdroge mit Rohdroge I	CH_DRY+E_MIDDLE+L_WOOD+AL_RAW_I	mäßig getrocknete Rohdroge I	WOOD
chkor	eine Portion heiß getrockneter Droge	CH_DRY+K_HOT+OR_PORTION	erhitze eine Trockenportion	HEAT_DRY
cheeckhody	vollständig getrocknetes Arzneikompositum ansetzen und fertigstellen	CH_DRY+EE_END+CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiges vollständig getrocknetes Kompositum	COMPOSITE
ykchor	erhitze hiervon den Pflanzenteil	Y_REFERENCE+K_HOT+CHOR_PLANT_PART	heißer Pflanzenteil dieser Droge	PLANT_PART
talchos	kalte Rohdroge I als Trockencharge	T_COLD+AL_RAW_I+CH_DRY+O_PREP+S_TERM_SPECIES	kaltgetrocknete Rohstoffspecies	COLD_DRY
ykey	erhitze hiervon bis zur Mittelstufe und schließe	Y_REFERENCE+K_HOT+E_MIDDLE+Y_START_OR_CLOSE	mäßig erhitzte Droge hiervon	HEAT
olkaly	Drogenstoff mit Rohdroge I erhitzen und leicht abschließen	OL_MATERIAL+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	leicht erhitzter Rohstoff-Drogenstoff	HEAT
ychos	trockne hiervon eine Ansatzcharge	Y_REFERENCE+CH_DRY+O_PREP+S_TERM_SPECIES	Trockencharge dieser Droge	DRY
chekam	ein Maß bis zur Mittelstufe getrockneter und erhitzter Droge	CH_DRY+E_MIDDLE+K_HOT+AM_UNIT_I	mäßig heiß getrocknete Droge, ein Maß	MEASURE
ocheain	zwei Teile Ansatz bis zur Mittelstufe trocknen	O_PREP+CH_DRY+E_MIDDLE+AIN_II	Ansatz auf Trockenstufe II	DRY
rom	eine Handvoll Wurzeldroge	R_ROOT+OM_HANDFUL_PREP	ein Maß Wurzelansatz	ROOT
solkedy	Saatgutansatz bis zur Mittelstufe erhitzen und fertigstellen	SOL_SEED_PREP+K_HOT+E_MIDDLE+DY_FINISHED	fertiger erhitzter Saatgutansatz	SEED
qolchey	gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe	QOL_ADD+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	Zugabe mäßig getrockneten Drogenstoffs	ADD
okees	Charge vollständig erhitzten Ansatzes	O_PREP+K_HOT+EE_END+S_TERM_SPECIES	vollständig erhitzte Ansatzspecies	HEAT
san	ein Teil Saatgut	S_SEED+AN_I	Saatgut, Charge I	SEED
keeal	vollständig erhitzte Rohdroge I	K_HOT+EE_END+AL_RAW_I	Rohdroge I vollständig erhitzen	HEAT
skain	Saatgut auf Heizstufe II	S_SEED+K_HOT+AIN_II	zwei Teile erhitztes Saatgut	SEED
qokoin	erhitze einen Ansatz der Form II	QO_COMMAND+K_HOT+O_PREP+IN_FORM_II	nimm den erhitzten Ansatz, Form II	HEAT
daral	erste Fraktion Rohdroge I abmessen	D_MEASURE+AR_FRACTION_I+AL_RAW_I	abgemessene Rohstofffraktion I	MEASURE
qcthdys	Krautdroge fertigstellen und als Charge schließen	QO_COMMAND+CTH_HERB+DY_FINISHED+S_TERM_SPECIES	fertige Krautdrogencharge	HERB
lchpchdy	Holzdroge mit Trockenpulver fertigstellen	L_WOOD+CH_DRY+P_POWDER+CH_DRY+DY_FINISHED	fertiges trockenes Holzpulver	POWDER
lcheckhy	Holzdroge bis zur Mittelstufe trocknen, zum Arzneikompositum bereiten und abschließen	L_WOOD+CH_DRY+E_MIDDLE+CKH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum aus mäßig getrockneter Holzdroge	COMPOSITE
otechd	kalten Ansatz bis zur Mittelstufe trocknen und abschließen	O_PREP+T_COLD+E_MIDDLE+CH_DRY+D_TERM_CLOSE	kaltgetrockneten Ansatz abziehen	COLD_DRY
sqokeodaiin	drei Dosen Saatgutansatz vollständig erhitzen	S_SEED+QO_COMMAND+K_HOT+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	drei Dosen erhitzte Saatgutzubereitung	SEED
dalchom	eine Dosis Rohdroge I mit einer Handvoll Trockengut	D_MEASURE+AL_RAW_I+CH_DRY+OM_HANDFUL_PREP	Handvoll getrocknete Rohdroge I	MEASURE
odam	ein Maß Ansatz abmessen	O_PREP+D_MEASURE+AM_UNIT_I	Ansatzdosis der Maßeinheit I	MEASURE
teols	Charge gekühlten Drogenstoffs	T_COLD+E_MIDDLE+OL_MATERIAL+S_TERM_SPECIES	mäßig gekühlte Drogenstoffspecies	COLD
chotey	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	CH_DRY+O_PREP+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mäßig gekühlter Trockenansatz	COLD_DRY
cheeol	vollständig getrockneter Drogenstoff	CH_DRY+EE_END+OL_MATERIAL	vollständig getrockneter Auszug	DRY
olkeeoldy	Drogenstoff vollständig erhitzen und als Auszug fertigstellen	OL_MATERIAL+K_HOT+EE_END+OL_MATERIAL+DY_FINISHED	fertiger vollständig erhitzter Doppelansatz	EXTRACT
ksheody	Feuchtansatz erhitzen und fertigstellen	K_HOT+SH_MOIST+E_MIDDLE+O_PREP+DY_FINISHED	fertiger heiß eingeweichter Ansatz	HEAT_SOAK
rokyd	Wurzelansatz erhitzen und abschließen	R_ROOT+O_PREP+K_HOT+Y_START_OR_CLOSE+D_TERM_CLOSE	abgezogener heißer Wurzelansatz	ROOT
