surface	working_meaning_de	composition	strongest_rival_de	family
loar	erste Fraktion eines Holzdrogenansatzes	L_WOOD+O_PREP+AR_FRACTION_I	Holzdroge als Ansatzfraktion I	FRACTION
oteeey	Ansatz bis zur letzten Stufe abkühlen und abschließen	O_PREP+T_COLD+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	lange gekühlter Ansatz	COLD
olchedaiin	drei Dosen bis zur Mittelstufe getrockneten Drogenstoffs	OL_MATERIAL+CH_DRY+E_MIDDLE+D_MEASURE+AIIN_III	getrockneter Drogenstoff auf Dosisstufe III	MEASURE
oeeody	Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	O_PREP+EE_END+O_PREP+DY_FINISHED	fertiger Doppelansatz der Endstufe	PREPARATION
chold	getrockneten Drogenstoff abschließen	CH_DRY+OL_MATERIAL+D_TERM_CLOSE	getrockneten Drogenstoff abziehen	ACTION
soshy	Saatgutzubereitung leicht einweichen	SO_SEED_PREP+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchtete Saatgutzubereitung	SEED
koshet	erhitzten Ansatz bis zur Mittelstufe einweichen und abkühlen	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+T_COLD	kalt abgeschlossenes heißes Mazerat	ACTION
dairin	abgemessene zweite Fraktion, Zubereitungsform II	LEARNED_DAIRIN_WHOLE	zweite Fraktion in Zubereitungsform II	PREPARATION
sholo	eingeweichten Drogenstoff erneut ansetzen	SH_MOIST+OL_MATERIAL+O_PREP	Feuchtstoff als neuer Ansatz	MOIST_PREP
keaiin	drei Teile bis zur Mittelstufe erhitzter Droge	K_HOT+E_MIDDLE+AIIN_III	erhitzte Droge auf Stufe III	MEASURE
dolcheey	Drogenstoff abmessen, vollständig trocknen und abschließen	D_MEASURE+OL_MATERIAL+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Drogenstoffdosis	MEASURE
okeor	eine Portion Ansatz bis zur Mittelstufe erhitzen	O_PREP+K_HOT+E_MIDDLE+OR_PORTION	erhitzte Ansatzportion der Mittelstufe	MEASURE
chod	Trockenansatz abschließen	CH_DRY+O_PREP+D_TERM_CLOSE	Trockenansatz abziehen	ACTION
doty	einen Ansatz abmessen, abkühlen und abschließen	D_MEASURE+O_PREP+T_COLD+Y_START_OR_CLOSE	leicht gekühlte Ansatzdosis	MEASURE
opchol	getrockneter Pulverstoff im Ansatz	O_PREP+P_POWDER+CH_DRY+OL_MATERIAL	getrocknetes Pulver als Drogenstoff ansetzen	POWDER
otchyd	kalten Ansatz trocknen und den Posten abschließen	O_PREP+T_COLD+CH_DRY+YD_POST_CLOSE	Ansatz kalt trocknen und abziehen	ACTION
oeeeos	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+O_PREP+S_TERM_SPECIES	lange bereitete Ansatzspecies	PREPARATION
okoeor	eine Portion erhitzten Ansatzes erneut bis zur Mittelstufe bereiten	O_PREP+K_HOT+O_PREP+E_MIDDLE+OR_PORTION	wiederangesetzte heiße Portion	MEASURE
qotcho	kühle, trockne und setze an	QO_COMMAND+T_COLD+CH_DRY+O_PREP	bereite einen kalt getrockneten Ansatz	ACTION
eaiin	drei Teile auf Mittelstufe	LEARNED_EAIIN_WHOLE	Stufe III der mittleren Behandlung	MEASURE
dorchory	eine Portion Pflanzenteil abmessen und abschließen	D_MEASURE+OR_PORTION+CHOR_PLANT_PART+Y_START_OR_CLOSE	abgemessener Pflanzenteil in Grundform	PLANT_PART
otcheor	eine Portion Ansatz abkühlen und bis zur Mittelstufe trocknen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+OR_PORTION	kalt getrocknete Ansatzportion	MEASURE
cths	eine Charge Krautdroge	CTH_HERB+S_TERM_SPECIES	Krautdrogen-Species	HERB
dols	eine Charge Drogenstoff abmessen	D_MEASURE+OL_MATERIAL+S_TERM_SPECIES	abgemessene Drogenstoffspecies	MEASURE
qokchaiin	erhitze drei Teile getrocknete Droge	QO_COMMAND+K_HOT+CH_DRY+AIIN_III	drei Teile heiß getrocknete Droge	ACTION
ytoiin	kühle hiervon einen Ansatz in Zubereitungsform III	Y_REFERENCE+T_COLD+O_PREP+IIN_FORM_III	kalte Ansatzform III dieser Droge	COLD
tody	kalten Ansatz fertigstellen	T_COLD+O_PREP+DY_FINISHED	fertig gekühlter Ansatz	ACTION
ykchom	erhitze und trockne hiervon eine Handvoll Ansatz	Y_REFERENCE+K_HOT+CH_DRY+OM_HANDFUL_PREP	eine Handvoll heißen Trockenstoffs dieser Zubereitung	MEASURE
chkchy	trocknen, erhitzen, erneut trocknen und abschließen	CH_DRY+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrocknete Droge	ACTION
dcheeey	eine Dosis bis zur letzten Stufe trocknen und abschließen	D_MEASURE+CH_DRY+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	lang getrocknete abgeschlossene Dosis	MEASURE
qod	die Zubereitung abschließen	QO_COMMAND+D_TERM_CLOSE	die Zubereitung abziehen	ACTION
cheeor	eine Portion vollständig getrocknete Droge	CH_DRY+EE_END+OR_PORTION	die Trockenportion vollständig bereiten	MEASURE
chelal	Holzdroge mit Rohdroge I bis zur Mittelstufe trocknen	CH_DRY+E_MIDDLE+L_WOOD+AL_RAW_I	mitteltrockene Holz-Rohstoff-I-Mischung	WOOD
chkor	eine Portion heiß getrocknete Droge	CH_DRY+K_HOT+OR_PORTION	die Trockenportion erhitzen	MEASURE
cheeckhody	Arzneikompositum vollständig trocknen, ansetzen und fertigstellen	CH_DRY+EE_END+CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiger Trockenansatz aus Arzneikompositum	COMPOSITE
ykchor	erhitze hiervon den Pflanzenteil	Y_REFERENCE+K_HOT+CHOR_PLANT_PART	heißer Pflanzenteil dieser Droge	PLANT_PART
talchos	Charge kalt getrockneten Rohdrogenansatzes I	T_COLD+AL_RAW_I+CH_DRY+O_PREP+S_TERM_SPECIES	kalt getrocknete Rohstoff-I-Species	COLD
ykey	erhitze hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+K_HOT+E_MIDDLE+Y_START_OR_CLOSE	diese Droge mäßig erhitzen	ACTION
olkaly	Drogenstoff mit Rohdroge I leicht erhitzen	OL_MATERIAL+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	leicht erhitzter Rohstoff-I-Drogenstoff	ACTION
ychos	trockne hiervon eine Ansatzcharge	Y_REFERENCE+CH_DRY+O_PREP+S_TERM_SPECIES	getrocknete Ansatzspecies dieser Droge	ACTION
chekam	ein Maß Droge bis zur Mittelstufe trocknen und erhitzen	CH_DRY+E_MIDDLE+K_HOT+AM_UNIT_I	ein Maß mäßig heiß getrocknete Droge	MEASURE
ocheain	zwei Teile Ansatz bis zur Mittelstufe trocknen	O_PREP+CH_DRY+E_MIDDLE+AIN_II	Ansatz auf Trockenstufe II	DRY
rom	eine Handvoll Wurzelzubereitung	R_ROOT+OM_HANDFUL_PREP	eine Handvoll Wurzeldroge	ROOT
solkedy	Saatgutansatz bis zur Mittelstufe erhitzen und fertigstellen	SOL_SEED_PREP+K_HOT+E_MIDDLE+DY_FINISHED	fertiger erhitzter Saatgutansatz	SEED
qolchey	gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab	QOL_ADD+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mäßig getrocknete Zugabe	ACTION
okees	Charge vollständig erhitzten Ansatzes	O_PREP+K_HOT+EE_END+S_TERM_SPECIES	vollständig erhitzte Ansatzspecies	HOT_PREP
san	ein Teil Saatgut	S_SEED+AN_I	Saatgut der Stufe I	SEED
keeal	Rohdroge I vollständig erhitzen	K_HOT+EE_END+AL_RAW_I	vollständig erhitzter Rohstoff I	ACTION
skain	Saatgut auf Heizstufe II	S_SEED+K_HOT+AIN_II	zwei Teile erhitztes Saatgut	SEED
qokoin	erhitze einen Ansatz in Zubereitungsform II	QO_COMMAND+K_HOT+O_PREP+IN_FORM_II	nimm den erhitzten Ansatz, Form II	ACTION
daral	erste Fraktion Rohdroge I abmessen	D_MEASURE+AR_FRACTION_I+AL_RAW_I	abgemessener Rohstoff I der ersten Fraktion	MEASURE
qcthdys	stelle eine Charge Krautdroge fertig	QO_COMMAND+CTH_HERB+DY_FINISHED+S_TERM_SPECIES	fertige Krautdrogen-Species	ACTION
lchpchdy	Holzdroge und Pulver trocknen, nachtrocknen und fertigstellen	L_WOOD+CH_DRY+P_POWDER+CH_DRY+DY_FINISHED	fertig getrocknetes Holzpulverpräparat	POWDER
lcheckhy	Holzdroge bis zur Mittelstufe trocknen, als Kompositum bereiten und abschließen	L_WOOD+CH_DRY+E_MIDDLE+CKH_COMPOSITE+Y_START_OR_CLOSE	mitteltrockenes Holz-Arzneikompositum	COMPOSITE
otechd	Ansatz abkühlen, bis zur Mittelstufe trocknen und abschließen	O_PREP+T_COLD+E_MIDDLE+CH_DRY+D_TERM_CLOSE	kalt getrockneten Ansatz abziehen	ACTION
sqokeodaiin	drei Dosen erhitzter Saatgutzubereitung der Mittelstufe	SQOKEO_SEED_HEAT_PREP+D_MEASURE+AIIN_III	drei Teile erhitzter Saatgutansatz	SEED
dalchom	eine Handvoll Rohdroge I abmessen und trocknen	D_MEASURE+AL_RAW_I+CH_DRY+OM_HANDFUL_PREP	abgemessene Handvoll getrockneten Rohstoffs I	MEASURE
odam	ein Maß Ansatz abmessen	O_PREP+D_MEASURE+AM_UNIT_I	abgemessener Ansatz der Einheit I	MEASURE
teols	eine Charge Drogenstoff bis zur Mittelstufe abkühlen	T_COLD+E_MIDDLE+OL_MATERIAL+S_TERM_SPECIES	kalte Drogenstoffspecies der Mittelstufe	COLD
chotey	Trockenansatz bis zur Mittelstufe abkühlen und abschließen	CH_DRY+O_PREP+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockener Kaltansatz	ACTION
cheeol	vollständig getrockneter Drogenstoff	CH_DRY+EE_END+OL_MATERIAL	Drogenstoff vollständig trocknen	DRY
olkeeoldy	Drogenstoff vollständig erhitzen und als Auszug fertigstellen	OL_MATERIAL+K_HOT+EE_END+OL_MATERIAL+DY_FINISHED	fertiger vollständig erhitzter Drogenauszug	ACTION
ksheody	Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen	K_HOT+SH_MOIST+E_MIDDLE+O_PREP+DY_FINISHED	fertiger heiß eingeweichter Ansatz	ACTION
rokyd	Wurzelansatz erhitzen und den Posten abschließen	R_ROOT+O_PREP+K_HOT+YD_POST_CLOSE	Wurzelansatz erhitzen und abziehen	ROOT
