rank	locus	zl3b_line	manual_workshop_translation_de	notes
11	f113v.37	qol aiin olaiin oteeey lchedy qokair y daiin	Gib Folgendes hinzu: drei Teile und drei Teile Holzdrogenansatz. Schließe den Ansatz auf der Kühlendstufe ab; getrocknetes Drogenholz. Erhitze die zweite Fraktion; hierzu drei Maße.	oteeey lizenziert Kühlen und Abschluss, aber keine zusätzliche Menge.
12	f107r.3	olcheey cheos qokeeey ycheedy qotain ykain okeey raiin	Holzdrogenansatz vollständig trocknen; Charge eines mitteltrockenen Ansatzes. Erhitze bis Endstufe III; trockne hiervon vollständig und schließe ab. Kalt im Befehlsrahmen auf Stufe II; erhitze hiervon auf Stufe II; Ansatz auf Heizendstufe; Wurzelcharge III.	Die beiden Abschlussbefehle bleiben getrennt.
13	f47v.3	shol char oteol dor otchol chkchy daiin	Feuchtgut; Trockenfraktion I. Kühle den Drogenstoff im Ansatz bis zur Mittelstufe; miss eine Portion Droge ab. Kalt-trockener Zubereitungsstoff; heiß antrocknen; drei Maße.	chkchy liefert nur heißes Antrocknen, keine erfundene Zugabe.
14	f22r.10	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam	Erhitztes Trockengut; Pflanzenteil; drei Maße; Krautzubereitung Form III; abgemessener Pflanzenteil; Trockenmittelstufe. Erhitze den Drogenstoff und schließe ab. Trockenpulveransatz; miss ein Maß Drogenstoff ab.	opchol bleibt nominal; qokol und dy tragen Erhitzen und Abschluss.
15	f93r.11	okeol oteol s odam sheo al sal	Grundansatz bis zur mittleren Heizstufe erwärmt. Kühle den Drogenstoff im Ansatz bis zur Mittelstufe; Saatgutposten; ein Maß Ansatz; Feuchtzubereitung; Rohstoff I; Saat-Rohstoff I.	odam ist genau ein Maß, nicht eine Stufe.
16	f56v.8	ykchor chokchy qokcho tcheey kol	Erhitze hiervon eine Drogenportion. Trockenansatz in heiß-trockener Grundform; erhitze, trockne und setze den Ansatz an; kalt und vollständig getrocknet; heißes Material.	Die drei Befehlsverben in qokcho bleiben sichtbar.
17	f58v.30	daiin sheoy ykey sheky qokal qokeey okain okar ol dam	Drei Maße; feucht angesetzte Zubereitung am Gradanfang. Erhitze hiervon bis zur Mittelstufe; weiche bis zur Mittelstufe ein, erhitze und schließe ab. Rohstoff I heiß am Gradanfang; Heizendstufe; heiße Drogenfraktion I im Ansatz; heiße Drogenfraktion II im Ansatz; Grundansatz; Dosis I.	ykey ist ein Referenzbefehl und keine bloße Heizstufe.
18	f9v.6	odol choy ksheody chody dain otchy cthod yko	Drogenstoff im Ansatz abmessen; Trockenansatz leicht abschließen; heiß eingeweichten Ansatz abschließen; Trockenansatz abgeschlossen; zwei Maße; kalt-trockener Ansatz am Gradanfang. Gieße den Krautansatz ab; erhitze hiervon einen Ansatz.	ksheody erhält Einweichen, Wärme und Abschluss, ohne ein zusätzliches Objekt einzuführen.
19	f37v.22	qotol ytoiin choy	Kaltes Material; kühle hiervon Ansatzform II; schließe den Trockenansatz leicht ab.	ytoiin trägt die Kühlrichtung; oiin bleibt Form II.
20	f104v.31	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	Eintrag: drei Portionen bis zur Mittelstufe getrockneter Droge; Krautdroge Form I; Blatt-/Krautdroge Form I; Trockengut; angefeuchteter Ansatz abgeschlossen. Erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz heiß am Gradende und abgeschlossen.	cheoraiin bleibt eine dreifache Portionsangabe; kein Verb aus dem Zeilenanfang ergänzt.
