joint_ordinal	event_id	statement_id	physical_page	register	surface	recipe	y_atom_position	dy_atom_position	written_order	intervening_atoms	dy_recipe_terminal	statement_final	literal_working_reading_de	distinction
11	G407-E3043	G407-S463	f81v	BIOLOGICAL	ytedy	Y+T+E+DY	1	4	Y_BEFORE_DY	T+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
12	G407-E3047	G407-S464	f81v	BIOLOGICAL	ykedy	Y+K+E+DY	1	4	Y_BEFORE_DY	K+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
13	G407-E3375	G407-S534	f82r	BIOLOGICAL	ydy	Y+DY	1	2	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
14	G407-E3685	G407-S620	f83r	BIOLOGICAL	qokylddy	OK+Y+L+D_ADDR+DY	2	5	Y_BEFORE_DY	L+D_ADDR	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
15	G407-E3744	G407-S640	f83r	BIOLOGICAL	dairydy	AIR+Y+DY	2	3	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
16	G407-E4232	G407-S677	f89r	PHARMA	yody	Y+O+DY	1	3	Y_BEFORE_DY	O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
17	G407-E4316	G407-S684	f89r	PHARMA	ykeody	Y+K+E+O+DY	1	5	Y_BEFORE_DY	K+E+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
18	G407-E4432	G407-S691	f95v	HERBAL	shekydy	SH+E+K+Y+DY	4	5	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
19	G407-E4486	G407-S697	f95v	HERBAL	chcthykedy	CH+CH+T+Y+K+E+DY	4	7	Y_BEFORE_DY	K+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
20	G407-E4496	G407-S699	f95v	HERBAL	ytshedy	Y+T+SH+E+DY	1	5	Y_BEFORE_DY	T+SH+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
21	G515-E0035	G515-S003	f4r	HERBAL	tydy	T+Y+DY	2	3	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
22	G515-E0073	G515-S006	f20v	HERBAL	opydy	O+P+Y+DY	3	4	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
23	G515-E0241	G515-S025	f31r	HERBAL	ykedy	Y+K+E+DY	1	4	Y_BEFORE_DY	K+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
24	G515-E0318	G515-S034	f66r	SOURCE_SECTION_T	ykshedy	Y+K+SH+E+DY	1	5	Y_BEFORE_DY	K+SH+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
25	G515-E0334	G515-S037	f66r	SOURCE_SECTION_T	ykady	Y+K+A_ADDR+DY	1	4	Y_BEFORE_DY	K+A_ADDR	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
26	G515-E0347	G515-S039	f66r	SOURCE_SECTION_T	ykeeody	Y+K+EE+O+DY	1	5	Y_BEFORE_DY	K+EE+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
27	G515-E0456	G515-S053	f66r	SOURCE_SECTION_T	ytarody	Y+T+AR+O+DY	1	5	Y_BEFORE_DY	T+AR+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
28	G515-E0504	G515-S062	f66r	SOURCE_SECTION_T	ykeeody	Y+K+EE+O+DY	1	5	Y_BEFORE_DY	K+EE+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
