transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
11	G407-E0277	G407-S009	f10r	HERBAL	qotchor	OT+CH+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0278	CH+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
12	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E0282	OL	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
13	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0293	OT+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
14	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0294	CH+LOCAL_CHAR_F+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
15	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0299	OT+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
16	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0300	OT+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
17	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0301	CH+T+Y+D_ADDR	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
18	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0306	OT+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
19	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
20	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0325	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
21	G407-E0329	G407-S011	f11r	HERBAL	choty	CH+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0330	AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
22	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0363	OK+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
23	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0383	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
24	G407-E0399	G407-S012	f13r	HERBAL	otchor	OT+CH+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0400	SH+OR+O+D_ADDR+O	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
25	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	OL	END	Y	POSTEN	Y+Y	weiter mit dem Posten als aktuellem Träger	G407-E0438	OK+CH+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
26	G407-E0440	G407-S016	f13r	HERBAL	sotchy	S+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0441	K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
27	G407-E0450	G407-S019	f17r	HERBAL	otchy	OT+CH+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0451	D_ADDR+O+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
28	G407-E0452	G407-S020	f17r	HERBAL	oldckhy	OL+D_ADDR+CH+K+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0453	Y+D_ADDR+AIR	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
29	G407-E0473	G407-S021	f17r	HERBAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E0474	O+P+Y+D_ADDR+LOCAL_CHAR_G	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
30	G407-E0494	G407-S023	f17r	HERBAL	choldshy	CH+OL+D_ADDR+SH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0495	S+E+P+CH+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
31	G407-E0568	G407-S027	f18r	HERBAL	sholdy	SH+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0569	OL+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
32	G407-E0570	G407-S028	f18r	HERBAL	doldaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E0571	OK+CH+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
33	G407-E0586	G407-S029	f18r	HERBAL	sotchaiin	S+OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E0587	OK+CH+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
34	G407-E0694	G407-S033	f55v	HERBAL	otoldaiin	OT+OL+D_ADDR+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E0695	D_ADDR+O+DY+D_LABEL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
35	G407-E0765	G407-S036	f55v	HERBAL	otaky	OT+A_ADDR+K+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0766	O+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
36	G407-E0784	G407-S037	f55v	HERBAL	oltchy	OL+T+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0785	OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
37	G407-E0791	G407-S037	f55v	HERBAL	olkeechy	OL+K+EE+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0792	S+L	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
38	G407-E0801	G407-S038	f56r	HERBAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0802	E+S+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
39	G407-E0809	G407-S039	f56r	HERBAL	choly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0810	K+OR+CH+Y	OR|Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
40	G407-E0812	G407-S039	f56r	HERBAL	choty	CH+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0813	SH+OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
41	G407-E0814	G407-S039	f56r	HERBAL	olchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0815	OK+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
42	G407-E0841	G407-S039	f56r	HERBAL	otchor	OT+CH+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0842	OK+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
43	G407-E0851	G407-S040	f56r	HERBAL	chotchey	CH+OT+CH+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0852	T+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
44	G407-E0855	G407-S040	f56r	HERBAL	otchy	OT+CH+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0856	OK	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
45	G407-E0878	G407-S040	f56r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0879	T+CH+O	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
46	G407-E0883	G407-S040	f56r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0884	CH+O+D_ADDR+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
47	G407-E0899	G407-S040	f56r	HERBAL	otchey	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0900	K+E+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
48	G407-E0913	G407-S042	f67r2	CELESTIAL	otchey	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0914	S+OR+AIIN+R	OR|AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
49	G407-E1000	G407-S051	f67r2	CELESTIAL	ydoly	Y+D_ADDR+OL+Y	OL	END	Y	POSTEN	Y+Y	weiter mit dem Posten als aktuellem Träger	G407-E1001	Y+T+AL+CH+O+S	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
50	G407-E1002	G407-S051	f67r2	CELESTIAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1003	OK+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
51	G407-E1030	G407-S052	f68r1	CELESTIAL	choteey	CH+OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1031	CH+P+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
52	G407-E1034	G407-S052	f68r1	CELESTIAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E1035	CH+O+CH+T+EEE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
53	G407-E1058	G407-S054	f68r1	CELESTIAL	chkchykoly	CH+K+CH+Y+K+OL+Y	OL	END	Y	POSTEN	Y+Y	weiter mit dem Posten als aktuellem Träger	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
54	G407-E1061	G407-S055	f71v	CELESTIAL	oteeodaiin	OT+EE+O+D_ADDR+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1062	SH+E	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
55	G407-E1065	G407-S055	f71v	CELESTIAL	oteokeey	OT+E+O+K+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1066	AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
56	G407-E1068	G407-S055	f71v	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1069	T+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
57	G407-E1071	G407-S055	f71v	CELESTIAL	otchy	OT+CH+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1072	K+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
58	G407-E1088	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1089	T+EEE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
59	G407-E1090	G407-S056	f71v	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1091	K+E+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
60	G407-E1104	G407-S057	f71v	CELESTIAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1105	OT+O	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
61	G407-E1113	G407-S057	f71v	CELESTIAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E1114	SH+E+O	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
62	G407-E1123	G407-S058	f71v	CELESTIAL	otaly	OT+AL+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1124	OK+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
63	G407-E1128	G407-S059	f71v	CELESTIAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E1129	CH+K+EE+AL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
64	G407-E1135	G407-S059	f71v	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1136	K+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
65	G407-E1143	G407-S061	f72r	CELESTIAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E1144	CHD+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
66	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E1153	CH+E+O+R	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
