assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	argument_state_projection	argument_occurrence_in_recipe	argument_multiplicity_in_recipe	argument_sequence	argument	argument_value_de	argument_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	carrier_role	content_block	argument_position_in_block	left_content_before_argument	right_content_after_argument	is_last_argument_in_recipe	compact_carrier_reading_de	envelope_template_de	complete_carrier_reading_de	literal_projection_reading_de	statement_position	statement_final	current_reading_de	y_dy_atom_distinction	guard	substitution_family_id
11	OLD26_GDT407	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	OL+Y	1	1	Y	Y	POSTEN	6	6	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
12	OLD26_GDT407	G407-E0277	G407-S009	f10r	HERBAL	qotchor	OT+CH+OR	OT+OR	1	1	OR	OR	EINHEIT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	CH+OR	2	CH	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F07
13	OLD26_GDT407	G407-E0281	G407-S009	f10r	HERBAL	cholor	OL+OR	OL+OR	1	1	OR	OR	EINHEIT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	FORTSETZEN · EINHEIT	weiter mit ARG als aktuellem Träger	weiter mit der Einheit als aktuellem Träger	TRÄGER FORTSETZEN → EINHEIT	STATEMENT_INTERNAL	NO	FORTSETZEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
14	OLD26_GDT407	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	OT+OR	1	1	OR	OR	EINHEIT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	AUSFÜHRUNG · DANACH · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
15	OLD26_GDT407	G407-E0293	G407-S009	f10r	HERBAL	otor	OT+OR	OT+OR	1	1	OR	OR	EINHEIT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
16	OLD26_GDT407	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	OT+OR	1	1	OR	OR	EINHEIT	5	5	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	CH+O+SH+OR	4	CH+O+SH	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · AUSFÜHRUNG · HALTEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
17	OLD26_GDT407	G407-E0299	G407-S009	f10r	HERBAL	qoty	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
18	OLD26_GDT407	G407-E0300	G407-S009	f10r	HERBAL	qotor	OT+OR	OT+OR	1	1	OR	OR	EINHEIT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
19	OLD26_GDT407	G407-E0305	G407-S009	f10r	HERBAL	qotchy	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
20	OLD26_GDT407	G407-E0306	G407-S009	f10r	HERBAL	qotor	OT+OR	OT+OR	1	1	OR	OR	EINHEIT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_FINAL	YES	DANACH · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
21	OLD26_GDT407	G407-E0324	G407-S011	f11r	HERBAL	qoty	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
22	OLD26_GDT407	G407-E0329	G407-S011	f11r	HERBAL	choty	CH+OT+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
23	OLD26_GDT407	G407-E0362	G407-S011	f11r	HERBAL	qotchy	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
24	OLD26_GDT407	G407-E0382	G407-S012	f13r	HERBAL	qoty	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
25	OLD26_GDT407	G407-E0399	G407-S012	f13r	HERBAL	otchor	OT+CH+OR	OT+OR	1	1	OR	OR	EINHEIT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	CH+OR	2	CH	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F07
26	OLD26_GDT407	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	Y+OL+Y	1	2	Y+Y	Y	POSTEN	1	4	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K	1	NONE	K	NO	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
27	OLD26_GDT407	G407-E0437	G407-S015	f13r	HERBAL	ykoly	Y+K+OL+Y	Y+OL+Y	2	2	Y+Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	POSTEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
28	OLD26_GDT407	G407-E0440	G407-S016	f13r	HERBAL	sotchy	S+OT+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INITIAL	NO	WÄHLEN · DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F09
29	OLD26_GDT407	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	Y+DY	1	1	Y	Y	POSTEN	3	4	START	DY	START>A<DY	CLOSING_ARGUMENT	O+P+Y	3	O+P	NONE	YES	POSTEN · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Posten führen und den Schritt abschließen	POSTEN → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	AUSFÜHRUNG · EINSETZEN · AKTIVER POSTEN · SCHLUSS	Y_IS_ARGUMENT_ATOM__DY_IS_SEPARATE_CLOSE_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
30	OLD26_GDT407	G407-E0450	G407-S019	f17r	HERBAL	otchy	OT+CH+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	CH+Y	2	CH	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F07
31	OLD26_GDT407	G407-E0452	G407-S020	f17r	HERBAL	oldckhy	OL+D_ADDR+CH+K+Y	OL+Y	1	1	Y	Y	POSTEN	5	5	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+CH+K+Y	4	D_ADDR+CH+K	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INITIAL	NO	FORTSETZEN · HIER · NEHMEN · GEBEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
32	OLD26_GDT407	G407-E0473	G407-S021	f17r	HERBAL	olaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
33	OLD26_GDT407	G407-E0494	G407-S023	f17r	HERBAL	choldshy	CH+OL+D_ADDR+SH+Y	OL+Y	1	1	Y	Y	POSTEN	5	5	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+SH+Y	3	D_ADDR+SH	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · FORTSETZEN · HIER · HALTEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
34	OLD26_GDT407	G407-E0497	G407-S023	f17r	HERBAL	opchordy	O+P+CH+OR+DY	OR+DY	1	1	OR	OR	EINHEIT	4	5	START	DY	START>A<DY	CLOSING_ARGUMENT	O+P+CH+OR	4	O+P+CH	NONE	YES	EINHEIT · ABSCHLIESSEN	ARG führen und den Schritt abschließen	die Einheit führen und den Schritt abschließen	EINHEIT → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT · SCHLUSS	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
35	OLD26_GDT407	G407-E0524	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	Y+OL	1	1	Y	Y	POSTEN	1	3	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K	1	NONE	K	YES	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
36	OLD26_GDT407	G407-E0549	G407-S026	f18r	HERBAL	ykchol	Y+K+OL	Y+OL	1	1	Y	Y	POSTEN	1	3	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+K	1	NONE	K	YES	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · GEBEN · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
37	OLD26_GDT407	G407-E0560	G407-S027	f18r	HERBAL	ytol	Y+T+OL	Y+OL	1	1	Y	Y	POSTEN	1	3	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+T	1	NONE	T	YES	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · EINSTELLEN · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
38	OLD26_GDT407	G407-E0568	G407-S027	f18r	HERBAL	sholdy	SH+OL+D_ADDR+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+Y	2	D_ADDR	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
39	OLD26_GDT407	G407-E0570	G407-S028	f18r	HERBAL	doldaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INITIAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
