identity	surface	component_recipe	semantic_root_reading_de	renderer_skeleton	renderer_rules	attested_surface_family	allograph_choices	renderability	exact_surface_rule
A3:G056	daiial	NONE	LOKALES GANZWORT	memorize	MEMORIZED_WHOLE_FORM	iokeeor | daiial	2	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
A3:G057	cheody	CHEO+Y	AUSZUG · POSTEN	cheo-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | LOCAL_SIGN_COPY	cheody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G058	cheal	AL	ZIELSTELLE	al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dal | cheal	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G059	yetey	Y+E+T+E+Y	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	y/chy/chey/dy/shy/sy-e-t-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	yetey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G060	chear	CH+E+AR	ENTNEHMEN · KURZ · QUELLE	ch-e-ar	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	chear	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G061	y	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G062	dy	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G063	ykey	Y+K+E+Y	POSTEN · ZUGEBEN · KURZ · POSTEN	y/chy/chey/dy/shy/sy-k-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	ykey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G064	ch	CH	ENTNEHMEN	ch	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH	ch	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G065	y	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G066	dy	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G067	chol	OL	FORTSETZEN	ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	chol | ol | ls	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G068	ykar	Y+K+AR	POSTEN · ZUGEBEN · QUELLE	y/chy/chey/dy/shy/sy-k-ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ykar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G069	ol	OL	FORTSETZEN	ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	chol | ol | ls	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G070	y	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G071	ykeeody	Y+K+EE+O+Y	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	y/chy/chey/dy/shy/sy-k-ee-o-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	ykeeody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G072	chey	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G073	dal	AL	ZIELSTELLE	al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dal | cheal	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G074	ody	O+DY	ARBEITSGANG · SCHLIESSEN	o-dy	ROOT_ORDER_COPY | DY_CLOSED_ENDPOINT	ody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G075	airchy	AIR+Y	LAUF · POSTEN	air-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	airchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G076	choky	OK+Y	ANSETZEN · POSTEN	qok/ok/chok-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	choky | qoky | qokchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G077	ychey	Y+Y	POSTEN · POSTEN	y/chy/chey/dy/shy/sy-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	ychey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G078	chey	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G079	doair	D_ADDR+O+AIR	TEILSTELLE · ARBEITSGANG · LAUF	d-o-air	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | LOCAL_SIGN_COPY	doair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G080	otaldal	OT+AL+AL	DANACH · ZIELSTELLE · ZIELSTELLE	qot/ot-al-al	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL | REPEATED_ROOT_COPY	otaldal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G081	dair	D_ADDR+AIR	TEILSTELLE · LAUF	d-air	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | LOCAL_SIGN_COPY	dair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G082	chdy	CHD+Y	UMSETZEN · POSTEN	chd/ched-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | Y_OPEN_ENDPOINT	chdy | chedy | chedchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G083	otoar	OT+O+AR	DANACH · ARBEITSGANG · QUELLE	qot/ot-o-ar	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	otoar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G084	ar	AR	QUELLE	ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ar | char	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G085	chy	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G086	qoteor	OT+E+OR	DANACH · KURZ · ANSATZ	qot/ot-e-or	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH	qoteor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G087	cho	HO	TEIL	cho/sho	ROOT_ORDER_COPY	cho	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G088	qotair	OT+AIR	DANACH · LAUF	qot/ot-air	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	qotair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G089	chda	CHD+A_ADDR	UMSETZEN · STELLE	chd/ched-a	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | LOCAL_SIGN_COPY	chda	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G090	oteeal	OT+EE+AL	DANACH · LANG · ZIELSTELLE	qot/ot-ee-al	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	oteeal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G091	cheor	CHEO+R	AUSZUG · KUEHL	cheo-r	ROOT_ORDER_COPY | R_STATE_ONSET | LOCAL_SIGN_COPY	cheor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G092	ar	AR	QUELLE	ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ar | char	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G093	air	AIR	LAUF	air	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	air	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G094	oteody	OT+E+O+Y	DANACH · KURZ · ARBEITSGANG · POSTEN	qot/ot-e-o-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	oteody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G095	ytyd	Y+T+Y+D_LABEL	POSTEN · BEARBEITEN · POSTEN · PHASE	y/chy/chey/dy/shy/sy-t-y/chy/chey/dy/shy/sy-d	ROOT_ORDER_COPY | LOCAL_SIGN_COPY | REPEATED_ROOT_COPY	ytyd	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G096	a	A_ADDR	STELLE	a	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	a	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G097	dchy	D_ADDR+Y	TEILSTELLE · POSTEN	d-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | LOCAL_SIGN_COPY	dchy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G098	otoly	OT+OL+Y	DANACH · FORTSETZEN · POSTEN	qot/ot-ol/chol/qol/ls/sol-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	otoly	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G099	okeodal	OK+E+O+AL	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	qok/ok/chok-e-o-al	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	okeodal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G100	oteoarar	OT+E+O+AR+AR	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	qot/ot-e-o-ar-ar	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL | REPEATED_ROOT_COPY	oteoarar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G101	cheteeser	CH+E+T+EE+S_ADDR+E+R	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · KUEHL	ch-e-t-ee-s-e-r	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | R_STATE_ONSET | LOCAL_SIGN_COPY | REPEATED_ROOT_COPY	cheteeser	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G102	dair	D_ADDR+AIR	TEILSTELLE · LAUF	d-air	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL | LOCAL_SIGN_COPY	dair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G103	chey	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G104	okody	OK+O+Y	ANSETZEN · ARBEITSGANG · POSTEN	qok/ok/chok-o-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OK_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	okody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G105	dal	AL	ZIELSTELLE	al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dal | cheal	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G106	oteey	OT+EE+Y	DANACH · LANG · POSTEN	qot/ot-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	oteey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G107	oteey	OT+EE+Y	DANACH · LANG · POSTEN	qot/ot-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	oteey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G118	otody	OT+O+DY	DANACH · ARBEITSGANG · SCHLIESSEN	qot/ot-o-dy	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | DY_CLOSED_ENDPOINT	otody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	ch-e-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	dchey	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC002	cthoor	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	cth-o-or	ROOT_ORDER_COPY	cthoor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC003	char	AR	QUELLE	ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ar | char	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC004	chety	T+Y	BEARBEITEN · POSTEN	t-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	chety	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC005	os	OS	DAZU	os	ROOT_ORDER_COPY	os	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC006	chair	CH+AIR	ENTNEHMEN · LAUF	ch-air	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | ARGUMENT_OR_ADDRESS_TAIL	chair	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · FORTSETZEN	qot/ot-y/chy/chey/dy/shy/sy-t-ch-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH	otytchol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC008	qoky	OK+Y	ANSETZEN · POSTEN	qok/ok/chok-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	choky | qoky | qokchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC009	daiin	AIIN	MASS	aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	aiin | daiin	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC010	etyd	E+T+Y	KURZ · BEARBEITEN · POSTEN	e-t-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	etyd	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC011	qokchy	OK+Y	ANSETZEN · POSTEN	qok/ok/chok-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	choky | qoky | qokchy	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	qot/ot-ch-ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | OL_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH	qotchol	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC013	ol	OL	FORTSETZEN	ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	chol | ol | ls	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC014	checthy	CTH+Y	BEREIT · POSTEN	cth-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	checthy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC016	or	OR	ANSATZ	or	ROOT_ORDER_COPY	or	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC019	chey	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
PROC020	otchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	qot/ot-ch-or	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH	otchor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
PROC022	olor	OL+OR	FORTSETZEN · ANSATZ	ol/chol/qol/ls/sol-or	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	olor	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
