symbol	atomic_value_de	slot_role	canonical_surface_cue	cue_class	initial_identity_uses	medial_identity_uses	final_identity_uses	weighted_mark_uses	whole_surface_examples	renderer_instruction
LD	FESTBINDEN	OPERATION	ldd	OPERATION_BODY	0	1	0	1	qokylddy	Use ldd as the learned visible cue for LD=FESTBINDEN in OPERATION_BODY position.
LSH	SPUELEN	OPERATION	lsh	OPERATION_BODY	2	0	0	3	lsho | lshedy	Use lsh as the learned visible cue for LSH=SPUELEN in OPERATION_BODY position.
O	ARBEITSGANG	PROCESS	o	PROCESS_BODY	8	16	2	30	dolchsody | odchecthy | oaram | ockhy | ykeeody | ody | doair | otoar | oteody | okeodal	Use o as the learned visible cue for O=ARBEITSGANG in PROCESS_BODY position.
OK	ANSETZEN	OPERATION	qok/ok/chok	OPERATION_FRAME	24	0	0	80	choky | okeodal | okody | qoky | qokchy | okchol | qokaiin | qokal | qokedy | qokeedal	Use qok/ok/chok as the learned visible cue for OK=ANSETZEN in OPERATION_FRAME position.
OL	FORTSETZEN	ORDER	ol/chol/qol/ls/sol	ORDER_FRAME	14	2	17	52	dolchsody | chol | choly | ol | otoly | otytchol | qotchol | olor | tshol | okchol	Use ol/chol/qol/ls/sol as the learned visible cue for OL=FORTSETZEN in ORDER_FRAME position.
OR	ANSATZ	MATERIAL	or	MATERIAL_TAIL	2	0	8	12	qoteor | cthoor | or | otchor | olor | orain | chochor | chealror | ldalor	Use or as the learned visible cue for OR=ANSATZ in MATERIAL_TAIL position.
OT	DANACH	ORDER	qot/ot	ORDER_FRAME	25	0	0	35	otaldal | otoar | qoteor | qotair | oteeal | oteody | otoly | oteoarar | oteey | otody	Use qot/ot as the learned visible cue for OT=DANACH in ORDER_FRAME position.
P	EINBRINGEN	OPERATION	p	OPERATION_ONSET	3	0	0	4	cphy | pchedy | pchedal	Use p as the learned visible cue for P=EINBRINGEN in OPERATION_ONSET position.
R	KUEHL	STATE	r	STATE_ONSET	5	1	2	8	cheor | cheteeser | rol | ral | rsheal | rshedy | chealror | raly	Use r as the learned visible cue for R=KUEHL in STATE_ONSET position.
S	PROBE	OPERATION	s	OPERATION_BODY	0	0	1	1	ches	Use s as the learned visible cue for S=PROBE in OPERATION_BODY position.
SH	HALTEN	STATE	sh	STATE_BODY	16	4	0	29	sheey | tshol | schoal | shfydaiin | cheey | shoyty | sheckhal | sshkchdy | dsheol | shckhedy	Use sh as the learned visible cue for SH=HALTEN in STATE_BODY position.
SHED	RUHEN	STATE	shed	STATE_BODY	2	1	0	15	shedy | rshedy | shedal	Use shed as the learned visible cue for SHED=RUHEN in STATE_BODY position.
SOLK	SAMMELN	OPERATION	solk/qolk	OPERATION_FRAME	5	0	0	7	qolky | olkeedy | solkaiin | solkey | solkeey	Use solk/qolk as the learned visible cue for SOLK=SAMMELN in OPERATION_FRAME position.
T	BEARBEITEN	OPERATION	t	OPERATION_BODY	4	8	0	18	yetey | ytyd | cheteeser | chety | otytchol | etyd | tshol | tchody | shoyty | oltchy	Use t as the learned visible cue for T=BEARBEITEN in OPERATION_BODY position.
TALAM	BEISEITESTELLEN	WHOLE_ROOT	talam	WHOLE_FORM	1	0	1	1	talam	Use talam as the learned visible cue for TALAM=BEISEITESTELLEN in WHOLE_FORM position.
Y	POSTEN	REFERENT	y/chy/chey/dy/shy/sy	OPEN_ENDPOINT	25	6	78	164	ykshy | odchecthy | yka | ykar | ykady | choly | ykeeal | ockhy | sheey | y	Use y/chy/chey/dy/shy/sy as the learned visible cue for Y=POSTEN in OPEN_ENDPOINT position.
A_ADDR	STELLE	ADDRESS	a	LOCAL_ADDRESS	1	1	3	4	yka | ykady | chda | a	Use a as the learned visible cue for A_ADDR=STELLE in LOCAL_ADDRESS position.
AM_ADDR	GEGENFELD	ADDRESS	am	LOCAL_ADDRESS	0	0	2	2	aram | oaram	Use am as the learned visible cue for AM_ADDR=GEGENFELD in LOCAL_ADDRESS position.
D_ADDR	TEILSTELLE	ADDRESS	d	LOCAL_ADDRESS	5	1	0	6	dolchsody | odchecthy | doair | dair | dchy	Use d as the learned visible cue for D_ADDR=TEILSTELLE in LOCAL_ADDRESS position.
D_LABEL	PHASE	LABEL	d	LOCAL_LABEL	0	0	1	1	ytyd	Use d as the learned visible cue for D_LABEL=PHASE in LOCAL_LABEL position.
S_ADDR	STERNBEZUG	ADDRESS	s	LOCAL_ADDRESS	0	2	0	2	dolchsody | cheteeser	Use s as the learned visible cue for S_ADDR=STERNBEZUG in LOCAL_ADDRESS position.
S_LABEL	PHASENZEICHEN	LABEL	s	LOCAL_LABEL	1	0	1	1	s	Use s as the learned visible cue for S_LABEL=PHASENZEICHEN in LOCAL_LABEL position.
CHEO	AUSZUG	MATERIAL	cheo	LOCAL_MATERIAL	3	0	1	3	cheo | cheody | cheor	Use cheo as the learned visible cue for CHEO=AUSZUG in LOCAL_MATERIAL position.
WHOLE[cheey|shey]	LANG HALTEN	WHOLE	cheey/shey	WHOLE_FORM	1	0	1	1	cheey	Use cheey/shey as the learned visible cue for WHOLE[cheey|shey]=LANG HALTEN in WHOLE_FORM position.
NONE	LOKALES GANZWORT	WHOLE	memorize	LOCAL_WHOLE_FORM	2	0	2	2	iokeeor | daiial	Use memorize as the learned visible cue for NONE=LOKALES GANZWORT in LOCAL_WHOLE_FORM position.
CFH	AUSPRESSEN	OPERATION	cfh	OPERATION_BODY	1	0	0	2	cfhy	Use cfh as the learned visible cue for CFH=AUSPRESSEN in OPERATION_BODY position.
OS	DAZU	ORDER	os	ORDER_WHOLE_SIGN	1	0	1	2	os	Use os as the learned visible cue for OS=DAZU in ORDER_WHOLE_SIGN position.
RESUME_CARD	DAVON	REFERENT	schol	REFERENT_WHOLE_SIGN	1	0	1	2	schol	Use schol as the learned visible cue for RESUME_CARD=DAVON in REFERENT_WHOLE_SIGN position.
