position_id	source_reading_id	expected_page	expected_locus	expected_token_ordinal	expected_surface	expected_old_context_de	v98_context_realization_de	expected_clause_type	expected_action_license	expected_left_surface	expected_right_surface	context_mode	local_evidence_de
P200	y#2	f23r	f23r.6	2	y	Hierzu:	Hierzu:	NOMINAL_BLOCK	NOT_ACTION_LICENSED	tshol	kor	RIGHT_REFERENCE_RENDER	Öffnet den folgenden heißen Portionsposten.
P221	dy#2	f26r	f26r.2	7	dy	;	;	ACTION_CLAUSE	NOT_ACTION_LICENSED	ytedy	checthedy	CLAUSE_STOP_RENDER	Trennt zwei aktionshaltige Arbeitsblöcke, ohne selbst eine Handlung zu tragen.
P243	dy#2	f56r	f56r.6	2	dy	;	;	ACTION_CLAUSE	NOT_ACTION_LICENSED	ykcho	dchey	CLAUSE_STOP_RENDER	Trennt Herstellung und nachfolgenden Ergebnisblock.
P247	y#1	f56r	f56r.6	6	y	.	.	NOMINAL_BLOCK	NOT_ACTION_LICENSED	daiin	<EOS>	LINE_STOP_RENDER	Beendet den Wert-/Qualitätsblock.
P266	dy#1	f76v	f76v.10	10	dy	.	.	NOMINAL_BLOCK	NOT_ACTION_LICENSED	daiin	<EOS>	LINE_STOP_RENDER	Beendet den Wertblock ohne gesprochenen Schließbefehl.
P278	qy#1	f77v	f77v.7	3	qy	hiervon nehmen	hiervon nehmen	ACTION_CLAUSE	GDT689_V62_ACTION_ORDINAL	qolsheedy	rr	UNCHANGED_REFERENCE_ACTION	Die exakte Karte trägt die Entnahme; die folgende Wurzelkarte trägt den Patienten separat.
P308	da#1	f80r	f80r.17	13	da	eine Teilmenge abmessen	vom vorstehenden heißen Material eine Teilmenge abmessen	ACTION_CLAUSE	GDT689_V62_ACTION_ORDINAL	qokal	<EOS>	LOCAL_PATIENT_BINDING	Das sichtbare linke qokal liefert heißes Material als lokalen Patienten.
P322	y#2	f80v	f80v.35	4	y	Hierzu:	Hierzu:	ACTION_CLAUSE	NOT_ACTION_LICENSED	olkar	qol	RIGHT_REFERENCE_RENDER	Öffnet den folgenden doppelten Zugabeschritt; qol trägt das Verb selbst.
P352	y#2	f86v3	f86v3.13	8	y	Hierzu:	Anschließend:	NOMINAL_BLOCK	NOT_ACTION_LICENSED	chedaiin	chedy	RIGHT_REFERENCE_RENDER	Öffnet einen reinen Folgezustand; deshalb temporal statt als Zugabeanschluss gerendert.
P394	ypchesy#1	f86v5	f86v5.4	1	ypchesy	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	ACTION_CLAUSE	GDT689_V62_ACTION_ORDINAL	<BOS>	oky	UNCHANGED_SEED_POWDER_ACTION	BOS-Rückbezug bleibt offen; die Ganzkarte trägt Samenpulver, Trocknen und Zielstufe.
P449	taiky#1	f86v6	f86v6.5	11	taiky	kalt angesetzte Charge, leicht angewärmt	kalt angesetzte Charge, leicht angewärmt	NOMINAL_BLOCK	NOT_ACTION_LICENSED	opchey	qotar	UNCHANGED_THERMAL_RESULT	Nominales Ganzwort zwischen Trockenpulver Form I und kaltem Anteil I.
