visible_surface	master_card_id	canonical_form	source_short_value_de	imperative_clause_de	terminal_scope	exact_identity_recipe	reverse_rule_de
chol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cholor	MC157	cholor	derselbe Ansatz	Verwende denselben Ansatz weiter	NONCLOSE	OL+OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chor	MC080	chor	Ansatz	Verwende den Ansatz	NONCLOSE	OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chty	MC086	chety	Teil	Nimm den bezeichneten Teil	NONCLOSE	TY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chy	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cthy	MC161	checthy	bereit	Halte ihn bereit	NONCLOSE	Y+CTH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
daiiin	MC172	daiiin	Endstufe	Stelle die Endstufe ein	NONCLOSE	IIN[SUBTYPE=END_STAGE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
daiin	MC039	aiin	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	NONCLOSE	AIIN[SUBTYPE=GENERAL_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dain	MC059	dain	Einlage	Lege die Einlage ein	NONCLOSE	W_MC059	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dairydy	MC091	dairydy	Laufschluss	Schließe den Lauf ab	TERMINAL	Y+DY+AIR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dal	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dalchdy	MC031	dalchdy	Zieltransfer	Führe ihn zum Ziel über	TERMINAL	AL+DY+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
daldy	MC079	daldy	Zielschluss	Schließe den Schritt am Ziel ab	TERMINAL	AL+DY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dar	MC055	char	davon	Nimm davon	NONCLOSE	AR[SUBTYPE=SOURCE_ORIGIN]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dchdy	MC139	dchdy	Transfer	Führe ihn über	TERMINAL	DY+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dchedy	MC025	dchedy	überführen	Führe den Posten über	TERMINAL	CHED_TRANSFER[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dl	MC012	dl	Zusatz	Gib den Zusatz zu	NONCLOSE	W_MC012	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dshedy	MC138	dshedy	Frischwasser zugeben	Lass frische Spülflüssigkeit ein	TERMINAL	W_MC138	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dsheol	MC076	dsheol	Kurzhalt	Halte ihn kurz	NONCLOSE	OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_HOLD]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
dy	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
kain	MC105	chkain	Portion	Nimm eine Portion	NONCLOSE	AIN[SUBTYPE=GENERAL_PORTION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
kair	MC023	kair	Beckenlauf	Führe durch den Beckenlauf	NONCLOSE	AIR+K_BINDER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lar	MC029	lar	Quellabzug	Ziehe ihn aus der Quelle ab	NONCLOSE	AR+L	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lcheckhedy	MC133	lcheckhedy	Trennabzug	Ziehe die getrennte Fraktion ab	TERMINAL	L+CKHE[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lcheckhy	MC168	lcheckhy	Abführpassage	Führe ihn durch die Abführpassage	NONCLOSE	L+Y+CKH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lched	MC127	lched	Abführung	Führe ihn ab	NONCLOSE	L+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lchedal	MC051	lchedal	Zielabführung	Führe ihn am Ziel ab	NONCLOSE	AL+L+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lchedar	MC011	lchedar	Quellabführung	Führe ihn von der Quelle ab	NONCLOSE	AR+L+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lchedy	MC155	lchedy	abführen	Führe ihn ab	TERMINAL	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lcheey	MC066	lcheey	Klarabzug	Ziehe den klaren Anteil ab	NONCLOSE	L[SUBTYPE=CLEAR_WITHDRAWAL]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lchy	MC008	lchy	Abführgut	Nimm das abzuführende Gut	NONCLOSE	L+Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ldalor	MC101	ldalor	Endziel	Führe bis zum Endziel	NONCLOSE	AL+L	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ldy	MC004	ldy	abziehen	Ziehe ihn ab	TERMINAL	L+DY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lkedy	MC124	lkedy	weiter abziehen	Ziehe ihn weiter ab	TERMINAL	W_MC124	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lo	MC030	lo	Abzug	Ziehe ihn ab	NONCLOSE	L+O_WITHDRAW	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lochedy	MC167	lochedy	Abführung	Führe ihn ab	TERMINAL	L+DY+CHED_TRANSFER+O_WITHDRAW	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lol	MC092	lol	Weiterabzug	Ziehe ihn weiter ab	NONCLOSE	OL+L	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ls	MC065	ls	Auslass	Führe zum Auslass	NONCLOSE	L[SUBTYPE=OUTLET]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lshedy	MC038	lshedy	Waschgang	Führe einen Waschgang aus	TERMINAL	DY+LSH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
lsho	MC130	lsho	Waschgang	Führe einen Waschgang aus	NONCLOSE	LSH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ly	MC118	ly	Auffanggefäß	Stelle das Auffanggefäß bereit	NONCLOSE	W_MC118	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
octheol	MC112	octheol	Fortsetzung vorbereiten	Setze den nächsten Durchgang an	NONCLOSE	OL+CTH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
oiiin	MC033	oiiin	Arbeitsstufe	Stelle die Arbeitsstufe ein	NONCLOSE	IIN[SUBTYPE=WORKING_STAGE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okaiin	MC120	okaiin	bemessen	Messe den Posten ab	NONCLOSE	OK+AIIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okain	MC017	okain	Anteil zugeben	Gib einen Anteil zu	NONCLOSE	OK+AIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okair	MC081	okair	Laufeinsatz	Setze ihn in den Lauf ein	NONCLOSE	OK+AIR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okal	MC040	okal	dorthin einsetzen	Setze ihn dort ein	NONCLOSE	OK+AL	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okchedy	MC005	okchedy	vorigen Posten überführen	Führe den vorigen Posten über	TERMINAL	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okeeol	MC150	okeeol	Langfortsetzung	Setze den Gang lange fort	NONCLOSE	OK+OL+E_GRADE[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okeey	MC002	okeey	länger einwirken lassen	Lass ihn länger einwirken	NONCLOSE	OK+E_GRADE+Y[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
okey	MC007	okey	kurz einwirken lassen	Lass ihn kurz einwirken	NONCLOSE	OK+E_GRADE+Y[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
oky	MC026	choky	einsetzen	Setze den Posten ein	NONCLOSE	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
olchedy	MC028	olchedy	weiterführen	Führe ihn weiter	TERMINAL	OL+DY+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
oldy	MC019	oldy	fertig	Beende den Arbeitsschritt	TERMINAL	OL+DY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
olkain	MC097	olkain	weiterer Anteil	Nimm einen weiteren Anteil	NONCLOSE	OL+AIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
olkeedy	MC045	olkeedy	lange sammeln	Sammle ihn lange	TERMINAL	E_GRADE+SOLK[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
olor	MC157	cholor	derselbe Ansatz	Verwende denselben Ansatz weiter	NONCLOSE	OL+OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
olsaly	MC078	olsaly	Zwischenziel	Führe zum Zwischenziel	NONCLOSE	AL+Y[SUBTYPE=INTERMEDIATE_TARGET]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
or	MC080	chor	Ansatz	Verwende den Ansatz	NONCLOSE	OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otaiin	MC060	otaiin	Folgemaß	Arbeite danach nach dem nächsten Maß	NONCLOSE	OT+AIIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otal	MC093	otal	danach dorthin	Führe ihn danach dorthin	NONCLOSE	OT+AL	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otar	MC121	otar	Folgequelle	Wechsle zur folgenden Quelle	NONCLOSE	OT+AR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otchdy	MC067	otchdy	Nachtransfer	Führe ihn danach über	TERMINAL	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=COMPACT_TECHNICAL_ADDENDUM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otchedy	MC057	otchedy	Folgetransfer	Führe danach den nächsten Posten über	TERMINAL	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otchey	MC171	otchey	das nächste	Nimm das nächste	NONCLOSE	OT+Y[SUBTYPE=NEXT_ITEM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
otedy	MC135	otedy	Kurzfolge	Führe ihn kurz zum Folgeschritt weiter	TERMINAL	OT+E_GRADE+DY[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
oteey	MC063	oteey	Langfolge	Führe ihn länger im Folgegang weiter	NONCLOSE	OT+E_GRADE+Y[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
pchedal	MC126	pchedal	Zielzuführung	Führe ihn dem Ziel zu	NONCLOSE	AL+P+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
pchedy	MC070	pchedy	Zuführung	Führe ihn zu	TERMINAL	P+CHED_TRANSFER[LICENSED_CLOSE=YES]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qcthey	MC073	qcthey	kurz vorbereiten	Bereite ihn kurz vor	NONCLOSE	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qekey	MC052	qekey	kurz bearbeiten	Bearbeite ihn kurz	NONCLOSE	W_MC052	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qockhey	MC165	qockhey	Kurzdurchgang	Führe ihn kurz hindurch	NONCLOSE	OK+E_GRADE+Y+CKH[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokaiin	MC120	okaiin	bemessen	Messe den Posten ab	NONCLOSE	OK+AIIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokain	MC017	okain	Anteil zugeben	Gib einen Anteil zu	NONCLOSE	OK+AIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokal	MC040	okal	dorthin einsetzen	Setze ihn dort ein	NONCLOSE	OK+AL	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokaly	MC054	qokaly	Zieleinsatz	Setze ihn am Ziel ein	NONCLOSE	OK+AL+Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokar	MC044	qokar	Quelleinsatz	Setze den Quellposten ein	NONCLOSE	OK+AR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokchdy	MC088	qokchdy	neuen Posten einsetzen	Setze einen neuen Posten ein	TERMINAL	OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokchedy	MC005	okchedy	vorigen Posten überführen	Führe den vorigen Posten über	TERMINAL	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokedy	MC083	qokedy	kurz einwirken	Lass ihn kurz einwirken	TERMINAL	OK+E_GRADE+DY[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokeedal	MC096	qokeedal	Langer Zieleinsatz	Setze ihn lange am Ziel ein	NONCLOSE	OK+AL+E_GRADE	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokeedy	MC082	qokeedy	lange einwirken	Lass ihn lange einwirken	TERMINAL	OK+E_GRADE+DY[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokeeedy	MC140	qokeeedy	Volleinsatz	Setze ihn vollständig ein	TERMINAL	OK+E_GRADE+DY[GRADE=EEE_FULL]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokeey	MC002	okeey	länger einwirken lassen	Lass ihn länger einwirken	NONCLOSE	OK+E_GRADE+Y[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokey	MC007	okey	kurz einwirken lassen	Lass ihn kurz einwirken	NONCLOSE	OK+E_GRADE+Y[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokol	MC024	qokol	Weiter einsetzen	Setze den verbleibenden Posten erneut ein	NONCLOSE	OK+OL	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokshedy	MC151	qokshedy	Einsatzabsetzen	Lass ihn nach dem Einsatz absetzen	TERMINAL	OK+DY+SHED	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qoky	MC026	choky	einsetzen	Setze den Posten ein	NONCLOSE	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qokylddy	MC164	qokylddy	befestigen	Befestige ihn	TERMINAL	W_MC164	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qolchedy	MC028	olchedy	weiterführen	Führe ihn weiter	TERMINAL	OL+DY+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qolchey	MC162	qolchey	Weiterposten	Nimm den nächsten Einsatzposten	NONCLOSE	OL+Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qolkain	MC097	olkain	weiterer Anteil	Nimm einen weiteren Anteil	NONCLOSE	OL+AIN	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qolky	MC134	qolky	Weiterweg	Führe auf dem Weg weiter	NONCLOSE	OL[SUBTYPE=PATH_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qotal	MC093	otal	danach dorthin	Führe ihn danach dorthin	NONCLOSE	OT+AL	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qotchedy	MC057	otchedy	Folgetransfer	Führe danach den nächsten Posten über	TERMINAL	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qotedaiin	MC018	qotedaiin	Kurzsoll	Halte die kurze Sollstufe ein	NONCLOSE	OT+AIIN+E_GRADE[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
qoteedy	MC173	qoteedy	lange Folgestufe	Führe die lange Folgestufe aus	TERMINAL	OT+E_GRADE+DY[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ral	MC056	ral	Zielmarke	Halte die Zielmarke ein	NONCLOSE	AL[SUBTYPE=TARGET_MARK]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
raly	MC046	raly	Endposten	Nimm den Endposten	NONCLOSE	AL+Y[SUBTYPE=END_TARGET]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
rol	MC016	rol	Anschluss	Schließe am nächsten Abschnitt an	NONCLOSE	OL[SUBTYPE=CONNECTION_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
rsheal	MC102	rsheal	Kurzhalt am Ziel	Halte den zugeführten Posten kurz am Ziel	NONCLOSE	AL+E_GRADE[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
rshedy	MC084	rshedy	Vollwaschung	Wasche ihn vollständig	TERMINAL	W_MC084	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
saiin	MC039	aiin	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	NONCLOSE	AIIN[SUBTYPE=GENERAL_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sal	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
sar	MC055	char	davon	Nimm davon	NONCLOSE	AR[SUBTYPE=SOURCE_ORIGIN]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
schedair	MC116	schedair	Weiterlauf	Führe ihn im Lauf weiter	NONCLOSE	AIR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
