global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	explicit_action_roots	inherited_action_root	focus_attachment_count	adjacent_pair_count	has_close	local_action_rules	local_owner_rules	factorized_action_replay_status	imperative_clause_de
G407-E0042	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chear	CH+E+AR	CH	NONE	2	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.
G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	CH|T	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert und lege den Kennwert fest.
G407-E0044	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	CH|P	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.
G407-E0045	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	CH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert; an der bezeichneten Stelle.
G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	SH	NONE	3	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.
G407-E0047	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	NONE	NONE	1	0	NO	NONE	NONE	OUTSIDE_ACTION_GRAMMAR_NO_ACTION_HEAD	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.
G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	SH	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Weiter halte fest.
G407-E0049	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	CH|P	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.
G407-E0050	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	NONE	P	2	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.
G407-E0051	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	SH	SH	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag [wie zuvor] fest.
G407-E0052	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	S	S	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Wähle den laufenden Eintrag [wie zuvor].
G407-E0053	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	CH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.
G407-E0054	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shodary	SH+O+D_ADDR+AR+Y	SH	NONE	2	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.
G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	yshey	Y+SH+E+Y	SH	NONE	3	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad I.
G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	SH	NONE	0	0	YES	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.
G407-E0057	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	okchoy	OK+CH+O+Y	OK|CH	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; als Ausführung.
G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	otchol	OT+CH+OL	CH	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].
G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chocthy	CH+O+CH+T+Y	CH|CH|T	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; als Ausführung.
G407-E0060	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	os	OS	NONE	T	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; wie zuvor.
G407-E0061	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chy	Y	NONE	T	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang lege den laufenden Eintrag fest.
G407-E0062	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	NONE	T	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang lege den Teilwert fest.
G407-E0063	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chor	CH+OR	CH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm die Eintragseinheit.
G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	kos	K+O+S	K|S	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Ordne die Eintragseinheit [wie zuvor] zu und wähle die Eintragseinheit [wie zuvor]; als Ausführung.
G407-E0065	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	daiin	AIIN	NONE	S	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang wähle den Kennwert.
G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shos	SH+O+S	SH|S	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den Kennwert [wie zuvor] fest und wähle den Kennwert [wie zuvor]; als Ausführung.
G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhol	CH+LOCAL_CHAR_F+OL	CH	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.
G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	SH	NONE	0	0	YES	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.
G407-E0069	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	dain	AIN	NONE	SH	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang halte den Teilwert fest.
G407-E0070	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	os	OS	NONE	SH	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang halte den Teilwert [wie zuvor] fest; wie zuvor.
G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	T+E+O+DY	T	NONE	1	0	YES	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.
G407-E0072	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ydain	Y+AIN	NONE	NONE	2	0	NO	NONE	NONE	OUTSIDE_ACTION_GRAMMAR_NO_ACTION_HEAD	Bezug: den laufenden Eintrag und den Teilwert.
G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphesaiin	CH+P+E+S+AIIN	CH|P|S	NONE	2	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.
G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ols	OL+S	S	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Weiter wähle den Kennwert [wie zuvor].
G407-E0075	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphey	CH+P+E+Y	CH|P	NONE	2	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.
G407-E0076	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ytain	Y+T+AIN	T	NONE	2	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Lege den laufenden Eintrag und den Teilwert fest.
G407-E0077	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoshy	SH+O+SH+Y	SH|SH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag fest und halte den laufenden Eintrag fest; als Ausführung.
G407-E0078	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodal	CH+P+O+D_ADDR+AL	CH|P	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.
G407-E0079	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	es	E+S	S	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Wähle den laufenden Eintrag [wie zuvor]; auf Grad I.
G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oksho	OK+SH+O	OK|SH	NONE	0	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Trage den laufenden Eintrag [wie zuvor] ein und halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.
G407-E0081	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kshoy	K+SH+O+Y	K|SH	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung.
G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otairin	OT+AIR+IIN	NONE	SH	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.
G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oteol	OT+E+OL	NONE	SH	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.
G407-E0084	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	okan	OK+AN	OK	NONE	0	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Trage den laufenden Eintrag [wie zuvor] ein; in der bezeichneten Klasse.
G407-E0085	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shodain	SH+O+D_ADDR+AIN	SH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den Teilwert fest; als Ausführung; an der bezeichneten Stelle.
G407-E0086	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sckhey	S+CH+K+E+Y	S|CH|K	NONE	2	2	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Wähle den laufenden Eintrag, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.
G407-E0087	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiin	AIIN	NONE	K	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Im laufenden Gang ordne den Kennwert zu.
G407-E0088	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoy	SH+O+Y	SH	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Halte den laufenden Eintrag fest; als Ausführung.
G407-E0089	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ckhey	CH+K+E+Y	CH|K	NONE	2	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.
G407-E0090	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kodaiin	K+O+D_ADDR+AIIN	K	NONE	1	0	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Ordne den Kennwert zu; als Ausführung; an der bezeichneten Stelle.
G407-E0091	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphy	CH+P+Y	CH|P	NONE	1	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.
G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	CH|P|S	NONE	2	1	NO	NONE	NONE	CROSS_PAGE_ACTION_FACTORS_COMPLETE	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.
