entry_id	entry_type	visible_form_or_card	atomic_value_de	operating_value	composition_or_memory_rule_de	bio_card_types_reached	bio_event_memberships	source_category
F_DY	PRODUCTIVE_FAMILY	DY	FESTSETZEN	CONTEXTUAL_TREAT	als Grad-, Referent- oder Schlussrahmen lesen; nicht als Inhaltsverb	23	60	GRADE_REFERENT_ENDPOINT_FRAME
F_OR	PRODUCTIVE_FAMILY	OR	BEDINGUNGSANSATZ	CHARGE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	3	4	MODE_PREDICTIVE_CONTENT_FAMILY
F_AIR	PRODUCTIVE_FAMILY	AIR	LAUF_BAHN	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	4	4	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_CHED_TRANSFER	PRODUCTIVE_FAMILY	CHED|CHD	UEBERFUEHREN	CONTEXTUAL_CHARGE	als Übergabekern lesen; Richtungsstämme bestimmen hinein oder hinaus	21	46	DIRECTIONALLY_CONDITIONED_TRANSFER_CORE
F_CTH	PRODUCTIVE_FAMILY	CTH	BEREIT	CONTEXTUAL_LOCAL_CONTROL	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	5	9	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_SHED	PRODUCTIVE_FAMILY	SHED	ABSETZEN	SETTLE	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	5	17	MODE_PREDICTIVE_CONTENT_FAMILY
F_CHK	PRODUCTIVE_FAMILY	CHK	ZUSTAND_JUSTIEREN	TREAT	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	4	6	MODE_PREDICTIVE_CONTENT_FAMILY
F_CKH	PRODUCTIVE_FAMILY	CKH	DURCHLASS	PASS_FILTER	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	6	9	MODE_PREDICTIVE_CONTENT_FAMILY
F_CKHE	PRODUCTIVE_FAMILY	CKHE	SEIHEN	PASS_FILTER	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	2	4	MODE_PREDICTIVE_CONTENT_FAMILY
F_SOLK	PRODUCTIVE_FAMILY	SOLK	SAMMELN	CONTEXTUAL_SETTLE	als lokale Folge-, Adress-, Lauf- oder Zustandssteuerung lesen	4	6	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY
F_LSH	PRODUCTIVE_FAMILY	LSH	WASCHEN	PASS_FILTER	als stabilen Betriebsstamm sprechen und mit sichtbaren Slots zusammensetzen	2	3	MODE_PREDICTIVE_CONTENT_FAMILY
F_TY	PRODUCTIVE_FAMILY	TY	TEIL	CONTEXTUAL_LOCAL_CONTROL	nur in den belegten Spezialkonstruktionen einsetzen	2	2	NARROW_LOW_COUNT_SPECIALIST
F_O_WITHDRAW	PRODUCTIVE_FAMILY	O_WITHDRAW	ZURUECKNEHMEN	CONTEXTUAL_DISCHARGE	nur in den belegten Spezialkonstruktionen einsetzen	2	2	NARROW_LOW_COUNT_SPECIALIST
F_K_BINDER	PRODUCTIVE_FAMILY	K_BINDER	ARGUMENTBINDER	CONTEXTUAL_LOCAL_CONTROL	nur in den belegten Spezialkonstruktionen einsetzen	1	1	NARROW_LOW_COUNT_SPECIALIST
W_MC012	LEARNED_WHOLE_OR_MICROSIGN	dl	Zusatz	CHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	2	MEMORIZED_EXCEPTION
W_MC052	LEARNED_WHOLE_OR_MICROSIGN	qekey	kurz bearbeiten	TREAT	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC059	LEARNED_WHOLE_OR_MICROSIGN	dain	Einlage	CHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	2	MEMORIZED_EXCEPTION
W_MC061	LEARNED_WHOLE_OR_MICROSIGN	sshkchdy	übertragen	CHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC084	LEARNED_WHOLE_OR_MICROSIGN	rshedy	Vollwaschung	PASS_FILTER	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC109	LEARNED_WHOLE_OR_MICROSIGN	ytey	Kurzteil	CHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC118	LEARNED_WHOLE_OR_MICROSIGN	ly	Auffanggefäß	LOCAL_CONTROL	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC119	LEARNED_WHOLE_OR_MICROSIGN	cheey	Klarlauf	PASS_FILTER	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	3	MEMORIZED_EXCEPTION
W_MC124	LEARNED_WHOLE_OR_MICROSIGN	lkedy	weiter abziehen	DISCHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC138	LEARNED_WHOLE_OR_MICROSIGN	dshedy	Frischwasser zugeben	CHARGE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC141	LEARNED_WHOLE_OR_MICROSIGN	tshey	Folgeklarlauf	PASS_FILTER	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC152	LEARNED_WHOLE_OR_MICROSIGN	ches	teilen	MEASURE	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
W_MC164	LEARNED_WHOLE_OR_MICROSIGN	qokylddy	befestigen	TREAT	als unteilbare Ganzkarte mit diesem kurzen Werkstattwert lernen	1	1	MEMORIZED_EXCEPTION
