biological_record	product_handle	owner_sigil	chain_depth	supply_features	matched_demand_features	missing_demand_features	raw_match_score	maximum_match_score	primary_feature	primary_feature_available_in_any_stock	primary_feature_matched	explicit_close	was_original_supply	selected
B2	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	PASSAGE,MEASURE,SET,HOLD,TARGET,EXTRACT	NONE	7	7	PASSAGE	YES	YES	NO	NO	NO
B3	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WORK,MEASURE,PREPARE,SET,WATER	NONE	7	7	WATER	YES	YES	NO	NO	YES
B3	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WORK,MEASURE,PREPARE,SET,WATER	NONE	7	7	WATER	YES	YES	NO	NO	NO
B3	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	WORK,MEASURE	PREPARE,SET,WATER	3	7	WATER	YES	NO	YES	NO	NO
B3	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	WORK,MEASURE	PREPARE,SET,WATER	3	7	WATER	YES	NO	NO	YES	NO
B3	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	WORK,MEASURE,PREPARE,SET	WATER	5	7	WATER	YES	NO	NO	NO	NO
B3	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	WORK,MEASURE,SET	PREPARE,WATER	4	7	WATER	YES	NO	YES	NO	NO
B3	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	WORK,MEASURE,SET	PREPARE,WATER	4	7	WATER	YES	NO	YES	NO	NO
B3	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	WORK,MEASURE,PREPARE,SET	WATER	5	7	WATER	YES	NO	NO	NO	NO
B3	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	WORK,MEASURE,PREPARE,SET	WATER	5	7	WATER	YES	NO	YES	NO	NO
B3	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	WORK,MEASURE,PREPARE,SET	WATER	5	7	WATER	YES	NO	NO	NO	NO
B4	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	SET	HEAT,HOLD,ADD,PASSAGE,TARGET	1	7	HEAT	YES	NO	NO	NO	NO
B4	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	ADD,SET	HEAT,HOLD,PASSAGE,TARGET	2	7	HEAT	YES	NO	NO	NO	NO
B4	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	HOLD,PASSAGE,TARGET	HEAT,ADD,SET	3	7	HEAT	YES	NO	YES	NO	NO
B4	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	HOLD,PASSAGE,TARGET	HEAT,ADD,SET	3	7	HEAT	YES	NO	NO	NO	NO
B4	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	HOLD,ADD,PASSAGE,TARGET,SET	HEAT	5	7	HEAT	YES	NO	NO	NO	NO
B4	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	ADD,SET	HEAT,HOLD,PASSAGE,TARGET	2	7	HEAT	YES	NO	YES	NO	NO
B4	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	HEAT,ADD,SET	HOLD,PASSAGE,TARGET	4	7	HEAT	YES	YES	YES	NO	NO
B4	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	HEAT,ADD,TARGET,SET	HOLD,PASSAGE	5	7	HEAT	YES	YES	NO	YES	YES
B4	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD,PASSAGE,TARGET,SET	HEAT,HOLD	4	7	HEAT	YES	NO	YES	NO	NO
B4	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	HOLD,ADD,PASSAGE,TARGET,SET	HEAT	5	7	HEAT	YES	NO	NO	NO	NO
B5	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WORK,CONTINUE	TARGET,HOLD,PASSAGE	2	6	TARGET	YES	NO	NO	NO	NO
B5	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	WORK,CONTINUE	TARGET,HOLD,PASSAGE	2	6	TARGET	YES	NO	NO	NO	NO
B5	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	TARGET,WORK,CONTINUE,HOLD,PASSAGE	NONE	6	6	TARGET	YES	YES	YES	NO	YES
B5	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	TARGET,WORK,CONTINUE,HOLD,PASSAGE	NONE	6	6	TARGET	YES	YES	NO	NO	NO
B5	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	TARGET,WORK,CONTINUE,HOLD,PASSAGE	NONE	6	6	TARGET	YES	YES	NO	NO	NO
B5	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	WORK	TARGET,CONTINUE,HOLD,PASSAGE	1	6	TARGET	YES	NO	YES	NO	NO
B5	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	WORK,CONTINUE	TARGET,HOLD,PASSAGE	2	6	TARGET	YES	NO	YES	NO	NO
B5	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	TARGET,WORK,CONTINUE	HOLD,PASSAGE	4	6	TARGET	YES	YES	NO	NO	NO
B5	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	TARGET,WORK,CONTINUE,PASSAGE	HOLD	5	6	TARGET	YES	YES	YES	YES	NO
B5	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	TARGET,WORK,CONTINUE,HOLD,PASSAGE	NONE	6	6	TARGET	YES	YES	NO	NO	NO
B6	A.G2	A	2	CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	CONTINUE,MEASURE,PREPARE	COLLECT,ADD,TARGET	3	7	COLLECT	NO	NO	NO	NO	NO
B6	A.Z3	A	5	ADD,CONTINUE,EXTRACT,MEASURE,PREPARE,SET,WATER,WORK	ADD,CONTINUE,MEASURE,PREPARE	COLLECT,TARGET	4	7	COLLECT	NO	NO	NO	NO	NO
B6	B.X1	B	1	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	TARGET,CONTINUE,MEASURE	COLLECT,ADD,PREPARE	3	7	COLLECT	NO	NO	YES	NO	NO
B6	B.X2	B	2	CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,TARGET,WORK	TARGET,CONTINUE,MEASURE	COLLECT,ADD,PREPARE	3	7	COLLECT	NO	NO	NO	NO	NO
B6	B.X4	B	4	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD,TARGET,CONTINUE,MEASURE,PREPARE	COLLECT	5	7	COLLECT	NO	NO	NO	NO	NO
B6	C.M1	C	1	ADD,CLOSE,MEASURE,SET,WORK	ADD,MEASURE	COLLECT,TARGET,CONTINUE,PREPARE	2	7	COLLECT	NO	NO	YES	NO	NO
B6	C.W1	C	3	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,SET,WORK	ADD,CONTINUE,MEASURE	COLLECT,TARGET,PREPARE	3	7	COLLECT	NO	NO	YES	NO	NO
B6	C.W2	C	4	ADD,CLOSE,CONTINUE,EXTRACT,HEAT,MEASURE,PREPARE,SET,TARGET,WORK	ADD,TARGET,CONTINUE,MEASURE,PREPARE	COLLECT	5	7	COLLECT	NO	NO	NO	YES	NO
B6	D.P1	D	2	ADD,CLOSE,CONTINUE,EXTRACT,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD,TARGET,CONTINUE,MEASURE,PREPARE	COLLECT	5	7	COLLECT	NO	NO	YES	NO	YES
B6	D.P3	D	6	ADD,CLOSE,CONTINUE,EXTRACT,HOLD,MEASURE,PASSAGE,PREPARE,SET,TARGET,WORK	ADD,TARGET,CONTINUE,MEASURE,PREPARE	COLLECT	5	7	COLLECT	NO	NO	NO	NO	NO
