statement_order	statement_id	record_unit_id	page	visible_surface_sequence	shared_master_forms	revised_shared_kernel_de	old_current_reading_de	revised_continuous_reading_de	revision_actions	revision_status
12	H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	cheeky oldy	länger bearbeiten fortsetzen; abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand. Schließe den Arbeitsgang.	ADD_EXPLICIT_CLOSE	FLUENT_TEXT_REVISED
13	H4-S004	H4	f55v	aiin okal oltchy or y orain	aiin okal chor chey	Sollmaß dorthin einsetzen Arbeitsansatz dieser Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
14	H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	aiin choky al	Sollmaß diesen Posten einsetzen dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es kurz in Wasser ein und bereite daraus eine Waschung.	setze es mit Wasser kurz an->setze es kurz in Wasser ein	FLUENT_TEXT_REVISED
15	H5-S002	H5	f56r	schol choy choky cheeckhody	choky	diesen Posten einsetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
16	H5-S003	H5	f56r	sh cho kchey qokokchy	NONE	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NONE	NO_SHARED_CARD__UNCHANGED
17	H5-S004	H5	f56r	okchy chokcheo kchal	NONE	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	NONE	NO_SHARED_CARD__UNCHANGED
18	H5-S005	H5	f56r	sho chokchy kchoar sotodan	NONE	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NONE	NO_SHARED_CARD__UNCHANGED
19	H5-S006	H5	f56r	otchey keol daiin	otchey aiin	der nächste Posten Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
20	B1-S001	B1	f81v	qokedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE	NO_SHARED_CARD__UNCHANGED
21	B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin okal char cheol al cheol cholor cheol aiin aiin	auf Sollmaß stellen dorthin einsetzen davon weiter dorthin weiter damit weiter weiter Sollmaß Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle auf Sollmaß, setze den Posten dort ein, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle auf Sollmaß, halte dort länger, leite durch, setze um und schließe.	Stelle das Sollmaß ein->Stelle auf Sollmaß | stelle das Sollmaß ein->stelle auf Sollmaß | setze den Posten dort an->setze den Posten dort ein	FLUENT_TEXT_REVISED
22	B1-S003	B1	f81v	qol sshkchdy	cheol	weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
23	B1-S004	B1	f81v	chedy ol shedy	chdy cheol	diesen Posten übertragen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, lass absetzen und schließe	Setze um->Übertrage	FLUENT_TEXT_REVISED
24	B1-S005	B1	f81v	qolchedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	NONE	NO_SHARED_CARD__UNCHANGED
25	B1-S006	B1	f81v	qokain shckhy dl ral	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NONE	NO_SHARED_CARD__UNCHANGED
26	B1-S007	B1	f81v	qokchdy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	NONE	NO_SHARED_CARD__UNCHANGED
27	B1-S008	B1	f81v	chey ol cheky ol shedy	chey cheol cheol	dieser Posten weiter weiter	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
28	B1-S009	B1	f81v	qokedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE	NO_SHARED_CARD__UNCHANGED
29	B1-S010	B1	f81v	qokedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE	NO_SHARED_CARD__UNCHANGED
30	B1-S011	B1	f81v	chckhy qoky	choky	diesen Posten einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze diesen Posten ein	setze den Posten an->setze diesen Posten ein	FLUENT_TEXT_REVISED
31	B1-S012	B1	f81v	lsho qokey lshedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	NONE	NO_SHARED_CARD__UNCHANGED
32	B1-S013	B1	f81v	lshedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	NONE	NO_SHARED_CARD__UNCHANGED
33	B1-S014	B1	f81v	chedy qolky lchedal qol otar	chdy cheol	diesen Posten übertragen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Setze um->Übertrage	FLUENT_TEXT_REVISED
34	B1-S015	B1	f81v	ytey okchedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	NONE	NO_SHARED_CARD__UNCHANGED
35	B1-S016	B1	f81v	qokal okeey qol cheedy	okal cheol	dorthin einsetzen weiter	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
36	B1-S017	B1	f81v	sal teol dchdy	al	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
37	B1-S018	B1	f81v	ly dsheol oiiin olkeedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
38	B1-S019	B1	f81v	tedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	NONE	NO_SHARED_CARD__UNCHANGED
39	B1-S020	B1	f81v	cheky shckhedy	NONE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	NONE	NO_SHARED_CARD__UNCHANGED
40	B1-S021	B1	f81v	chal	al	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
41	B2-S001	B2	f82r	dchedy	NONE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
42	B2-S002	B2	f82r	qolchedy	NONE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
43	B2-S003	B2	f82r	qokain dy qokeedy	chey	dieser Posten	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
44	B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	okal	dorthin einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort ein, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	Setze dort an->Setze dort ein	FLUENT_TEXT_REVISED
45	B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	okaiin okaiin	auf Sollmaß stellen auf Sollmaß stellen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle auf Sollmaß, führe bereit weiter, wärme länger, ziehe ab und schließe.	stelle das Sollmaß ein->stelle auf Sollmaß	FLUENT_TEXT_REVISED
46	B2-S006	B2	f82r	oteey qokal sheckhy qoky	okal choky	dorthin einsetzen diesen Posten einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort ein, leite ihn kurz durch und setze diesen Posten ein.	setze ihn dort an->setze ihn dort ein | setze den Posten an->setze diesen Posten ein	FLUENT_TEXT_REVISED
47	B2-S007	B2	f82r	dshedy	NONE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
48	B2-S008	B2	f82r	sotaiin qokar shedy	NONE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
49	B2-S009	B2	f82r	solshedy	NONE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
50	B2-S010	B2	f82r	qokeey qoky ls cheey	choky cheey	diesen Posten einsetzen Klarlauf	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
51	B2-S011	B2	f82r	okain char okain qokeedy	char	davon	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
52	B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	cheey aiin chey	Klarlauf Sollmaß dieser Posten	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
53	B2-S013	B2	f82r	lchedy	NONE	NONE	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
54	B2-S014	B2	f82r	lar	NONE	NONE	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.	NONE	NO_SHARED_CARD__UNCHANGED
55	B2-S015	B2	f82r	tshey qokeedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
56	B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	al aiin okaiin	dorthin Sollmaß auf Sollmaß stellen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	stelle das Sollmaß ein->stelle auf Sollmaß	FLUENT_TEXT_REVISED
57	B2-S017	B2	f82r	rsheal daldy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	NONE	NO_SHARED_CARD__UNCHANGED
58	B2-S018	B2	f82r	qokeedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
59	B2-S019	B2	f82r	rshedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
60	B2-S020	B2	f82r	qoteedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
61	B2-S021	B2	f82r	qokeedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
62	B2-S022	B2	f82r	lochedy	NONE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
63	B3-S001	B3	f83r	olkeedy	NONE	NONE	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
64	B3-S002	B3	f83r	qotal chkeedy	NONE	NONE	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
65	B3-S003	B3	f83r	chey daiin chey lchedy	chey aiin chey	dieser Posten Sollmaß dieser Posten	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.	NONE	FLUENT_TEXT_ALREADY_COMPATIBLE
66	B3-S004	B3	f83r	qokaiin qotal dar	okaiin char	auf Sollmaß stellen davon	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.	Für die Charge der oberen offenen Fächerstation: Stelle auf Sollmaß, führe danach dorthin und nimm daraus.	Stelle das Sollmaß ein->Stelle auf Sollmaß	FLUENT_TEXT_REVISED
67	B3-S005	B3	f83r	schedy	NONE	NONE	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.	NONE	NO_SHARED_CARD__UNCHANGED
