forecast	match_rank	match_scope	locus_or_statement	visible_sequence	observed_recipe_sequence	covered_forecast_components	coverage_fraction	interpretation
5	1	PROSE_SINGLE_CARD	MC039	aiin	AIIN	AIIN	1/2	paradigm neighbor; not automatically the forecast
5	2	PROSE_SINGLE_CARD	MC055	char	AR	AR	1/2	paradigm neighbor; not automatically the forecast
5	3	PROSE_SINGLE_CARD	MC089	skar	AR	AR	1/2	paradigm neighbor; not automatically the forecast
5	1	PROSE_ADJACENT_WINDOW	B2-S008	sotaiin · qokar	OT+AIIN | OK+AR	AIIN+AR	2/2	all components occur locally; scope and order still require workshop reading
5	2	PROSE_ADJACENT_WINDOW	B3-S026	cheedar · chldaiin	AR+CHED_TRANSFER | AIIN	AIIN+AR	2/2	all components occur locally; scope and order still require workshop reading
5	3	PROSE_ADJACENT_WINDOW	H2-S002	daiin · dar	AIIN | AR	AIIN+AR	2/2	all components occur locally; scope and order still require workshop reading
6	1	PROSE_SINGLE_CARD	MC042	cheedar	AR+CHED_TRANSFER	AR+CHED_TRANSFER	2/3	paradigm neighbor; not automatically the forecast
6	2	PROSE_SINGLE_CARD	MC011	lchedar	AR+L+CHED_TRANSFER	AR+CHED_TRANSFER	2/3	paradigm neighbor; not automatically the forecast
6	3	PROSE_SINGLE_CARD	MC039	aiin	AIIN	AIIN	1/3	paradigm neighbor; not automatically the forecast
6	1	PROSE_ADJACENT_WINDOW	B3-S026	cheedar · chldaiin	AR+CHED_TRANSFER | AIIN	AIIN+AR+CHED_TRANSFER	3/3	all components occur locally; scope and order still require workshop reading
6	2	PROSE_ADJACENT_WINDOW	B2-S016	lchedar · ches · aiin	AR+L+CHED_TRANSFER | WHOLE_SIGN[ches] | AIIN	AIIN+AR+CHED_TRANSFER	3/3	all components occur locally; scope and order still require workshop reading
6	3	PROSE_ADJACENT_WINDOW	B3-S026	cheedar · chldaiin · chedy	AR+CHED_TRANSFER | AIIN | Y+CHED_TRANSFER	AIIN+AR+CHED_TRANSFER	3/3	all components occur locally; scope and order still require workshop reading
7	1	PROSE_SINGLE_CARD	MC070	pchedy	P+CHED_TRANSFER	CHED_TRANSFER+P	2/3	paradigm neighbor; not automatically the forecast
7	2	PROSE_SINGLE_CARD	MC145	chedain	AIN+CHED_TRANSFER	AIN+CHED_TRANSFER	2/3	paradigm neighbor; not automatically the forecast
7	3	PROSE_SINGLE_CARD	MC126	pchedal	AL+P+CHED_TRANSFER	CHED_TRANSFER+P	2/3	paradigm neighbor; not automatically the forecast
8	1	PROSE_SINGLE_CARD	MC036	solkaiin	AIIN+SOLK	AIIN+SOLK	2/3	paradigm neighbor; not automatically the forecast
8	2	PROSE_SINGLE_CARD	MC039	aiin	AIIN	AIIN	1/3	paradigm neighbor; not automatically the forecast
8	3	PROSE_SINGLE_CARD	MC144	chldaiin	AIIN	AIIN	1/3	paradigm neighbor; not automatically the forecast
9	1	PROSE_SINGLE_CARD	MC038	lshedy	DY+LSH	DY+LSH	2/3	paradigm neighbor; not automatically the forecast
9	2	PROSE_SINGLE_CARD	MC128	cheedy	E_GRADE+DY+SHED	DY+E_GRADE	2/3	paradigm neighbor; not automatically the forecast
9	3	PROSE_SINGLE_CARD	MC082	qokeedy	OK+E_GRADE+DY	DY+E_GRADE	2/3	paradigm neighbor; not automatically the forecast
9	1	PROSE_ADJACENT_WINDOW	B1-S012	qokey · lshedy	OK+E_GRADE+Y | DY+LSH	DY+E_GRADE+LSH	3/3	all components occur locally; scope and order still require workshop reading
9	2	PROSE_ADJACENT_WINDOW	B1-S012	lsho · qokey · lshedy	LSH | OK+E_GRADE+Y | DY+LSH	DY+E_GRADE+LSH	3/3	all components occur locally; scope and order still require workshop reading
10	1	PROSE_SINGLE_CARD	MC128	cheedy	E_GRADE+DY+SHED	DY+E_GRADE+SHED	3/3	paradigm neighbor; not automatically the forecast
10	2	PROSE_SINGLE_CARD	MC003	sheedy	E_GRADE+DY+SHED	DY+E_GRADE+SHED	3/3	paradigm neighbor; not automatically the forecast
10	3	PROSE_SINGLE_CARD	MC082	qokeedy	OK+E_GRADE+DY	DY+E_GRADE	2/3	paradigm neighbor; not automatically the forecast
10	1	PROSE_ADJACENT_WINDOW	B1-S004	ol · shedy	OL | E_GRADE+DY+SHED	DY+E_GRADE+SHED	3/3	all components occur locally; scope and order still require workshop reading
10	2	PROSE_ADJACENT_WINDOW	B1-S008	ol · shedy	OL | E_GRADE+DY+SHED	DY+E_GRADE+SHED	3/3	all components occur locally; scope and order still require workshop reading
10	3	PROSE_ADJACENT_WINDOW	B1-S016	qol · cheedy	OL | E_GRADE+DY+SHED	DY+E_GRADE+SHED	3/3	all components occur locally; scope and order still require workshop reading
11	1	PROSE_SINGLE_CARD	MC058	sheckhal	AL+E_GRADE+CKH	AL+CKH+E_GRADE	3/3	paradigm neighbor; not automatically the forecast
11	2	PROSE_SINGLE_CARD	MC022	chckhal	AL+CKH	AL+CKH	2/3	paradigm neighbor; not automatically the forecast
11	3	PROSE_SINGLE_CARD	MC102	rsheal	AL+E_GRADE	AL+E_GRADE	2/3	paradigm neighbor; not automatically the forecast
11	1	PROSE_ADJACENT_WINDOW	B1-S002	ol · sheckhal	OL | AL+E_GRADE+CKH	AL+CKH+E_GRADE	3/3	all components occur locally; scope and order still require workshop reading
11	2	PROSE_ADJACENT_WINDOW	B1-S002	sheckhal · daiin	AL+E_GRADE+CKH | AIIN	AL+CKH+E_GRADE	3/3	all components occur locally; scope and order still require workshop reading
11	3	PROSE_ADJACENT_WINDOW	B2-S006	qokal · sheckhy	OK+AL | E_GRADE+Y+CKH	AL+CKH+E_GRADE	3/3	all components occur locally; scope and order still require workshop reading
12	1	PROSE_SINGLE_CARD	MC057	otchedy	OT+DY+CHED_TRANSFER	CHED_TRANSFER+DY+OT	3/4	paradigm neighbor; not automatically the forecast
12	2	PROSE_SINGLE_CARD	MC067	otchdy	OT+DY+CHED_TRANSFER	CHED_TRANSFER+DY+OT	3/4	paradigm neighbor; not automatically the forecast
12	3	PROSE_SINGLE_CARD	MC042	cheedar	AR+CHED_TRANSFER	AR+CHED_TRANSFER	2/4	paradigm neighbor; not automatically the forecast
