recipe_address	first_tab	recipe_length	component_recipe	compact_reading_de	historical_layers	exact_card_variants	card_nos	surfaces_to_copy	surface_exemplars	page_record_selector	lookup_result	total_events
A034	E	4	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC171	qekey	1	f83r::B6	DIRECT_CARD	1
A035	EE	2	EE+AR	LANG · QUELLE	BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC146	cheedar	1	f83r::B3	DIRECT_CARD	1
A036	EEE	3	EEE+T+Y	VOLL · EINTRAGEN · DIES	BOUND_GRADE+OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC149	cheeety	1	f83r::B3	DIRECT_CARD	1
A037	HO	1	HO	ZUTAT	STATE_OBJECT_SIGN	1	PROC052	cho|sho	2	f56r::H5	DIRECT_CARD	4
A038	HO	2	HO+Y	ZUTAT · DIES	STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC056	choy	1	f56r::H5	DIRECT_CARD	1
A039	HO	3	HO+AL+Y	ZUTAT · ZIEL · DIES	STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC053	chodaly	1	f56r::H5	DIRECT_CARD	1
A040	HO	3	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	STATE_OBJECT_SIGN+OPERATION_SIGN	1	PROC051	chochor	1	f56r::H5	DIRECT_CARD	1
A041	K	2	K+AIN	ZUDOSIEREN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC069	chkain|kain	2	f81v|f83r::B1|B3|B4	DIRECT_CARD	3
A042	K	2	K+AIR	ZUDOSIEREN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC068	kair	1	f81v::B1	DIRECT_CARD	1
A043	K	2	K+AL	ZUDOSIEREN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC062	kchal	1	f56r::H5	DIRECT_CARD	1
A044	K	2	K+AR	ZUDOSIEREN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC165	skar	1	f83r::B4	DIRECT_CARD	1
A045	K	2	K+IIN	ZUDOSIEREN · STUFE	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC024	kaiiin	1	f10r::H2	DIRECT_CARD	1
A046	K	2	K+OL	ZUDOSIEREN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC054	kchol	1	f56r::H5	DIRECT_CARD	1
A047	K	2	K+Y	ZUDOSIEREN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC035	kchy	1	f11r::H3	DIRECT_CARD	1
A048	K	3	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC066	keol	1	f56r::H5	DIRECT_CARD	1
A049	K	3	K+E+Y	ZUDOSIEREN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC059	kchey	1	f56r::H5	DIRECT_CARD	1
A050	K	3	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	OPERATION_SIGN+STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN	1	PROC063	kchoar	1	f56r::H5	DIRECT_CARD	1
A051	L	1	L	WEITERLEITEN	OPERATION_SIGN	1	PROC072	dl	1	f81v::B1	DIRECT_CARD	2
A052	L	2	L+AIIN	WEITERLEITEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC147	chldaiin	1	f83r::B3	DIRECT_CARD	1
A053	L	2	L+AR	WEITERLEITEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC121	lar	1	f82r::B2	DIRECT_CARD	1
A054	L	2	L+CHD	WEITERLEITEN · UMSETZEN	OPERATION_SIGN	1	PROC102	lched	1	f82r::B2	DIRECT_CARD	1
A055	L	2	L+DY	WEITERLEITEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC108	ldy	1	f82r|f83r::B2|B3	DIRECT_CARD	2
A056	L	2	L+O	WEITERLEITEN · GANG	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC140	lo	1	f83r::B3	DIRECT_CARD	1
A057	L	2	L+OL	WEITERLEITEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC167	lol	1	f83r::B5	DIRECT_CARD	1
A058	L	2	L+Y	WEITERLEITEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC095	ly	1	f81v::B1	DIRECT_CARD	1
A059	L	3	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	OPERATION_SIGN+RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN	1	PROC173	ldalor	1	f83r::B6	DIRECT_CARD	1
A060	L	3	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC116	lchy	1	f82r::B2	DIRECT_CARD	1
A061	L	3	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC088	lchedal	1	f81v::B1	DIRECT_CARD	1
A062	L	3	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC123	lchedar	1	f82r::B2	DIRECT_CARD	1
A063	L	3	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC120	lchedy	1	f82r|f83r::B2|B3|B4	DIRECT_CARD	8
A064	L	3	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	OPERATION_SIGN+STATE_OBJECT_SIGN+DEICTIC_REFERENCE	1	PROC101	lcheckhy	1	f82r::B2	DIRECT_CARD	1
A065	L	3	L+EE+Y	WEITERLEITEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC118	lcheey	1	f82r::B2	DIRECT_CARD	1
A066	L	4	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC103	lcheckhedy	1	f82r::B2	DIRECT_CARD	1
A067	L	4	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC159	lkedy	1	f83r::B4	DIRECT_CARD	1
A068	L	4	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	OPERATION_SIGN+STATE_OBJECT_SIGN+BOUND_ENDPOINT	1	PROC130	lochedy	1	f82r::B2	DIRECT_CARD	1
A069	LSH	2	LSH+O	WASCHEN · GANG	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC084	lsho	1	f81v::B1	DIRECT_CARD	1
A070	LSH	3	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC086	lshedy	1	f81v::B1	DIRECT_CARD	2
A071	O	2	O+DY	GANG · SCHLUSS	STATE_OBJECT_SIGN+BOUND_ENDPOINT	1	PROC041	ody	1	f55v::H4	DIRECT_CARD	1
A072	O	2	O+IIN	GANG · STUFE	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	1	PROC097	oiiin|soiiin	2	f81v|f83r::B1|B3	DIRECT_CARD	2
A073	O	4	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	STATE_OBJECT_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC161	qockhey	1	f83r::B4	DIRECT_CARD	1
A074	O	4	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	STATE_OBJECT_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC106	octheol	1	f82r::B2	DIRECT_CARD	1
A075	O	4	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	STATE_OBJECT_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC018	qoctholy	1	f10r::H2	DIRECT_CARD	1
A076	O	4	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	STATE_OBJECT_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN	1	PROC023	oykchor	1	f10r::H2	DIRECT_CARD	1
A077	OK	2	OK+AIIN	ANSETZEN · MASS	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC038	okaiin|qokaiin	2	f55v|f81v|f82r|f83r::B1|B2|B3|H4	DIRECT_CARD	9
A078	OK	2	OK+AIN	ANSETZEN · PORTION	OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC080	okain|qokain	2	f81v|f82r|f83r::B1|B2|B3|B4	DIRECT_CARD	7
A079	OK	2	OK+AIR	ANSETZEN · LAUF	OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC138	okair	1	f83r::B3	DIRECT_CARD	1
A080	OK	2	OK+AL	ANSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC048	okal|qokal	2	f55v|f81v|f82r|f83r::B1|B2|B3|H4	DIRECT_CARD	6
A081	OK	2	OK+AR	ANSETZEN · QUELLE	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC113	qokar	1	f82r::B2	DIRECT_CARD	1
A082	OK	2	OK+OL	ANSETZEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	2	PROC037|PROC160	okchol; qokol	2	f11r::H3; f83r::B4	CHOOSE_LOCAL_CARD_VARIANT	2
A083	OK	2	OK+Y	ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	2	PROC008|PROC011	choky|oky|qoky; chokchy|okchy|qokchy	6	f10r|f56r|f81v|f82r|f83r::B1|B2|B3|B4|H1|H5; f10r|f56r::H1|H5	CHOOSE_LOCAL_CARD_VARIANT	13
A084	OK	3	OK+AL+Y	ANSETZEN · ZIEL · DIES	OPERATION_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC104	qokaly	1	f82r::B2	DIRECT_CARD	1
A085	OK	3	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	2	PROC082|PROC091	qokchdy; okchedy|qokchedy	3	f81v|f83r::B1|B3|B5; f81v|f83r::B1|B3	CHOOSE_LOCAL_CARD_VARIANT	5
A086	OK	3	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC067	qokedy	1	f81v|f83r::B1|B3|B4	DIRECT_CARD	8
A087	OK	3	OK+E+Y	ANSETZEN · KURZ · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC085	okey|qokey	2	f81v|f82r::B1|B2	DIRECT_CARD	2
A088	OK	3	OK+EE+AL	ANSETZEN · LANG · ZIEL	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC074	qokeedal	1	f81v::B1	DIRECT_CARD	1
A089	OK	3	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC100	qokeedy	1	f82r|f83r::B2|B3|B4	DIRECT_CARD	10
A090	OK	3	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC158	okeeol	1	f83r::B4	DIRECT_CARD	1
A091	OK	3	OK+EE+Y	ANSETZEN · LANG · DIES	OPERATION_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC092	okeey|qokeey	2	f81v|f82r|f83r::B1|B2|B3|B4	DIRECT_CARD	7
A092	OK	3	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC119	qokeeedy	1	f82r::B2	DIRECT_CARD	1
A093	OK	3	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC060	qokokchy	1	f56r::H5	DIRECT_CARD	1
A094	OK	4	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	OPERATION_SIGN+BOUND_GRADE+STATE_OBJECT_SIGN	1	PROC061	chokcheo	1	f56r::H5	DIRECT_CARD	1
A095	OK	4	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC141	qokshedy	1	f83r::B3	DIRECT_CARD	1
A096	OK	4	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	OPERATION_SIGN+DEICTIC_REFERENCE+BOUND_ENDPOINT	1	PROC155	qokylddy	1	f83r::B4	DIRECT_CARD	1
A097	OL	1	OL	FORTSETZEN	RELATION_ADDRESS_SIGN	2	PROC013|PROC115	cheol|chol|ol|qol|sol|tol; ls	7	f10r|f81v|f83r::B1|B3|B4|B5|B6|H1|H2; f82r::B2	CHOOSE_LOCAL_CARD_VARIANT	20
A098	OL	2	OL+DY	FORTSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_ENDPOINT	1	PROC047	oldy	1	f55v|f83r::B4|H4	DIRECT_CARD	2
A099	OL	2	OL+OR	FORTSETZEN · ANSATZ	RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN	1	PROC022	cholor|olor	2	f10r|f81v::B1|H2	DIRECT_CARD	2
A100	OL	2	OL+Y	FORTSETZEN · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC154	qolchey	1	f83r::B4	DIRECT_CARD	1
A101	OL	3	OL+AL+Y	FORTSETZEN · ZIEL · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC153	olsaly	1	f83r::B3	DIRECT_CARD	1
A102	OL	3	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	1	PROC079	olchedy|qolchedy	2	f81v|f82r|f83r::B1|B2|B3	DIRECT_CARD	3
A103	OL	3	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	RELATION_ADDRESS_SIGN+OPERATION_SIGN+MEASURE_STAGE_SIGN	1	PROC070	olkain|qolkain	2	f81v|f83r::B1|B4	DIRECT_CARD	2
A104	OL	3	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	RELATION_ADDRESS_SIGN+OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC049	oltchy	1	f55v::H4	DIRECT_CARD	1
A105	OL	4	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC114	solshedy	1	f82r::B2	DIRECT_CARD	1
A106	OR	1	OR	ANSATZ	STATE_OBJECT_SIGN	1	PROC016	chor|or|shor|sor	4	f10r|f55v|f83r::B3|B4|H2|H4	DIRECT_CARD	7
A107	OR	2	OR+AIN	ANSATZ · PORTION	STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	1	PROC050	orain	1	f55v::H4	DIRECT_CARD	1
A108	OS	1	OS	FACH	WHOLE_NOMENCLATOR	1	PROC005	os	1	f10r::H1	DIRECT_CARD	1
A109	OT	2	OT+AIIN	DANACH · MASS	RELATION_ADDRESS_SIGN+MEASURE_STAGE_SIGN	1	PROC112	otaiin|sotaiin	2	f82r|f83r::B2|B3	DIRECT_CARD	3
A110	OT	2	OT+AL	DANACH · ZIEL	RELATION_ADDRESS_SIGN	1	PROC131	otal|qotal	2	f83r::B3|B4	DIRECT_CARD	3
A111	OT	2	OT+AR	DANACH · QUELLE	RELATION_ADDRESS_SIGN	1	PROC089	otar	1	f81v::B1	DIRECT_CARD	1
A112	OT	2	OT+OL	DANACH · FORTSETZEN	RELATION_ADDRESS_SIGN	1	PROC021	otol	1	f10r::H2	DIRECT_CARD	1
A113	OT	2	OT+Y	DANACH · DIES	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	2	PROC036|PROC065	qotchy; otchey	2	f11r::H3; f56r|f83r::B4|H5	CHOOSE_LOCAL_CARD_VARIANT	3
A114	OT	3	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+OPERATION_SIGN	1	PROC012	qotchol	1	f10r::H1	DIRECT_CARD	1
A115	OT	3	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	RELATION_ADDRESS_SIGN+OPERATION_SIGN+STATE_OBJECT_SIGN	1	PROC020	otchor|qotchor	2	f10r|f56r::H2|H5	DIRECT_CARD	2
A116	OT	3	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	RELATION_ADDRESS_SIGN+OPERATION_SIGN+BOUND_ENDPOINT	2	PROC145|PROC166	otchedy|qotchedy; otchdy	3	f83r::B3; f83r::B5	CHOOSE_LOCAL_CARD_VARIANT	3
A117	OT	3	OT+E+AIIN	DANACH · KURZ · MASS	RELATION_ADDRESS_SIGN+BOUND_GRADE+MEASURE_STAGE_SIGN	1	PROC152	qotedaiin	1	f83r::B3	DIRECT_CARD	1
A118	OT	3	OT+E+DY	DANACH · KURZ · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC135	otedy	1	f83r::B3	DIRECT_CARD	2
A119	OT	3	OT+EE+DY	DANACH · LANG · SCHLUSS	RELATION_ADDRESS_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC129	qoteedy	1	f82r|f83r::B2|B3	DIRECT_CARD	2
A120	OT	3	OT+EE+Y	DANACH · LANG · DIES	RELATION_ADDRESS_SIGN+BOUND_GRADE+DEICTIC_REFERENCE	1	PROC109	oteey	1	f82r::B2	DIRECT_CARD	2
A121	OT	3	OT+O+AIN	DANACH · GANG · PORTION	RELATION_ADDRESS_SIGN+STATE_OBJECT_SIGN+MEASURE_STAGE_SIGN	1	PROC064	sotodan	1	f56r::H5	DIRECT_CARD	1
A122	OT	5	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE+OPERATION_SIGN	1	PROC007	otytchol	1	f10r::H1	DIRECT_CARD	1
A123	P	2	P+Y	EINFUELLEN · DIES	OPERATION_SIGN+DEICTIC_REFERENCE	1	PROC030	cphy	1	f11r::H3	DIRECT_CARD	1
A124	P	3	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC134	pchedal	1	f83r::B3	DIRECT_CARD	1
A125	P	3	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC125	pchedy	1	f82r::B2	DIRECT_CARD	1
A126	R	2	R+AL	KUEHLEN · ZIEL	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC081	ral	1	f81v::B1	DIRECT_CARD	1
A127	R	2	R+OL	KUEHLEN · FORTSETZEN	OPERATION_SIGN+RELATION_ADDRESS_SIGN	1	PROC071	rol	1	f81v::B1	DIRECT_CARD	1
A128	R	3	R+AL+Y	KUEHLEN · ZIEL · DIES	OPERATION_SIGN+RELATION_ADDRESS_SIGN+DEICTIC_REFERENCE	1	PROC172	raly	1	f83r::B6	DIRECT_CARD	1
A129	R	3	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	OPERATION_SIGN+BOUND_ENDPOINT	1	PROC128	rshedy	1	f82r::B2	DIRECT_CARD	1
A130	R	4	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	OPERATION_SIGN+BOUND_GRADE+RELATION_ADDRESS_SIGN	1	PROC126	rsheal	1	f82r::B2	DIRECT_CARD	1
A131	RESUME_CARD	1	RESUME_CARD	WIEDERAUFNEHMEN	WHOLE_NOMENCLATOR	1	PROC034	dchol|schol	2	f11r|f56r::H3|H5	DIRECT_CARD	2
A132	SH	1	SH	HALTEN	OPERATION_SIGN	1	PROC058	sh	1	f56r::H5	DIRECT_CARD	1
A133	SH	3	SH+E+DY	HALTEN · KURZ · SCHLUSS	OPERATION_SIGN+BOUND_GRADE+BOUND_ENDPOINT	1	PROC111	dshedy	1	f82r::B2	DIRECT_CARD	1
