group_serial	page	locus	page_role	visible_owner	namespace_id	visible_surface	exact_prose_card_id	portable_prose_value_de	curriculum_layer	concrete_diagram_reading_de	apprentice_action	portable_card_core_de	portable_card_role	revision_266	revision_267	revision_268	revision_269	revision_270	revision_271	revision_272	revision_273	coverage_class_274	learning_obligation_274
11	f67r2	f67r2.4	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	sykos	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
12	f67r2	f67r2.5	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	ykeody	NONE	NONE	ASTRO_FIXED_DY_WHOLE_ENDING	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.	copy DY as the learned fixed ending; do not split it into D plus Y	LOCAL_LABEL	ASTRO_FIXED_VALUE_NOT_Y	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	DY_FIXED	LEARNED_WHOLE_SIGN	memorize this compact Astro whole sign
13	f67r2	f67r2.5	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	okchy	MC103	weiterbearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	reuse a learned prose card with diagram-local object	POSTEN_SETZEN	SET	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
14	f67r2	f67r2.6	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_06	F67_RIGHT_WHEEL_NS	dchetay	NONE	NONE	ASTRO_LOCAL_WHOLE_Y_ENDING	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	copy the entire local sign; final y alone does not license the current-item value	LOCAL_LABEL	ASTRO_LOCAL_WHOLE_VALUE_NOT_Y	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_WHOLE_Y	LEARNED_WHOLE_SIGN	memorize this compact Astro whole sign
15	f67r2	f67r2.7	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	ykchy	NONE	NONE	ASTRO_LICENSED_CURRENT_ITEM_Y	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.	read final licensed Y as this current item; read preceding relation or operation first	LOCAL_LABEL	ASTRO_CURRENT_ITEM_COMPOSITION	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	OPERATION_Y	PORTABLE_COMPOSITION	read the portable components and their local expansion
16	f67r2	f67r2.7	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	kchey	MC122	Kurzbearbeitung	KNOWN_PROSE_CARD_IN_ASTRO	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	reuse a learned prose card with diagram-local object	PLATZ_KURZ_BEARBEITEN	PROCESS_GRADE	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
17	f67r2	f67r2.7	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	ykchys	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
18	f67r2	f67r2.8	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	chkchdar	NONE	NONE	ASTRO_ADDRESS_SUFFIX_COMPOSITION	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	read the final AL/AR address first, then identify or copy the prefix	Quelladresse des CHKCHD-Postens	ASTRO_SOURCE_ADDRESS_CARD	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	AL_AR_ADDRESS_SUFFIX	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
19	f67r2	f67r2.9	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykar	NONE	NONE	ASTRO_ADDRESS_SUFFIX_COMPOSITION	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.	read the final AL/AR address first, then identify or copy the prefix	Quelladresse des YK-Postens	ASTRO_SOURCE_ADDRESS_CARD	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	AL_AR_ADDRESS_SUFFIX	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
20	f67r2	f67r2.9	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykaly	NONE	NONE	ASTRO_LICENSED_CURRENT_ITEM_Y	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.	read final licensed Y as this current item; read preceding relation or operation first	LOCAL_LABEL	ASTRO_CURRENT_ITEM_COMPOSITION	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	RELATION_Y	PORTABLE_COMPOSITION	read the portable components and their local expansion
21	f67r2	f67r2.10	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	lkshy	NONE	NONE	ASTRO_LICENSED_CURRENT_ITEM_Y	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.	read final licensed Y as this current item; read preceding relation or operation first	LOCAL_LABEL	ASTRO_CURRENT_ITEM_COMPOSITION	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	OPERATION_Y	PORTABLE_COMPOSITION	read the portable components and their local expansion
22	f67r2	f67r2.10	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	kchy	MC117	Bearbeiten	KNOWN_PROSE_CARD_IN_ASTRO	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	reuse a learned prose card with diagram-local object	PLATZ_BEARBEITEN	PROCESS	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
23	f67r2	f67r2.10	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	okar	NONE	NONE	ASTRO_ADDRESS_SUFFIX_COMPOSITION	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	read the final AL/AR address first, then identify or copy the prefix	Quelladresse des OK-Postens	ASTRO_SOURCE_ADDRESS_CARD	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	AL_AR_ADDRESS_SUFFIX	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
24	f67r2	f67r2.11	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chky	NONE	NONE	ASTRO_LOCAL_WHOLE_Y_ENDING	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.	copy the entire local sign; final y alone does not license the current-item value	LOCAL_LABEL	ASTRO_LOCAL_WHOLE_VALUE_NOT_Y	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_WHOLE_Y	LEARNED_WHOLE_SIGN	memorize this compact Astro whole sign
25	f67r2	f67r2.11	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chykchs	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
26	f67r2	f67r2.11	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	chy	MC123	dies	THREE_REGISTER_COMMON_CORE	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	reuse common card; expand it under the local diagram owner	dies	THREE_REGISTER_COMMON_CORE	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
27	f67r2	f67r2.12	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	ykees	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
28	f67r2	f67r2.12	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	ykchos	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/os.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
29	f67r2	f67r2.13	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	opodchol	NONE	NONE	ASTRO_RELATION_SUFFIX_COMPOSITION	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.	read the final OR/OL relation first, then resolve or copy the local prefix	lokalen OPODCH-Posten im selben Lauf weiterfuehren	ASTRO_CONTINUATION_CARD	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	OR_OL_RELATION_SUFFIX	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
30	f67r2	f67r2.13	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	s	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	A1_RIGHT_RING_BAND_01: Nebenwert.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
31	f67r2	f67r2.13	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	ain	NONE	NONE	ASTRO_COMPOSED_FROM_40_COMPONENTS	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.	compose the AIN/AN value and copy only any marked local residual	Portion oder Teilwert	COMPOSED_ASTRO_QUANTITY_CARD	UNCHANGED	AIN_AN_COMPOSITION	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
32	f67r2	f67r2.13	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	aldy	NONE	NONE	ASTRO_FIXED_DY_WHOLE_ENDING	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.	copy DY as the learned fixed ending; do not split it into D plus Y	LOCAL_LABEL	ASTRO_FIXED_VALUE_NOT_Y	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	DY_FIXED	LEARNED_WHOLE_SIGN	memorize this compact Astro whole sign
33	f67r2	f67r2.14	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	soeey	NONE	NONE	ASTRO_GRADED_VALUE_Y_COMPOSITION	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.	read the final E grade and Y together as a graded current value	LOCAL_LABEL	ASTRO_GRADED_CURRENT_VALUE	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	E_GRADE_Y	PORTABLE_COMPOSITION	read the portable components and their local expansion
34	f67r2	f67r2.14	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	doiin	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
35	f67r2	f67r2.14	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	oldy	MC019	fertig	THREE_REGISTER_COMMON_CORE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	reuse common card; expand it under the local diagram owner	fertig	THREE_REGISTER_COMMON_CORE	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
36	f67r2	f67r2.15	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_LEFT_LOCAL_FIELD_15	F67_LEFT_WHEEL_NS	dolchsody	NONE	NONE	ASTRO_FIXED_DY_WHOLE_ENDING	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	copy DY as the learned fixed ending; do not split it into D plus Y	LOCAL_LABEL	ASTRO_FIXED_VALUE_NOT_Y	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	DY_FIXED	LEARNED_WHOLE_SIGN	memorize this compact Astro whole sign
37	f67r2	f67r2.16	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	odaeiin	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
38	f67r2	f67r2.16	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	okoes	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sternplatz A1_LEFT_LOCAL_FIELD_16: Diagrammposten setzen oder aktivieren; lokaler Namensrest oes.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	LOCAL_COPY_LABEL	copy the local label from its diagram exemplar
39	f67r2	f67r2.16	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	oekain	NONE	NONE	ASTRO_COMPOSED_FROM_40_COMPONENTS	Sternplatz A1_LEFT_LOCAL_FIELD_16: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest oek.	compose the AIN/AN value and copy only any marked local residual	kurz gebundene Rücknahmeportion	COMPOSED_ASTRO_QUANTITY_CARD	UNCHANGED	AIN_AN_COMPOSITION	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED	PORTABLE_COMPOSITION	read the portable components and their local expansion
