deck_order	component_id	component_tier	short_value_de	learning_rule	support_card_ids	support_event_count	licensing_scope	revision_268	ten_page_support_count	ten_page_support_scope	revision_274
11	IIN	SHARED_PRODUCTIVE	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	MC033	4	shared across the selected prose registers	UNCHANGED	4	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
12	E	SHARED_PRODUCTIVE	KURZ	kurz oder unmittelbar ausführen	MC128	41	shared across the selected prose registers	UNCHANGED	41	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
13	EE	SHARED_PRODUCTIVE	LANG	länger halten oder fortsetzen	MC082	33	shared across the selected prose registers	UNCHANGED	33	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
14	EEE	SHARED_PRODUCTIVE	VOLL	bis zur vollen Stufe ausführen	MC094	2	shared across the selected prose registers	UNCHANGED	2	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
15	Y	SHARED_PRODUCTIVE	DIES_AKTUELLER_POSTEN	den aktuell gemeinten Posten referieren	MC123	103	shared across the selected prose registers	UNCHANGED	177	SECURE_REFERENT;23_GRADED_CANDIDATES_EXTRA	CROSS_REGISTER_CONSOLIDATED
16	DY	SHARED_PRODUCTIVE	SCHLUSS	nur als lizenzierte Endkarte die Zelle schließen	MC128	90	shared across the selected prose registers	UNCHANGED	90	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
17	OR	SHARED_PRODUCTIVE	BEDINGUNGSANSATZ	den laufenden Ansatz oder Bedingungssatz eröffnen	MC080	17	shared across the selected prose registers	UNCHANGED	37	CONDITION_OR_PREPARATION_FRAME	CROSS_REGISTER_CONSOLIDATED
18	HO	SHARED_PRODUCTIVE	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	MC034	11	shared across the selected prose registers	UNCHANGED	11	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
19	CHEO	SHARED_PRODUCTIVE	AUSZUG	einen gewonnenen Auszug bezeichnen	MC006	4	shared across the selected prose registers	UNCHANGED	4	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
20	AIR	SHARED_PRODUCTIVE	LAUF_BAHN	einen Lauf oder eine Bahn markieren; lokal Wasserlauf	MC014	5	shared across prose wet-work and Astro path labels	LIQUID_TO_ABSTRACT_PATH	17	PROSE_WET_PATH__ASTRO_RING_OR_POINTER_PATH	CROSS_REGISTER_CONSOLIDATED
21	CHED	SHARED_PRODUCTIVE	ÜBERFÜHREN	Material von einer Station in die nächste bringen	MC074	40	shared across the selected prose registers	UNCHANGED	40	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
22	CHD	SHARED_PRODUCTIVE	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	MC074	18	shared across the selected prose registers	UNCHANGED	18	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
23	CTH	SHARED_PRODUCTIVE	BEREIT	einen Posten als vorbereitet oder bereit setzen	MC161	16	shared across the selected prose registers	UNCHANGED	16	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
24	SHED	SHARED_PRODUCTIVE	ABSETZEN	ruhen und sich absetzen lassen	MC128	17	shared across the selected prose registers	UNCHANGED	17	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
25	CHK	SHARED_PRODUCTIVE	WÄRMEN	den Posten erwärmen oder warm halten	MC147	7	shared across the selected prose registers	UNCHANGED	7	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
26	CKH	SHARED_PRODUCTIVE	DURCHLASS	durch einen Gang oder eine Passage führen	MC035	9	shared across the selected prose registers	UNCHANGED	9	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
27	CKHE	SHARED_PRODUCTIVE	SEIHEN	durch einen trennenden Durchlass führen	MC143	4	shared across the selected prose registers	UNCHANGED	4	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
28	SOLK	SHARED_PRODUCTIVE	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	MC045	6	shared across the selected prose registers	UNCHANGED	6	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
29	LSH	SHARED_PRODUCTIVE	WASCHEN	einen Wasch- oder Spülgang ausführen	MC038	3	shared across the selected prose registers	UNCHANGED	3	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
30	TY	SHARED_PRODUCTIVE	TEIL	einen Materialteil oder Rest bezeichnen	MC086	6	shared across the selected prose registers	UNCHANGED	6	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
31	CHO_INPUT	LICENSED_LOCAL_CORE	EINGABE	input or condition card in the cross-register slot	MC034|MC136	5	only in the listed card constructions	UNCHANGED	5	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
32	O_WITHDRAW	LICENSED_LOCAL_CORE	ZURUECKNEHMEN	licensed only inside the ODY terminal card	MC100	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
33	OS_RECEIVER	LICENSED_LOCAL_CORE	AUFNAHME	receiving or enclosing work field	MC159	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
34	CH_POUR	LICENSED_LOCAL_CORE	ZUGIESSEN	pour the running medium into the active preparation	MC014	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
35	TCH_PREPARATION	LICENSED_LOCAL_CORE	BEREITUNG	name the active preparation inside an OL continuation frame	MC021	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
36	OYK_VESSEL	LICENSED_LOCAL_CORE	GEFAESS	name the vessel carrying the active batch	MC027	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
37	K_BINDER	LICENSED_LOCAL_CORE	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	MC047|MC136|MC148|MC170	4	only in the listed card constructions	UNCHANGED	4	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
38	YTY_PART	LICENSED_LOCAL_CORE	FOLGETEIL	name the selected additive or following part	MC062|MC069	2	only in the listed card constructions	UNCHANGED	2	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
39	SHFY_DURATION	LICENSED_LOCAL_CORE	STEHZEIT	turn the prescribed value into a standing duration	MC111	1	only in the listed card constructions	UNCHANGED	1	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
40	D_PREVIOUS	LICENSED_LOCAL_CORE	VORIGER	take the continuation from the previous working step	MC142	2	only in the listed card constructions	UNCHANGED	2	PROSE_SUPPORT_CARRIED_FORWARD	UNCHANGED
