event_id	page	record	statement_id	exact_card_id	surface	component_recipe	address_token	address_reading_de	working_reading_de	surface_transparency
E156	f81v	B1	B1-S017	PROC055	sal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E166	f81v	B1	B1-S021	PROC055	chal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E172	f82r	B2	B2-S004	PROC048	qokal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
E177	f82r	B2	B2-S005	PROC104	qokaly	OK+AL+Y	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE · DIES	TRANSPARENT
E186	f82r	B2	B2-S006	PROC048	qokal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
E191	f82r	B2	B2-S008	PROC113	qokar	OK+AR	AR	QUELLE	ANSETZEN · QUELLE	TRANSPARENT
E199	f82r	B2	B2-S011	PROC003	char	AR	AR	QUELLE	QUELLE	TRANSPARENT
E211	f82r	B2	B2-S014	PROC121	lar	L+AR	AR	QUELLE	LEITEN · QUELLE	TRANSPARENT
E214	f82r	B2	B2-S016	PROC055	cheal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E215	f82r	B2	B2-S016	PROC123	lchedar	L+CHD+AR	AR	QUELLE	LEITEN · UMSETZEN · QUELLE	TRANSPARENT
E222	f82r	B2	B2-S017	PROC126	rsheal	R+SH+E+AL	AL	ZIELSTELLE	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	TRANSPARENT
E223	f82r	B2	B2-S017	PROC127	daldy	AL+DY	AL	ZIELSTELLE	ZIELSTELLE · SCHLUSS	TRANSPARENT
E230	f83r	B3	B3-S002	PROC131	qotal	OT+AL	AL	ZIELSTELLE	DANACH · ZIELSTELLE	TRANSPARENT
E237	f83r	B3	B3-S004	PROC131	qotal	OT+AL	AL	ZIELSTELLE	DANACH · ZIELSTELLE	TRANSPARENT
E238	f83r	B3	B3-S004	PROC003	dar	AR	AR	QUELLE	QUELLE	TRANSPARENT
E241	f83r	B3	B3-S006	PROC048	qokal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
E248	f83r	B3	B3-S010	PROC134	pchedal	P+CHD+AL	AL	ZIELSTELLE	FUELLEN · UMSETZEN · ZIELSTELLE	TRANSPARENT
E253	f83r	B3	B3-S011	PROC137	chary	AR+Y	AR	QUELLE	QUELLE · DIES	TRANSPARENT
E268	f83r	B3	B3-S020	PROC055	dal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E272	f83r	B3	B3-S021	PROC055	dal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E275	f83r	B3	B3-S021	PROC142	shedal	SHED+AL	AL	ZIELSTELLE	ABSETZEN · ZIELSTELLE	TRANSPARENT
E278	f83r	B3	B3-S021	PROC055	tal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E280	f83r	B3	B3-S021	PROC144	dalchdy	AL+CHD+DY	AL	ZIELSTELLE	ZIELSTELLE · UMSETZEN · SCHLUSS	TRANSPARENT
E285	f83r	B3	B3-S026	PROC146	cheedar	EE+AR	AR	QUELLE	LANG · QUELLE	TRANSPARENT
E290	f83r	B3	B3-S026	PROC148	chealror	AL+R+OR	AL	ZIELSTELLE	ZIELSTELLE · KUEHLEN · ANSATZ	TRANSPARENT
E313	f83r	B3	B3-S034	PROC153	olsaly	OL+AL+Y	AL	ZIELSTELLE	WEITER · ZIELSTELLE · DIES	TRANSPARENT
E320	f83r	B4	B4-S003	PROC131	otal	OT+AL	AL	ZIELSTELLE	DANACH · ZIELSTELLE	TRANSPARENT
E355	f83r	B4	B4-S015	PROC163	chckhal	CH+CKH+AL	AL	ZIELSTELLE	ENTNEHMEN · DURCHLASS · ZIELSTELLE	TRANSPARENT
E359	f83r	B4	B4-S016	PROC055	dal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E360	f83r	B4	B4-S016	PROC165	skar	K+AR	AR	QUELLE	ZUGEBEN · QUELLE	TRANSPARENT
E364	f83r	B5	B5-S003	PROC142	shedal	SHED+AL	AL	ZIELSTELLE	ABSETZEN · ZIELSTELLE	TRANSPARENT
E365	f83r	B5	B5-S003	PROC055	dal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E368	f83r	B5	B5-S003	PROC168	chdal	CHD+AL	AL	ZIELSTELLE	UMSETZEN · ZIELSTELLE	TRANSPARENT
E375	f83r	B6	B6-S001	PROC172	raly	R+AL+Y	AL	ZIELSTELLE	KUEHLEN · ZIELSTELLE · DIES	TRANSPARENT
E381	f83r	B6	B6-S001	PROC173	ldalor	L+AL+OR	AL	ZIELSTELLE	LEITEN · ZIELSTELLE · ANSATZ	TRANSPARENT
