copybook_no	cell_id	intended_atom_sequence	intended_instruction_de	compiler_branch	written_sequence	master_catalog_cards_used	readback_de	meaning_relation	voynich_surface_invented
12	B01E12	OK+EE+CLOSE	ansetzen länger und dann schließen	OBSERVED_FUSED_CARD	qokeedy	NONE	ansetzen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
13	B02E01	OL+Y	fortsetzen am aktuellen Posten	OBSERVED_FUSED_CARD	qolchey	NONE	fortsetzen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
14	B02E02	OL+CLOSE	fortsetzen und den Schritt schließen	OBSERVED_FUSED_CARD	oldy	NONE	fortsetzen und den Schritt schließen	SAME_COMPOSITIONAL_READING	NO
15	B02E03	OL+AIIN	fortsetzen mit Sollwert	ANALYTIC_TWO_CARD_FORM	ol aiin	NONE	fortsetzen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
16	B02E04	OL+AIN	fortsetzen an einer Portion	OBSERVED_FUSED_CARD	olkain	NONE	fortsetzen an einer Portion	SAME_COMPOSITIONAL_READING	NO
17	B02E05	OL+IIN	fortsetzen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	ol oiin	NONE	fortsetzen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
18	B02E06	OL+AL	fortsetzen am Ziel	ANALYTIC_TWO_CARD_FORM	ol al	NONE	fortsetzen am Ziel	SAME_COMPOSITIONAL_READING	NO
19	B02E07	OL+AR	fortsetzen aus der Quelle	OBSERVED_FUSED_CARD	olar	NONE	fortsetzen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
20	B02E08	OL+AIR	fortsetzen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	ol air	NONE	fortsetzen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
21	B02E09	OL+E+Y	fortsetzen kurz am aktuellen Posten	CONTROLLED_PARAPHRASE	ol okey	NONE	fortsetzen und den aktuellen Posten kurz neu ansetzen	CONTROLLED_NEAR_PARAPHRASE	NO
22	B02E10	OL+EE+Y	fortsetzen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	ol oeesy	NONE	fortsetzen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
23	B02E11	OL+E+CLOSE	fortsetzen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	ol [M03]	M03	fortsetzen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
24	B02E12	OL+EE+CLOSE	fortsetzen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	ol [M04]	M04	fortsetzen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
25	B03E01	OT+Y	zum folgenden Posten gehen am aktuellen Posten	OBSERVED_FUSED_CARD	otchey	NONE	zum folgenden Posten gehen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
26	B03E02	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	CONTROLLED_PARAPHRASE	otchey qokedy	NONE	zum folgenden Posten gehen, kurz ansetzen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
27	B03E03	OT+AIIN	zum folgenden Posten gehen mit Sollwert	OBSERVED_FUSED_CARD	otaiin	NONE	zum folgenden Posten gehen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
28	B03E04	OT+AIN	zum folgenden Posten gehen an einer Portion	ANALYTIC_TWO_CARD_FORM	ot ain	NONE	zum folgenden Posten gehen an einer Portion	SAME_COMPOSITIONAL_READING	NO
29	B03E05	OT+IIN	zum folgenden Posten gehen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	ot oiin	NONE	zum folgenden Posten gehen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
30	B03E06	OT+AL	zum folgenden Posten gehen am Ziel	OBSERVED_FUSED_CARD	otal	NONE	zum folgenden Posten gehen am Ziel	SAME_COMPOSITIONAL_READING	NO
31	B03E07	OT+AR	zum folgenden Posten gehen aus der Quelle	OBSERVED_FUSED_CARD	otar	NONE	zum folgenden Posten gehen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
32	B03E08	OT+AIR	zum folgenden Posten gehen entlang des Laufs	OBSERVED_FUSED_CARD	qotair	NONE	zum folgenden Posten gehen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
33	B03E09	OT+E+Y	zum folgenden Posten gehen kurz am aktuellen Posten	CONTROLLED_PARAPHRASE	otchey okey	NONE	zum folgenden Posten gehen und ihn kurz ansetzen	CONTROLLED_NEAR_PARAPHRASE	NO
34	B03E10	OT+EE+Y	zum folgenden Posten gehen länger am aktuellen Posten	OBSERVED_FUSED_CARD	oteey	NONE	zum folgenden Posten gehen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
35	B03E11	OT+E+CLOSE	zum folgenden Posten gehen kurz und dann schließen	OBSERVED_FUSED_CARD	otedy	NONE	zum folgenden Posten gehen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
36	B03E12	OT+EE+CLOSE	zum folgenden Posten gehen länger und dann schließen	OBSERVED_FUSED_CARD	qoteedy	NONE	zum folgenden Posten gehen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
37	B04E01	CHD+Y	umsetzen am aktuellen Posten	OBSERVED_FUSED_CARD	chdy	NONE	umsetzen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
38	B04E02	CHD+CLOSE	umsetzen und den Schritt schließen	OBSERVED_FUSED_CARD	dchdy	NONE	umsetzen und den Schritt schließen	SAME_COMPOSITIONAL_READING	NO
39	B04E03	CHD+AIIN	umsetzen mit Sollwert	OBSERVED_FUSED_CARD	chedaiin	NONE	umsetzen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
40	B04E04	CHD+AIN	umsetzen an einer Portion	OBSERVED_FUSED_CARD	chedain	NONE	umsetzen an einer Portion	SAME_COMPOSITIONAL_READING	NO
41	B04E05	CHD+IIN	umsetzen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	chda oiin	NONE	umsetzen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
42	B04E06	CHD+AL	umsetzen am Ziel	OBSERVED_FUSED_CARD	chdal	NONE	umsetzen am Ziel	SAME_COMPOSITIONAL_READING	NO
43	B04E07	CHD+AR	umsetzen aus der Quelle	OBSERVED_FUSED_CARD	dchdar	NONE	umsetzen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
44	B04E08	CHD+AIR	umsetzen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	chda air	NONE	umsetzen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
45	B04E09	CHD+E+Y	umsetzen kurz am aktuellen Posten	CONTROLLED_PARAPHRASE	chdy okey	NONE	den aktuellen Posten umsetzen und kurz neu ansetzen	CONTROLLED_NEAR_PARAPHRASE	NO
46	B04E10	CHD+EE+Y	umsetzen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	chda oeesy	NONE	umsetzen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
47	B04E11	CHD+E+CLOSE	umsetzen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	chda [M03]	M03	umsetzen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
48	B04E12	CHD+EE+CLOSE	umsetzen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	chda [M04]	M04	umsetzen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
49	B05E01	CTH+Y	bereitstellen am aktuellen Posten	OBSERVED_FUSED_CARD	cthy	NONE	bereitstellen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
50	B05E03	CTH+AIIN	bereitstellen mit Sollwert	OBSERVED_FUSED_CARD	cthaiin	NONE	bereitstellen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
51	B05E04	CTH+AIN	bereitstellen an einer Portion	ANALYTIC_TWO_CARD_FORM	octhey ain	NONE	bereitstellen an einer Portion	SAME_COMPOSITIONAL_READING	NO
52	B05E05	CTH+IIN	bereitstellen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	octhey oiin	NONE	bereitstellen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
53	B05E06	CTH+AL	bereitstellen am Ziel	ANALYTIC_TWO_CARD_FORM	octhey al	NONE	bereitstellen am Ziel	SAME_COMPOSITIONAL_READING	NO
54	B05E07	CTH+AR	bereitstellen aus der Quelle	ANALYTIC_TWO_CARD_FORM	octhey ar	NONE	bereitstellen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
55	B05E08	CTH+AIR	bereitstellen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	octhey air	NONE	bereitstellen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
56	B05E09	CTH+E+Y	bereitstellen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	qcthey	NONE	bereitstellen kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
57	B05E10	CTH+EE+Y	bereitstellen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	octhey oeesy	NONE	bereitstellen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
58	B05E11	CTH+E+CLOSE	bereitstellen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	octhey [M03]	M03	bereitstellen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
59	B05E12	CTH+EE+CLOSE	bereitstellen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	octhey [M04]	M04	bereitstellen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
60	B06E01	CKH+Y	durchführen am aktuellen Posten	OBSERVED_FUSED_CARD	chckhy	NONE	durchführen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
61	B06E03	CKH+AIIN	durchführen mit Sollwert	ANALYTIC_TWO_CARD_FORM	ockhy aiin	NONE	durchführen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
62	B06E04	CKH+AIN	durchführen an einer Portion	ANALYTIC_TWO_CARD_FORM	ockhy ain	NONE	durchführen an einer Portion	SAME_COMPOSITIONAL_READING	NO
63	B06E05	CKH+IIN	durchführen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	ockhy oiin	NONE	durchführen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
64	B06E06	CKH+AL	durchführen am Ziel	OBSERVED_FUSED_CARD	chckhal	NONE	durchführen am Ziel	SAME_COMPOSITIONAL_READING	NO
65	B06E07	CKH+AR	durchführen aus der Quelle	ANALYTIC_TWO_CARD_FORM	ockhy ar	NONE	durchführen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
66	B06E08	CKH+AIR	durchführen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	ockhy air	NONE	durchführen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
67	B06E09	CKH+E+Y	durchführen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	sheckhy	NONE	durchführen kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
68	B06E10	CKH+EE+Y	durchführen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	ockhy oeesy	NONE	durchführen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
69	B06E11	CKH+E+CLOSE	durchführen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	ockhy [M03]	M03	durchführen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
70	B06E12	CKH+EE+CLOSE	durchführen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	ockhy [M04]	M04	durchführen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
71	B07E01	CKHE+Y	trennen am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	[M02] y	M02	trennen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
72	B07E02	CKHE+CLOSE	trennen und den Schritt schließen	OBSERVED_FUSED_CARD	shckhedy	NONE	trennen und den Schritt schließen	SAME_COMPOSITIONAL_READING	NO
73	B07E03	CKHE+AIIN	trennen mit Sollwert	ANALYTIC_TWO_CARD_FORM	[M02] aiin	M02	trennen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
74	B07E04	CKHE+AIN	trennen an einer Portion	ANALYTIC_TWO_CARD_FORM	[M02] ain	M02	trennen an einer Portion	SAME_COMPOSITIONAL_READING	NO
75	B07E05	CKHE+IIN	trennen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	[M02] oiin	M02	trennen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
76	B07E06	CKHE+AL	trennen am Ziel	ANALYTIC_TWO_CARD_FORM	[M02] al	M02	trennen am Ziel	SAME_COMPOSITIONAL_READING	NO
77	B07E07	CKHE+AR	trennen aus der Quelle	OBSERVED_FUSED_CARD	eckhear	NONE	trennen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
78	B07E08	CKHE+AIR	trennen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	[M02] air	M02	trennen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
79	B07E10	CKHE+EE+Y	trennen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	[M02] oeesy	M02	trennen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
80	B07E11	CKHE+E+CLOSE	trennen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	[M02] [M03]	M02|M03	trennen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
81	B07E12	CKHE+EE+CLOSE	trennen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	[M02] [M04]	M02|M04	trennen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
82	B08E01	CHK+Y	wärmen am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	[M01] y	M01	wärmen am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
83	B08E03	CHK+AIIN	wärmen mit Sollwert	ANALYTIC_TWO_CARD_FORM	[M01] aiin	M01	wärmen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
84	B08E04	CHK+AIN	wärmen an einer Portion	ANALYTIC_TWO_CARD_FORM	[M01] ain	M01	wärmen an einer Portion	SAME_COMPOSITIONAL_READING	NO
85	B08E05	CHK+IIN	wärmen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	[M01] oiin	M01	wärmen bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
86	B08E06	CHK+AL	wärmen am Ziel	ANALYTIC_TWO_CARD_FORM	[M01] al	M01	wärmen am Ziel	SAME_COMPOSITIONAL_READING	NO
87	B08E07	CHK+AR	wärmen aus der Quelle	ANALYTIC_TWO_CARD_FORM	[M01] ar	M01	wärmen aus der Quelle	SAME_COMPOSITIONAL_READING	NO
88	B08E08	CHK+AIR	wärmen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	[M01] air	M01	wärmen entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
89	B08E09	CHK+E+Y	wärmen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	cheky	NONE	wärmen kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
90	B08E10	CHK+EE+Y	wärmen länger am aktuellen Posten	OBSERVED_FUSED_CARD	cheeky	NONE	wärmen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
91	B08E11	CHK+E+CLOSE	wärmen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	[M01] [M03]	M01|M03	wärmen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
92	B08E12	CHK+EE+CLOSE	wärmen länger und dann schließen	OBSERVED_FUSED_CARD	chkeedy	NONE	wärmen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
93	B09E01	SHED+Y	absetzen lassen am aktuellen Posten	CONTROLLED_PARAPHRASE	y tedy	NONE	den aktuellen Posten kurz absetzen lassen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
94	B09E03	SHED+AIIN	absetzen lassen mit Sollwert	OBSERVED_FUSED_CARD	chldaiin	NONE	absetzen lassen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
95	B09E06	SHED+AL	absetzen lassen am Ziel	OBSERVED_FUSED_CARD	shedal	NONE	absetzen lassen am Ziel	SAME_COMPOSITIONAL_READING	NO
96	B09E07	SHED+AR	absetzen lassen aus der Quelle	CONTROLLED_PARAPHRASE	ar tedy	NONE	aus der Quelle nehmen, kurz absetzen lassen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
97	B09E09	SHED+E+Y	absetzen lassen kurz am aktuellen Posten	CONTROLLED_PARAPHRASE	y tedy	NONE	den aktuellen Posten kurz absetzen lassen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
98	B09E10	SHED+EE+Y	absetzen lassen länger am aktuellen Posten	CONTROLLED_PARAPHRASE	y sheedy	NONE	den aktuellen Posten länger absetzen lassen und schließen	CONTROLLED_NEAR_PARAPHRASE	NO
99	B09E11	SHED+E+CLOSE	absetzen lassen kurz und dann schließen	OBSERVED_FUSED_CARD	tedy	NONE	absetzen lassen kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
100	B09E12	SHED+EE+CLOSE	absetzen lassen länger und dann schließen	OBSERVED_FUSED_CARD	sheedy	NONE	absetzen lassen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
101	B10E01	SOLK+Y	auffangen am aktuellen Posten	CONTROLLED_PARAPHRASE	solkey	NONE	den aktuellen Posten kurz auffangen	CONTROLLED_NEAR_PARAPHRASE	NO
102	B10E03	SOLK+AIIN	auffangen mit Sollwert	OBSERVED_FUSED_CARD	solkaiin	NONE	auffangen mit Sollwert	SAME_COMPOSITIONAL_READING	NO
103	B10E06	SOLK+AL	auffangen am Ziel	CONTROLLED_PARAPHRASE	al solkey	NONE	am Ziel kurz auffangen	CONTROLLED_NEAR_PARAPHRASE	NO
104	B10E07	SOLK+AR	auffangen aus der Quelle	CONTROLLED_PARAPHRASE	ar solkey	NONE	aus der Quelle kurz auffangen	CONTROLLED_NEAR_PARAPHRASE	NO
105	B10E09	SOLK+E+Y	auffangen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	solkey	NONE	auffangen kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
106	B10E10	SOLK+EE+Y	auffangen länger am aktuellen Posten	OBSERVED_FUSED_CARD	solkeey	NONE	auffangen länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
107	B10E12	SOLK+EE+CLOSE	auffangen länger und dann schließen	OBSERVED_FUSED_CARD	olkeedy	NONE	auffangen länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
108	B11E01	KCH+Y	bearbeiten am aktuellen Posten	OBSERVED_FUSED_CARD	kchy	NONE	bearbeiten am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
109	B11E03	KCH+AIIN	bearbeiten mit Sollwert	ANALYTIC_TWO_CARD_FORM	kchy aiin	NONE	bearbeiten mit Sollwert	SAME_COMPOSITIONAL_READING	NO
110	B11E04	KCH+AIN	bearbeiten an einer Portion	ANALYTIC_TWO_CARD_FORM	kchy ain	NONE	bearbeiten an einer Portion	SAME_COMPOSITIONAL_READING	NO
111	B11E05	KCH+IIN	bearbeiten bis zur Stufe	ANALYTIC_TWO_CARD_FORM	kchy oiin	NONE	bearbeiten bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
112	B11E06	KCH+AL	bearbeiten am Ziel	OBSERVED_FUSED_CARD	kchal	NONE	bearbeiten am Ziel	SAME_COMPOSITIONAL_READING	NO
113	B11E07	KCH+AR	bearbeiten aus der Quelle	OBSERVED_FUSED_CARD	chkchdar	NONE	bearbeiten aus der Quelle	SAME_COMPOSITIONAL_READING	NO
114	B11E08	KCH+AIR	bearbeiten entlang des Laufs	ANALYTIC_TWO_CARD_FORM	kchy air	NONE	bearbeiten entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
115	B11E09	KCH+E+Y	bearbeiten kurz am aktuellen Posten	OBSERVED_FUSED_CARD	kchey	NONE	bearbeiten kurz am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
116	B11E10	KCH+EE+Y	bearbeiten länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	kchy oeesy	NONE	bearbeiten länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
117	B11E11	KCH+E+CLOSE	bearbeiten kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	kchy [M03]	M03	bearbeiten kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
118	B11E12	KCH+EE+CLOSE	bearbeiten länger und dann schließen	ANALYTIC_TWO_CARD_FORM	kchy [M04]	M04	bearbeiten länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
119	B12E01	SH+Y	halten am aktuellen Posten	OBSERVED_FUSED_CARD	lkshy	NONE	halten am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
120	B12E03	SH+AIIN	halten mit Sollwert	OBSERVED_FUSED_CARD	shfydaiin	NONE	halten mit Sollwert	SAME_COMPOSITIONAL_READING	NO
121	B12E04	SH+AIN	halten an einer Portion	ANALYTIC_TWO_CARD_FORM	sh ain	NONE	halten an einer Portion	SAME_COMPOSITIONAL_READING	NO
122	B12E05	SH+IIN	halten bis zur Stufe	ANALYTIC_TWO_CARD_FORM	sh oiin	NONE	halten bis zur Stufe	SAME_COMPOSITIONAL_READING	NO
123	B12E06	SH+AL	halten am Ziel	ANALYTIC_TWO_CARD_FORM	sh al	NONE	halten am Ziel	SAME_COMPOSITIONAL_READING	NO
124	B12E07	SH+AR	halten aus der Quelle	ANALYTIC_TWO_CARD_FORM	sh ar	NONE	halten aus der Quelle	SAME_COMPOSITIONAL_READING	NO
125	B12E08	SH+AIR	halten entlang des Laufs	ANALYTIC_TWO_CARD_FORM	sh air	NONE	halten entlang des Laufs	SAME_COMPOSITIONAL_READING	NO
126	B12E10	SH+EE+Y	halten länger am aktuellen Posten	OBSERVED_FUSED_CARD	sheey	NONE	halten länger am aktuellen Posten	SAME_COMPOSITIONAL_READING	NO
127	B12E11	SH+E+CLOSE	halten kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	sh [M03]	M03	halten kurz und dann schließen	SAME_COMPOSITIONAL_READING	NO
128	B12E12	SH+EE+CLOSE	halten länger und dann schließen	ANALYTIC_TWO_CARD_FORM	sh [M04]	M04	halten länger und dann schließen	SAME_COMPOSITIONAL_READING	NO
