assumption_id	record_unit_id	layer	assumption	historical_or_visual_basis	strongest_contradiction	disposition	card_licensed	event_interlinear_use_count	semantic_contract
A013	ALL	EXEMPLAR	Mischen, Verbinden, Nachfüllen und Übergeben als reale Stoffbewegung	formale Verknüpfungs-/Ablaufstruktur	Formalprompt liefert kein physisches Verb	KEEP_TAGGED	NO	59	NEVER_PROMOTE_TO_V60_CARD_MEANING
A014	ALL	EXEMPLAR	örtliche Station, Ziel oder nummerierte Öffnung	ZIEL? und Seitenapparatur	Karte identifiziert keinen Weltgegenstand	KEEP_TAGGED	NO	49	NEVER_PROMOTE_TO_V60_CARD_MEANING
A015	B1|B2|B3|B4	GENRE	Bad, äußere Waschung, Lavage oder Auflage als Gebrauchsmodus	historische Bad-, Trotula- und Wundpraxis	ANWENDEN? nennt keinen Modus oder Körperort	KEEP_TAGGED	NO	52	NEVER_PROMOTE_TO_V60_CARD_MEANING
A016	B2	HISTORICAL_RISK	enge gynäkologische Diagnose	Trotula als Vergleich	Kein Karten- oder lokaler Bildanker nennt Gebärmutter, Menstruation oder Geburt	WITHDRAW	NO	0	NEVER_PROMOTE_TO_V60_CARD_MEANING
A017	B2|B3	HISTORICAL_RISK	innere Irrigation einer Körperhöhle	Albucasis als Technikvergleich	Kein kleines Instrument oder sichere Körperöffnung ist gebunden	WITHDRAW_AS_DEFAULT	NO	0	NEVER_PROMOTE_TO_V60_CARD_MEANING
A018	B2|B3	EXEMPLAR_GRAPH	zweiter oder wiederholter Bade-/Waschzyklus	Recordlänge und wiederkehrende Schlussaktionen	Wiederholung kann parallele Zelle statt Schleife sein	KEEP_TAGGED	NO	0	NEVER_PROMOTE_TO_V60_CARD_MEANING
A019	ALL	HISTORICAL_RISK	jede Figur oder Apparaturform besitzt das nächststehende Feld	kein ausreichender Befund	V54 dokumentiert überwiegend nur Nähe und gemischte Besitzer	WITHDRAW	NO	0	NEVER_PROMOTE_TO_V60_CARD_MEANING
A020	B1	LOCAL_EXEMPLAR	Badeflotte und Beckenbeschickung	B1-Prozesswette	Wasserwerksgang ebenso möglich	KEEP_LOW_MEDIUM	NO	66	NEVER_PROMOTE_TO_V60_CARD_MEANING
A021	B2	LOCAL_EXEMPLAR	Teil-/Sitzbad und örtliche Waschung	Figuren-/Zonenbild plus Trotula	keine Diagnose oder anatomische Öffnung	KEEP_LOW_MEDIUM	NO	62	NEVER_PROMOTE_TO_V60_CARD_MEANING
A022	B3	LOCAL_EXEMPLAR	äußere Lavage und Badezyklus	lange Spül-/Ablassfolge	menschenfreie Auslasslabels	KEEP_LOW_MEDIUM	NO	86	NEVER_PROMOTE_TO_V60_CARD_MEANING
A023	B4	LOCAL_EXEMPLAR	äußere Haut-/Wundwäsche und Tuchauflage	Trotula/Theodoric als Quellenmechanismus	Körperstelle und Wunde vollständig gattungsgestützt	KEEP_LOW	NO	47	NEVER_PROMOTE_TO_V60_CARD_MEANING
A024	B5	LOCAL_EXEMPLAR	Wärme- und Übergabenachtrag	kurzer Record und Apparatur	kein medizinischer Empfänger	KEEP_TECHNICAL	NO	11	NEVER_PROMOTE_TO_V60_CARD_MEANING
A025	B6	LOCAL_EXEMPLAR	kalter Filter- und Zielübergabenachtrag	offener kurzer Record	ungekocht, Tuch und Ziel sind exemplarisch	KEEP_TECHNICAL	NO	9	NEVER_PROMOTE_TO_V60_CARD_MEANING
A026	ALL	RIVAL	Badehaus-/Wasserwerksbetrieb ohne medizinische Semantik	historische Hydraulik und Badstube	Figuren und medizinische Sammelgattung bleiben Gegenbeleg	RIVAL_ACTIVE	NO	0	NEVER_PROMOTE_TO_V60_CARD_MEANING
