target_occurrence_ordinal	surface	occurrence_id	occurrence_kind	mask_partition	source_selector	physical_page	locus	register	topology_family	section	language	hand	token_ordinal_in_line	token_count_in_line	physical_line_role	normalized_line_position	source_flag_paragraph_run_id	line_ordinal_in_source_flag_run	line_count_in_source_flag_run	source_paragraph_start_line	source_paragraph_end_line	left_complete_whole	right_complete_whole	left_state_card	right_state_card	adjacent_state_card_count	legacy_owner	panel_id	record_id	record_token_ordinal	record_token_count	physical_record_role	record_local_fragment_id	record_local_fragment_token_ordinal	record_local_fragment_token_count	record_local_fragment_role	component_id	deep_visible_owner_class	deep_visible_attachment	parser_statement_role	parser_statement_ordinal	parser_statement_event_count	parser_statement_first	parser_statement_final	parser_final_context_recipe	parser_state_status	it2a_line_token_count	it2a_exact_token_lcs_length	it2a_target_alignment_status	it2a_aligned_token_ordinal	rf1b_line_token_count	rf1b_exact_token_lcs_length	rf1b_target_alignment_status	rf1b_aligned_token_ordinal	all_three_unique_forced_exact_alignment	reader_alignment_method	reader_diagnostic_credit	primary_evidence_channel	parser_channel_credit	component_export_credit
11	olaiin	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2203	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f70v1	f70v	f70v1.12	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	7	23	LINE_INTERNAL	0.272727	f70v1:P1	12	17	NO	NO	shol	saiin	NA	NA	NA	Widderrad mit Stern tragenden Figuren	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	21	UNIQUE_FORCED_EXACT	7	22	16	UNIQUE_FORCED_EXACT	8	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
12	okal	G407-E1130	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f71v	f71v	f71v.18	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	5	11	LINE_INTERNAL	0.400000	f71v:P1	18	18	NO	NO	chkeeal	cheekaiin	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	dritte lokale Ringgruppe	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	5	11	NO	NO	OK+AL	NONSTATE_CARD	11	11	UNIQUE_FORCED_EXACT	5	11	11	UNIQUE_FORCED_EXACT	5	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
13	okal	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0238	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f72r2	f72r	f72r2.9	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	1	1	LINE_SINGLETON	0.000000	f72r2:P1	9	32	NO	NO	EDGE	EDGE	NA	NA	NA	lokale Kennung für Tierkreis-Ringgruppe D	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	UNIQUE_FORCED_EXACT	1	1	1	UNIQUE_FORCED_EXACT	1	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
14	okal	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0240	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f72r2	f72r	f72r2.11	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	1	1	LINE_SINGLETON	0.000000	f72r2:P1	11	32	NO	NO	EDGE	EDGE	NA	NA	NA	lokale Kennung für Tierkreis-Ringgruppe D	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	UNIQUE_FORCED_EXACT	1	1	1	UNIQUE_FORCED_EXACT	1	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
15	okal	G407-E1278	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f72r2	f72r	f72r2.22	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	19	26	LINE_INTERNAL	0.720000	f72r2:P1	22	32	NO	NO	eteeey	shey	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	Tierkreis-Ringgruppe E	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	2	4	NO	NO	OK+AL	NONSTATE_CARD	25	19	UNIQUE_FORCED_EXACT	18	28	21	UNIQUE_FORCED_EXACT	21	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
16	olaiin	G407-E1299	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f72r2	f72r	f72r2.32	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	14	15	LINE_INTERNAL	0.928571	f72r2:P1	32	32	NO	NO	okaiin	y	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	Tierkreis-Ringgruppe F	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	14	15	NO	NO	OL+AIIN	STATE_CARD	16	11	NO_EXACT_ALIGNMENT	NA	15	11	UNIQUE_FORCED_EXACT	14	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
17	olaiin	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0422	LOCAL_ADDRESS_OR_LABEL	OUTSIDE_27_PAGE_TRAIN	f72r3	f72r	f72r3.24	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	1	2	LINE_INITIAL	0.000000	f72r3:P1	24	34	NO	NO	EDGE	olay	NA	NA	NA	lokale Kennung für Tierkreis-Ringgruppe H	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NO_EXACT_ALIGNMENT	NA	2	2	UNIQUE_FORCED_EXACT	1	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
18	olaiin	G407-E1402	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f72r3	f72r	f72r3.26	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	14	27	LINE_INTERNAL	0.500000	f72r3:P1	26	34	NO	NO	am	otedar	NONSTATE_OR_EDGE	STATE	1	Tierkreis-Ringgruppe I	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	11	21	NO	NO	OL+AIIN	STATE_CARD	27	22	UNIQUE_FORCED_EXACT	14	26	16	UNIQUE_FORCED_EXACT	11	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
19	olaiin	G407-E1418	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f72r3	f72r	f72r3.34	CELESTIAL	RADIAL_ARRAY	Z	UNMARKED	4	3	9	LINE_INTERNAL	0.250000	f72r3:P1	34	34	NO	NO	aiin	oraiin	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	Tierkreis-Ringgruppe J	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	3	9	NO	NO	OL+AIIN	STATE_CARD	10	8	UNIQUE_FORCED_EXACT	3	10	8	UNIQUE_FORCED_EXACT	3	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
20	okal	G407-E1733	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f75r	f75r	f75r.34	BIOLOGICAL	POOL_APPARATUS_NETWORK	B	B	2	3	10	LINE_INTERNAL	0.222222	f75r:P3	3	15	NO	NO	olkedy	dar	STATE	NONSTATE_OR_EDGE	1	großes Bad-/Stationsblatt mit dreieckiger Insel	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_FIRST	1	8	YES	NO	OK+AL	NONSTATE_CARD	9	6	UNIQUE_FORCED_EXACT	2	11	8	UNIQUE_FORCED_EXACT	4	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
21	otedy	G407-E1806	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f75r	f75r	f75r.44	BIOLOGICAL	POOL_APPARATUS_NETWORK	B	B	2	5	12	LINE_INTERNAL	0.363636	f75r:P3	13	15	NO	NO	qokedy	okoldy	STATE	STATE	2	großes Bad-/Stationsblatt mit dreieckiger Insel	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_SINGLETON	1	1	YES	YES	OT+E+DY	STATE_CARD	11	10	UNIQUE_FORCED_EXACT	5	15	9	NO_EXACT_ALIGNMENT	NA	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
22	olaiin	G407-E1810	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f75r	f75r	f75r.44	BIOLOGICAL	POOL_APPARATUS_NETWORK	B	B	2	9	12	LINE_INTERNAL	0.727273	f75r:P3	13	15	NO	NO	otam	ch	STATE	NONSTATE_OR_EDGE	1	großes Bad-/Stationsblatt mit dreieckiger Insel	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	3	7	NO	NO	OL+AIIN	STATE_CARD	11	10	UNIQUE_FORCED_EXACT	9	15	9	UNIQUE_FORCED_EXACT	12	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
23	otedy	G407-E1820	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f75r	f75r	f75r.45	BIOLOGICAL	POOL_APPARATUS_NETWORK	B	B	2	7	10	LINE_INTERNAL	0.666667	f75r:P3	14	15	NO	NO	oty	qotedy	STATE	STATE	2	großes Bad-/Stationsblatt mit dreieckiger Insel	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_FINAL	3	3	NO	YES	OT+E+DY	STATE_CARD	10	9	UNIQUE_FORCED_EXACT	7	12	8	UNIQUE_FORCED_EXACT	8	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
24	otedy	G407-E1822	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f75r	f75r	f75r.45	BIOLOGICAL	POOL_APPARATUS_NETWORK	B	B	2	9	10	LINE_INTERNAL	0.888889	f75r:P3	14	15	NO	NO	qotedy	okaiin	STATE	NONSTATE_OR_EDGE	1	großes Bad-/Stationsblatt mit dreieckiger Insel	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_SINGLETON	1	1	YES	YES	OT+E+DY	STATE_CARD	10	9	UNIQUE_FORCED_EXACT	9	12	8	UNIQUE_FORCED_EXACT	11	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
25	otedy	G407-E1864	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f76r	f76r	f76r.3	BIOLOGICAL	TEXT_BLOCK	T	B	2	8	13	LINE_INTERNAL	0.583333	f76r:P1	3	38	NO	NO	qotedy	shol	STATE	STATE	2	unbebilderter Textabschnitt A0	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_SINGLETON	1	1	YES	YES	OT+E+DY	STATE_CARD	13	13	UNIQUE_FORCED_EXACT	8	14	12	UNIQUE_FORCED_EXACT	8	YES	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
26	okal	G407-E1953	RUNNING_EVENT	OUTSIDE_27_PAGE_TRAIN	f76r	f76r	f76r.13	BIOLOGICAL	TEXT_BLOCK	T	B	2	4	13	LINE_INTERNAL	0.250000	f76r:P1	13	38	NO	NO	chckhey	okaiin	NONSTATE_OR_EDGE	NONSTATE_OR_EDGE	0	unbebilderter Textabschnitt A3	NONE	NONE	NA	NA	NA	NA	NA	NA	NA	NONE	NA	NA	STATEMENT_INTERNAL	3	6	NO	NO	OK+AL	NONSTATE_CARD	12	10	NO_EXACT_ALIGNMENT	NA	12	11	UNIQUE_FORCED_EXACT	4	NO	ALL_MAXIMUM_SAME_LINE_EXACT_TOKEN_LCS__UNIQUE_FORCED_REFERENCE_OCCURRENCE	SAME_MANUSCRIPT_ALTERNATE_READING_ONLY	PHYSICAL_AND_VISIBLE_OWNER__TARGET_GLOSS_MASKED	ZERO_INDEPENDENT_SEMANTIC_CREDIT__CIRCULARITY_CONTROL	ZERO
