target_surface	metric	evidence_channel	control_deck	target_outside_rate	control_min_rate	control_median_rate	control_max_rate	strictly_beaten_controls	tied_controls	higher_controls	seven_of_eight_control_gate	held_deep_rate	held_matches_or_exceeds_60_percent	semantic_credit
otchdy	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	LANGUAGE_FREQUENCY	0.000000	0.000000	0.000000	0.500000	0	5	3	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otchdy	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	PARSER_SHAPE	0.000000	0.000000	0.250000	0.500000	0	4	4	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otchdy	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	LANGUAGE_FREQUENCY	0.000000	0.000000	0.000000	0.000000	0	8	0	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
otchdy	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	PARSER_SHAPE	0.000000	0.000000	0.000000	0.000000	0	8	0	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
olaiin	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	LANGUAGE_FREQUENCY	1.000000	0.416667	0.742425	1.000000	6	2	0	FAIL	0.000000	NO	PRIMARY_ROLE_ONLY
olaiin	PHYSICAL_LINE_INTERNAL	PRIMARY_PHYSICAL	PARSER_SHAPE	1.000000	0.600000	0.850267	1.000000	6	2	0	FAIL	0.000000	NO	PRIMARY_ROLE_ONLY
olaiin	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	LANGUAGE_FREQUENCY	0.100000	0.000000	0.087121	0.166667	5	0	3	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
olaiin	EMBEDDED_STATEMENT_FIRST	MIXED_PHYSICAL_PLUS_PARSER	PARSER_SHAPE	0.100000	0.000000	0.087121	0.166667	6	0	2	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
olaiin	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	LANGUAGE_FREQUENCY	0.100000	0.000000	0.052140	0.428571	6	0	2	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
olaiin	BOTH_ADJACENT_STATE_CARDS	PARSER_COUPLED_NEIGHBOR_STATE	PARSER_SHAPE	0.100000	0.000000	0.125000	0.428571	4	0	4	FAIL	0.000000	NO	ZERO_INDEPENDENT__CIRCULARITY_DIAGNOSTIC
