target_surface	comparison_surface	comparison_kind	surface_length	running_count	running_page_count	outside_running_count	outside_running_page_count	held_running_count	outside_line_initial_count	outside_line_internal_count	outside_line_final_count	outside_line_internal_rate	held_line_initial_count	held_line_internal_count	held_line_final_count	local_count	local_page_count	local_topology_count	singleton_local_count	singleton_local_page_count	singleton_local_topology_count	outside_local_count	outside_local_page_count	outside_local_topology_count	outside_singleton_local_count	outside_singleton_local_page_count	outside_singleton_local_topology_count	held_local_count	held_singleton_local_count	outside_language_distribution	outside_hand_distribution	outside_register_distribution	outside_state_status_distribution	outside_parser_statement_first_count	outside_parser_statement_final_count	outside_parser_singleton_count	outside_embedded_statement_first_count	outside_embedded_statement_first_rate	outside_adjacent_state_any_count	outside_adjacent_state_both_count	outside_adjacent_state_both_rate	all_parser_statement_final_count	all_parser_statement_final_rate	all_physical_line_final_count	all_physical_line_final_rate	component_export_credit	cross_scope_rank	target_flag	outside_train_eligible	outside_train_cross_scope_rank	outside_train_multichar_rank
air	air	UNIVERSAL_3_TO_25_RUNNING	3	5	3	5	3	0	0	5	0	1.000000	0	0	0	4	4	2	1	1	1	4	4	2	1	1	1	0	0	A:1|UNMARKED:4	1:1|4:4	CELESTIAL:4|PHARMA:1	NONSTATE_CARD:5	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	11	NO	YES	9	5
okaiin	okaiin	UNIVERSAL_3_TO_25_RUNNING	6	25	15	22	14	3	1	18	3	0.818182	0	3	0	3	3	2	1	1	1	3	3	2	1	1	1	0	0	A:6|B:11|UNMARKED:5	1:6|2:8|3:2|4:5|5:1	BIOLOGICAL:6|CELESTIAL:5|HERBAL:8|PHARMA:1|SOURCE_SECTION_T:2	NONSTATE_CARD:22	2	1	0	2	0.090909	12	1	0.045455	1	0.040000	3	0.120000	ZERO	12	NO	YES	10	6
olaiin	olaiin	UNIVERSAL_3_TO_25_RUNNING	6	11	8	10	7	1	0	10	0	1.000000	1	0	0	3	3	2	1	1	1	2	2	1	0	0	0	1	1	A:2|B:5|UNMARKED:3	1:2|2:4|3:1|4:3	BIOLOGICAL:4|CELESTIAL:3|HERBAL:2|PHARMA:1	STATE_CARD:10	1	0	0	1	0.100000	4	1	0.100000	0	0.000000	0	0.000000	ZERO	13	YES	YES	36	31
cheody	cheody	UNIVERSAL_3_TO_25_RUNNING	6	13	5	13	5	0	0	12	1	0.923077	0	0	0	4	3	2	1	1	1	4	3	2	1	1	1	0	0	A:11|B:2	1:11|2:1|5:1	HERBAL:1|PHARMA:11|SOURCE_SECTION_T:1	NONSTATE_CARD:13	0	0	0	0	0.000000	7	1	0.076923	0	0.000000	1	0.076923	ZERO	14	NO	YES	11	7
otor	otor	UNIVERSAL_3_TO_25_RUNNING	4	6	5	4	4	2	0	4	0	1.000000	0	2	0	3	3	2	1	1	1	3	3	2	1	1	1	0	0	A:2|UNMARKED:2	1:2|4:2	CELESTIAL:2|HERBAL:2	STATE_CARD:4	0	0	0	0	0.000000	4	1	0.250000	0	0.000000	0	0.000000	ZERO	15	NO	YES	12	8
otaiin	otaiin	UNIVERSAL_3_TO_25_RUNNING	6	9	3	7	2	2	0	7	0	1.000000	0	2	0	5	3	1	1	1	1	5	3	1	1	1	1	0	0	UNMARKED:7	4:7	CELESTIAL:7	STATE_CARD:7	0	0	0	0	0.000000	4	1	0.142857	0	0.000000	0	0.000000	ZERO	16	NO	YES	13	9
saiin	saiin	UNIVERSAL_3_TO_25_RUNNING	5	21	11	15	9	6	5	9	1	0.600000	4	1	1	2	2	2	1	1	1	2	2	2	1	1	1	0	0	A:6|B:7|UNMARKED:2	1:6|2:7|4:2	BIOLOGICAL:6|CELESTIAL:2|HERBAL:1|PHARMA:6	NONSTATE_CARD:15	2	0	0	1	0.066667	6	0	0.000000	0	0.000000	2	0.095238	ZERO	17	NO	YES	14	10
okain	okain	UNIVERSAL_3_TO_25_RUNNING	5	19	8	16	6	3	0	14	2	0.875000	1	2	0	2	2	2	1	1	1	2	2	2	1	1	1	0	0	A:2|B:14	1:2|2:11|3:3	BIOLOGICAL:11|HERBAL:4|SOURCE_SECTION_T:1	NONSTATE_CARD:16	1	1	0	1	0.062500	5	0	0.000000	1	0.052632	2	0.105263	ZERO	18	NO	YES	16	12
oty	oty	UNIVERSAL_3_TO_25_RUNNING	3	11	7	11	7	0	0	9	2	0.818182	0	0	0	3	2	1	1	1	1	3	2	1	1	1	1	0	0	A:2|B:8|UNMARKED:1	1:2|2:6|3:2|4:1	BIOLOGICAL:6|CELESTIAL:1|HERBAL:4	STATE_CARD:11	1	0	0	1	0.090909	6	2	0.181818	0	0.000000	2	0.181818	ZERO	19	NO	YES	15	11
okol	okol	UNIVERSAL_3_TO_25_RUNNING	4	7	6	7	6	0	0	6	1	0.857143	0	0	0	2	2	1	1	1	1	2	2	1	1	1	1	0	0	A:4|UNMARKED:3	1:4|4:3	CELESTIAL:3|HERBAL:1|PHARMA:2|SOURCE_SECTION_T:1	STATE_CARD:7	0	0	0	0	0.000000	3	0	0.000000	0	0.000000	1	0.142857	ZERO	20	NO	YES	17	13
ykeey	ykeey	UNIVERSAL_3_TO_25_RUNNING	5	6	6	5	5	1	1	3	1	0.600000	0	1	0	2	2	1	1	1	1	2	2	1	1	1	1	0	0	A:1|B:3|UNMARKED:1	1:1|2:3|4:1	BIOLOGICAL:2|CELESTIAL:1|HERBAL:1|PHARMA:1	NONSTATE_CARD:5	0	0	0	0	0.000000	1	0	0.000000	0	0.000000	1	0.166667	ZERO	21	NO	YES	18	14
otal	otal	UNIVERSAL_3_TO_25_RUNNING	4	6	4	4	3	2	1	3	0	0.750000	0	1	1	5	2	1	1	1	1	5	2	1	1	1	1	0	0	B:3|UNMARKED:1	2:1|3:2|4:1	BIOLOGICAL:1|CELESTIAL:1|HERBAL:2	STATE_CARD:4	1	0	0	1	0.250000	2	0	0.000000	0	0.000000	1	0.166667	ZERO	22	NO	YES	19	15
otedy	otedy	UNIVERSAL_3_TO_25_RUNNING	5	18	9	13	6	5	0	12	1	0.923077	2	3	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	B:13	2:12|3:1	BIOLOGICAL:11|HERBAL:2	STATE_CARD:13	7	13	7	7	0.538462	11	7	0.538462	18	1.000000	1	0.055556	ZERO	23	YES	YES	100	95
otam	otam	UNIVERSAL_3_TO_25_RUNNING	4	6	5	6	5	0	0	4	2	0.666667	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	A:1|B:3|UNMARKED:2	1:1|2:2|4:2|5:1	BIOLOGICAL:1|CELESTIAL:2|HERBAL:1|PHARMA:1|SOURCE_SECTION_T:1	STATE_CARD:6	0	1	0	0	0.000000	3	2	0.333333	1	0.166667	2	0.333333	ZERO	24	NO	YES	21	17
otchy	otchy	UNIVERSAL_3_TO_25_RUNNING	5	5	5	5	5	0	0	5	0	1.000000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	A:3|B:1|UNMARKED:1	1:3|2:1|4:1	BIOLOGICAL:1|CELESTIAL:1|HERBAL:3	STATE_CARD:5	0	0	0	0	0.000000	1	0	0.000000	0	0.000000	0	0.000000	ZERO	25	NO	YES	22	18
oteol	oteol	UNIVERSAL_3_TO_25_RUNNING	5	5	4	5	4	0	0	5	0	1.000000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	A:2|B:1|UNMARKED:2	1:2|2:1|4:2	BIOLOGICAL:1|CELESTIAL:2|PHARMA:1|SOURCE_SECTION_T:1	STATE_CARD:5	0	0	0	0	0.000000	4	0	0.000000	0	0.000000	0	0.000000	ZERO	26	NO	YES	23	19
k	k	UNIVERSAL_3_TO_25_RUNNING	1	4	3	4	3	0	0	4	0	1.000000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	A:2|B:2	1:2|3:2	HERBAL:4	NONSTATE_CARD:4	0	0	0	0	0.000000	1	1	0.250000	0	0.000000	0	0.000000	ZERO	27	NO	YES	24	NA
okees	okees	UNIVERSAL_3_TO_25_RUNNING	5	4	3	4	3	0	0	4	0	1.000000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	B:3|UNMARKED:1	2:2|4:1|5:1	BIOLOGICAL:2|CELESTIAL:1|SOURCE_SECTION_T:1	NONSTATE_CARD:4	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	28	NO	YES	25	20
okeody	okeody	UNIVERSAL_3_TO_25_RUNNING	6	5	3	5	3	0	0	5	0	1.000000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	B:3|UNMARKED:2	2:1|4:2|5:2	CELESTIAL:2|HERBAL:1|SOURCE_SECTION_T:2	NONSTATE_CARD:5	0	0	0	0	0.000000	3	0	0.000000	0	0.000000	0	0.000000	ZERO	29	NO	YES	26	21
okor	okor	UNIVERSAL_3_TO_25_RUNNING	4	3	3	3	3	0	0	3	0	1.000000	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	A:2|UNMARKED:1	1:2|4:1	CELESTIAL:1|HERBAL:1|PHARMA:1	NONSTATE_CARD:3	0	0	0	0	0.000000	0	0	0.000000	0	0.000000	0	0.000000	ZERO	30	NO	YES	174	169
olor	olor	UNIVERSAL_3_TO_25_RUNNING	4	4	3	4	3	0	1	2	1	0.500000	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	B:4	2:3|3:1	BIOLOGICAL:3|HERBAL:1	STATE_CARD:4	1	1	0	0	0.000000	1	0	0.000000	1	0.250000	1	0.250000	ZERO	31	NO	YES	27	22
qor	qor	UNIVERSAL_3_TO_25_RUNNING	3	3	3	2	2	1	0	2	0	1.000000	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	A:1|B:1	1:1|2:1	BIOLOGICAL:1|HERBAL:1	NONSTATE_CARD:2	0	0	0	0	0.000000	1	1	0.500000	0	0.000000	0	0.000000	ZERO	32	NO	NO	NA	NA
am	am	UNIVERSAL_3_TO_25_RUNNING	2	9	7	9	7	0	0	3	6	0.333333	0	0	0	6	4	2	0	0	0	6	4	2	0	0	0	0	0	A:2|B:3|UNMARKED:4	1:2|2:2|3:1|4:4	BIOLOGICAL:1|CELESTIAL:4|HERBAL:4	NONSTATE_CARD:9	0	1	0	0	0.000000	2	0	0.000000	1	0.111111	6	0.666667	ZERO	33	NO	YES	28	23
cho	cho	UNIVERSAL_3_TO_25_RUNNING	3	9	8	9	8	0	1	8	0	0.888889	0	0	0	3	3	1	0	0	0	3	3	1	0	0	0	0	0	A:8|B:1	1:8|2:1	HERBAL:6|PHARMA:2|SOURCE_SECTION_T:1	NONSTATE_CARD:9	0	0	0	0	0.000000	3	0	0.000000	0	0.000000	0	0.000000	ZERO	34	NO	YES	29	24
oteey	oteey	UNIVERSAL_3_TO_25_RUNNING	5	17	7	15	6	2	3	12	0	0.800000	0	2	0	6	3	1	0	0	0	6	3	1	0	0	0	0	0	A:1|B:5|UNMARKED:9	1:1|2:4|4:9|5:1	BIOLOGICAL:4|CELESTIAL:9|SOURCE_SECTION_T:2	STATE_CARD:15	3	0	0	0	0.000000	5	2	0.133333	0	0.000000	0	0.000000	ZERO	35	NO	YES	30	25
char	char	UNIVERSAL_3_TO_25_RUNNING	4	6	6	5	5	1	0	5	0	1.000000	0	1	0	3	3	1	0	0	0	3	3	1	0	0	0	0	0	A:3|B:2	1:3|2:1|3:1	BIOLOGICAL:1|HERBAL:3|SOURCE_SECTION_T:1	NONSTATE_CARD:5	0	0	0	0	0.000000	1	0	0.000000	0	0.000000	0	0.000000	ZERO	36	NO	YES	31	26
okar	okar	UNIVERSAL_3_TO_25_RUNNING	4	20	10	20	10	0	1	18	1	0.900000	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	0	0	A:2|B:17|UNMARKED:1	1:2|2:14|3:2|4:1|5:1	BIOLOGICAL:11|CELESTIAL:1|HERBAL:6|PHARMA:1|SOURCE_SECTION_T:1	NONSTATE_CARD:20	2	0	0	2	0.100000	12	3	0.150000	0	0.000000	1	0.050000	ZERO	37	NO	YES	32	27
okeey	okeey	UNIVERSAL_3_TO_25_RUNNING	5	17	10	17	10	0	2	15	0	0.882353	0	0	0	5	2	1	0	0	0	5	2	1	0	0	0	0	0	A:5|B:8|UNMARKED:4	1:5|2:7|4:4|5:1	BIOLOGICAL:7|CELESTIAL:4|PHARMA:4|SOURCE_SECTION_T:2	NONSTATE_CARD:17	3	0	0	1	0.058824	4	1	0.058824	0	0.000000	0	0.000000	ZERO	38	NO	YES	33	28
oky	oky	UNIVERSAL_3_TO_25_RUNNING	3	14	10	13	9	1	0	10	3	0.769231	0	1	0	2	2	1	0	0	0	2	2	1	0	0	0	0	0	A:4|B:9	1:4|2:8|5:1	BIOLOGICAL:7|HERBAL:2|PHARMA:2|SOURCE_SECTION_T:2	NONSTATE_CARD:13	0	0	0	0	0.000000	4	1	0.076923	0	0.000000	3	0.214286	ZERO	39	NO	YES	34	29
dair	dair	UNIVERSAL_3_TO_25_RUNNING	4	11	7	11	7	0	0	9	2	0.818182	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	0	0	A:9|B:2	1:9|5:2	HERBAL:4|PHARMA:5|SOURCE_SECTION_T:2	NONSTATE_CARD:11	2	0	0	2	0.181818	4	0	0.000000	0	0.000000	2	0.181818	ZERO	40	NO	YES	35	30
sal	sal	UNIVERSAL_3_TO_25_RUNNING	3	10	7	7	5	3	0	5	2	0.714286	0	2	1	3	2	2	0	0	0	3	2	2	0	0	0	0	0	B:5|UNMARKED:2	2:5|4:2	BIOLOGICAL:5|CELESTIAL:2	NONSTATE_CARD:7	3	0	0	3	0.428571	6	1	0.142857	0	0.000000	3	0.300000	ZERO	41	NO	YES	38	33
otain	otain	UNIVERSAL_3_TO_25_RUNNING	5	10	6	9	5	1	0	7	2	0.777778	0	1	0	2	2	2	0	0	0	2	2	2	0	0	0	0	0	B:9	2:5|3:4	BIOLOGICAL:5|HERBAL:4	STATE_CARD:9	2	1	0	2	0.222222	5	0	0.000000	1	0.100000	2	0.200000	ZERO	42	NO	YES	37	32
ches	ches	UNIVERSAL_3_TO_25_RUNNING	4	6	5	4	3	2	0	4	0	1.000000	0	2	0	2	2	2	0	0	0	2	2	2	0	0	0	0	0	B:2|UNMARKED:2	2:2|4:2	BIOLOGICAL:2|CELESTIAL:2	NONSTATE_CARD:4	1	0	0	1	0.250000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	43	NO	YES	43	38
okey	okey	UNIVERSAL_3_TO_25_RUNNING	4	6	5	5	4	1	0	4	1	0.800000	0	0	1	3	2	1	0	0	0	3	2	1	0	0	0	0	0	A:2|B:2|UNMARKED:1	1:2|2:2|4:1	BIOLOGICAL:2|CELESTIAL:1|PHARMA:2	NONSTATE_CARD:5	0	0	0	0	0.000000	3	1	0.200000	0	0.000000	2	0.333333	ZERO	44	NO	YES	41	36
chees	chees	UNIVERSAL_3_TO_25_RUNNING	5	5	4	4	3	1	0	4	0	1.000000	0	1	0	2	2	1	0	0	0	2	2	1	0	0	0	0	0	A:2|B:2	1:2|2:1|5:1	BIOLOGICAL:1|PHARMA:2|SOURCE_SECTION_T:1	NONSTATE_CARD:4	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	45	NO	YES	42	37
daly	daly	UNIVERSAL_3_TO_25_RUNNING	4	6	4	6	4	0	0	2	4	0.333333	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	0	0	A:1|B:5	1:1|2:2|5:3	BIOLOGICAL:2|PHARMA:1|SOURCE_SECTION_T:3	NONSTATE_CARD:6	1	1	0	1	0.166667	1	0	0.000000	1	0.166667	4	0.666667	ZERO	46	NO	YES	39	34
ody	ody	UNIVERSAL_3_TO_25_RUNNING	3	5	4	5	4	0	0	3	2	0.600000	0	0	0	3	2	1	0	0	0	3	2	1	0	0	0	0	0	A:1|B:4	1:1|2:3|3:1	BIOLOGICAL:1|HERBAL:4	STATE_CARD:5	0	5	0	0	0.000000	1	0	0.000000	5	1.000000	2	0.400000	ZERO	47	NO	YES	40	35
oteody	oteody	UNIVERSAL_3_TO_25_RUNNING	6	5	3	5	3	0	0	5	0	1.000000	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	0	0	A:2|B:1|UNMARKED:2	1:2|4:2|5:1	CELESTIAL:2|PHARMA:2|SOURCE_SECTION_T:1	STATE_CARD:5	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	48	NO	YES	44	39
shar	shar	UNIVERSAL_3_TO_25_RUNNING	4	3	3	3	3	0	0	3	0	1.000000	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	0	0	A:2|B:1	1:2|3:1	HERBAL:1|PHARMA:1|SOURCE_SECTION_T:1	NONSTATE_CARD:3	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	0	0.000000	ZERO	49	NO	YES	45	40
ykar	ykar	UNIVERSAL_3_TO_25_RUNNING	4	3	3	3	3	0	1	2	0	0.666667	0	0	0	3	2	1	0	0	0	3	2	1	0	0	0	0	0	A:1|B:2	1:1|2:2	BIOLOGICAL:1|HERBAL:1|PHARMA:1	NONSTATE_CARD:3	0	0	0	0	0.000000	2	1	0.333333	0	0.000000	0	0.000000	ZERO	50	NO	YES	46	41
chcthy	chcthy	UNIVERSAL_3_TO_25_RUNNING	6	14	10	13	9	1	0	11	2	0.846154	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:4|B:9	1:4|2:8|3:1	BIOLOGICAL:8|HERBAL:5	NONSTATE_CARD:13	2	1	1	2	0.153846	10	1	0.076923	1	0.071429	2	0.142857	ZERO	51	NO	YES	47	42
chdy	chdy	UNIVERSAL_3_TO_25_RUNNING	4	19	10	16	7	3	0	13	3	0.812500	0	2	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:2|B:14	1:2|2:9|3:2|5:3	BIOLOGICAL:9|HERBAL:3|SOURCE_SECTION_T:4	NONSTATE_CARD:16	2	1	0	2	0.125000	9	2	0.125000	1	0.052632	4	0.210526	ZERO	52	NO	YES	49	44
cheor	cheor	UNIVERSAL_3_TO_25_RUNNING	5	17	9	15	8	2	1	14	0	0.933333	0	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:9|B:2|UNMARKED:4	1:9|2:1|4:4|5:1	BIOLOGICAL:1|CELESTIAL:4|PHARMA:9|SOURCE_SECTION_T:1	NONSTATE_CARD:15	1	0	0	1	0.066667	8	2	0.133333	0	0.000000	0	0.000000	ZERO	53	NO	YES	48	43
sar	sar	UNIVERSAL_3_TO_25_RUNNING	3	14	9	8	6	6	2	4	2	0.500000	2	2	2	2	1	1	0	0	0	2	1	1	0	0	0	0	0	A:1|B:7	1:1|2:7	BIOLOGICAL:6|HERBAL:1|PHARMA:1	NONSTATE_CARD:8	0	1	0	0	0.000000	4	0	0.000000	1	0.071429	4	0.285714	ZERO	54	NO	YES	53	48
sheey	sheey	UNIVERSAL_3_TO_25_RUNNING	5	20	9	14	6	6	0	14	0	1.000000	1	5	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:4|B:9|UNMARKED:1	1:4|2:9|4:1	BIOLOGICAL:8|CELESTIAL:1|HERBAL:2|PHARMA:3	NONSTATE_CARD:14	2	0	0	2	0.142857	7	1	0.071429	0	0.000000	0	0.000000	ZERO	55	NO	YES	54	49
okedy	okedy	UNIVERSAL_3_TO_25_RUNNING	5	19	8	17	6	2	0	16	1	0.941176	0	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:17	2:12|3:1|5:4	BIOLOGICAL:9|HERBAL:4|SOURCE_SECTION_T:4	STATE_CARD:17	3	17	3	3	0.176471	10	2	0.117647	19	1.000000	1	0.052632	ZERO	56	NO	YES	51	46
okeedy	okeedy	UNIVERSAL_3_TO_25_RUNNING	6	15	8	13	7	2	0	10	3	0.769231	0	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:12|UNMARKED:1	2:12|4:1	BIOLOGICAL:9|CELESTIAL:1|HERBAL:3	STATE_CARD:13	3	13	3	3	0.230769	6	0	0.000000	15	1.000000	3	0.200000	ZERO	57	NO	YES	50	45
oly	oly	UNIVERSAL_3_TO_25_RUNNING	3	15	7	14	6	1	0	6	8	0.428571	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:12|UNMARKED:2	2:11|4:2|5:1	BIOLOGICAL:11|CELESTIAL:2|SOURCE_SECTION_T:1	STATE_CARD:14	1	2	0	1	0.071429	6	1	0.071429	2	0.133333	9	0.600000	ZERO	58	NO	YES	52	47
chedaiin	chedaiin	UNIVERSAL_3_TO_25_RUNNING	8	9	6	4	4	5	0	4	0	1.000000	1	3	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:2|UNMARKED:2	2:1|3:1|4:2	CELESTIAL:2|HERBAL:2	NONSTATE_CARD:4	0	0	0	0	0.000000	2	0	0.000000	0	0.000000	1	0.111111	ZERO	59	NO	YES	59	54
otey	otey	UNIVERSAL_3_TO_25_RUNNING	4	12	6	11	5	1	0	11	0	1.000000	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	B:8|UNMARKED:3	2:7|4:3|5:1	BIOLOGICAL:7|CELESTIAL:3|SOURCE_SECTION_T:1	STATE_CARD:11	3	0	0	3	0.272727	8	2	0.181818	0	0.000000	0	0.000000	ZERO	60	NO	YES	57	52
chear	chear	UNIVERSAL_3_TO_25_RUNNING	5	6	5	6	5	0	0	6	0	1.000000	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:5|B:1	1:5|2:1	BIOLOGICAL:1|HERBAL:2|PHARMA:2|SOURCE_SECTION_T:1	NONSTATE_CARD:6	0	0	0	0	0.000000	3	0	0.000000	0	0.000000	0	0.000000	ZERO	61	NO	YES	55	50
cthey	cthey	UNIVERSAL_3_TO_25_RUNNING	5	5	5	5	5	0	0	4	1	0.800000	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	A:4|UNMARKED:1	1:4|4:1	CELESTIAL:1|HERBAL:2|PHARMA:1|SOURCE_SECTION_T:1	NONSTATE_CARD:5	0	1	0	0	0.000000	2	1	0.200000	1	0.200000	1	0.200000	ZERO	62	NO	YES	56	51
