surface_option_id	surface	execution_domain	finite_recipe_option_count_for_surface_domain	record_roles	exact_event_recipe	reading_variant_count	surface_default_reading_de	event_count	physical_pages	owners_de	source_event_ids	lookup_policy
G517-S0011	air	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD|MARGINAL_SIGN_CARD	AIR	4	EREIGNISKONTEXT_WAEHLT_AUS_4_LESARTEN	4	f66r|f67r2|f69v|f70v	Widderrad mit Stern tragenden Figuren | drei getrennte heterogene Himmelsraeder | sichtbare Folge einzelner Randzeichen von f66r | zwei lokale Himmelsraeder	P912-E1894|P912-E2096|P912-E2152|G515-E0278	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0012	air	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AIR	4	EREIGNISKONTEXT_WAEHLT_AUS_4_LESARTEN	5	f67r2|f72r|f89r	Gefäß-/Pflanzenteilgruppe C | Tierkreis-Ringgruppe F | Tierkreis-Ringgruppe H | zwei getrennte Himmelsräder und Tabelle	P912-E1827|P912-E1937|P1008-E0289|P1008-E0376|P1008-E1143	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0013	airal	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	AIR+AL	1	BAHN · ZIELORT	1	f72r	lokale Kennung für Tierkreis-Ringgruppe H	P1008-E0419	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0014	airchy	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AIR+Y	1	KOORDINATE/KATALOGEINTRAG BEI drei getrennte heterogene Himmelsraeder: BAHN · POSTEN	1	f69v	drei getrennte heterogene Himmelsraeder	P912-E2078	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0015	ajy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	A_ADDR+Y	1	ABLAUF BEI großes Bad-/Stationsblatt mit dreieckiger Insel: [A_ADDR:STEUERUNG=HIER] · POSTEN	1	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	P912-E0668	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0016	akar	PROSE_STREAM	1	ORDERED_INSTRUCTION_CARD	A_ADDR+K+AR	1	ANWEISUNG BEI sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer: [A_ADDR:STEUERUNG=HIER] · GEBEN · AUSGANG	1	f66r	sichtbarer Prosablock 2 auf f66r ohne Gegenstandsbesitzer	G515-E0411	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0017	al	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD|STAR_BEARING_RING_POSITION	AL	3	EREIGNISKONTEXT_WAEHLT_AUS_3_LESARTEN	6	f70v|f72r	Fischrad mit Stern tragenden Figuren | Widderrad mit Stern tragenden Figuren | lokale Kennung für Tierkreis-Ringgruppe G	P912-E2216|P912-E2256|P912-E2330|P912-E2351|P912-E2353|P1008-E0357	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0018	al	PROSE_STREAM	1	COORDINATE_OR_CATALOGUE_CARD|RUNNING_RECIPE_CARD	AL	20	EREIGNISKONTEXT_WAEHLT_AUS_20_LESARTEN	29	f55v|f66r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f83r|f89r|f95v	F81R_UPPER_POOL | F95V_WHOLE_PLANT | Gefäß-/Pflanzenteilgruppe B | Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen | Tierkreis-Ringgruppe A | Tierkreis-Ringgruppe B | Tierkreis-Ringgruppe D | Tierkreis-Ringgruppe G | Variantenatlas lokaler Becken und Anwendungen | erste lokale Figuren-/Sternringgruppe | gemeinsames zweireihiges Badfeld | große aromatische Doldenpflanze | großes Bad-/Stationsblatt mit dreieckiger Insel | sichtbarer Prosablock 3 auf f66r ohne Gegenstandsbesitzer | unbebilderter Textabschnitt A1 | unbebilderter Textabschnitt A2 | unbebilderter Textabschnitt A4 | unbebilderter Textabschnitt C | unbebilderter Textabschnitt D | zweite lokale Figuren-/Sternringgruppe	P912-E0244|P912-E0255|P1003-E0566|P1003-E0583|P1003-E0613|P1003-E0636|P1008-E0090|P1008-E0160|P1008-E0168|P1008-E0210|P1008-E0215|P1008-E0227|P1008-E0319|P912-E0558|P1008-E0529|P1008-E0530|P1008-E0548|P1008-E0606|P1008-E0970|P1008-E1026|P1003-E0207|P1003-E0364|G404-E0330|P912-E0877|P912-E1513|P1008-E1125|P1008-E1129|G404-E0601|G515-E0449	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0019	alaiiin	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+AIIN+LOCAL_CHAR_I	1	ABLAUF BEI Tierkreis-Ringgruppe G: ZIELORT · WERT · [LOCAL_CHAR_I:STEUERUNG=VARIANTE]	1	f72r	Tierkreis-Ringgruppe G	P1008-E0320	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0020	alaiin	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+AIIN	3	EREIGNISKONTEXT_WAEHLT_AUS_3_LESARTEN	3	f67r2|f72r	Tierkreis-Ringgruppe C | Tierkreis-Ringgruppe G | zwei getrennte Himmelsräder und Tabelle	P912-E1828|P1008-E0180|P1008-E0322	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0021	alain	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AL+AIN	1	KOORDINATE/KATALOGEINTRAG BEI Fischrad mit Stern tragenden Figuren: ZIELORT · ANTEIL	1	f70v	Fischrad mit Stern tragenden Figuren	P912-E2247	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0022	alals	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AL+AL+S_ADDR	1	KOORDINATE/KATALOGEINTRAG BEI Widderrad mit Stern tragenden Figuren: ZIELORT · ZIELORT · [S_ADDR:LOKALSTRUKTUR=HIER]	1	f70v	Widderrad mit Stern tragenden Figuren	P912-E2223	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0023	alaly	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	AL+AL+Y	1	ZIELORT · ZIELORT · POSTEN	1	f72r	lokale Kennung für Tierkreis-Ringgruppe G	P1008-E0360	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0024	alchdy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+CHD+DY	1	ABLAUF BEI unbebilderter Textabschnitt A5: ZIELORT · BEARBEITEN · [DY:STEUERUNG=SCHLUSS]	1	f76r	unbebilderter Textabschnitt A5	P1008-E0662	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0025	alched	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+CHD	1	ABLAUF BEI F81R_UPPER_POOL: ZIELORT · BEARBEITEN	1	f81r	F81R_UPPER_POOL	G404-E0310	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0026	alcphy	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	AL+CH+P+Y	1	ZIELORT · NEHMEN · EINSETZEN · POSTEN	1	f71v	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	P1003-E0600	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0027	aldaiin	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+D_ADDR+AIIN	1	ABLAUF BEI zwei getrennte Himmelsräder und Tabelle: ZIELORT · [D_ADDR:STEUERUNG=HIER] · WERT	1	f67r2	zwei getrennte Himmelsräder und Tabelle	P912-E1904	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0028	aldy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+D_ADDR+Y	2	EREIGNISKONTEXT_WAEHLT_AUS_2_LESARTEN	2	f55v|f67r2	große aromatische Doldenpflanze | zwei getrennte Himmelsräder und Tabelle	P912-E0281|P912-E1780	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0029	alfshed	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+LOCAL_CHAR_F+SH+E+D_ADDR	1	ABLAUF BEI F95V_WHOLE_PLANT: ZIELORT · [LOCAL_CHAR_F:STEUERUNG=HIER] · HALTEN · [E:STEUERUNG=GRAD I] · [D_ADDR:STEUERUNG=HIER]	1	f95v	F95V_WHOLE_PLANT	G404-E0579	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0030	alif	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	LOCAL_LABEL_PACKAGE::G473-E033	1	ZIELORT · [STERNSTELLENNAME:if]	1	f72r	lokale Kennung für Tierkreis-Ringgruppe A	P1008-E0135	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0031	alkain	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+K+AIN	1	ABLAUF BEI F95V_WHOLE_PLANT: ZIELORT · GEBEN · ANTEIL	1	f95v	F95V_WHOLE_PLANT	G404-E0546	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0032	alkey	PROSE_STREAM	1	ORDERED_INSTRUCTION_CARD	AL+K+E+Y	1	ANWEISUNG BEI sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer: ZIELORT · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	1	f66r	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	G515-E0537	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0033	alo	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+O	1	ABLAUF BEI Tierkreis-Ringgruppe B: ZIELORT · [O:STEUERUNG=AUSFÜHRUNG]	1	f72r	Tierkreis-Ringgruppe B	P1008-E0161	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0034	alody	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AL+O+DY	1	KOORDINATE/KATALOGEINTRAG BEI Fischrad mit Stern tragenden Figuren: ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	1	f70v	Fischrad mit Stern tragenden Figuren	P912-E2312	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0035	alol	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+OL	1	ABLAUF BEI unbebilderter Textabschnitt C: ZIELORT · FORTSETZEN	1	f76r	unbebilderter Textabschnitt C	P1008-E0908	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0036	alolor	PROSE_STREAM	1	RUNNING_RECIPE_CARD	OL+OR	1	ABLAUF BEI unbebilderter Textabschnitt A6: FORTSETZEN · EINHEIT	1	f76r	unbebilderter Textabschnitt A6	P1008-E0695	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0037	alor	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+OR	2	EREIGNISKONTEXT_WAEHLT_AUS_2_LESARTEN	2	f76r|f95v	F95V_WHOLE_PLANT | unbebilderter Textabschnitt A8	P1008-E0833|G404-E0523	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0038	alos	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AL+O+S_ADDR	1	KOORDINATE/KATALOGEINTRAG BEI Fischrad mit Stern tragenden Figuren: ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · [S_ADDR:LOKALSTRUKTUR=HIER]	1	f70v	Fischrad mit Stern tragenden Figuren	P912-E2326	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0039	aloy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+O+Y	1	ABLAUF BEI Tierkreis-Ringgruppe F: ZIELORT · [O:STEUERUNG=AUSFÜHRUNG] · POSTEN	1	f72r	Tierkreis-Ringgruppe F	P1008-E0290	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0040	alshy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+SH+Y	1	ABLAUF BEI unbebilderter Textabschnitt A8: ZIELORT · HALTEN · POSTEN	1	f76r	unbebilderter Textabschnitt A8	P1008-E0828	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0041	alsy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+S+Y	1	ABLAUF BEI sechzehn Drogenposten und drei Gefäßansätze: ZIELORT · WÄHLEN · POSTEN	1	f88r	sechzehn Drogenposten und drei Gefäßansätze	P912-E2489	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0042	altedy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AL+T+E+D_ADDR+Y	1	ABLAUF BEI Variantenatlas lokaler Becken und Anwendungen: ZIELORT · EINSTELLEN · [E:STEUERUNG=GRAD I] · [D_ADDR:STEUERUNG=HIER] · POSTEN	1	f83r	Variantenatlas lokaler Becken und Anwendungen	P912-E1521	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0043	aly	LOCAL_RECORD	1	STAR_BEARING_RING_POSITION	AL+Y	1	ZIELORT · POSTEN	1	f71v	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	P1003-E0605	EVENT_PACKAGE_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0044	aly	PROSE_STREAM	1	COORDINATE_OR_CATALOGUE_CARD|RUNNING_RECIPE_CARD	AL+Y	5	EREIGNISKONTEXT_WAEHLT_AUS_5_LESARTEN	5	f66r|f71v|f72r|f75r	Tierkreis-Ringgruppe F | großes Bad-/Stationsblatt mit dreieckiger Insel | sichtbarer Prosablock 3 auf f66r ohne Gegenstandsbesitzer | sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer | zweite lokale Figuren-/Sternringgruppe	P1003-E0632|P1008-E0296|P912-E0567|G515-E0442|G515-E0468	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0045	alys	LOCAL_RECORD	1	ORDERED_INSTRUCTION_CARD	AL+Y+S	1	ANWEISUNG BEI drei getrennte heterogene Himmelsraeder: ZIELORT · POSTEN · WÄHLEN	1	f69v	drei getrennte heterogene Himmelsraeder	P912-E2143	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0046	am	LOCAL_RECORD	1	LOCAL_CLASS_OR_NAME_CARD|STAR_BEARING_RING_POSITION	AM_ADDR	5	EREIGNISKONTEXT_WAEHLT_AUS_5_LESARTEN	6	f67r2|f70v|f71v|f88r	Fischrad mit Stern tragenden Figuren | Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe | SCHNITTKÖRPER | Widderrad mit Stern tragenden Figuren | zwei lokale Himmelsraeder	P912-E1819|P912-E2184|P912-E2297|P912-E2328|P1003-E0607|P912-E2462	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0047	am	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AM_ADDR	7	EREIGNISKONTEXT_WAEHLT_AUS_7_LESARTEN	9	f10r|f24v|f55v|f67r2|f72r|f75r|f95v	F24V_WHOLE_PLANT | F95V_WHOLE_PLANT | Tierkreis-Ringgruppe I | große aromatische Doldenpflanze | großes Bad-/Stationsblatt mit dreieckiger Insel | zwei getrennte Himmelsräder und Tabelle | zweiknolliges blauköpfiges Heilkraut	P912-E0062|G404-E0225|P912-E0250|P912-E1802|P912-E1817|P1008-E0432|P1008-E0437|P912-E0629|G404-E0590	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0048	amdy	LOCAL_RECORD	1	LOCAL_CLASS_OR_NAME_CARD	AM_ADDR+DY	1	LOKALE KENNUNG BEI Fischrad mit Stern tragenden Figuren: [AM_ADDR:LOKALSTRUKTUR=HIER] · [DY:STEUERUNG=SCHLUSS]	1	f70v	Fischrad mit Stern tragenden Figuren	P912-E2295	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0049	amy	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AM_ADDR+Y	1	ABLAUF BEI zwei getrennte Himmelsräder und Tabelle: [AM_ADDR:STEUERUNG=HIER] · POSTEN	1	f67r2	zwei getrennte Himmelsräder und Tabelle	P912-E1798	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0050	ar	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD|STAR_BEARING_RING_POSITION	AR	4	EREIGNISKONTEXT_WAEHLT_AUS_4_LESARTEN	12	f69v|f70v|f71v|f72r	Fischrad mit Stern tragenden Figuren | Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe | Widderrad mit Stern tragenden Figuren | drei getrennte heterogene Himmelsraeder | lokale Kennung für Tierkreis-Ringgruppe A	P912-E2008|P912-E2011|P912-E2087|P912-E2095|P912-E2178|P912-E2279|P912-E2311|P912-E2345|P912-E2350|P1003-E0604|P1003-E0610|P1008-E0130	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0051	ar	PROSE_STREAM	1	COORDINATE_OR_CATALOGUE_CARD|RUNNING_RECIPE_CARD	AR	26	EREIGNISKONTEXT_WAEHLT_AUS_26_LESARTEN	40	f1r|f20v|f31r|f55v|f66r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f83r|f88r|f89r|f95v	F1R_TEXT_BLOCK_A | F81R_LOWER_POOL | F95V_WHOLE_PLANT | Gefäß-/Pflanzenteilgruppe F | Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen | Tierkreis-Ringgruppe A | Tierkreis-Ringgruppe B | Tierkreis-Ringgruppe F | Tierkreis-Ringgruppe G | Tierkreis-Ringgruppe I | Variantenatlas lokaler Becken und Anwendungen | abgebildete Ganzpflanze auf f20v | abgebildete Ganzpflanze auf f31r | erste lokale Figuren-/Sternringgruppe | große aromatische Doldenpflanze | großes Bad-/Stationsblatt mit dreieckiger Insel | sechzehn Drogenposten und drei Gefäßansätze | sichtbarer Prosablock 1 auf f66r ohne Gegenstandsbesitzer | sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer | unbebilderter Textabschnitt A3 | unbebilderter Textabschnitt A4 | unbebilderter Textabschnitt A8 | unbebilderter Textabschnitt B | unbebilderter Textabschnitt D | zwei getrennte Himmelsräder und Tabelle | zweite lokale Figuren-/Sternringgruppe	G404-E0003|P912-E0280|P912-E0290|P912-E0327|P912-E0331|P912-E1797|P912-E1803|P912-E1809|P912-E1924|P912-E1936|P1003-E0582|P1003-E0616|P1003-E0631|P1008-E0112|P1008-E0120|P1008-E0164|P1008-E0295|P1008-E0311|P1008-E0328|P1008-E0436|P912-E0612|P1008-E0585|P1008-E0607|P1008-E0609|P1008-E0836|P1008-E0870|P1008-E1025|P1003-E0099|G404-E0508|P912-E1419|P912-E2488|P1008-E1397|G404-E0557|G404-E0578|G515-E0066|G515-E0127|G515-E0180|G515-E0338|G515-E0536|G515-E0553	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0052	araiin	PROSE_STREAM	1	RUNNING_RECIPE_CARD	AR+AIIN	1	ABLAUF BEI mehrere getrennte Bad- und Leitungsstationen: AUSGANG · WERT	1	f82r	mehrere getrennte Bad- und Leitungsstationen	P912-E1259	INVARIANT_PROSE_SURFACE_RECIPE
G517-S0053	aral	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD|STAR_BEARING_RING_POSITION	AR+AL	2	EREIGNISKONTEXT_WAEHLT_AUS_2_LESARTEN	2	f70v|f72r	Fischrad mit Stern tragenden Figuren | lokale Kennung für Tierkreis-Ringgruppe I	P912-E2298|P1008-E0458	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
G517-S0054	araly	LOCAL_RECORD	1	COORDINATE_OR_CATALOGUE_CARD	AR+AL+Y	1	KOORDINATE/KATALOGEINTRAG BEI Widderrad mit Stern tragenden Figuren: AUSGANG · ZIELORT · POSTEN	1	f70v	Widderrad mit Stern tragenden Figuren	P912-E2224	EVENT_CARD_WINS__SURFACE_CAN_HAVE_FINITE_LOCAL_OPTIONS
