surface	occurrence_count	physical_pages	gdt516_context_recipe	parsed	candidate_count_capped	candidate_cap_reached	gdt516_recipe_rank	recovery_class	top1_recipe	top1_literal_de	top1_chunk_count	top1_score	top1_path	candidate_1_recipe	candidate_2_recipe	candidate_3_recipe	candidate_4_recipe	candidate_5_recipe
qef	1	f31r	E+LOCAL_CHAR_F	YES	4	NO	3	FINITE_TOP5_ALTERNATIVE	CARRIER_Q+E+LOCAL_CHAR_F	BEGINNMARKER · GRAD I · HIER	2	7.112360	qe=CARRIER_Q+E@0.8667/26 | f=LOCAL_CHAR_F@0.9474/90	CARRIER_Q+E+LOCAL_CHAR_F	CARRIER_Q+D_ADDR	E+LOCAL_CHAR_F	CARRIER_Q+CH+E+LOCAL_CHAR_F	NONE
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	YES	93	NO	4	FINITE_TOP5_ALTERNATIVE	CARRIER_Q+O+CH+T+E+DY	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · SCHLUSS	2	6.779147	qocth=CARRIER_Q+O+CH+T@0.7778/7 | edy=E+DY@0.9144/395	CARRIER_Q+O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+D_ADDR+Y	O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+Y	O+CH+T+E+D_ADDR+Y
qokchey	1	f66r	OK+CH+E+Y	YES	39	NO	4	FINITE_TOP5_ALTERNATIVE	OK+Y	SETZEN · POSTEN	2	10.702630	qok=OK@0.9958/712 | chey=Y@0.7778/126	OK+Y	OK+CHD+Y	OK+E+Y	OK+CH+E+Y	CARRIER_Q+OK+Y
qotchoiin	1	f4r	OT+CH+O+IIN	YES	1213	NO	2	FINITE_TOP5_ALTERNATIVE	OT+O+IIN	DANACH · AUSFÜHRUNG · STUFE	2	4.141198	qotch=OT@0.5556/10 | oiin=O+IIN@1.0000/24	OT+O+IIN	OT+CH+O+IIN	CARRIER_Q+OT+CH+O+IIN	OT+CH+O+AIIN	OT+SH+O+IIN
rals	1	f66r	R+AL+S	YES	29	NO	2	FINITE_TOP5_ALTERNATIVE	R+A_ADDR+L	MARKIEREN · HIER · VERBINDUNG	2	6.983099	r=R@0.8615/199 | als=A_ADDR+L@0.5536/31	R+A_ADDR+L	R+AL+S	R+AL+CH+E+S	AR+L	R+AL+SH
saiis	1	f31r	S+IIN+S	YES	64	NO	4	FINITE_TOP5_ALTERNATIVE	S+A_ADDR+IIN+S	WÄHLEN · HIER · STUFE · WÄHLEN	1	0.698612	saiis=S+A_ADDR+IIN+S@1.0000/2	S+A_ADDR+IIN+S	S+A_ADDR+IIN+S+S	S+AIIN+S	S+IIN+S	S+S+A_ADDR+IIN+S
shckheody	1	f66r	SH+CH+K+E+O+DY	YES	143	NO	2	FINITE_TOP5_ALTERNATIVE	SH+CH+K+E+O+D_ADDR+Y	HALTEN · NEHMEN · GEBEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	2	4.430459	shckh=SH+CH+K@1.0000/39 | eody=E+O+D_ADDR+Y@0.4032/25	SH+CH+K+E+O+D_ADDR+Y	SH+CH+K+E+O+DY	SH+CH+K+E+O+Y	SH+CH+K+SH+E+O+D_ADDR+Y	SH+CH+K+E+O+R
shekair	1	f66r	SH+E+K+AIR	YES	255	NO	2	FINITE_TOP5_ALTERNATIVE	SH+K+AIR	HALTEN · GEBEN · BAHN	2	7.938899	sh=SH@0.9856/1298 | ekair=K+AIR@1.0000/2	SH+K+AIR	SH+E+K+AIR	S+K+AIR	S+SH+K+AIR	SH+E+K+A_ADDR+LOCAL_CHAR_I+R
shekeefy	1	f66r	SH+E+K+EE+LOCAL_CHAR_F+Y	YES	124	NO	3	FINITE_TOP5_ALTERNATIVE	SH+E+K+E+D_ADDR+Y	HALTEN · GRAD I · GEBEN · GRAD I · HIER · POSTEN	3	11.466749	she=SH+E@0.9820/490 | ke=K+E@0.9444/102 | efy=D_ADDR+Y@1.0000/3	SH+E+K+E+D_ADDR+Y	SH+E+K+EE+Y	SH+E+K+EE+LOCAL_CHAR_F+Y	S+K+E+D_ADDR+Y	SH+K+E+D_ADDR+Y
sholfordaiin	1	f66r	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	YES	2000	YES	2	FINITE_TOP5_ALTERNATIVE	SH+OL+LOCAL_CHAR_F+OR+AIIN	HALTEN · FORTSETZEN · HIER · EINHEIT · WERT	3	11.256333	sholf=SH+OL+LOCAL_CHAR_F@1.0000/4 | or=OR@0.9593/424 | daiin=AIIN@0.7111/128	SH+OL+LOCAL_CHAR_F+OR+AIIN	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	SH+OL+LOCAL_CHAR_F+O+R+AIIN	S+OL+LOCAL_CHAR_F+OR+AIIN	SH+OL+LOCAL_CHAR_F+O+R+D_ADDR+AIIN
shtchy	1	f4r	SH+T+CH+Y	YES	27	NO	2	FINITE_TOP5_ALTERNATIVE	SH+T+Y	HALTEN · EINSTELLEN · POSTEN	2	7.533434	sh=SH@0.9856/1298 | tchy=T+Y@0.5000/7	SH+T+Y	SH+T+CH+Y	SH+Y+T	SH+T+LOCAL_C+Y	S+T+CH+Y
shyshol	1	f4r	SH+Y+SH+OL	YES	74	NO	2	FINITE_TOP5_ALTERNATIVE	Y+SH+OL	POSTEN · HALTEN · FORTSETZEN	2	4.723391	shy=Y@0.5254/31 | shol=SH+OL@0.6727/37	Y+SH+OL	SH+Y+SH+OL	Y+SH+O+L	SH+Y+SH+O+L	Y+SH+OL+D_ADDR
shytchy	1	f4r	SH+Y+T+CH+Y	YES	60	NO	2	FINITE_TOP5_ALTERNATIVE	SH+Y+T+Y	HALTEN · POSTEN · EINSTELLEN · POSTEN	2	7.838899	sh=SH@0.9856/1298 | ytchy=Y+T+Y@1.0000/2	SH+Y+T+Y	SH+Y+T+CH+Y	Y+T+Y	Y+T+CH+Y	Y+Y+T
todeeey	1	f66r	T+O+D_ADDR+EEE+Y	YES	45	NO	2	FINITE_TOP5_ALTERNATIVE	T+O+EEE+Y	EINSTELLEN · AUSFÜHRUNG · GRAD III · POSTEN	2	3.876666	tod=T+O@1.0000/2 | eeey=EEE+Y@1.0000/23	T+O+EEE+Y	T+O+D_ADDR+EEE+Y	T+O+D_ADDR+EE+E+Y	T+O+E+EE+Y	T+O+EE+E+Y
yshedair	1	f31r	Y+SH+E+D_ADDR+AIR	YES	302	NO	2	FINITE_TOP5_ALTERNATIVE	SH+E+DY+AIR	HALTEN · GRAD I · SCHLUSS · BAHN	2	4.885335	yshed=SH+E+DY@1.0000/2 | air=AIR@0.9367/74	SH+E+DY+AIR	Y+SH+E+D_ADDR+AIR	SH+E+Y+D_ADDR+AIR	SH+E+DY+D_ADDR+AIR	Y+SH+E+AIR
