rank	page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	target_ordinals	target_surfaces	zl3b_line	v99r3_token_glosses_de	v99r4_token_glosses_de	v99r3_target_glosses_de	v99r4_target_glosses_de	v99r3_render_de	v99r4_render_de	old_slash_occurrences	new_slash_occurrences	old_standalone_oder_occurrences	new_standalone_oder_occurrences	old_casefold_menge_occurrences	new_casefold_menge_occurrences	non_target_cells_unchanged	exact_tokens_and_ordinals_retained
11	f34v	f34v.3	H	B	2	12	2	0	3	1|3|9	ytal|chdal|chcthy	ytal shor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam	Eintrag/Bezug: kalter Rohstoff I am Gradanfang | Blüten-/Fruchtstand; reproduktiver Teil | trockene abgemessene Rohstoffmenge I am Gradanfang | Drogenstoff trocknen und fertigstellen | Trockenfraktion I | Drogenportion | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [kedaiiin:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | heiß-trockener Ansatz am Anfang des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | [dasam:?]	Eintrag: kalter Rohstoff I am Gradanfang | Blüten-/Fruchtstand; reproduktiver Teil | trockener abgewogener Rohstoffposten I am Gradanfang | Drogenstoff trocknen und fertigstellen | Trockenfraktion I | Drogenportion | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [kedaiiin:?] | trockenes Pflanzenmaterial | heiß-trockener Ansatz am Anfang des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | [dasam:?]	Eintrag/Bezug: kalter Rohstoff I am Gradanfang | trockene abgemessene Rohstoffmenge I am Gradanfang | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	Eintrag: kalter Rohstoff I am Gradanfang | trockener abgewogener Rohstoffposten I am Gradanfang | trockenes Pflanzenmaterial	Eintrag/Bezug: kalter Rohstoff I am Gradanfang; Blüten-/Fruchtstand; reproduktiver Teil; trockene abgemessene Rohstoffmenge I am Gradanfang; Drogenstoff trocknen und fertigstellen; Trockenfraktion I; Drogenportion; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [kedaiiin:?]; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; Arzneikompositum: trocken, Gradanfang; [dasam:?]	Eintrag: kalter Rohstoff I am Gradanfang; Blüten-/Fruchtstand; reproduktiver Teil; trockener abgewogener Rohstoffposten I am Gradanfang; Drogenstoff trocknen und fertigstellen; Trockenfraktion I; Drogenportion; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [kedaiiin:?]; trockenes Pflanzenmaterial; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; Arzneikompositum: trocken, Gradanfang; [dasam:?]	2	0	0	0	1	0	9	1
12	f76v	f76v.27	B	B	2	11	2	0	3	4|6|8	saiin|ain|ain	daiin shckhey qokeedy saiin chek ain r ain o kan chlaiiin	Grad-/Maßwert III | Arzneikompositum: feucht, Gradmitte | heiß am Ende des Grades, abgeschlossen | Samen/Saatgut, Typ/Charge III | [chek:?] | Menge-/Klassenwert II | Wurzel | Menge-/Klassenwert II | Ansatzwasser | heiß, Grad I | [chlaiiin:?]	Grad-/Maßwert III | Arzneikompositum: feucht, Gradmitte | heiß am Ende des Grades, abgeschlossen | Samencharge III | [chek:?] | Wertstufe II | Wurzel | Wertstufe II | Ansatzwasser | heiß, Grad I | [chlaiiin:?]	Samen/Saatgut, Typ/Charge III | Menge-/Klassenwert II | Menge-/Klassenwert II	Samencharge III | Wertstufe II | Wertstufe II	Grad-/Maßwert III; Arzneikompositum: feucht, Gradmitte; heiß am Ende des Grades, abgeschlossen; Samen/Saatgut, Typ/Charge III; [chek:?]; Menge-/Klassenwert II; Wurzel; Menge-/Klassenwert II; Ansatzwasser; heiß, Grad I; [chlaiiin:?]	Grad-/Maßwert III; Arzneikompositum: feucht, Gradmitte; heiß am Ende des Grades, abgeschlossen; Samencharge III; [chek:?]; Wertstufe II; Wurzel; Wertstufe II; Ansatzwasser; heiß, Grad I; [chlaiiin:?]	3	0	0	0	2	0	8	1
13	f83r	f83r.15	B	B	2	9	1	0	3	1|3|6	saiin|shecthy|shcthy	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	Samen/Saatgut, Typ/Charge III | feuchte abgemessene Rohstoffmenge I in der Gradmitte | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | trocken in der Mitte des Grades | Rohstoffklasse I, kalt am Gradanfang | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | [dalchdy:?] | kalt und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	Samencharge III | feuchte abgemessene Rohstoffmenge I in der Gradmitte | feuchtes Pflanzenmaterial | trocken in der Mitte des Grades | Rohstoffklasse I, kalt am Gradanfang | feuchtes Pflanzenmaterial | [dalchdy:?] | kalt und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	Samen/Saatgut, Typ/Charge III | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	Samencharge III | feuchtes Pflanzenmaterial | feuchtes Pflanzenmaterial	Samen/Saatgut, Typ/Charge III; feuchte abgemessene Rohstoffmenge I in der Gradmitte; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; trocken in der Mitte des Grades; Rohstoffklasse I, kalt am Gradanfang; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; [dalchdy:?]; kalt und trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz	Samencharge III; feuchte abgemessene Rohstoffmenge I in der Gradmitte; feuchtes Pflanzenmaterial; trocken in der Mitte des Grades; Rohstoffklasse I, kalt am Gradanfang; feuchtes Pflanzenmaterial; [dalchdy:?]; kalt und trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz	3	0	0	0	0	0	6	1
14	f105v	f105v.38	S	B	3	4	0	1	2	2|3	oaiir|ain	cheody oaiir ain okshey	getrockneter Ansatz | Zubereitung, Teil-/Sortierklasse III | Menge-/Klassenwert II | heiß-feuchter Ansatz in der Mitte des Grades	getrockneter Ansatz | Zubereitungsanteil III | Wertstufe II | heiß-feuchter Ansatz in der Mitte des Grades	Zubereitung, Teil-/Sortierklasse III | Menge-/Klassenwert II	Zubereitungsanteil III | Wertstufe II	getrockneter Ansatz; Zubereitung, Teil-/Sortierklasse III; Menge-/Klassenwert II; heiß-feuchter Ansatz in der Mitte des Grades	getrockneter Ansatz; Zubereitungsanteil III; Wertstufe II; heiß-feuchter Ansatz in der Mitte des Grades	2	0	0	0	1	0	2	1
15	f107v	f107v.35	S	B	3	10	0	1	2	1|4	polchedy|chcthy	polchedy olkeey lkey chcthy lkar shedy qokaiin chedy qokeedy lol	getrockneter Pulverstoff/-ansatz | Holzdrogenansatz vollständig erhitzt | Holzdroge bis zur mittleren Heizstufe | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | heiße Holzfraktion I | feucht in der Mitte des Grades, abgeschlossen | heiß, Grad III | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | Holzstoff	getrockneter Pulveransatz | Holzdrogenansatz vollständig erhitzt | Holzdroge bis zur mittleren Heizstufe | trockenes Pflanzenmaterial | heiße Holzfraktion I | feucht in der Mitte des Grades, abgeschlossen | heiß, Grad III | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | Holzstoff	getrockneter Pulverstoff/-ansatz | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	getrockneter Pulveransatz | trockenes Pflanzenmaterial	getrockneter Pulverstoff/-ansatz; Holzdrogenansatz vollständig erhitzt; Holzdroge bis zur mittleren Heizstufe; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; heiße Holzfraktion I; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad III; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; Holzstoff	getrockneter Pulveransatz; Holzdrogenansatz vollständig erhitzt; Holzdroge bis zur mittleren Heizstufe; trockenes Pflanzenmaterial; heiße Holzfraktion I; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad III; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; Holzstoff	2	0	0	0	0	0	8	1
16	f10v	f10v.1	H	A	1	9	0	1	2	1|7	paiin|cthor	paiin daiin sheo pcheey qoty daiin cthor otydy sain	Pulver, Typ/Charge III | Grad-/Maßwert III | Feuchtzubereitung | Pulver, trocken gebunden, Form II | kalt am Anfang des Grades | Grad-/Maßwert III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | kalter Ansatz in Grundform, fertig | Saatgut, Typ/Charge II	Pulver, Charge III | Grad-/Maßwert III | Feuchtzubereitung | Pulver, trocken gebunden, Form II | kalt am Anfang des Grades | Grad-/Maßwert III | eine Portion Pflanzendroge | kalter Ansatz in Grundform, fertig | Saatgut, Typ/Charge II	Pulver, Typ/Charge III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	Pulver, Charge III | eine Portion Pflanzendroge	Pulver, Typ/Charge III; Grad-/Maßwert III; Feuchtzubereitung; Pulver, trocken gebunden, Form II; kalt am Anfang des Grades; Grad-/Maßwert III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; kalter Ansatz in Grundform, fertig; Saatgut, Typ/Charge II	Pulver, Charge III; Grad-/Maßwert III; Feuchtzubereitung; Pulver, trocken gebunden, Form II; kalt am Anfang des Grades; Grad-/Maßwert III; eine Portion Pflanzendroge; kalter Ansatz in Grundform, fertig; Saatgut, Typ/Charge II	2	0	0	0	0	0	7	1
17	f111v	f111v.21	S	B	3	15	0	1	2	3|6	ain|ain	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam	Samenfraktion II | zweite Drogenfraktion | Menge-/Klassenwert II | Drogenstoff zugeben | Wurzelfraktion I | Menge-/Klassenwert II | trocken am Ende des Grades | Drogenholz, heiß am Gradende | Holzdroge, heiß auf Stufe II | Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen | Feuchtzubereitung | nehmen | heiß, Grad II | trockene Fraktion I | ein Maß Rohdroge I	Samenfraktion II | zweite Drogenfraktion | Wertstufe II | Drogenstoff zugeben | Wurzelfraktion I | Wertstufe II | trocken am Ende des Grades | Drogenholz, heiß am Gradende | Holzdroge, heiß auf Stufe II | Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen | Feuchtzubereitung | nehmen | heiß, Grad II | trockene Fraktion I | ein Maß Rohdroge I	Menge-/Klassenwert II | Menge-/Klassenwert II	Wertstufe II | Wertstufe II	Samenfraktion II; zweite Drogenfraktion; Menge-/Klassenwert II; Drogenstoff zugeben; Wurzelfraktion I; Menge-/Klassenwert II; trocken am Ende des Grades; Drogenholz, heiß am Gradende; Holzdroge, heiß auf Stufe II; Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen; Feuchtzubereitung; nehmen; heiß, Grad II; trockene Fraktion I; ein Maß Rohdroge I	Samenfraktion II; zweite Drogenfraktion; Wertstufe II; Drogenstoff zugeben; Wurzelfraktion I; Wertstufe II; trocken am Ende des Grades; Drogenholz, heiß am Gradende; Holzdroge, heiß auf Stufe II; Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen; Feuchtzubereitung; nehmen; heiß, Grad II; trockene Fraktion I; ein Maß Rohdroge I	2	0	0	0	2	0	13	1
18	f111v	f111v.39	S	B	3	11	0	1	2	4|11	chcthy|lchdy	dsheey qokal chedy chcthy qokain chedy lkeey shey qokain chedy lchdy	abgemessene, vollständig angefeuchtete Droge | Rohstoffklasse I, heiß am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, heiß am Gradende | feucht in der Mitte des Grades | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, getrocknete Kurz-/Kompaktform	abgemessene, vollständig angefeuchtete Droge | Rohstoffklasse I, heiß am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | trockenes Pflanzenmaterial | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | Drogenholz, heiß am Gradende | feucht in der Mitte des Grades | heiß, Grad II | trocken in der Mitte des Grades, abgeschlossen | getrocknete Holzdroge, Kompaktform	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Drogenholz, getrocknete Kurz-/Kompaktform	trockenes Pflanzenmaterial | getrocknete Holzdroge, Kompaktform	abgemessene, vollständig angefeuchtete Droge; Rohstoffklasse I, heiß am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, heiß am Gradende; feucht in der Mitte des Grades; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, getrocknete Kurz-/Kompaktform	abgemessene, vollständig angefeuchtete Droge; Rohstoffklasse I, heiß am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; trockenes Pflanzenmaterial; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, heiß am Gradende; feucht in der Mitte des Grades; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; getrocknete Holzdroge, Kompaktform	2	0	0	0	0	0	9	1
19	f112v	f112v.16	S	B	3	9	0	1	2	1|9	saiin|chdaly	saiin okeey sheey qoteedy qokey chedy qokeey qokeey chdaly	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	Samencharge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	Samen/Saatgut, Typ/Charge III | trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	Samencharge III | trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	Samen/Saatgut, Typ/Charge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; kalt am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades; trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	Samencharge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; kalt am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades; trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	1	0	0	0	1	0	7	1
20	f112v	f112v.46	S	B	3	12	0	1	2	10|12	chdal|daldy	ykeey lor chaiin cheky chokain char am chey kain chdal okaiin daldy	erhitze hiervon bis zur Endstufe und schließe ab | Holzportion | trocken, Grad III | bis zur mittleren Trockenstufe, dann leicht erhitzen | erhitze den Trockenansatz auf Stufe II | Trockenfraktion I | Maßeinheit I | trocken in der Mitte des Grades | heiß, Grad II | trockene abgemessene Rohstoffmenge I am Gradanfang | heiß, Grad III, im Ansatzrahmen | abgemessene Rohstoffmenge I, abgeschlossen	erhitze hiervon bis zur Endstufe und schließe ab | Holzportion | trocken, Grad III | bis zur mittleren Trockenstufe, dann leicht erhitzen | erhitze den Trockenansatz auf Stufe II | Trockenfraktion I | Maßeinheit I | trocken in der Mitte des Grades | heiß, Grad II | trockener abgewogener Rohstoffposten I am Gradanfang | heiß, Grad III, im Ansatzrahmen | abgewogener Rohstoffposten I, abgeschlossen	trockene abgemessene Rohstoffmenge I am Gradanfang | abgemessene Rohstoffmenge I, abgeschlossen	trockener abgewogener Rohstoffposten I am Gradanfang | abgewogener Rohstoffposten I, abgeschlossen	erhitze hiervon bis zur Endstufe und schließe ab; Holzportion; trocken, Grad III; bis zur mittleren Trockenstufe, dann leicht erhitzen; erhitze den Trockenansatz auf Stufe II; Trockenfraktion I; Maßeinheit I; trocken in der Mitte des Grades; heiß, Grad II; trockene abgemessene Rohstoffmenge I am Gradanfang; heiß, Grad III, im Ansatzrahmen; abgemessene Rohstoffmenge I, abgeschlossen	erhitze hiervon bis zur Endstufe und schließe ab; Holzportion; trocken, Grad III; bis zur mittleren Trockenstufe, dann leicht erhitzen; erhitze den Trockenansatz auf Stufe II; Trockenfraktion I; Maßeinheit I; trocken in der Mitte des Grades; heiß, Grad II; trockener abgewogener Rohstoffposten I am Gradanfang; heiß, Grad III, im Ansatzrahmen; abgewogener Rohstoffposten I, abgeschlossen	0	0	0	0	2	0	10	1
21	f115r	f115r.21	S	B	@	9	0	1	2	2|7	oaiin|rodaiin	yches oaiin or al chy cheody rodaiin cheockhy oeeody	trockne hiervon eine Charge bis zur Mittelstufe | Ansatzmenge III | Drogenportion | Rohstoffklasse I | trocken am Anfang des Grades | getrockneter Ansatz | drei Portionen Wurzel-/Wurzeldrogezubereitung | trocken angesetztes Arzneikompositum am Gradanfang | Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	trockne hiervon eine Charge bis zur Mittelstufe | drei Ansatzportionen | Drogenportion | Rohstoffklasse I | trocken am Anfang des Grades | getrockneter Ansatz | drei Portionen Wurzeldrogezubereitung | trocken angesetztes Arzneikompositum am Gradanfang | Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	Ansatzmenge III | drei Portionen Wurzel-/Wurzeldrogezubereitung	drei Ansatzportionen | drei Portionen Wurzeldrogezubereitung	trockne hiervon eine Charge bis zur Mittelstufe; Ansatzmenge III; Drogenportion; Rohstoffklasse I; trocken am Anfang des Grades; getrockneter Ansatz; drei Portionen Wurzel-/Wurzeldrogezubereitung; trocken angesetztes Arzneikompositum am Gradanfang; Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	trockne hiervon eine Charge bis zur Mittelstufe; drei Ansatzportionen; Drogenportion; Rohstoffklasse I; trocken am Anfang des Grades; getrockneter Ansatz; drei Portionen Wurzeldrogezubereitung; trocken angesetztes Arzneikompositum am Gradanfang; Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	1	0	0	0	1	0	7	1
22	f115v	f115v.15	S	B	3	12	0	1	2	1|9	saiin|rcheey	saiin chol qotain qokain chl lr chdain qoteey rcheey r ar rodam	Samen/Saatgut, Typ/Charge III | trocken; nominal trockenes Gut/Material | kalt im qo-Rahmen, Grad II | heiß, Grad II | trocknen | Wurzelholz | Trockendroge in Dosis II | kalt am Ende des Grades | Wurzel/Wurzeldroge, trocken gebunden, Form II | Wurzel | Drogenfraktion I | ein Maß Wurzelansatz abmessen	Samencharge III | trocken; nominal trockenes Gut/Material | kalt im qo-Rahmen, Grad II | heiß, Grad II | trocknen | Wurzelholz | Trockendroge in Dosis II | kalt am Ende des Grades | trocken gebundene Wurzeldroge, Form II | Wurzel | Drogenfraktion I | ein Maß Wurzelansatz abmessen	Samen/Saatgut, Typ/Charge III | Wurzel/Wurzeldroge, trocken gebunden, Form II	Samencharge III | trocken gebundene Wurzeldroge, Form II	Samen/Saatgut, Typ/Charge III; trocken; nominal trockenes Gut/Material; kalt im qo-Rahmen, Grad II; heiß, Grad II; trocknen; Wurzelholz; Trockendroge in Dosis II; kalt am Ende des Grades; Wurzel/Wurzeldroge, trocken gebunden, Form II; Wurzel; Drogenfraktion I; ein Maß Wurzelansatz abmessen	Samencharge III; trocken; nominal trockenes Gut/Material; kalt im qo-Rahmen, Grad II; heiß, Grad II; trocknen; Wurzelholz; Trockendroge in Dosis II; kalt am Ende des Grades; trocken gebundene Wurzeldroge, Form II; Wurzel; Drogenfraktion I; ein Maß Wurzelansatz abmessen	2	0	0	0	0	0	10	1
23	f11v	f11v.2	H	A	1	9	0	1	2	4|7	shcthy|ykchy	shol dy chckhy shcthy daiin dam ykchy dain dchy	feucht; nominal feuchtes Gut/Material | Qualitäts-/Wertfeld geschlossen | Arzneikompositum: trocken, Gradanfang | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Menge/Portion III | Dosis I | Eintrag/Bezug: heiß-trocken am Gradanfang | Grad-/Maßwert II | Dosis Trockendroge, Grundform	feucht; nominal feuchtes Gut/Material | Qualitäts-/Wertfeld geschlossen | Arzneikompositum: trocken, Gradanfang | feuchtes Pflanzenmaterial | Menge/Portion III | Dosis I | Eintrag: heiß-trocken am Gradanfang | Grad-/Maßwert II | Dosis Trockendroge, Grundform	feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Eintrag/Bezug: heiß-trocken am Gradanfang	feuchtes Pflanzenmaterial | Eintrag: heiß-trocken am Gradanfang	feucht; nominal feuchtes Gut/Material; Qualitäts-/Wertfeld geschlossen; Arzneikompositum: trocken, Gradanfang; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; Menge/Portion III; Dosis I; Eintrag/Bezug: heiß-trocken am Gradanfang; Grad-/Maßwert II; Dosis Trockendroge, Grundform	feucht; nominal feuchtes Gut/Material; Qualitäts-/Wertfeld geschlossen; Arzneikompositum: trocken, Gradanfang; feuchtes Pflanzenmaterial; Menge/Portion III; Dosis I; Eintrag: heiß-trocken am Gradanfang; Grad-/Maßwert II; Dosis Trockendroge, Grundform	2	0	0	0	0	0	7	1
24	f15r	f15r.8	H	A	1	6	0	1	2	1|6	shocthy|ctholy	shocthy tol kaiin s dain ctholy	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | kalt; nominal kaltes Gut/Material | heiß, Grad III | Samen-/Saatgutposten | Grad-/Maßwert II | Blatt-/Krautdroge, Grundform	feuchte Pflanzenzubereitung | kalt; nominal kaltes Gut/Material | heiß, Grad III | Samen-/Saatgutposten | Grad-/Maßwert II | Pflanzendroge, Grundform	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | Blatt-/Krautdroge, Grundform	feuchte Pflanzenzubereitung | Pflanzendroge, Grundform	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; kalt; nominal kaltes Gut/Material; heiß, Grad III; Samen-/Saatgutposten; Grad-/Maßwert II; Blatt-/Krautdroge, Grundform	feuchte Pflanzenzubereitung; kalt; nominal kaltes Gut/Material; heiß, Grad III; Samen-/Saatgutposten; Grad-/Maßwert II; Pflanzendroge, Grundform	2	0	0	0	0	0	4	1
25	f16v	f16v.10	H	A	1	8	0	1	2	4|7	ykchy|cthor	qokchy chy dy ykchy chckhy otain cthor cthy	heiß und trocken am Anfang des Grades | trocken am Anfang des Grades | Qualitäts-/Wertfeld geschlossen | Eintrag/Bezug: heiß-trocken am Gradanfang | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad II | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | CTH-Drogenmaterial	heiß und trocken am Anfang des Grades | trocken am Anfang des Grades | Qualitäts-/Wertfeld geschlossen | Eintrag: heiß-trocken am Gradanfang | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad II | eine Portion Pflanzendroge | CTH-Drogenmaterial	Eintrag/Bezug: heiß-trocken am Gradanfang | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	Eintrag: heiß-trocken am Gradanfang | eine Portion Pflanzendroge	heiß und trocken am Anfang des Grades; trocken am Anfang des Grades; Qualitäts-/Wertfeld geschlossen; Eintrag/Bezug: heiß-trocken am Gradanfang; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad II; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; CTH-Drogenmaterial	heiß und trocken am Anfang des Grades; trocken am Anfang des Grades; Qualitäts-/Wertfeld geschlossen; Eintrag: heiß-trocken am Gradanfang; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad II; eine Portion Pflanzendroge; CTH-Drogenmaterial	2	0	0	0	0	0	6	1
26	f18r	f18r.13	H	A	1	6	0	1	2	3|4	cthar|cthal	or shaiin cthar cthal okal dar	Drogenportion | feucht, Grad III | CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | Kraut- oder Blattdroge aus Rohdroge I | Rohstoffklasse I im Ansatz, heiß am Gradanfang | abgemessene Fraktion I	Drogenportion | feucht, Grad III | Pflanzenanteil I | Pflanzendroge aus Rohdroge I | Rohstoffklasse I im Ansatz, heiß am Gradanfang | abgemessene Fraktion I	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | Kraut- oder Blattdroge aus Rohdroge I	Pflanzenanteil I | Pflanzendroge aus Rohdroge I	Drogenportion; feucht, Grad III; CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I; Kraut- oder Blattdroge aus Rohdroge I; Rohstoffklasse I im Ansatz, heiß am Gradanfang; abgemessene Fraktion I	Drogenportion; feucht, Grad III; Pflanzenanteil I; Pflanzendroge aus Rohdroge I; Rohstoffklasse I im Ansatz, heiß am Gradanfang; abgemessene Fraktion I	1	0	1	0	0	0	4	1
27	f20v	f20v.7	H	A	1	8	0	1	2	1|8	shocthy|soaiin	shocthy sho cthy daiin sheoy tey s soaiin	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | feuchter Ansatz | CTH-Drogenmaterial | Menge/Portion III | feucht angesetzte Zubereitung am Gradanfang | kalt in der Mitte des Grades | Samen-/Saatgutposten | Samen/Saatgutzubereitung, Charge III	feuchte Pflanzenzubereitung | feuchter Ansatz | CTH-Drogenmaterial | Menge/Portion III | feucht angesetzte Zubereitung am Gradanfang | kalt in der Mitte des Grades | Samen-/Saatgutposten | Samenzubereitung, Charge III	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung | Samen/Saatgutzubereitung, Charge III	feuchte Pflanzenzubereitung | Samenzubereitung, Charge III	feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; feuchter Ansatz; CTH-Drogenmaterial; Menge/Portion III; feucht angesetzte Zubereitung am Gradanfang; kalt in der Mitte des Grades; Samen-/Saatgutposten; Samen/Saatgutzubereitung, Charge III	feuchte Pflanzenzubereitung; feuchter Ansatz; CTH-Drogenmaterial; Menge/Portion III; feucht angesetzte Zubereitung am Gradanfang; kalt in der Mitte des Grades; Samen-/Saatgutposten; Samenzubereitung, Charge III	2	0	0	0	0	0	6	1
