statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	fluent_owner_expansion_de	event_count	common_portable_count	local_common_axis_count	prose_extension_count	whole_or_local_count
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chedy qolky lchedal qol otar	[KERN:überführen] [ACHSE:OL→Weiterweg] [ACHSE:AL+CHED~CHD+L→Zielabführung] [KERN:weiter] [ACHSE:OT+AR→Folgequelle]	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	5	2	3	0	0
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	ytey okchedy	[GANZKARTE:Kurzteil] [ACHSE:CHED~CHD→einführen; Schluss]	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	2	0	1	0	1
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	qokal okeey qol cheedy	[KERN:dorthin einsetzen] [ACHSE:OK+Y+EE→lange einwirken] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	4	2	2	0	0
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	sal teol dchdy	[KERN:dorthin] [ACHSE:OL+E→kurz weiterführen] [ACHSE:CHED~CHD→Transfer; Schluss]	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	3	1	2	0	0
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	ly dsheol oiiin olkeedy	[GANZKARTE:Auffanggefäß] [ACHSE:OL+E→Kurzhalt] [PROSA:Arbeitsstufe] [PROSA:lange sammeln; Schluss]	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	4	0	1	2	1
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	tedy	[ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Kurz absetzen lassen; Schluss.	1	0	1	0	0
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	cheky shckhedy	[ACHSE:Y+E+CHK→kurz wärmen] [PROSA:durchlassen; Schluss]	Kurz wärmen und durchlassen; Schluss.	2	0	1	1	0
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	chal	[KERN:dorthin]	Dorthin bringen.	1	1	0	0	0
B2-S001	B2	obere Paarbecken-/Zylinderstation	dchedy	[ACHSE:CHED~CHD→überführen; Schluss]	In die obere Paarbeckenstation überführen; Schluss.	1	0	1	0	0
B2-S002	B2	obere Paarbecken-/Zylinderstation	qolchedy	[ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Durch die obere Station weiterführen; Schluss.	1	0	1	0	0
B2-S003	B2	obere Paarbecken-/Zylinderstation	qokain dy qokeedy	[PROSA:Anteil zugeben] [KERN:dies] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	3	1	1	1	0
B2-S004	B2	obere Paarbecken-/Zylinderstation	qokal lcheckhy lched qokeey lcheckhedy	[KERN:dorthin einsetzen] [ACHSE:Y+L+CKH→Abführpassage] [ACHSE:CHED~CHD+L→Abführung] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Trennabzug; Schluss]	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	5	1	3	1	0
B2-S005	B2	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	[ACHSE:OK+AL+Y→Zieleinsatz] [ACHSE:AIIN+SOLK→Sollsammlung] [ACHSE:Y+CKH→durchleiten] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+AIIN→bemessen] [ACHSE:OL+CTH→Fortsetzung vorbereiten] [ACHSE:Y+EE+CHK→Langwärmen] [ACHSE:DY+L→abziehen; Schluss]	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	8	0	8	0	0
B2-S006	B2	obere Paarbecken-/Zylinderstation	oteey qokal sheckhy qoky	[ACHSE:OT+Y+EE→Langfolge] [KERN:dorthin einsetzen] [ACHSE:Y+E+CKH→Kurzpassage] [KERN:einsetzen]	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	4	2	2	0	0
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	dshedy	[GANZKARTE:Frischwasser zugeben; Schluss]	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	1	0	0	0	1
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	sotaiin qokar shedy	[ACHSE:OT+AIIN→Folgemaß] [ACHSE:OK+AR→Quelleinsatz] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	3	0	3	0	0
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	solshedy	[ACHSE:OL+SHED→Folgeabsetzen; Schluss]	Den Folgeposten absetzen lassen; Schluss.	1	0	1	0	0
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	qokeey qoky ls cheey	[ACHSE:OK+Y+EE→lange einwirken] [KERN:einsetzen] [PROSA:Auslass] [KERN:Freigabewert]	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	4	2	1	1	0
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	okain char okain qokeedy	[PROSA:Anteil zugeben] [KERN:davon] [PROSA:Anteil zugeben] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.	4	1	1	2	0
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	[ACHSE:Y+L→Abführgut] [KERN:Freigabewert] [ACHSE:Y+E+CTH→kurz vorbereiten] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Klarabzug] [KERN:Sollwert] [KERN:dies] [ACHSE:OK+DY+EEE→Volleinsatz; Schluss]	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	8	3	4	1	0
B2-S013	B2	unteres grünes Mehrfigurenfeld	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	In das untere grüne Mehrfigurenfeld abführen; Schluss.	1	0	1	0	0
B2-S014	B2	unteres grünes Mehrfigurenfeld	lar	[ACHSE:AR+L→Quellabzug]	Aus der Quelle abziehen.	1	0	1	0	0
B2-S015	B2	lokale Randstationen des unteren Feldes	tshey qokeedy	[LOKAL:Folgeklarlauf] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	2	0	1	0	1
B2-S016	B2	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	[KERN:dorthin] [ACHSE:AR+CHED~CHD+L→Quellabführung] [GANZKARTE:teilen] [KERN:Sollwert] [ACHSE:OT+Y+EE→Langfolge] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+Y+E→kurz einwirken] [ACHSE:CHED~CHD+P→Zuführung; Schluss]	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	8	2	5	0	1
B2-S017	B2	lokale Randstationen des unteren Feldes	rsheal daldy	[ACHSE:AL+E→Kurzhalt am Ziel] [ACHSE:AL+DY→Zielschluss]	Am Ziel kurz halten und den Zielschritt schließen.	2	0	2	0	0
B2-S018	B2	lokale Randstationen des unteren Feldes	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0
B2-S019	B2	lokale Randstationen des unteren Feldes	rshedy	[GANZKARTE:Vollwaschung; Schluss]	Eine Vollwaschung ausführen; Schluss.	1	0	0	0	1
B2-S020	B2	lokale Randstationen des unteren Feldes	qoteedy	[ACHSE:OT+EE→lange Folgestufe; Schluss]	Die folgende Stufe länger halten; Schluss.	1	0	1	0	0
B2-S021	B2	lokale Randstationen des unteren Feldes	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0
B2-S022	B2	lokale Randstationen des unteren Feldes	lochedy	[ACHSE:DY+CHED~CHD+L→Abführung; Schluss]	Abführen; Schluss.	1	0	1	0	0
B3-S001	B3	obere offene Fächer-Randstation	olkeedy	[PROSA:lange sammeln; Schluss]	An der oberen offenen Randstation länger auffangen; Schluss.	1	0	0	1	0
B3-S002	B3	obere offene Fächer-Randstation	qotal chkeedy	[ACHSE:OT+AL→danach dorthin] [ACHSE:DY+EE+CHK→Langwärmen; Schluss]	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	2	0	2	0	0
B3-S003	B3	obere offene Fächer-Randstation	chey daiin chey lchedy	[KERN:dies] [KERN:Sollwert] [KERN:dies] [ACHSE:CHED~CHD+L→abführen; Schluss]	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	4	3	1	0	0
B3-S004	B3	obere offene Fächer-Randstation	qokaiin qotal dar	[ACHSE:OK+AIIN→bemessen] [ACHSE:OT+AL→danach dorthin] [KERN:davon]	Davon eine Menge abmessen und zur folgenden Stelle bringen.	3	1	2	0	0
B3-S005	B3	mittlere runde Gefäß-Randstation	schedy	[ACHSE:CHED~CHD→überführen; Schluss]	In die mittlere runde Randstation überführen; Schluss.	1	0	1	0	0
B3-S006	B3	mittlere runde Gefäß-Randstation	chedchy qokal olchedy	[ACHSE:Y+CHED~CHD→Postentransfer] [KERN:dorthin einsetzen] [ACHSE:OL+DY+CHED~CHD→weiterführen; Schluss]	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.	3	1	2	0	0
B3-S007	B3	mittlere runde Gefäß-Randstation	qokaiin chedy qokeedy	[ACHSE:OK+AIIN→bemessen] [KERN:überführen] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	Bemessen, überführen und länger einwirken lassen; Schluss.	3	1	2	0	0
B3-S008	B3	mittlere runde Gefäß-Randstation	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0
B3-S009	B3	mittlere runde Gefäß-Randstation	qoky	[KERN:einsetzen]	Den Posten einsetzen.	1	1	0	0	0
B3-S010	B3	untere korbartige Gefäß-Randstation	pchedal otedy	[ACHSE:AL+CHED~CHD+P→Zielzuführung] [ACHSE:OT+E→Kurzfolge; Schluss]	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.	2	0	2	0	0
B3-S011	B3	untere korbartige Gefäß-Randstation	shecthedchy qoky chedy chary	[ACHSE:Y+CHED~CHD+CTH→Vorbereitungstransfer] [KERN:einsetzen] [KERN:überführen] [ACHSE:AR+Y→Quellposten]	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.	4	2	2	0	0
B3-S012	B3	untere korbartige Gefäß-Randstation	sor shedy	[KERN:Ansatz] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Den Ansatz kurz absetzen lassen; Schluss.	2	1	1	0	0
B3-S013	B3	untere korbartige Gefäß-Randstation	qokaiin chkain shcthey qokedy	[ACHSE:OK+AIIN→bemessen] [PROSA:Portion] [ACHSE:Y+E+CTH→kurz vorbereiten] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	4	0	3	1	0
B3-S014	B3	untere korbartige Gefäß-Randstation	okair sheedy	[ACHSE:OK+AIR→Laufeinsatz] [ACHSE:DY+EE+SHED→Langabsetzen; Schluss]	In den Lauf einsetzen und länger absetzen lassen; Schluss.	2	0	2	0	0
B3-S015	B3	untere korbartige Gefäß-Randstation	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0
B3-S016	B3	untere korbartige Gefäß-Randstation	lo qokchedy	[PROSA:Abzug] [ACHSE:CHED~CHD→einführen; Schluss]	Abziehen und in die nächste Station einführen; Schluss.	2	0	1	1	0
B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokeedy	[ACHSE:OK+DY+EE→lange einwirken; Schluss]	Länger einwirken lassen; Schluss.	1	0	1	0	0
B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	shedy	[ACHSE:DY+E+SHED→kurz absetzen; Schluss]	Kurz absetzen lassen; Schluss.	1	0	1	0	0
B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokshedy	[ACHSE:OK+SHED→Einsatzabsetzen; Schluss]	Nach dem Einsatz absetzen lassen; Schluss.	1	0	1	0	0
B3-S020	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	dal lchedy	[KERN:dorthin] [ACHSE:CHED~CHD+L→abführen; Schluss]	Dorthin führen und abführen; Schluss.	2	1	1	0	0
B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	[ACHSE:OK+AIIN→bemessen] [ACHSE:Y+CTH→bereit] [KERN:dorthin] [KERN:dies] [KERN:Sollwert] [ACHSE:AL+SHED→am Ziel absetzen] [ACHSE:Y+E+CTH→Kurzvorbereitung] [KERN:dies] [KERN:dorthin] [ACHSE:Y+CTH→bereit] [ACHSE:AL+CHED~CHD→Zieltransfer; Schluss]	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.	11	5	6	0	0
B3-S022	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qotchedy	[ACHSE:OT+DY+CHED~CHD→Folgetransfer; Schluss]	Zur folgenden Station übertragen; Schluss.	1	0	1	0	0
B3-S023	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	lchedy	[ACHSE:CHED~CHD+L→abführen; Schluss]	Aus der Station abführen; Schluss.	1	0	1	0	0
B3-S024	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	tchedy	[ACHSE:CHED~CHD→überführen; Schluss]	Überführen; Schluss.	1	0	1	0	0
B3-S025	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokchdy	[ACHSE:CHED~CHD→einführen; Schluss]	In die nächste Station einführen; Schluss.	1	0	1	0	0
B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	[ACHSE:AR+CHED~CHD→Quelltransfer] [ACHSE:AIIN→Sollabsetzung] [KERN:überführen] [PROSA:Anteil zugeben] [ACHSE:Y+CTH→bereit] [ACHSE:AL+OR→Zielbereitung] [PROSA:lange sammeln; Schluss]	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.	7	1	4	2	0
B3-S027	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qoteedy	[ACHSE:OT+EE→lange Folgestufe; Schluss]	Die folgende Stufe länger halten; Schluss.	1	0	1	0	0
B3-S028	B3	Hauptpaar am sichtbaren ungerichteten Bogen	qokeey qokedy	[ACHSE:OK+Y+EE→lange einwirken] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	2	0	2	0	0
B3-S029	B3	Hauptpaar am sichtbaren ungerichteten Bogen	sol cheeety qokedy	[KERN:weiter] [PROSA:Vollteil] [ACHSE:OK+DY+E→kurz einwirken; Schluss]	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.	3	1	1	1	0
