visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
chod	1	f68r1	A2_MIDDLE_PANEL_HEADER	HO	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A2_MIDDLE_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/d.	KEEP_RENDERER
choeea	1	f67r2	A1_LEFT_LOCAL_FIELD_50	HO	eea	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/a.	KEEP_BOUND_OR_LOCAL
choer	1	f67r2	A1_LEFT_LOCAL_FIELD_49	HO	er	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_49: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/er.	KEEP_BOUND_OR_LOCAL
chokal	1	f68r1	A2_RIGHT_PANEL_HEADER	HO+AL	k	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A2_RIGHT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ch.	KEEP_LOCAL
choky	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	HO	ky	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten setzen.	KEEP_BOUND_OR_LOCAL
chol	4	f67r2|f69v	A1_LEFT_LOCAL_FIELD_35|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	HO	l	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.	KEEP_LOCAL
choly	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	HO	ly	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/y.	KEEP_BOUND_OR_LOCAL
chos	2	f67r2	A1_LEFT_LOCAL_FIELD_42|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	HO	s	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/s.	KEEP_RENDERER
choteey	1	f68r1	A2_LEFT_PANEL_HEADER	HO	teey	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe; lokaler Namensrest ch/y.	KEEP_BOUND_OR_LOCAL
chpor	1	f68r1	A2_MIDDLE_PANEL_HEADER	OR	chp	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_MIDDLE_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest chp.	KEEP_LOCAL
chsdy	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	chsdy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: sekundärer Zustand fest.	KEEP_LOCAL
chteey	1	f68r1	A2_LEFT_PANEL_HEADER	NONE	chteey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe; lokaler Namensrest cht/y.	KEEP_LOCAL
chy	2	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_11|A3_RIGHT_WHEEL_RING_TEXT	NONE	chy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: dieser lokale Diagrammposten.	KEEP_LOCAL
chykar	1	f69v	A3_LEFT_WHEEL_RING_TEXT	AR	chyk	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Radstelle A3_LEFT_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest chyk.	KEEP_BOUND_OR_LOCAL
chykchs	1	f67r2	A1_RIGHT_SECTOR_SLOT_11	KCH	chys	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest chy/s.	KEEP_BOUND_OR_LOCAL
cpheey	1	f67r2	A1_RIGHT_PHASE_STATION_03	NONE	cpheey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.	KEEP_LOCAL
cphocthy	1	f68r1	A2_STAR_STATION_09	CTH	cphoy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_09: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest cp/cthy.	KEEP_BOUND_OR_LOCAL
cphol	1	f68r1	A2_LEFT_PANEL_HEADER	OL	cph	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A2_LEFT_PANEL_HEADER: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest cph.	KEEP_LOCAL
d	1	f69v	A3_LEFT_RADIAL_SLOT_23	NONE	d	RENDERER_FRAME	NONE	KEIN SACHWERT	A3_LEFT_RADIAL_SLOT_23: Festwert.	KEEP_RENDERER
dadaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_51	AIIN	dad	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.	KEEP_LOCAL
daiial	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AL	daii	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest daii.	KEEP_LOCAL
daiin	4	f67r2	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_LOCAL_FIELD_36|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_OUTER_STAR_STATION_05	AIIN	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes.	KEEP_RENDERER
dain	1	f67r2	A1_LEFT_LOCAL_FIELD_48	AIN	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	KEEP_RENDERER
dair	3	f69v	A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	AIR	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest d.	KEEP_RENDERER
dal	5	f67r2|f69v	A1_LEFT_LOCAL_FIELD_18|A1_LEFT_OUTER_STAR_STATION_07|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	AL	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz.	KEEP_RENDERER
dar	2	f67r2|f69v	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT	AR	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.	KEEP_RENDERER
daram	1	f68r1	A2_RIGHT_PANEL_HEADER	AR	dam	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A2_RIGHT_PANEL_HEADER: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d/am.	KEEP_LOCAL
dary	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_06	AR	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_06: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d/y.	KEEP_BOUND_OR_LOCAL
dchdar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_02	CHD+AR	d	RENDERER_FRAME	NONE	KEIN SACHWERT	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	KEEP_RENDERER
dchetay	1	f67r2	A1_RIGHT_SECTOR_SLOT_06	NONE	dchetay	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_RIGHT_SECTOR_SLOT_06: fester Hauptphasenwert.	KEEP_LOCAL
dchor	2	f68r1|f69v	A2_MULTIPANEL_HEADER_FRAGMENT_04|A3_LEFT_WHEEL_RING_TEXT	HO	dr	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest dch.	KEEP_LOCAL
dchy	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	NONE	dchy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_RIGHT_WHEEL_RING_TEXT: fester Zustand.	KEEP_LOCAL
doair	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	AIR	do	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest do.	KEEP_LOCAL
doiin	1	f67r2	A1_RIGHT_RING_BAND_02	NONE	doiin	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.	KEEP_LOCAL
doiir	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	doiir	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: fester Grundindex.	KEEP_LOCAL
dokan	1	f67r2	A1_LEFT_LOCAL_FIELD_33	OK	dan	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_33: Diagrammposten setzen oder aktivieren; lokaler Namensrest d/an.	KEEP_LOCAL
dolchedy	1	f68r1	A2_STAR_STATION_28	OL+CHD	dy	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.	KEEP_BOUND_OR_LOCAL
dolchsody	1	f67r2	A1_LEFT_LOCAL_FIELD_15	OL	dchsody	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_15: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest d/chsody.	KEEP_BOUND_OR_LOCAL
dosar	1	f67r2	A1_LEFT_LOCAL_FIELD_32	AR	dos	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_32: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dos.	KEEP_LOCAL
dy	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_17|A1_LEFT_LOCAL_FIELD_39|A1_LEFT_LOCAL_FIELD_48|A1_LEFT_OUTER_STAR_STATION_06|A3_LEFT_RADIAL_SLOT_02|A3_LEFT_RADIAL_SLOT_22|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	NONE	dy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten.	KEEP_LOCAL
eckhear	1	f68r1	A2_RIGHT_PANEL_HEADER	CKHE+AR	e	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sektorplatz A2_RIGHT_PANEL_HEADER: durch Sektor, Ring oder Pruefweg fuehren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	KEEP_BOUND_OR_LOCAL
eesydy	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	NONE	eesydy	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	KEEP_LOCAL
es	1	f67r2	A1_LEFT_LOCAL_FIELD_45	NONE	es	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_LOCAL_FIELD_45: ausgewählter Nebenwert.	KEEP_LOCAL
ey	1	f67r2	A1_RIGHT_SECTOR_SLOT_03	NONE	ey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	KEEP_LOCAL
eykeody	1	f69v	A3_LEFT_WHEEL_RING_TEXT	NONE	eykeody	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.	KEEP_LOCAL
g	1	f67r2	A1_LEFT_OUTER_STAR_STATION_07	NONE	g	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	A1_LEFT_OUTER_STAR_STATION_07: Gradwert.	KEEP_LOCAL
