group_serial	page	locus	visible_owner	visible_surface	new_local_core	new_local_core_value_de	existing_atoms	spoken_workshop_reading_de
205	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	yteody	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
209	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	ykor	YK	KLASSE/HAUS	OR	bezeichnete Klasse oder Haus + OR
219	f68r1	f68r1.5	A2_MULTIPANEL_HEADER_FRAGMENT_05	yky	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
232	f68r1	f68r1.18	A2_STAR_STATION_10	ytchody	YT	PLATZ/PHASE	HO	bezeichneter Platz oder Phase + HO
243	f68r1	f68r1.29	A2_STAR_STATION_21	ykchdy	YK	KLASSE/HAUS	KCH	bezeichnete Klasse oder Haus + KCH
287	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	yto	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
296	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	yka	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
298	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykar	YK	KLASSE/HAUS	AR	bezeichnete Klasse oder Haus + AR
300	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykady	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
304	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykeeal	YK	KLASSE/HAUS	AL	bezeichnete Klasse oder Haus + AL
318	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykey	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
323	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykar	YK	KLASSE/HAUS	AR	bezeichnete Klasse oder Haus + AR
326	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykeeody	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
350	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	ytyd	YT	PLATZ/PHASE	TY	bezeichneter Platz oder Phase + TY
368	f69v	f69v.7	A3_LEFT_RADIAL_SLOT_04	ykeey	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
369	f69v	f69v.8	A3_LEFT_RADIAL_SLOT_05	ytory	YT	PLATZ/PHASE	OR	bezeichneter Platz oder Phase + OR
371	f69v	f69v.10	A3_LEFT_RADIAL_SLOT_07	ytody	YT	PLATZ/PHASE	NONE	bezeichneter Platz oder Phase
378	f69v	f69v.17	A3_LEFT_RADIAL_SLOT_14	ykeydy	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
383	f69v	f69v.22	A3_LEFT_RADIAL_SLOT_19	ykeody	YK	KLASSE/HAUS	NONE	bezeichnete Klasse oder Haus
