visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
yteos	1	f67r2	A1_LEFT_LOCAL_FIELD_40	NONE	yteos	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yto	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_26|A3_LEFT_WHEEL_RING_TEXT	NONE	yto	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytoaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_37	AIIN	yto	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + AIIN	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytodal	1	f67r2	A1_LEFT_OUTER_STAR_STATION_04	AL	ytod	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + AL	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytody	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_29|A3_LEFT_RADIAL_SLOT_07	NONE	ytody	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytoeopchey	1	f67r2	A1_LEFT_LOCAL_FIELD_41	NONE	ytoeopchey	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytokar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_10	OK+AR	yt	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OK+AR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytor	1	f67r2	A1_LEFT_LOCAL_FIELD_36	OR	yt	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytory	1	f69v	A3_LEFT_RADIAL_SLOT_05	OR	yty	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytyd	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	TY	yd	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + TY	PROMOTE_ASTRO_LOCAL_TABLE_STEM
