statement_id	page	record	motif_id	card_sequence	surface_sequence	position_class	ends_statement	contains_exact_close_card	exact_close_cards	endpoint_class	motif_reading_de	exact_card_reading_de
B3-S003	f83r	B3	M01_ITEM_MEASURE_FRAME	PROC019|PROC009|PROC019	chey daiin chey	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	ARBEITSPOSTEN -> SOLLMASS -> ARBEITSPOSTEN
B3-S007	f83r	B3	M07_TRANSFER_LONG_CLOSE	PROC042|PROC100	chedy qokeedy	CLOSE	YES	YES	PROC100	EXPLICIT_CLOSE_AT_END	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG; SCHLUSS
B3-S021	f83r	B3	M01_ITEM_MEASURE_FRAME	PROC019|PROC009	sy saiin	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	ARBEITSPOSTEN -> SOLLMASS
B3-S028	f83r	B3	M09_LONG_SET_BRANCH	PROC092|PROC067	qokeey qokedy	WHOLE_STATEMENT	YES	YES	PROC067	EXPLICIT_CLOSE_AT_END	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · KURZ; SCHLUSS
B3-S030	f83r	B3	M02_SET_ITEM_MEASURE	PROC008|PROC009	qoky saiin	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	POSTEN ANSETZEN, DANN SOLLMASS	ANSETZEN · ARBEITSPOSTEN -> SOLLMASS
B4-S002	f83r	B4	M09_LONG_SET_BRANCH	PROC092|PROC067	qokeey qokedy	CLOSE	YES	YES	PROC067	EXPLICIT_CLOSE_AT_END	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · KURZ; SCHLUSS
B4-S003	f83r	B4	M09_LONG_SET_BRANCH	PROC092|PROC008	qokeey qoky	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN
B4-S003	f83r	B4	M04_CONTINUE_CLOSE	PROC013|PROC078	tol shedy	CLOSE	YES	YES	PROC078	EXPLICIT_CLOSE_AT_END	FORTSETZEN, ABSETZEN UND SCHLIESSEN	FORTSETZEN -> ABSETZEN; SCHLUSS
B4-S005	f83r	B4	M07_TRANSFER_LONG_CLOSE	PROC042|PROC100	chedy qokeedy	CLOSE	YES	YES	PROC100	EXPLICIT_CLOSE_AT_END	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS	UMSETZEN · ARBEITSPOSTEN -> ANSETZEN · LANG; SCHLUSS
B4-S011	f83r	B4	M06_FEED_CONTINUATION	PROC042|PROC013	chdy sol	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	UMSETZEN · ARBEITSPOSTEN -> FORTSETZEN
B4-S014	f83r	B4	M03_PREPARATION_ITEM	PROC016|PROC019	or chey	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	ANSATZ -> ARBEITSPOSTEN
B4-S016	f83r	B4	M08_PORTION_TARGET	PROC070|PROC055	qolkain dal	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN	FORTSETZEN · ZUDOSIEREN · PORTION -> ZIELSTELLE
B5-S003	f83r	B5	M06_FEED_CONTINUATION	PROC055|PROC013	dal cheol	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	ZIELSTELLE -> FORTSETZEN
B5-S003	f83r	B5	M05_MEASURE_CONTINUATION	PROC009|PROC013	aiin sol	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN	SOLLMASS -> FORTSETZEN
B6-S001	f83r	B6	M05_MEASURE_CONTINUATION	PROC013|PROC009	ol daiin	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN	FORTSETZEN -> SOLLMASS
