stage	unit	page	surface_sequence	literal_sequence_de	fluent_workshop_reading_de	marks	all_marks_have_concrete_default
APPLY_B2	B2-S009	f82r	solshedy	WEITER · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	1	YES
APPLY_B2	B2-S010	f82r	qokeey qoky ls cheey	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · POSTEN; WEITER; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	4	YES
APPLY_B2	B2-S011	f82r	okain char okain qokeedy	ANSETZEN · EIN ABGEGRENZTER TEIL; QUELLE; ANSETZEN · EIN ABGEGRENZTER TEIL; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	4	YES
APPLY_B2	B2-S012	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	LEITEN · ENTNEHMEN · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN; EIN KLEINER SCHOEPFBECHER; POSTEN; ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	8	YES
APPLY_B2	B2-S013	f82r	lchedy	LEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	1	YES
APPLY_B2	B2-S014	f82r	lar	LEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	1	YES
APPLY_B2	B2-S015	f82r	tshey qokeedy	HALTEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	2	YES
APPLY_B2	B2-S016	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	ZIELSTELLE; LEITEN · UMSETZEN · QUELLE; ENTNEHMEN · EIN KURZER ARBEITSGANG · PROBE; EIN KLEINER SCHOEPFBECHER; DANACH · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KLEINER SCHOEPFBECHER; ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN; EINBRINGEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.	8	YES
APPLY_B2	B2-S017	f82r	rsheal daldy	KUEHLEN · HALTEN · EIN KURZER ARBEITSGANG · ZIELSTELLE; ZIELSTELLE · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	2	YES
APPLY_B2	B2-S018	f82r	qokeedy	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	YES
APPLY_B2	B2-S019	f82r	rshedy	KUEHLEN · STEHENLASSEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	1	YES
APPLY_B2	B2-S020	f82r	qoteedy	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	1	YES
APPLY_B2	B2-S021	f82r	qokeedy	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	YES
APPLY_B2	B2-S022	f82r	lochedy	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	1	YES
CONDITION_C4@f69v.12	f69v.12	f69v	otody	DEN FOLGENDEN LOKALEN BEDINGUNGSEINTRAG WAEHLEN UND SCHLIESSEN	Wähle den folgenden lokalen Bedingungseintrag C4@f69v.12 und schließe seine Etikette.	1	YES
