unit_id	page	visible_owner	surface_sequence	card_by_card_reading_de	fluent_working_reading_de	content_phrase_ids	content_source_classes	silent_phrase_count	teaching_instruction_de
H5-S003	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	sh cho kchey qokokchy	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	KRAUT	OWNER_PLUS_ARTICLE_DETAIL	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H5-S004	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	okchy chokcheo kchal	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	WEIN|AUSZUG|TUCH	LEARNED_TOOL_OR_EXEMPLAR|MASTER_EXEMPLAR_MATERIAL|PROCESS_RESULT	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H5-S005	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	sho chokchy kchoar sotodan	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	AUSZUG	PROCESS_RESULT	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H5-S006	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	otchey keol daiin	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	TEIL|MASS	CARD_LEXICON	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S001	f81v	dem gemeinsamen zweireihigen Becken	qokedy	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	BECKEN|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S002	f81v	dem gemeinsamen zweireihigen Becken	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	ANSATZ|BECKEN|GEFAESS|TEIL	CARD_LEXICON|PROCESS_STATE|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S003	f81v	dem gemeinsamen zweireihigen Becken	qol sshkchdy	fortsetzen; im Arbeitsgang schwenken; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S004	f81v	dem gemeinsamen zweireihigen Becken	chedy ol shedy	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S005	f81v	dem gemeinsamen zweireihigen Becken	qolchedy	weiterüberführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	BECKEN|GEFAESS|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S006	f81v	dem gemeinsamen zweireihigen Becken	qokain shckhy dl ral	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	BECKEN|GEFAESS|TEIL	CARD_LEXICON|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S007	f81v	dem gemeinsamen zweireihigen Becken	qokchdy	Umsetzung ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S008	f81v	dem gemeinsamen zweireihigen Becken	chey ol cheky ol shedy	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	BECKEN|PORTION	CARD_LEXICON|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S009	f81v	dem gemeinsamen zweireihigen Becken	qokedy	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	BECKEN|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S010	f81v	dem gemeinsamen zweireihigen Becken	qokedy	kurz ansetzen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	BECKEN|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S011	f81v	dem gemeinsamen zweireihigen Becken	chckhy qoky	durchleiten; aktuellen Posten ansetzen	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S012	f81v	dem gemeinsamen zweireihigen Becken	lsho qokey lshedy	Waschgang beginnen; kurz ansetzen; waschen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	WASSER|BECKEN	MASTER_EXEMPLAR_MATERIAL|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S013	f81v	dem gemeinsamen zweireihigen Becken	lshedy	waschen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S014	f81v	dem gemeinsamen zweireihigen Becken	chedy qolky lchedal qol otar	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	BECKEN|ABLAUF|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_PROCESS	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S015	f81v	dem gemeinsamen zweireihigen Becken	ytey okchedy	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	BECKEN|GEFAESS	VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S016	f81v	dem gemeinsamen zweireihigen Becken	qokal okeey qol cheedy	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S017	f81v	dem gemeinsamen zweireihigen Becken	sal teol dchdy	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	BECKEN|OEFFNUNG	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S018	f81v	dem gemeinsamen zweireihigen Becken	ly dsheol oiiin olkeedy	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	FLUESSIGKEIT|BECKEN|GEFAESS|STELLE	OWNER_PROCESS_MEDIUM|VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S019	f81v	dem gemeinsamen zweireihigen Becken	tedy	kurz absetzen lassen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S020	f81v	dem gemeinsamen zweireihigen Becken	cheky shckhedy	kurz wärmen; seihen; Schluss	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	BECKEN|TUCH	LEARNED_TOOL_OR_EXEMPLAR|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B1-S021	f81v	dem gemeinsamen zweireihigen Becken	chal	dorthin	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	BECKEN	VISIBLE_OWNER_NOUN	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S001	f82r	den oberen Paarbecken mit Zylinder	dchedy	Posten überführen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	BECKEN|GEFAESS	VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S002	f82r	den oberen Paarbecken mit Zylinder	qolchedy	weiterüberführen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	BECKEN|GEFAESS|STELLE	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S003	f82r	den oberen Paarbecken mit Zylinder	qokain dy qokeedy	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	BECKEN|GEFAESS|TEIL|PORTION	CARD_LEXICON|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S004	f82r	den oberen Paarbecken mit Zylinder	qokal lcheckhy lched qokeey lcheckhedy	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	BECKEN|OEFFNUNG	VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S005	f82r	den oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	BECKEN|GEFAESS|TUCH	LEARNED_TOOL_OR_EXEMPLAR|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S006	f82r	den oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	FLUESSIGKEIT|BECKEN|STELLE|TEIL	CARD_LEXICON|OWNER_PROCESS_MEDIUM|VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
B2-S007	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	dshedy	kurz absetzen; Schluss	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	WASSER	MASTER_EXEMPLAR_MATERIAL	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
