card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command
PROC028	cfhy	CFH+Y	CMD010	AUSWRINGEN · DIES	ACTION_COMMAND	1	H3	NO
PROC029	shfydaiin	SH+Y+AIIN	CMD145	HALTEN · DIES · MASS	ACTION_COMMAND	1	H3	NO
PROC030	cphy	P+Y	CMD125	HINEIN · DIES	ACTION_COMMAND	1	H3	NO
PROC031	cheey|shey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	4	H3|B2|B4	YES
PROC032	tchody	T+CH+O+DY	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	ACTION_COMMAND	1	H3	NO
PROC033	shoyty	SH+O+Y+T+Y	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	ACTION_COMMAND	1	H3	NO
PROC034	dchol|schol	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	2	H3|H5	YES
PROC035	kchy	K+Y	CMD050	ZUFUEHREN · DIES	ACTION_COMMAND	1	H3	NO
PROC036	qotchy	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	1	H3	YES
PROC037	okchol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	H3	YES
PROC038	okaiin|qokaiin	OK+AIIN	CMD077	ANSETZEN · MASS	ACTION_COMMAND	9	H4|B1|B2|B3	NO
PROC039	ykain	Y+K+AIN	CMD161	DIES · ZUFUEHREN · PORTION	ACTION_COMMAND	1	H4	YES
PROC040	ykan	Y+K+AIN	CMD161	DIES · ZUFUEHREN · PORTION	ACTION_COMMAND	1	H4	YES
PROC041	ody	O+DY	CMD074	GANG; SCHLUSS	CLOSE_FORMULA	1	H4	NO
PROC042	chdy|chedy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	11	H4|B1|B3|B4|B5	YES
PROC043	talam	TALAM	CMD157	VERWAHREN	ACTION_COMMAND	1	H4	NO
PROC044	ykaiin	Y+K+AIIN	CMD160	DIES · ZUFUEHREN · MASS	ACTION_COMMAND	1	H4	NO
PROC045	cheoar	CH+E+O+AR	CMD013	ABZIEHEN · KURZ · GANG · QUELLE	ACTION_COMMAND	1	H4	NO
PROC046	cheeky	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	2	H4|B4	YES
PROC047	oldy	OL+DY	CMD100	FORTSETZEN; SCHLUSS	CLOSE_FORMULA	2	H4|B4	NO
PROC048	okal|qokal	OK+AL	CMD080	ANSETZEN · ZIEL	ACTION_COMMAND	6	H4|B1|B2|B3	NO
PROC049	oltchy	OL+T+Y	CMD104	FORTSETZEN · EINTRAGEN · DIES	ACTION_COMMAND	1	H4	NO
PROC050	orain	OR+AIN	CMD107	ANSATZ · PORTION	ARGUMENT_OR_OBJECT_FORMULA	1	H4	NO
PROC051	chochor	HO+CH+OR	CMD039	GABE · ABZIEHEN · ANSATZ	ACTION_COMMAND	1	H5	NO
PROC052	cho|sho	HO	CMD037	GABE	ARGUMENT_OR_OBJECT_FORMULA	4	H5	NO
PROC053	chodaly	HO+AL+Y	CMD038	GABE · ZIEL · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO
PROC054	kchol	K+OL	CMD049	ZUFUEHREN · FORTSETZEN	ACTION_COMMAND	1	H5	NO
PROC055	al|chal|cheal|dal|sal|tal	AL	CMD004	ZIEL	ARGUMENT_OR_OBJECT_FORMULA	10	H5|B1|B2|B3|B4|B5	NO
PROC056	choy	HO+Y	CMD040	GABE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	CMD016	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	ACTION_COMMAND	1	H5	NO
PROC058	sh	SH	CMD131	HALTEN	ACTION_COMMAND	1	H5	NO
PROC059	kchey	K+E+Y	CMD046	ZUFUEHREN · KURZ · DIES	ACTION_COMMAND	1	H5	NO
PROC060	qokokchy	OK+OK+Y	CMD092	ANSETZEN · ANSETZEN · DIES	ACTION_COMMAND	1	H5	NO
PROC061	chokcheo	OK+CH+E+O	CMD083	ANSETZEN · ABZIEHEN · KURZ · GANG	ACTION_COMMAND	1	H5	NO
PROC062	kchal	K+AL	CMD043	ZUFUEHREN · ZIEL	ACTION_COMMAND	1	H5	NO
PROC063	kchoar	K+HO+AR	CMD047	ZUFUEHREN · GABE · QUELLE	ACTION_COMMAND	1	H5	NO
PROC064	sotodan	OT+O+AIN	CMD119	DANACH · GANG · PORTION	SEQUENCE_FORMULA	1	H5	NO
PROC065	otchey	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	2	H5|B4	YES
PROC066	keol	K+E+OL	CMD045	ZUFUEHREN · KURZ · FORTSETZEN	ACTION_COMMAND	1	H5	NO
PROC067	qokedy	OK+E+DY	CMD085	ANSETZEN · KURZ; SCHLUSS	ACTION_COMMAND	8	B1|B3|B4	NO
PROC068	kair	K+AIR	CMD042	ZUFUEHREN · LAUF	ACTION_COMMAND	1	B1	NO
PROC069	chkain|kain	K+AIN	CMD041	ZUFUEHREN · PORTION	ACTION_COMMAND	3	B1|B3|B4	NO
PROC070	olkain|qolkain	OL+K+AIN	CMD101	FORTSETZEN · ZUFUEHREN · PORTION	ACTION_COMMAND	2	B1|B4	NO
PROC071	rol	R+OL	CMD128	KUEHLEN · FORTSETZEN	ACTION_COMMAND	1	B1	NO
PROC072	dl	L	CMD051	FUEHREN	ACTION_COMMAND	2	B1	NO
PROC073	sheckhal	SH+E+CKH+AL	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	ACTION_COMMAND	1	B1	NO
PROC074	qokeedal	OK+EE+AL	CMD087	ANSETZEN · LANG · ZIEL	ACTION_COMMAND	1	B1	NO
PROC075	chckhy|shckhy	CKH+Y	CMD026	DURCHLASS · DIES	ARGUMENT_OR_OBJECT_FORMULA	4	B1|B2	NO
PROC076	dchedy|schedy|tchedy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	4	B1|B2|B3	YES
PROC077	sshkchdy	SH+K+CHD+DY	CMD142	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	NO
PROC078	cheedy|shedy|tedy	SHED+DY	CMD147	ABSETZEN; SCHLUSS	ACTION_COMMAND	12	B1|B2|B3|B4	NO
PROC079	olchedy|qolchedy	OL+CHD+DY	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B2|B3	NO
PROC080	okain|qokain	OK+AIN	CMD078	ANSETZEN · PORTION	ACTION_COMMAND	7	B1|B2|B3|B4	NO
PROC081	ral	R+AL	CMD126	KUEHLEN · ZIEL	ACTION_COMMAND	1	B1	NO
PROC082	qokchdy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B3|B5	YES
PROC083	cheky	CHK+E+Y	CMD023	WAERMEN · KURZ · DIES	ACTION_COMMAND	3	B1|B4	NO
PROC084	lsho	LSH+O	CMD070	WASCHEN · GANG	ACTION_COMMAND	1	B1	NO
PROC085	okey|qokey	OK+E+Y	CMD086	ANSETZEN · KURZ · DIES	ACTION_COMMAND	2	B1|B2	NO
PROC086	lshedy	LSH+E+DY	CMD069	WASCHEN · KURZ; SCHLUSS	ACTION_COMMAND	2	B1	NO
PROC087	qolky	SOLK+Y	CMD152	AUFFANGEN · DIES	ACTION_COMMAND	1	B1	NO
PROC088	lchedal	L+CHD+AL	CMD057	FUEHREN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B1	NO
PROC089	otar	OT+AR	CMD111	DANACH · QUELLE	SEQUENCE_FORMULA	1	B1	NO
PROC090	ytey	T+E+Y	CMD154	EINTRAGEN · KURZ · DIES	ACTION_COMMAND	1	B1	NO
PROC091	okchedy|qokchedy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B1|B3	YES
PROC092	okeey|qokeey	OK+EE+Y	CMD090	ANSETZEN · LANG · DIES	ACTION_COMMAND	7	B1|B2|B3|B4	NO
PROC093	teol	E+OL	CMD033	KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B1	NO
PROC094	dchdy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	YES
PROC095	ly	L+Y	CMD068	FUEHREN · DIES	ACTION_COMMAND	1	B1	NO
PROC096	dsheol	SH+E+OL	CMD138	HALTEN · KURZ · FORTSETZEN	ACTION_COMMAND	1	B1	NO
PROC097	oiiin|soiiin	O+IIN	CMD075	GANG · STUFE	ARGUMENT_OR_OBJECT_FORMULA	2	B1|B3	NO
PROC098	olkeedy|solkeedy	SOLK+EE+DY	CMD150	AUFFANGEN · LANG; SCHLUSS	ACTION_COMMAND	3	B1|B3	NO
PROC099	shckhedy	SH+CKH+E+DY	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	3	B1|B4	NO
PROC100	qokeedy	OK+EE+DY	CMD088	ANSETZEN · LANG; SCHLUSS	ACTION_COMMAND	10	B2|B3|B4	NO
PROC101	lcheckhy	L+CKH+Y	CMD061	FUEHREN · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO
PROC102	lched	L+CHD	CMD056	FUEHREN · UMSETZEN	ACTION_COMMAND	1	B2	NO
PROC103	lcheckhedy	L+CKH+E+DY	CMD060	FUEHREN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC104	qokaly	OK+AL+Y	CMD081	ANSETZEN · ZIEL · DIES	ACTION_COMMAND	1	B2	NO
PROC105	solkaiin	SOLK+AIIN	CMD148	AUFFANGEN · MASS	ACTION_COMMAND	1	B2	NO
PROC106	octheol	O+CTH+E+OL	CMD072	GANG · BEREIT · KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B2	NO
PROC107	chkeey	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	1	B2	YES
PROC108	ldy	L+DY	CMD062	FUEHREN; SCHLUSS	ACTION_COMMAND	2	B2|B3	NO
PROC109	oteey	OT+EE+Y	CMD118	DANACH · LANG · DIES	STATE_OR_GRADE_FORMULA	2	B2	NO
PROC110	sheckhy	SH+E+CKH+Y	CMD134	HALTEN · KURZ · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO
PROC111	dshedy	SH+E+DY	CMD137	HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC112	otaiin|sotaiin	OT+AIIN	CMD109	DANACH · MASS	SEQUENCE_FORMULA	3	B2|B3	NO
PROC113	qokar	OK+AR	CMD082	ANSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO
PROC114	solshedy	OL+SH+E+DY	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC115	ls	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	1	B2	YES
PROC116	lchy	L+CH+Y	CMD055	FUEHREN · ABZIEHEN · DIES	ACTION_COMMAND	1	B2	NO
PROC117	qcthey|shcthey	CTH+E+Y	CMD028	BEREIT · KURZ · DIES	STATE_OR_GRADE_FORMULA	2	B2|B3	NO
PROC118	lcheey	L+EE+Y	CMD063	FUEHREN · LANG · DIES	ACTION_COMMAND	1	B2	NO
PROC119	qokeeedy	OK+EEE+DY	CMD091	ANSETZEN · VOLL; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC120	lchedy	L+CHD+DY	CMD059	FUEHREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	8	B2|B3|B4	NO
PROC121	lar	L+AR	CMD054	FUEHREN · QUELLE	ACTION_COMMAND	1	B2	NO
PROC122	tshey	SH+E+Y	CMD139	HALTEN · KURZ · DIES	ACTION_COMMAND	1	B2	NO
PROC123	lchedar	L+CHD+AR	CMD058	FUEHREN · UMSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO
PROC124	ches	CH+E+S	CMD014	ABZIEHEN · KURZ · TEILEN	ACTION_COMMAND	1	B2	NO
PROC125	pchedy	P+CHD+DY	CMD124	HINEIN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC126	rsheal	R+SH+E+AL	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	ACTION_COMMAND	1	B2	NO
PROC127	daldy	AL+DY	CMD006	ZIEL; SCHLUSS	CLOSE_FORMULA	1	B2	NO
PROC128	rshedy	R+SHED+DY	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC129	qoteedy	OT+EE+DY	CMD117	DANACH · LANG; SCHLUSS	CLOSE_FORMULA	2	B2|B3	NO
PROC130	lochedy	L+O+CHD+DY	CMD066	FUEHREN · GANG · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO
PROC131	otal|qotal	OT+AL	CMD110	DANACH · ZIEL	SEQUENCE_FORMULA	3	B3|B4	NO
PROC132	chkeedy	CHK+EE+DY	CMD024	WAERMEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO
PROC133	chedchy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	1	B3	YES
PROC134	pchedal	P+CHD+AL	CMD123	HINEIN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B3	NO
PROC135	otedy	OT+E+DY	CMD116	DANACH · KURZ; SCHLUSS	CLOSE_FORMULA	2	B3	NO
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	ACTION_COMMAND	1	B3	NO
PROC137	chary	AR+Y	CMD009	QUELLE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	B3	NO
PROC138	okair	OK+AIR	CMD079	ANSETZEN · LAUF	ACTION_COMMAND	1	B3	NO
PROC139	sheedy	SH+EE+DY	CMD140	HALTEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO
PROC140	lo	L+O	CMD065	FUEHREN · GANG	ACTION_COMMAND	1	B3	NO
PROC141	qokshedy	OK+SH+E+DY	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B3	NO
PROC142	shedal	SHED+AL	CMD146	ABSETZEN · ZIEL	ACTION_COMMAND	2	B3|B5	NO
PROC143	shecthy	SH+E+CTH+Y	CMD136	HALTEN · KURZ · BEREIT · DIES	ACTION_COMMAND	1	B3	NO
PROC144	dalchdy	AL+CHD+DY	CMD005	ZIEL · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B3	NO
PROC145	otchedy|qotchedy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B3	YES
PROC146	cheedar	EE+AR	CMD035	LANG · QUELLE	STATE_OR_GRADE_FORMULA	1	B3	NO
PROC147	chldaiin	L+AIIN	CMD052	FUEHREN · MASS	ACTION_COMMAND	1	B3	NO
PROC148	chealror	AL+R+OR	CMD007	ZIEL · KUEHLEN · ANSATZ	ACTION_COMMAND	1	B3	NO
PROC149	cheeety	EEE+T+Y	CMD036	VOLL · EINTRAGEN · DIES	ACTION_COMMAND	1	B3	NO
PROC150	schedair	CHD+AIR	CMD019	UMSETZEN · LAUF	ACTION_COMMAND	1	B3	NO
PROC151	chedain	CHD+AIN	CMD018	UMSETZEN · PORTION	ACTION_COMMAND	1	B3	NO
PROC152	qotedaiin	OT+E+AIIN	CMD115	DANACH · KURZ · MASS	STATE_OR_GRADE_FORMULA	1	B3	NO
PROC153	olsaly	OL+AL+Y	CMD098	FORTSETZEN · ZIEL · DIES	SEQUENCE_FORMULA	1	B3	NO
PROC154	qolchey	OL+Y	CMD105	FORTSETZEN · DIES	SEQUENCE_FORMULA	1	B4	NO
PROC155	qokylddy	OK+Y+LD+DY	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	ACTION_COMMAND	1	B4	NO
PROC156	dain	AIN	CMD002	PORTION	ARGUMENT_OR_OBJECT_FORMULA	2	B4|B6	NO
PROC157	sheey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	1	B4	YES
PROC158	okeeol	OK+EE+OL	CMD089	ANSETZEN · LANG · FORTSETZEN	ACTION_COMMAND	1	B4	NO
PROC159	lkedy	L+K+E+DY	CMD064	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	ACTION_COMMAND	1	B4	NO
PROC160	qokol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	B4	YES
PROC161	qockhey	O+CKH+E+Y	CMD071	GANG · DURCHLASS · KURZ · DIES	STATE_OR_GRADE_FORMULA	1	B4	NO
PROC162	dairydy	AIR+Y+DY	CMD003	LAUF · DIES; SCHLUSS	CLOSE_FORMULA	1	B4	NO
PROC163	chckhal	CH+CKH+AL	CMD012	ABZIEHEN · DURCHLASS · ZIEL	ACTION_COMMAND	1	B4	NO
PROC164	solkey	SOLK+E+Y	CMD149	AUFFANGEN · KURZ · DIES	ACTION_COMMAND	1	B4	NO
PROC165	skar	K+AR	CMD044	ZUFUEHREN · QUELLE	ACTION_COMMAND	1	B4	NO
PROC166	otchdy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B5	YES
PROC167	lol	L+OL	CMD067	FUEHREN · FORTSETZEN	ACTION_COMMAND	1	B5	NO
PROC168	chdal	CHD+AL	CMD020	UMSETZEN · ZIEL	ACTION_COMMAND	1	B5	NO
PROC169	daiiin	DA+IIN	CMD031	ZWEIT · STUFE	ARGUMENT_OR_OBJECT_FORMULA	1	B5	NO
PROC170	solkeey	SOLK+EE+Y	CMD151	AUFFANGEN · LANG · DIES	ACTION_COMMAND	1	B6	NO
PROC171	qekey	E+K+E+Y	CMD032	KURZ · ZUFUEHREN · KURZ · DIES	ACTION_COMMAND	1	B6	NO
PROC172	raly	R+AL+Y	CMD127	KUEHLEN · ZIEL · DIES	ACTION_COMMAND	1	B6	NO
PROC173	ldalor	L+AL+OR	CMD053	FUEHREN · ZIEL · ANSATZ	ACTION_COMMAND	1	B6	NO
