statement_id	record_unit_id	free_fluent_german	source_event_ids	setting_routes	identity_routes	reconstructed_surfaces	reconstructed_tuple_ids	pair_placard_events	nomenclator_events	exact_statement
H5-S001	H5	Richte einen Zutatenansatz her. Setze eine weitere Zutat an die bezeichnete Stelle, miss sie und führe sie gebunden weiter. Eröffne danach den Folgeansatz, setze ihn ein und bringe ihn an die Stelle.	E074|E075|E076|E077|E078|E079|E080|E081|E082	DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → WHOLE_CARD_MNEMONIC → WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD	chochor cho chodaly chaiin cho kchol qotchor choky cheal	b9d7b6d68209a9019e7a|2cc054357a929df85f64|0ec6a45e2950e8e7061d|2f1c5e56e8f0ff459065|2cc054357a929df85f64|893c570f3fa3fce99711|10488b911aae52b3b334|276a7c2d74d1143446f4|dd0ecaf5e27d81befffc	1	2	YES
H5-S002	H5	Nimm die Fortsetzung des vorigen Postens, setze die Zutat ein, trage sie auf und schließe den Schritt.	E083|E084|E085|E086	DIRECT_COMPOSITION → DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD	schol choy choky cheeckhody	d665560c8ff80799a82c|c10aec6d4dd877ec8bd8|276a7c2d74d1143446f4|95987d6f198d6d247511	1	1	YES
H5-S003	H5	Nimm einen Teil der abgebildeten Pflanze und die Zutat, binde den Posten kurz und setze ihn erneut ein.	E087|E088|E089|E090	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	sh cho kchey qokokchy	ad3581d3144f69a5912d|2cc054357a929df85f64|b74e9e65637b7c8538dd|1322bc176443fc2a8a86	1	0	YES
H5-S004	H5	Setze den Posten ein, gib Auszug hinzu und binde beides an der Zielstelle.	E091|E092|E093	WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	chokchy chokcheo kchal	9ad66e67803a12e745de|087a47b5423438cd6b6a|75a523fcf039b006f97b	1	1	YES
H5-S005	H5	Gib die Zutat hinzu, setze sie ein, binde die Zutat aus der bezeichneten Quelle und gebrauche den Posten.	E094|E095|E096|E097	DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	cho chokchy kchoar sotodan	2cc054357a929df85f64|9ad66e67803a12e745de|c71c72da4e09e0833392|61a075bc54793c1c781f	1	1	YES
H5-S006	H5	Nimm den Folgeposten, führe ihn kurz gebunden weiter und prüfe das Sollmaß.	E098|E099|E100	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	otchey keol chaiin	faf321940aed922846a9|9bb7122b386ebbc6138f|2f1c5e56e8f0ff459065	1	0	YES
B1-S001	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	E101	DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	qokedy	7db18b2f0fb7ed0fcfd3	1	0	YES
B1-S002	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über.	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	okaiin kair okal dar ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy dchedy	b5fcea1eaed06b2f2291|22fb87a5a83e5c3fb510|308e8ea2d5d190c498e8|4d4559019a961b834aa1|dcda95c81a5460feb191|9da1b6ac2c929daea697|94df4847b7b16c98394a|dd0ecaf5e27d81befffc|dcda95c81a5460feb191|1496a731803a9f48d2e1|0f18de177ed7c878bf95|dec401773c1f0347793d|dcda95c81a5460feb191|4eab1841ed655c20a348|2f1c5e56e8f0ff459065|93f69c38fdedee1598e9|2f1c5e56e8f0ff459065|2cc8bb3c2af19607888f|259b2b3b0bf859882e2c	1	3	YES
B1-S003	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe den laufenden Gang fort; dann setze um und schließe den Schritt.	E121|E122	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	ol sshkchdy	dcda95c81a5460feb191|54e32e9c1414b20640e9	0	0	YES
B1-S004	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	E123|E124|E125	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	chdy ol tedy	6f7ff8287eddf4da9fdb|dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	0	0	YES
B1-S005	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe ihn weiter.	E126	CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	olchedy	28ffbc88b97772a75f1e	0	0	YES
B1-S006	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein.	E127|E128|E129|E130	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	okain chckhy dl ral	1645e612504fcef59ced|2cc8bb3c2af19607888f|0f18de177ed7c878bf95|4da0f0f7b5fc7ac20067	0	0	YES
B1-S007	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze einen neuen Posten ein.	E131	CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	qokchdy	87411f84689b4f93a303	0	0	YES
B1-S008	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	E132|E133|E134|E135|E136	DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	y ol cheky ol tedy	b921a237be883a820352|dcda95c81a5460feb191|d904bf7b044dd3922781|dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	0	0	YES
B1-S009	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	E137	DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	qokedy	7db18b2f0fb7ed0fcfd3	1	0	YES
B1-S010	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	E138	DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	qokedy	7db18b2f0fb7ed0fcfd3	1	0	YES
B1-S011	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Leite den Posten hindurch; dann setze den Posten ein.	E139|E140	CONTRAST_COMPOSITION → WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	chckhy oky	2cc8bb3c2af19607888f|276a7c2d74d1143446f4	1	1	YES
B1-S012	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus.	E141|E142|E143	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	lsho okey lshedy	be0974b366c981dc1eef|08bd5ca0c2ad137a056d|2e7e89e0bd12b999c280	3	0	YES
B1-S013	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus.	E144	CONTRAST_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	lshedy	2e7e89e0bd12b999c280	1	0	YES
B1-S014	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle.	E145|E146|E147|E148|E149	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	chdy qolky lchedal ol otar	6f7ff8287eddf4da9fdb|c205570c49d4d93c23d3|433713294b25b0a12f66|dcda95c81a5460feb191|b6b654722e55729cc947	0	0	YES
B1-S015	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Nimm einen kleinen Teil; dann führe den vorigen Posten über.	E150|E151	DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	ytey okchedy	a7af89ab31ce5e247395|07913ef9b1fb773cd325	0	0	YES
B1-S016	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	E152|E153|E154|E155	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	okal okeey ol tedy	308e8ea2d5d190c498e8|0275fbf14e07935b0a45|dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	2	0	YES
B1-S017	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über.	E156|E157|E158	WHOLE_CARD_MNEMONIC → DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	al teol dchdy	dd0ecaf5e27d81befffc|a06244ef1f2b37ca44c1|d225b7a7b95da7aee437	0	2	YES
B1-S018	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange.	E159|E160|E161|E162	DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	ly dsheol oiiin olkeedy	b38d70daefd663d74625|74c76d589d44120f647b|2c82523794dcb7d2b343|3b70942557b3a40e8030	1	0	YES
B1-S019	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz absetzen.	E163	DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	tedy	bc4f1f5c006c74a4d26d	0	0	YES
B1-S020	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Wärme ihn kurz; dann lass ihn hindurch.	E164|E165	DIRECT_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	cheky shckhedy	d904bf7b044dd3922781|d68bc8de3bcee09db23c	0	0	YES
B1-S021	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle.	E166	WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD	al	dd0ecaf5e27d81befffc	0	1	YES
B2-S001	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe den Posten über.	E167	WHOLE_CARD_MNEMONIC	UNIQUE_VALUE_SLOT_CARD	dchedy	259b2b3b0bf859882e2c	0	1	YES
B2-S002	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn weiter.	E168	CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	qolchedy	28ffbc88b97772a75f1e	0	0	YES
B2-S003	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken.	E169|E170|E171	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	qokain y qokeedy	1645e612504fcef59ced|b921a237be883a820352|7d25241b0e56c836372a	1	0	YES
B2-S004	B2	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab.	E172|E173|E174|E175|E176	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD	qokal lcheckhy lched qokeey lcheckhedy	308e8ea2d5d190c498e8|f329f2051370174e9a38|ba8142680851f24c9ff2|0275fbf14e07935b0a45|c1db6b0a28d5cbb5d3d2	3	0	YES
