card_no	surfaces	component_parse	component_count	short_card_default_de	spoken_as_de	old_portable_role_reading_de	old_role_word_count	old_sentence_sized	case_expansion_policy	composition_status	occurrences	sections	records	recitation_kind	spoken_recitation_de	scope_note_de	scope_repair_cost	component_order_preserved	new_whole_card_semantic_value	semantic_component_parse	consolidated_short_default_de	graphic_alias_used
PROC013	cheol|chol|ol|qol|sol|tol	OL	1	FORTSETZEN	fortsetzen	fortsetzen	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	SHORT_LEFT_TO_RIGHT	FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL	FORTSETZEN	NONE
PROC014	checthy|cthy|shcthy	CTH+Y	2	BEREIT·DIES	bereit dies	bereit · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3	SHORT_LEFT_TO_RIGHT	BEREIT · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CTH+Y	BEREIT·DIES	NONE
PROC015	ycheor	Y+CH+E+OR	4	DIES·ABZIEHEN·KURZ·ANSATZ	dies abziehen kurz ansatz	diesen Posten kurz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	STRAIGHT_TELEGRAPH_CHAIN	DIES · ABZIEHEN · KURZ · ANSATZ	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	Y+CH+E+OR	DIES·ABZIEHEN·KURZ·ANSATZ	NONE
PROC016	chor|or|shor|sor	OR	1	ANSATZ	ansatz	Ansatz	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	SHORT_LEFT_TO_RIGHT	ANSATZ	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OR	ANSATZ	NONE
PROC017	cthaiin	CTH+AIIN	2	BEREIT·MASS	bereit mass	bereit · vorgeschriebenes Maß	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	SHORT_LEFT_TO_RIGHT	BEREIT · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CTH+AIIN	BEREIT·MASS	NONE
PROC018	qoctholy	O+CTH+OL+Y	4	GANG·BEREIT·FORTSETZEN·DIES	gang bereit fortsetzen dies	Arbeitsgang · bereit · fortsetzen · dieser Posten	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	STRAIGHT_TELEGRAPH_CHAIN	GANG · BEREIT · FORTSETZEN · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	O+CTH+OL+Y	GANG·BEREIT·FORTSETZEN·DIES	NONE
PROC019	chey|chy|dy|shy|sy|y	Y	1	DIES	dies	dieser Posten	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	SHORT_LEFT_TO_RIGHT	DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	Y	DIES	NONE
PROC020	otchor|qotchor	OT+CH+OR	3	DANACH·ABZIEHEN·ANSATZ	danach abziehen ansatz	danach den Ansatz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL	H2|H5	SHORT_LEFT_TO_RIGHT	DANACH · ABZIEHEN · ANSATZ	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+CH+OR	DANACH·ABZIEHEN·ANSATZ	NONE
PROC021	otol	OT+OL	2	DANACH·FORTSETZEN	danach fortsetzen	danach · fortsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	SHORT_LEFT_TO_RIGHT	DANACH · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+OL	DANACH·FORTSETZEN	NONE
PROC022	cholor|olor	OL+OR	2	FORTSETZEN·ANSATZ	fortsetzen ansatz	fortsetzen · Ansatz	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H2|B1	SHORT_LEFT_TO_RIGHT	FORTSETZEN · ANSATZ	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL+OR	FORTSETZEN·ANSATZ	NONE
PROC023	oykchor	O+Y+K+OR	4	GANG·DIES·ZUFUEHREN·ANSATZ	gang dies zufuehren ansatz	diesen Posten zuführen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	STRAIGHT_TELEGRAPH_CHAIN	GANG · DIES · ZUFUEHREN · ANSATZ	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	O+Y+K+OR	GANG·DIES·ZUFUEHREN·ANSATZ	NONE
PROC024	kaiiin	K+IIN	2	ZUFUEHREN·STUFE	zufuehren stufe	den laufenden Posten zuführen bis Sollstufe	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · STUFE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+IIN	ZUFUEHREN·STUFE	NONE
PROC025	chodaiin	CH+O+AIIN	3	ABZIEHEN·GANG·MASS	abziehen gang mass	den Arbeitsgang nach vorgeschriebenes Maß abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2	SHORT_LEFT_TO_RIGHT	ABZIEHEN · GANG · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CH+O+AIIN	ABZIEHEN·GANG·MASS	NONE
PROC026	tshol	T+SH+OL	3	EINTRAGEN·HALTEN·FORTSETZEN	eintragen halten fortsetzen	fortsetzen den laufenden Posten eintragen und halten	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	EINTRAGEN · HALTEN · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	T+SH+OL	EINTRAGEN·HALTEN·FORTSETZEN	NONE
PROC027	schoal	SH+O+AL	3	HALTEN·GANG·ZIEL	halten gang ziel	den Arbeitsgang an bezeichnete Stelle halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	HALTEN · GANG · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH+O+AL	HALTEN·GANG·ZIEL	NONE
PROC028	cfhy	CFH+Y	2	AUSWRINGEN·DIES	auswringen dies	diesen Posten auswringen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	PARTIAL_WITH_LEARNED_ATOM	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	AUSWRINGEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CFH+Y	AUSWRINGEN·DIES	NONE
PROC029	shfydaiin	SH+Y+AIIN	3	HALTEN·DIES·MASS	halten dies mass	diesen Posten nach vorgeschriebenes Maß halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	HALTEN · DIES · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH+Y+AIIN	HALTEN·DIES·MASS	NONE
PROC030	cphy	P+Y	2	HINEIN·DIES	hinein dies	diesen Posten hineingeben	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	HINEIN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	P+Y	HINEIN·DIES	NONE
PROC031	cheey|shey	SH+EE+Y	3	HALTEN·LANG·DIES	halten lang dies	diesen Posten länger halten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	HERBAL|BIOLOGICAL	H3|B2|B4	SHORT_LEFT_TO_RIGHT	HALTEN · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH+EE+Y	HALTEN·LANG·DIES	NONE
PROC032	tchody	T+CH+O+DY	4	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	eintragen abziehen gang schluss	den Arbeitsgang eintragen und abziehen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	STRAIGHT_TELEGRAPH_CHAIN	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	T+CH+O+DY	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	NONE
PROC033	shoyty	SH+O+Y+T+Y	5	HALTEN·GANG·DIES·EINTRAGEN·DIES	halten gang dies eintragen dies	diesen Posten halten und eintragen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	COREFERENTIAL_ITEM_BRACKET	DIES HALTEN · IM GANG EINTRAGEN · DIES	Die beiden Y/DIES-Stellen zeigen denselben laufenden Posten vor und nach dem Eintrag.	1	YES	NO	SH+O+Y+T+Y	HALTEN·GANG·DIES·EINTRAGEN·DIES	NONE
PROC034	dchol|schol	OL	1	FORTSETZEN	fortsetzen	fortsetzen	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL	H3|H5	SHORT_LEFT_TO_RIGHT	FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL	FORTSETZEN	NONE
PROC035	kchy	K+Y	2	ZUFUEHREN·DIES	zufuehren dies	diesen Posten zuführen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+Y	ZUFUEHREN·DIES	NONE
PROC036	qotchy	OT+Y	2	DANACH·DIES	danach dies	danach · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	DANACH · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OT+Y	DANACH·DIES	NONE
PROC037	okchol	OK+OL	2	ANSETZEN·FORTSETZEN	ansetzen fortsetzen	fortsetzen den laufenden Posten ansetzen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3	SHORT_LEFT_TO_RIGHT	ANSETZEN · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+OL	ANSETZEN·FORTSETZEN	NONE
PROC038	okaiin|qokaiin	OK+AIIN	2	ANSETZEN·MASS	ansetzen mass	den laufenden Posten nach vorgeschriebenes Maß ansetzen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3	SHORT_LEFT_TO_RIGHT	ANSETZEN · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+AIIN	ANSETZEN·MASS	NONE
PROC039	ykain	Y+K+AIN	3	DIES·ZUFUEHREN·PORTION	dies zufuehren portion	diesen Posten nach Portion zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	DIES · ZUFUEHREN · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	Y+K+AIN	DIES·ZUFUEHREN·PORTION	NONE
PROC040	ykan	Y+K+AIN	3	DIES·ZUFUEHREN·PORTION	dies zufuehren portion	diesen Posten nach Portion zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	DIES · ZUFUEHREN · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	Y+K+AIN	DIES·ZUFUEHREN·PORTION	NONE
PROC041	ody	O+DY	2	GANG·SCHLUSS	gang schluss	Arbeitsgang; Schritt schließen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	GANG; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	O+DY	GANG·SCHLUSS	NONE
PROC042	chdy|chedy	CHD+Y	2	UMSETZEN·DIES	umsetzen dies	diesen Posten umsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5	SHORT_LEFT_TO_RIGHT	UMSETZEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHD+Y	UMSETZEN·DIES	NONE
PROC043	talam	TALAM	1	VERWAHREN	verwahren	den laufenden Posten verwahren	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	LEARNED_WHOLE_CARD	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	VERWAHREN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	TALAM	VERWAHREN	NONE
PROC044	ykaiin	Y+K+AIIN	3	DIES·ZUFUEHREN·MASS	dies zufuehren mass	diesen Posten nach vorgeschriebenes Maß zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	DIES · ZUFUEHREN · MASS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	Y+K+AIIN	DIES·ZUFUEHREN·MASS	NONE
PROC045	cheoar	CH+E+O+AR	4	ABZIEHEN·KURZ·GANG·QUELLE	abziehen kurz gang quelle	den Arbeitsgang von dort kurz abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	STRAIGHT_TELEGRAPH_CHAIN	ABZIEHEN · KURZ · GANG · QUELLE	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	0	YES	NO	CH+E+O+AR	ABZIEHEN·KURZ·GANG·QUELLE	NONE
PROC046	cheeky	CHK+EE+Y	3	WAERMEN·LANG·DIES	waermen lang dies	diesen Posten länger wärmen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4	SHORT_LEFT_TO_RIGHT	WAERMEN · LANG · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	CHK+EE+Y	WAERMEN·LANG·DIES	NONE
PROC047	oldy	OL+DY	2	FORTSETZEN·SCHLUSS	fortsetzen schluss	fortsetzen; Schritt schließen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4	SHORT_LEFT_TO_RIGHT	FORTSETZEN; SCHLUSS	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL+DY	FORTSETZEN·SCHLUSS	NONE
PROC048	okal|qokal	OK+AL	2	ANSETZEN·ZIEL	ansetzen ziel	den laufenden Posten an bezeichnete Stelle ansetzen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3	SHORT_LEFT_TO_RIGHT	ANSETZEN · ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+AL	ANSETZEN·ZIEL	NONE
PROC049	oltchy	OL+T+Y	3	FORTSETZEN·EINTRAGEN·DIES	fortsetzen eintragen dies	fortsetzen diesen Posten eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	FORTSETZEN · EINTRAGEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OL+T+Y	FORTSETZEN·EINTRAGEN·DIES	NONE
PROC050	orain	OR+AIN	2	ANSATZ·PORTION	ansatz portion	Ansatz · Portion	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4	SHORT_LEFT_TO_RIGHT	ANSATZ · PORTION	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OR+AIN	ANSATZ·PORTION	NONE
PROC051	chochor	HO+CH+OR	3	GABE·ABZIEHEN·ANSATZ	gabe abziehen ansatz	den Gabe und Ansatz abziehen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	GABE · ABZIEHEN · ANSATZ	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	HO+CH+OR	GABE·ABZIEHEN·ANSATZ	NONE
PROC052	cho|sho	HO	1	GABE	gabe	Gabe	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	HERBAL	H5	SHORT_LEFT_TO_RIGHT	GABE	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	HO	GABE	NONE
PROC053	chodaly	HO+AL+Y	3	GABE·ZIEL·DIES	gabe ziel dies	Gabe · bezeichnete Stelle · dieser Posten	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	GABE · ZIEL · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	HO+AL+Y	GABE·ZIEL·DIES	NONE
PROC054	kchol	K+OL	2	ZUFUEHREN·FORTSETZEN	zufuehren fortsetzen	fortsetzen den laufenden Posten zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · FORTSETZEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+OL	ZUFUEHREN·FORTSETZEN	NONE
PROC055	al|chal|cheal|dal|sal|tal	AL	1	ZIEL	ziel	bezeichnete Stelle	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5	SHORT_LEFT_TO_RIGHT	ZIEL	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	AL	ZIEL	NONE
PROC056	choy	HO+Y	2	GABE·DIES	gabe dies	Gabe · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	GABE · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	HO+Y	GABE·DIES	NONE
PROC057	cheeckhody	CH+EE+CKH+O+DY	5	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	abziehen lang durchlass gang schluss	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	CLOSED_LONG_PROCESS	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	DY schließt die lange Durchlasshandlung; die Oberflächenreihenfolge bleibt stehen.	1	YES	NO	CH+EE+CKH+O+DY	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	NONE
PROC058	sh	SH	1	HALTEN	halten	den laufenden Posten halten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	HALTEN	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	SH	HALTEN	NONE
PROC059	kchey	K+E+Y	3	ZUFUEHREN·KURZ·DIES	zufuehren kurz dies	diesen Posten kurz zuführen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ZUFUEHREN · KURZ · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	K+E+Y	ZUFUEHREN·KURZ·DIES	NONE
PROC060	qokokchy	OK+OK+Y	3	ANSETZEN·ANSETZEN·DIES	ansetzen ansetzen dies	diesen Posten ansetzen und ansetzen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5	SHORT_LEFT_TO_RIGHT	ANSETZEN · ANSETZEN · DIES	Kurze Karte direkt von links nach rechts sprechen.	0	YES	NO	OK+OK+Y	ANSETZEN·ANSETZEN·DIES	NONE
