candidate_recipe	current_status	source_neighbor_count	factor_gate_status	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	factor_gate_is_occurrence_prediction
AIIN+K+AR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:K<-AIIN|FOCUS:K<-AR	NONE	NONE	NO
AIIN+K+A_ADDR+K+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+CH+E+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:CH<-E|FOCUS:CH<-Y|PAIR:K>CH	NONE	NONE	NO
AIIN+K+CH+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|PAIR:K>CH	NONE	NONE	NO
AIIN+K+CH+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:CH<-OR|PAIR:K>CH	NONE	NONE	NO
AIIN+K+CH+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:CH<-Y|PAIR:K>CH	NONE	NONE	NO
AIIN+K+CHD+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:CHD<-Y|PAIR:K>CHD	NONE	NONE	NO
AIIN+K+E+DA+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+E+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|CLOSE:K	NONE	NONE	NO
AIIN+K+E+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E	NONE	NONE	NO
AIIN+K+E+O+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|CLOSE:K	NONE	NONE	NO
AIIN+K+E+O+D_ADDR+AIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-AIN	NONE	NONE	NO
AIIN+K+E+OL+OL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E	NONE	NONE	NO
AIIN+K+E+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-OR	NONE	NONE	NO
AIIN+K+E+SH+E+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:SH<-E|FOCUS:SH<-Y	NONE	NONE	NO
AIIN+K+EE+D_ADDR+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-EE|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+EE+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-EE|FOCUS:K<-OR	NONE	NONE	NO
AIIN+K+EE+S+AN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-EE	NONE	NONE	NO
AIIN+K+EE+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-EE|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+EEE+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-EEE|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+O+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-AIIN	NONE	NONE	NO
AIIN+K+OL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN	NONE	NONE	NO
AIIN+K+OL+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-OR	NONE	NONE	NO
AIIN+K+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+Y+CH+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-Y|FOCUS:CH<-Y	NONE	NONE	NO
AIIN+L	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|L_AIR_RIGHT_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-L	NONE	NONE	NO
AIIN+LOCAL_CHAR_F+OL+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+LOCAL_CHAR_I+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+O+AR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NO
AIIN+O+DY	ABSENT	1	STOP__UNLICENSED_FACTOR	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	CLOSE:NO_ACTIVE_ACTION	NO
AIIN+OK+E+O+D_ADDR+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:OK<-AIIN|FOCUS:OK<-E|FOCUS:OK<-Y	NONE	NONE	NO
AIIN+OK+EE+OL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:OK<-AIIN|FOCUS:OK<-EE	NONE	NONE	NO
AIIN+OL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+OR	ABSENT	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-OR	NONE	NONE	NO
AIIN+P+AIR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:P<-AIIN|FOCUS:P<-AIR	NONE	NONE	NO
AIIN+P+CH	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:P<-AIIN|PAIR:P>CH	NONE	NONE	NO
AIIN+P+CH+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:P<-AIIN|FOCUS:CH<-Y|PAIR:P>CH	NONE	NONE	NO
AIIN+P+O+D_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:P<-AIIN	NONE	NONE	NO
AIIN+SH+E+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-E|CLOSE:SH	NONE	NONE	NO
AIIN+SH+E+O+D_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-E	NONE	NONE	NO
AIIN+SH+E+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-E|FOCUS:SH<-OR	NONE	NONE	NO
AIIN+SH+E+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-E|FOCUS:SH<-Y	NONE	NONE	NO
AIIN+SH+EE+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-EE|FOCUS:SH<-Y	NONE	NONE	NO
AIIN+SH+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-OR	NONE	NONE	NO
AIIN+T	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN	NONE	NONE	NO
AIIN+T+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-AIIN	NONE	NONE	NO
AIIN+T+AIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-AIN	NONE	NONE	NO
AIIN+T+AL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:T<-AIIN|FOCUS:T<-AL	NONE	NONE	NO
AIIN+T+AL+CH+O+S	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:T<-AIIN|FOCUS:T<-AL	NONE	NONE	NO
AIIN+T+AR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:T<-AIIN|FOCUS:T<-AR	NONE	NONE	NO
AIIN+T+A_ADDR+S+AL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:T<-AIIN|FOCUS:S<-AL	NONE	NONE	NO
AIIN+T+CHD+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:CHD<-Y|PAIR:T>CHD	NONE	NONE	NO
AIIN+T+E+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-E|CLOSE:T	NONE	NONE	NO
AIIN+T+E+O+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-E|CLOSE:T	NONE	NONE	NO
AIIN+T+E+O+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-E|FOCUS:T<-OR	NONE	NONE	NO
AIIN+T+E+O+S_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-E	NONE	NONE	NO
AIIN+T+EE+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-EE|FOCUS:T<-Y	NONE	NONE	NO
AIIN+T+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN	NONE	NONE	NO
AIIN+T+O+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|CLOSE:T	NONE	NONE	NO
AIIN+T+O+E+O+P+CH+E+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-E|FOCUS:CH<-E|FOCUS:CH<-Y|PAIR:P>CH	NONE	NONE	NO
AIIN+T+O+IIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN	NONE	NONE	NO
AIIN+T+OK+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:OK<-Y|PAIR:T>OK	NONE	NONE	NO
AIIN+T+OL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN	NONE	NONE	NO
AIIN+T+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-OR	NONE	NONE	NO
AIIN+T+SH+E+DY	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:SH<-E|PAIR:T>SH|CLOSE:SH	NONE	NONE	NO
AIIN+T+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:T<-AIIN|FOCUS:T<-Y	NONE	NONE	NO
AIIN+Y	OBSERVED	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-Y	NONE	NONE	NO
AIN	OBSERVED	3	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIN	NONE	NONE	NO
AIN+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIN|FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIN+AIN	ABSENT	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIN|FOCUS:OWNER<-AIN	NONE	NONE	NO
AIN+AIN+S+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:S<-AIN|FOCUS:S<-AIN|FOCUS:S<-Y	NONE	NONE	NO
AIN+AL	ABSENT	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIN|FOCUS:OWNER<-AL	NONE	NONE	NO
AIN+AL+S	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:S<-AIN|FOCUS:S<-AL	NONE	NONE	NO
