context_id	page	locus	o_surface	remainder	cth_counterpart	cth_counterpart_occurrences	cth_counterpart_pages	same_page_counterpart	left_surface	right_surface	position	section	language	hand	working_contrast_de
G633-OR021	f6v	f6v.21	octham	am	ctham	1	1	0	chor	<END>	LAST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR022	f80r	f80r.11	octhor	or	cthor	43	33	0	polkain	okchdy	MIDDLE	B	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR023	f82r	f82r.4	octheol	eol	ctheol	8	8	0	qokaiin	chkeey	MIDDLE	B	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR024	f85r2	f85r2.1	octhody	ody	cthody	13	11	0	odar	shedaiin	MIDDLE	C	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR025	f86v5	f86v5.8	octhal	al	cthal	7	5	0	<START>	shckhy	FIRST	T	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR026	f86v5	f86v5.11	octhey	ey	cthey	38	33	0	okar	sal	MIDDLE	T	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR027	f86v5	f86v5.39	octhy	y	cthy	92	50	1	qoteey	dy	MIDDLE	T	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR028	f86v6	f86v6.37	octhear	ear	cthear	0	0	0	kaiin	lo	MIDDLE	T	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR029	f86v6	f86v6.41	octhy	y	cthy	92	50	0	qokaiin	oltchey	MIDDLE	T	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR030	f89v1	f89v1.5	octhody	ody	cthody	13	11	1	oldaiin	<END>	LAST	P	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR031	f93r	f93r.1	octhodaly	odaly	cthodaly	0	0	0	otolsheeos	opalepam	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR032	f99r	f99r.51	octhey	ey	cthey	38	33	0	ey	dy	MIDDLE	P	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
