family_id	skeleton	e_lengths	distinct_lengths	surfaces_by_length	occurrences_by_length	types	occurrences	has_e_ee	has_e_ee_eee	has_e_through_eeee
G633-EB0026	ch<E>f	1|2	2	1:chef|2:cheef	1:1|2:1	2	2	1	0	0
G633-EB0027	ch<E>kaiin	1|2	2	1:chekaiin|2:cheekaiin	1:7|2:1	2	8	1	0	0
G633-EB0028	ch<E>kain	1|2	2	1:chekain|2:cheekain	1:7|2:3	2	10	1	0	0
G633-EB0029	ch<E>kar	1|2	2	1:chekar|2:cheekar	1:7|2:1	2	8	1	0	0
G633-EB0030	ch<E>kchy	1|2	2	1:chekchy|2:cheekchy	1:2|2:1	2	3	1	0	0
G633-EB0031	ch<E>ky	1|2	2	1:cheky|2:cheeky	1:55|2:23	2	78	1	0	0
G633-EB0032	ch<E>o	1|2|3	3	1:cheo|2:cheeo|3:cheeeo	1:54|2:19|3:1	3	74	1	1	0
G633-EB0033	ch<E>od	1|2	2	1:cheod|2:cheeod	1:5|2:1	2	6	1	0	0
G633-EB0034	ch<E>odam	1|2	2	1:cheodam|2:cheeodam	1:1|2:1	2	2	1	0	0
G633-EB0035	ch<E>ody	1|2	2	1:cheody|2:cheeody	1:69|2:10	2	79	1	0	0
G633-EB0036	ch<E>ol	1|2	2	1:cheol|2:cheeol	1:142|2:9	2	151	1	0	0
G633-EB0037	ch<E>oldy	1|2	2	1:cheoldy|2:cheeoldy	1:3|2:1	2	4	1	0	0
G633-EB0038	ch<E>or	1|2	2	1:cheor|2:cheeor	1:71|2:13	2	84	1	0	0
G633-EB0039	ch<E>os	1|2	2	1:cheos|2:cheeos	1:28|2:6	2	34	1	0	0
G633-EB0040	ch<E>paiin	1|2	2	1:chepaiin|2:cheepaiin	1:1|2:1	2	2	1	0	0
G633-EB0041	ch<E>s	1|2|3	3	1:ches|2:chees|3:cheees	1:31|2:32|3:1	3	64	1	1	0
G633-EB0042	ch<E>sy	1|2	2	1:chesy|2:cheesy	1:3|2:1	2	4	1	0	0
G633-EB0043	ch<E>t	1|2	2	1:chet|2:cheet	1:1|2:1	2	2	1	0	0
G633-EB0044	ch<E>ta	1|2	2	1:cheta|2:cheeta	1:1|2:1	2	2	1	0	0
G633-EB0045	ch<E>tam	1|2	2	1:chetam|2:cheetam	1:1|2:1	2	2	1	0	0
G633-EB0046	ch<E>tar	1|2	2	1:chetar|2:cheetar	1:5|2:1	2	6	1	0	0
G633-EB0047	ch<E>ty	1|2|3	3	1:chety|2:cheety|3:cheeety	1:18|2:3|3:1	3	22	1	1	0
G633-EB0048	ch<E>y	1|2|3	3	1:chey|2:cheey|3:cheeey	1:314|2:158|3:8	3	480	1	1	0
G633-EB0049	chckh<E>y	1|2	2	1:chckhey|2:chckheey	1:29|2:1	2	30	1	0	0
G633-EB0050	chk<E>dy	1|2	2	1:chkedy|2:chkeedy	1:4|2:1	2	5	1	0	0
G633-EB0051	chk<E>y	1|2|3	3	1:chkey|2:chkeey|3:chkeeey	1:4|2:13|3:1	3	18	1	1	0
G633-EB0052	chok<E>dy	1|2	2	1:chokedy|2:chokeedy	1:4|2:2	2	6	1	0	0
G633-EB0053	chok<E>o	1|2	2	1:chokeo|2:chokeeo	1:2|2:2	2	4	1	0	0
G633-EB0054	chok<E>ody	1|2	2	1:chokeody|2:chokeeody	1:3|2:1	2	4	1	0	0
G633-EB0055	chok<E>y	1|2|3	3	1:chokey|2:chokeey|3:chokeeey	1:4|2:10|3:1	3	15	1	1	0
G633-EB0056	chokch<E>y	1|2	2	1:chokchey|2:chokcheey	1:2|2:1	2	3	1	0	0
G633-EB0057	cholch<E>y	1|2	2	1:cholchey|2:cholcheey	1:2|2:1	2	3	1	0	0
G633-EB0058	cholk<E>y	2|3	2	2:cholkeey|3:cholkeeey	2:1|3:2	2	3	0	0	0
G633-EB0059	chot<E>y	1|2|3	3	1:chotey|2:choteey|3:choteeey	1:3|2:3|3:1	3	7	1	1	0
G633-EB0060	chotch<E>y	1|2	2	1:chotchey|2:chotcheey	1:3|2:1	2	4	1	0	0
G633-EB0061	chpch<E>y	1|2	2	1:chpchey|2:chpcheey	1:1|2:1	2	2	1	0	0
G633-EB0062	cht<E>or	1|2	2	1:chteor|2:chteeor	1:1|2:1	2	2	1	0	0
G633-EB0063	cht<E>y	1|2	2	1:chtey|2:chteey	1:1|2:1	2	2	1	0	0
G633-EB0064	ckh<E>ody	1|2	2	1:ckheody|2:ckheeody	1:5|2:1	2	6	1	0	0
G633-EB0065	ckh<E>y	1|2|3	3	1:ckhey|2:ckheey|3:ckheeey	1:22|2:8|3:1	3	31	1	1	0
G633-EB0066	cph<E>y	1|2	2	1:cphey|2:cpheey	1:7|2:1	2	8	1	0	0
G633-EB0067	cth<E>s	1|2|3	3	1:cthes|2:cthees|3:ctheees	1:1|2:1|3:1	3	3	1	1	0
G633-EB0068	cth<E>y	1|2	2	1:cthey|2:ctheey	1:38|2:10	2	48	1	0	0
G633-EB0069	d<E>dy	1|2|3	3	1:dedy|2:deedy|3:deeedy	1:3|2:4|3:2	3	9	1	1	0
G633-EB0070	d<E>ol	1|2	2	1:deol|2:deeol	1:1|2:1	2	2	1	0	0
G633-EB0071	d<E>y	1|2|3	3	1:dey|2:deey|3:deeey	1:2|2:7|3:1	3	10	1	1	0
G633-EB0072	dch<E>dy	1|2	2	1:dchedy|2:dcheedy	1:26|2:3	2	29	1	0	0
G633-EB0073	dch<E>ody	1|2	2	1:dcheody|2:dcheeody	1:2|2:1	2	3	1	0	0
G633-EB0074	dch<E>ol	1|2	2	1:dcheol|2:dcheeol	1:8|2:1	2	9	1	0	0
G633-EB0075	dch<E>os	1|2	2	1:dcheos|2:dcheeos	1:3|2:1	2	4	1	0	0
G633-EB0076	dch<E>y	1|2|3	3	1:dchey|2:dcheey|3:dcheeey	1:15|2:9|3:1	3	25	1	1	0
G633-EB0077	dolch<E>dy	1|2	2	1:dolchedy|2:dolcheedy	1:1|2:1	2	2	1	0	0
G633-EB0078	dolch<E>y	1|2	2	1:dolchey|2:dolcheey	1:1|2:1	2	2	1	0	0
G633-EB0079	dsh<E>dal	1|2	2	1:dshedal|2:dsheedal	1:1|2:1	2	2	1	0	0
G633-EB0080	dsh<E>dy	1|2	2	1:dshedy|2:dsheedy	1:29|2:4	2	33	1	0	0
G633-EB0081	dsh<E>o	1|2	2	1:dsheo|2:dsheeo	1:2|2:1	2	3	1	0	0
G633-EB0082	dsh<E>s	1|2	2	1:dshes|2:dshees	1:1|2:2	2	3	1	0	0
G633-EB0083	dsh<E>y	1|2	2	1:dshey|2:dsheey	1:10|2:7	2	17	1	0	0
G633-EB0084	dyk<E>dy	1|2	2	1:dykedy|2:dykeedy	1:1|2:1	2	2	1	0	0
G633-EB0085	dyt<E>y	1|2	2	1:dytey|2:dyteey	1:1|2:2	2	3	1	0	0
G633-EB0086	fch<E>ody	1|2	2	1:fcheody|2:fcheeody	1:3|2:1	2	4	1	0	0
G633-EB0087	fch<E>y	1|2	2	1:fchey|2:fcheey	1:2|2:4	2	6	1	0	0
G633-EB0088	k<E>aiin	1|2	2	1:keaiin|2:keeaiin	1:1|2:1	2	2	1	0	0
G633-EB0089	k<E>chy	1|2	2	1:kechy|2:keechy	1:4|2:3	2	7	1	0	0
G633-EB0090	k<E>d	1|2|3	3	1:ked|2:keed|3:keeed	1:1|2:2|3:1	3	4	1	1	0
G633-EB0091	k<E>dal	1|2|3	3	1:kedal|2:keedal|3:keeedal	1:1|2:2|3:1	3	4	1	1	0
G633-EB0092	k<E>dar	1|2	2	1:kedar|2:keedar	1:3|2:1	2	4	1	0	0
G633-EB0093	k<E>dy	1|2|3	3	1:kedy|2:keedy|3:keeedy	1:42|2:59|3:6	3	107	1	1	0
G633-EB0094	k<E>l	1|2	2	1:kel|2:keel	1:1|2:1	2	2	1	0	0
G633-EB0095	k<E>o	1|2|3	3	1:keo|2:keeo|3:keeeo	1:5|2:8|3:1	3	14	1	1	0
G633-EB0096	k<E>odaiin	1|2	2	1:keodaiin|2:keeodaiin	1:3|2:2	2	5	1	0	0
G633-EB0097	k<E>odar	1|2	2	1:keodar|2:keeodar	1:1|2:1	2	2	1	0	0
G633-EB0098	k<E>ody	1|2|3	3	1:keody|2:keeody|3:keeeody	1:18|2:8|3:1	3	27	1	1	0
G633-EB0099	k<E>ol	1|2|3	3	1:keol|2:keeol|3:keeeol	1:18|2:10|3:1	3	29	1	1	0
G633-EB0100	k<E>or	1|2	2	1:keor|2:keeor	1:6|2:6	2	12	1	0	0
G633-EB0101	k<E>os	1|2|3	3	1:keos|2:keeos|3:keeeos	1:1|2:1|3:1	3	3	1	1	0
G633-EB0102	k<E>oy	1|2	2	1:keoy|2:keeoy	1:1|2:1	2	2	1	0	0
G633-EB0103	k<E>s	2|4	2	2:kees|4:keeees	2:1|4:1	2	2	0	0	0
G633-EB0104	k<E>y	1|2|3	3	1:key|2:keey|3:keeey	1:13|2:43|3:9	3	65	1	1	0
G633-EB0105	kch<E>	1|2	2	1:kche|2:kchee	1:1|2:1	2	2	1	0	0
G633-EB0106	kch<E>dy	1|2	2	1:kchedy|2:kcheedy	1:22|2:1	2	23	1	0	0
G633-EB0107	kch<E>or	1|2	2	1:kcheor|2:kcheeor	1:4|2:2	2	6	1	0	0
G633-EB0108	kch<E>os	1|2	2	1:kcheos|2:kcheeos	1:1|2:1	2	2	1	0	0
G633-EB0109	kch<E>y	1|2	2	1:kchey|2:kcheey	1:18|2:4	2	22	1	0	0
G633-EB0110	kolch<E>y	1|2	2	1:kolchey|2:kolcheey	1:1|2:1	2	2	1	0	0
G633-EB0111	ksh<E>ol	1|2	2	1:ksheol|2:ksheeol	1:2|2:2	2	4	1	0	0
G633-EB0112	ksh<E>y	1|2	2	1:kshey|2:ksheey	1:6|2:1	2	7	1	0	0
G633-EB0113	lch<E>dy	1|2	2	1:lchedy|2:lcheedy	1:116|2:9	2	125	1	0	0
G633-EB0114	lch<E>or	1|2	2	1:lcheor|2:lcheeor	1:2|2:1	2	3	1	0	0
G633-EB0115	lch<E>y	1|2|3	3	1:lchey|2:lcheey|3:lcheeey	1:46|2:13|3:1	3	60	1	1	0
G633-EB0116	lfch<E>dy	1|2	2	1:lfchedy|2:lfcheedy	1:2|2:1	2	3	1	0	0
G633-EB0117	lk<E>al	1|2	2	1:lkeal|2:lkeeal	1:1|2:1	2	2	1	0	0
G633-EB0118	lk<E>d	1|2|3	3	1:lked|2:lkeed|3:lkeeed	1:1|2:3|3:1	3	5	1	1	0
G633-EB0119	lk<E>dain	1|2	2	1:lkedain|2:lkeedain	1:2|2:1	2	3	1	0	0
G633-EB0120	lk<E>dar	1|2	2	1:lkedar|2:lkeedar	1:1|2:1	2	2	1	0	0
G633-EB0121	lk<E>dy	1|2|3	3	1:lkedy|2:lkeedy|3:lkeeedy	1:26|2:37|3:4	3	67	1	1	0
G633-EB0122	lk<E>o	1|2	2	1:lkeo|2:lkeeo	1:3|2:2	2	5	1	0	0
G633-EB0123	lk<E>ody	1|2|3	3	1:lkeody|2:lkeeody|3:lkeeeody	1:4|2:5|3:1	3	10	1	1	0
G633-EB0124	lk<E>ol	1|2	2	1:lkeol|2:lkeeol	1:5|2:2	2	7	1	0	0
G633-EB0125	lk<E>or	1|2	2	1:lkeor|2:lkeeor	1:1|2:2	2	3	1	0	0
G633-EB0126	lk<E>s	2|3	2	2:lkees|3:lkeees	2:1|3:2	2	3	0	0	0
G633-EB0127	lk<E>shdy	1|2	2	1:lkeshdy|2:lkeeshdy	1:1|2:1	2	2	1	0	0
G633-EB0128	lk<E>y	1|2|3|4	4	1:lkey|2:lkeey|3:lkeeey|4:lkeeeey	1:7|2:38|3:7|4:1	4	53	1	1	1
G633-EB0129	lksh<E>y	1|2	2	1:lkshey|2:lksheey	1:2|2:1	2	3	1	0	0
G633-EB0130	lo<E>s	2|3	2	2:loees|3:loeees	2:1|3:2	2	3	0	0	0
G633-EB0131	lok<E>dy	1|2	2	1:lokedy|2:lokeedy	1:1|2:2	2	3	1	0	0
G633-EB0132	lpch<E>dy	1|2	2	1:lpchedy|2:lpcheedy	1:5|2:1	2	6	1	0	0
G633-EB0133	lsh<E>dy	1|2	2	1:lshedy|2:lsheedy	1:38|2:7	2	45	1	0	0
G633-EB0134	lsh<E>s	1|2	2	1:lshes|2:lshees	1:1|2:1	2	2	1	0	0
G633-EB0135	lsh<E>y	1|2	2	1:lshey|2:lsheey	1:17|2:6	2	23	1	0	0
G633-EB0136	lt<E>dy	1|2	2	1:ltedy|2:lteedy	1:5|2:6	2	11	1	0	0
G633-EB0137	o<E>dain	1|3	2	1:oedain|3:oeeedain	1:1|3:1	2	2	0	0	0
G633-EB0138	o<E>dy	1|2|3	3	1:oedy|2:oeedy|3:oeeedy	1:2|2:6|3:1	3	9	1	1	0
G633-EB0139	o<E>ky	1|3	2	1:oeky|3:oeeeky	1:1|3:1	2	2	0	0	0
G633-EB0140	o<E>ody	2|3	2	2:oeeody|3:oeeeody	2:1|3:1	2	2	0	0	0
G633-EB0141	o<E>or	1|2	2	1:oeor|2:oeeor	1:1|2:1	2	2	1	0	0
G633-EB0142	o<E>os	1|2|3	3	1:oeos|2:oeeos|3:oeeeos	1:1|2:1|3:1	3	3	1	1	0
G633-EB0143	o<E>s	2|3|4	3	2:oees|3:oeees|4:oeeees	2:9|3:6|4:1	3	16	0	0	0
G633-EB0144	o<E>y	2|3	2	2:oeey|3:oeeey	2:5|3:3	2	8	0	0	0
G633-EB0145	och<E>dy	1|2	2	1:ochedy|2:ocheedy	1:8|2:1	2	9	1	0	0
G633-EB0146	och<E>y	1|2	2	1:ochey|2:ocheey	1:5|2:3	2	8	1	0	0
G633-EB0147	od<E>dy	2|3	2	2:odeedy|3:odeeedy	2:2|3:1	2	3	0	0	0
G633-EB0148	od<E>y	2|3	2	2:odeey|3:odeeey	2:2|3:2	2	4	0	0	0
G633-EB0149	ok<E>aiin	1|2	2	1:okeaiin|2:okeeaiin	1:2|2:1	2	3	1	0	0
G633-EB0150	ok<E>am	1|2	2	1:okeam|2:okeeam	1:1|2:2	2	3	1	0	0
G633-EB0151	ok<E>ar	1|2	2	1:okear|2:okeear	1:5|2:3	2	8	1	0	0
G633-EB0152	ok<E>chy	1|2	2	1:okechy|2:okeechy	1:4|2:1	2	5	1	0	0
G633-EB0153	ok<E>d	1|2	2	1:oked|2:okeed	1:1|2:3	2	4	1	0	0
G633-EB0154	ok<E>daiin	1|2	2	1:okedaiin|2:okeedaiin	1:3|2:1	2	4	1	0	0
G633-EB0155	ok<E>dain	1|2	2	1:okedain|2:okeedain	1:3|2:2	2	5	1	0	0
G633-EB0156	ok<E>dal	1|2	2	1:okedal|2:okeedal	1:5|2:4	2	9	1	0	0
G633-EB0157	ok<E>dam	1|2	2	1:okedam|2:okeedam	1:2|2:1	2	3	1	0	0
G633-EB0158	ok<E>dar	1|2	2	1:okedar|2:okeedar	1:4|2:2	2	6	1	0	0
G633-EB0159	ok<E>dy	1|2|3	3	1:okedy|2:okeedy|3:okeeedy	1:87|2:94|3:7	3	188	1	1	0
G633-EB0160	ok<E>o	1|2|3	3	1:okeo|2:okeeo|3:okeeeo	1:2|2:15|3:1	3	18	1	1	0
G633-EB0161	ok<E>ody	1|2|3	3	1:okeody|2:okeeody|3:okeeeody	1:21|2:7|3:1	3	29	1	1	0
G633-EB0162	ok<E>ol	1|2	2	1:okeol|2:okeeol	1:44|2:7	2	51	1	0	0
G633-EB0163	ok<E>oly	1|2	2	1:okeoly|2:okeeoly	1:3|2:1	2	4	1	0	0
G633-EB0164	ok<E>om	1|2	2	1:okeom|2:okeeom	1:3|2:1	2	4	1	0	0
G633-EB0165	ok<E>or	1|2	2	1:okeor|2:okeeor	1:15|2:10	2	25	1	0	0
G633-EB0166	ok<E>os	1|2	2	1:okeos|2:okeeos	1:2|2:3	2	5	1	0	0
G633-EB0167	ok<E>s	1|2|3	3	1:okes|2:okees|3:okeees	1:1|2:9|3:1	3	11	1	1	0
G633-EB0168	ok<E>shy	1|2	2	1:okeshy|2:okeeshy	1:2|2:2	2	4	1	0	0
G633-EB0169	ok<E>sy	1|3	2	1:okesy|3:okeeesy	1:1|3:1	2	2	0	0	0
G633-EB0170	ok<E>y	1|2|3|4	4	1:okey|2:okeey|3:okeeey|4:okeeeey	1:40|2:138|3:20|4:1	4	199	1	1	1
G633-EB0171	okch<E>y	1|2	2	1:okchey|2:okcheey	1:29|2:5	2	34	1	0	0
G633-EB0172	ol<E>d	2|3	2	2:oleed|3:oleeed	2:1|3:1	2	2	0	0	0
G633-EB0173	ol<E>dy	2|3	2	2:oleedy|3:oleeedy	2:2|3:2	2	4	0	0	0
G633-EB0174	ol<E>y	2|3	2	2:oleey|3:oleeey	2:2|3:1	2	3	0	0	0
G633-EB0175	olch<E>ar	1|2	2	1:olchear|2:olcheear	1:1|2:1	2	2	1	0	0
G633-EB0176	olch<E>dy	1|2	2	1:olchedy|2:olcheedy	1:34|2:3	2	37	1	0	0
G633-EB0177	olch<E>o	1|2	2	1:olcheo|2:olcheeo	1:2|2:1	2	3	1	0	0
G633-EB0178	olch<E>s	2|3	2	2:olchees|3:olcheees	2:1|3:1	2	2	0	0	0
G633-EB0179	olch<E>y	1|2|3	3	1:olchey|2:olcheey|3:olcheeey	1:20|2:9|3:2	3	31	1	1	0
G633-EB0180	olk<E>chdy	1|2	2	1:olkechdy|2:olkeechdy	1:1|2:1	2	2	1	0	0
G633-EB0181	olk<E>chy	1|2	2	1:olkechy|2:olkeechy	1:1|2:3	2	4	1	0	0
G633-EB0182	olk<E>d	1|3	2	1:olked|3:olkeeed	1:1|3:1	2	2	0	0	0
G633-EB0183	olk<E>dy	1|2|3	3	1:olkedy|2:olkeedy|3:olkeeedy	1:22|2:42|3:2	3	66	1	1	0
G633-EB0184	olk<E>ody	1|2	2	1:olkeody|2:olkeeody	1:1|2:5	2	6	1	0	0
G633-EB0185	olk<E>ol	1|2	2	1:olkeol|2:olkeeol	1:7|2:2	2	9	1	0	0
G633-EB0186	olk<E>s	2|3	2	2:olkees|3:olkeees	2:3|3:1	2	4	0	0	0
G633-EB0187	olk<E>y	1|2|3	3	1:olkey|2:olkeey|3:olkeeey	1:12|2:35|3:11	3	58	1	1	0
G633-EB0188	olo<E>dy	2|3	2	2:oloeedy|3:oloeeedy	2:1|3:1	2	2	0	0	0
G633-EB0189	olpch<E>y	1|2	2	1:olpchey|2:olpcheey	1:2|2:1	2	3	1	0	0
G633-EB0190	olsh<E>d	1|2	2	1:olshed|2:olsheed	1:1|2:1	2	2	1	0	0
G633-EB0191	olsh<E>dy	1|2	2	1:olshedy|2:olsheedy	1:17|2:1	2	18	1	0	0
G633-EB0192	olsh<E>y	1|2	2	1:olshey|2:olsheey	1:13|2:7	2	20	1	0	0
G633-EB0193	olt<E>dy	1|2|3	3	1:oltedy|2:olteedy|3:olteeedy	1:6|2:3|3:1	3	10	1	1	0
G633-EB0194	olt<E>y	1|2	2	1:oltey|2:olteey	1:1|2:1	2	2	1	0	0
G633-EB0195	oltch<E>y	1|2	2	1:oltchey|2:oltcheey	1:2|2:1	2	3	1	0	0
G633-EB0196	opch<E>ar	1|2	2	1:opchear|2:opcheear	1:2|2:1	2	3	1	0	0
G633-EB0197	opch<E>d	1|2	2	1:opched|2:opcheed	1:2|2:1	2	3	1	0	0
G633-EB0198	opch<E>dy	1|2	2	1:opchedy|2:opcheedy	1:48|2:3	2	51	1	0	0
G633-EB0199	opch<E>o	1|2	2	1:opcheo|2:opcheeo	1:1|2:1	2	2	1	0	0
G633-EB0200	opch<E>s	1|2	2	1:opches|2:opchees	1:2|2:1	2	3	1	0	0
G633-EB0201	opch<E>y	1|2	2	1:opchey|2:opcheey	1:26|2:4	2	30	1	0	0
G633-EB0202	or<E>y	1|3	2	1:orey|3:oreeey	1:1|3:2	2	3	0	0	0
G633-EB0203	orch<E>y	1|2	2	1:orchey|2:orcheey	1:3|2:1	2	4	1	0	0
G633-EB0204	osh<E>dy	1|2	2	1:oshedy|2:osheedy	1:2|2:1	2	3	1	0	0
G633-EB0205	osh<E>y	1|2	2	1:oshey|2:osheey	1:4|2:1	2	5	1	0	0
G633-EB0206	ot<E>aiin	1|2	2	1:oteaiin|2:oteeaiin	1:2|2:1	2	3	1	0	0
G633-EB0207	ot<E>al	1|2	2	1:oteal|2:oteeal	1:5|2:1	2	6	1	0	0
G633-EB0208	ot<E>chy	1|2	2	1:otechy|2:oteechy	1:2|2:1	2	3	1	0	0
G633-EB0209	ot<E>d	1|2	2	1:oted|2:oteed	1:1|2:6	2	7	1	0	0
G633-EB0210	ot<E>daiin	1|2	2	1:otedaiin|2:oteedaiin	1:1|2:2	2	3	1	0	0
G633-EB0211	ot<E>dain	1|2	2	1:otedain|2:oteedain	1:2|2:1	2	3	1	0	0
G633-EB0212	ot<E>dal	1|2	2	1:otedal|2:oteedal	1:4|2:2	2	6	1	0	0
G633-EB0213	ot<E>dar	1|2	2	1:otedar|2:oteedar	1:8|2:1	2	9	1	0	0
G633-EB0214	ot<E>dy	1|2|3	3	1:otedy|2:oteedy|3:oteeedy	1:131|2:88|3:2	3	221	1	1	0
G633-EB0215	ot<E>o	1|2	2	1:oteo|2:oteeo	1:7|2:6	2	13	1	0	0
G633-EB0216	ot<E>odl	1|2	2	1:oteodl|2:oteeodl	1:1|2:1	2	2	1	0	0
G633-EB0217	ot<E>ody	1|2	2	1:oteody|2:oteeody	1:20|2:7	2	27	1	0	0
G633-EB0218	ot<E>ol	1|2	2	1:oteol|2:oteeol	1:26|2:5	2	31	1	0	0
G633-EB0219	ot<E>or	1|2	2	1:oteor|2:oteeor	1:10|2:2	2	12	1	0	0
G633-EB0220	ot<E>os	1|2|3	3	1:oteos|2:oteeos|3:oteeeos	1:5|2:4|3:1	3	10	1	1	0
G633-EB0221	ot<E>s	1|2|3	3	1:otes|2:otees|3:oteees	1:1|2:5|3:1	3	7	1	1	0
G633-EB0222	ot<E>y	1|2|3	3	1:otey|2:oteey|3:oteeey	1:42|2:100|3:7	3	149	1	1	0
G633-EB0223	otch<E>dy	1|2	2	1:otchedy|2:otcheedy	1:34|2:1	2	35	1	0	0
G633-EB0224	otch<E>o	1|2	2	1:otcheo|2:otcheeo	1:1|2:1	2	2	1	0	0
G633-EB0225	otch<E>s	1|2	2	1:otches|2:otchees	1:1|2:1	2	2	1	0	0
G633-EB0226	otch<E>y	1|2	2	1:otchey|2:otcheey	1:26|2:3	2	29	1	0	0
G633-EB0227	oyk<E>y	2|3	2	2:oykeey|3:oykeeey	2:1|3:1	2	2	0	0	0
G633-EB0228	pch<E>d	1|2	2	1:pched|2:pcheed	1:1|2:1	2	2	1	0	0
G633-EB0229	pch<E>dy	1|2	2	1:pchedy|2:pcheedy	1:35|2:1	2	36	1	0	0
G633-EB0230	pch<E>ody	1|2	2	1:pcheody|2:pcheeody	1:5|2:1	2	6	1	0	0
G633-EB0231	pch<E>y	1|2	2	1:pchey|2:pcheey	1:8|2:3	2	11	1	0	0
G633-EB0232	polk<E>dy	1|2	2	1:polkedy|2:polkeedy	1:1|2:1	2	2	1	0	0
G633-EB0233	polk<E>y	2|3	2	2:polkeey|3:polkeeey	2:2|3:1	2	3	0	0	0
G633-EB0234	psh<E>dy	1|2	2	1:pshedy|2:psheedy	1:3|2:1	2	4	1	0	0
G633-EB0235	psh<E>y	1|2	2	1:pshey|2:psheey	1:1|2:1	2	2	1	0	0
G633-EB0236	q<E>ar	1|2	2	1:qear|2:qeear	1:1|2:1	2	2	1	0	0
G633-EB0237	q<E>dy	1|2|3	3	1:qedy|2:qeedy|3:qeeedy	1:3|2:2|3:1	3	6	1	1	0
G633-EB0238	q<E>y	1|2|3	3	1:qey|2:qeey|3:qeeey	1:1|2:3|3:3	3	7	1	1	0
G633-EB0239	qo<E>ar	1|2|3	3	1:qoear|2:qoeear|3:qoeeear	1:1|2:3|3:1	3	5	1	1	0
G633-EB0240	qo<E>daiin	1|2	2	1:qoedaiin|2:qoeedaiin	1:3|2:4	2	7	1	0	0
G633-EB0241	qo<E>dy	1|2|3	3	1:qoedy|2:qoeedy|3:qoeeedy	1:5|2:16|3:3	3	24	1	1	0
G633-EB0242	qo<E>o	2|3	2	2:qoeeo|3:qoeeeo	2:2|3:1	2	3	0	0	0
G633-EB0243	qo<E>ol	1|2	2	1:qoeol|2:qoeeol	1:2|2:2	2	4	1	0	0
G633-EB0244	qo<E>or	1|2	2	1:qoeor|2:qoeeor	1:2|2:2	2	4	1	0	0
G633-EB0245	qo<E>s	2|3	2	2:qoees|3:qoeees	2:1|3:3	2	4	0	0	0
G633-EB0246	qo<E>y	2|3	2	2:qoeey|3:qoeeey	2:12|3:6	2	18	0	0	0
G633-EB0247	qockh<E>dy	1|2	2	1:qockhedy|2:qockheedy	1:4|2:1	2	5	1	0	0
G633-EB0248	qockh<E>y	1|2	2	1:qockhey|2:qockheey	1:14|2:2	2	16	1	0	0
