candidate_surface	expected_analogy_confidence_level	expected_consensus_axes	next_working_meaning_de	meaning_rationale_de
qokeain	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT	heiß, Stufe II	qokain ist der direkte Distanz-1-Ganzwortnachbar mit Grad II; der Radius-2-Kreis bestätigt nur die Heißachse.
qokeechy	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	heißer End-/Vollzustand; Trocknung gegen Befeuchtung offen	Sechs Distanz-2-Nachbarn teilen Hitze und Endbereich, streuen aber über trocken, feucht, Ansatz und Vorgang.
qototeeey	A1_SINGLE_NEIGHBOR_LEAD	NONE	Ansatz vollständig abkühlen; Einzelanalogie	Nur qotoeey liegt innerhalb Editdistanz zwei und trägt genau diesen Kühlvorgang; es gibt keinen Mehrfachkonsens.
sheees	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	END_STAGE	vollständiger Endzustand; feucht/eingeweicht gegen trocken offen	Zwölf Distanz-2-Nachbarn sichern nur den End-/Vollbereich; Trockenheit, Feuchte, Stoff und Ansatz bleiben gemischt.
sheeol	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL|END_STAGE	vollständig behandelter Stoff; feucht/eingeweicht gegen trocken offen	Fünf Distanz-1-Nachbarn teilen Stoffnähe und Endbereich, enthalten aber sowohl cheeol-trocken als auch shee*-feucht.
shoda	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	MOIST	eingeweichter oder feuchter Zustand; vollständig eingeweichter Ansatz als stärkste Analogie	shody ist der direkte Ganzwortnachbar; der größere Kreis bestätigt die Feucht-/Einweichachse, nicht durchgehend den Träger.
tarairy	A1_SINGLE_NEIGHBOR_LEAD	NONE	gekühlte erste Fraktion oder deren Teile; Einzelanalogie	Nur taraiin liegt innerhalb Editdistanz zwei und bezeichnet drei Teile der ersten gekühlten Fraktion.
ykeeey	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	hieraus bis zur heißen Endstufe führen und abschließen	ykeey und ykeedy stimmen in heißem Endbereich überein und teilen Vorgangs- gegen Ergebnislesung transparent.
ykeeody	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	heißer End-/Abschlusszustand; Eintrag oder Ansatz offen	keeody und ykeedy teilen Hitze und Endbereich, unterscheiden aber Zubereitung und Eintrags-/Abschlussfunktion.
ykeodaiin	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	AMOUNT|PREPARATION	hiervon drei Portionen einer Zubereitung abmessen	Vier Distanz-2-Nachbarn teilen Portionen einer Zubereitung; yodaiin liefert explizit den rückbezüglichen Abmessvorgang.
ytapy	A1_MIXED_NEIGHBORHOOD	NONE	hieraus kühlen; Maß gegen erste oder zweite Fraktion offen	Neun Distanz-2-Nachbarn teilen den y/t-Kühlbereich, aber keine Achse erreicht die formale Konsensschwelle; Menge und Teil konkurrieren.
