statement_id	record	visible_owner_ids	loci	event_ids	surfaces	card_literal_de	complete_workshop_reading_de	terminal	crosses_visible_owner_boundary	global_cycle_claim
B3-S028	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.20	E293|E294	qokeey qokedy	ansetzen · länger · dies; ansetzen · kurz · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann ansetzen länger dies; dann ansetzen kurz; schließen.	YES	NO	NONE
B3-S029	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.20	E295|E296|E297	sol cheeety qokedy	fortsetzen; vollständig · eintragen · dies; ansetzen · kurz · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann fortsetzen; dann vollständig eintragen dies; dann ansetzen kurz; schließen.	YES	NO	NONE
B3-S030	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.20|f83r.22	E298|E299|E300|E301	qoky saiin schedair otchedy	ansetzen · dies; Maß; umsetzen · Lauf; danach · umsetzen · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann ansetzen dies; dann Maß; dann umsetzen Lauf; dann danach umsetzen; schließen.	YES	NO	NONE
B3-S031	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.22	E302	qokeedy	ansetzen · länger · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann ansetzen länger; schließen.	YES	NO	NONE
B3-S032	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.22	E303|E304|E305|E306|E307	chedain chedy qotedaiin otaiin otedy	umsetzen · Portion; umsetzen · dies; danach · kurz · Maß; danach · Maß; danach · kurz · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann umsetzen Portion; dann umsetzen dies; dann danach kurz Maß; dann danach Maß; dann danach kurz; schließen.	YES	NO	NONE
B3-S033	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.22	E308	ldy	führen · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann führen; schließen.	YES	NO	NONE
B3-S034	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.24	E309|E310|E311|E312|E313|E314	soiiin checthy chety otaiin olsaly shedy	Arbeitsgang · Sollstufe; bereit · dies; eintragen · dies; danach · Maß; fortsetzen · Zielstelle · dies; absetzen · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann Arbeitsgang Sollstufe; dann bereit dies; dann eintragen dies; dann danach Maß; dann fortsetzen Zielstelle dies; dann absetzen; schließen.	YES	NO	NONE
B4-S001	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.25	E315	qokeedy	ansetzen · länger · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann ansetzen länger; schließen.	YES	NO	NONE
B4-S002	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.25	E316|E317|E318	qolchey qokeey qokedy	fortsetzen · dies; ansetzen · länger · dies; ansetzen · kurz · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann fortsetzen dies; dann ansetzen länger dies; dann ansetzen kurz; schließen.	YES	NO	NONE
B4-S003	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.25|f83r.26	E319|E320|E321|E322|E323|E324|E325	chedy otal otchey qokeey qoky tol shedy	umsetzen · dies; danach · Zielstelle; danach · dies; ansetzen · länger · dies; ansetzen · dies; fortsetzen; absetzen · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann umsetzen dies; dann danach Zielstelle; dann danach dies; dann ansetzen länger dies; dann ansetzen dies; dann fortsetzen; dann absetzen; schließen.	YES	NO	NONE
B4-S004	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.26	E326	qokylddy	ansetzen · dies · befestigen; Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann ansetzen dies befestigen; Schluss.	YES	NO	NONE
B4-S005	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.27	E327|E328|E329	dain chedy qokeedy	Portion; umsetzen · dies; ansetzen · länger · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann Portion; dann umsetzen dies; dann ansetzen länger; schließen.	YES	NO	NONE
B4-S006	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.27	E330	shckhedy	halten · Durchlass · kurz · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann halten Durchlass kurz; schließen.	YES	NO	NONE
B4-S007	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.27	E331	shckhedy	halten · Durchlass · kurz · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann halten Durchlass kurz; schließen.	YES	NO	NONE
B4-S008	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.28	E332|E333|E334|E335	saiin cheeky sheey qokedy	Maß; wärmen · länger · dies; halten · länger · dies; ansetzen · kurz · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann Maß; dann wärmen länger dies; dann halten länger dies; dann ansetzen kurz; schließen.	YES	NO	NONE
B4-S009	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.28	E336	shedy	absetzen · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann absetzen; schließen.	YES	NO	NONE
B4-S010	B4	B4_MAIN_ARCH_LINKED_PAIR	f83r.28	E337	oldy	fortsetzen · Schluss	Bei dasselbe sichtbare Figurenpaar im B4-Record; dann fortsetzen; schließen.	YES	NO	NONE
B4-S011	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	f83r.35|f83r.37	E338|E339|E340|E341|E342|E343|E344	saiin cheky okeeol okain chdy sol lkedy	Maß; wärmen · kurz · dies; ansetzen · länger · fortsetzen; ansetzen · Portion; umsetzen · dies; fortsetzen; führen · zuführen · kurz · Schluss	Bei linke Hauptstation mit offenem Fransenlauf; dann Maß; dann wärmen kurz dies; dann ansetzen länger fortsetzen; dann ansetzen Portion; dann umsetzen dies; dann fortsetzen; dann führen zuführen kurz; schließen.	YES	NO	NONE
B4-S012	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	f83r.37	E345	lchedy	führen · umsetzen · Schluss	Bei linke Hauptstation mit offenem Fransenlauf; dann führen umsetzen; schließen.	YES	NO	NONE
B4-S013	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	f83r.37	E346|E347	qokol shedy	ansetzen · fortsetzen; absetzen · Schluss	Bei linke Hauptstation mit offenem Fransenlauf; dann ansetzen fortsetzen; dann absetzen; schließen.	YES	NO	NONE
B4-S014	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	f83r.38	E348|E349|E350|E351	or chey qockhey dairydy	Ansatz; dies; Arbeitsgang · Durchlass · kurz · dies; Lauf · dies · Schluss	Bei linke Hauptstation mit offenem Fransenlauf; dann Ansatz; dann dies; dann Arbeitsgang Durchlass kurz dies; dann Lauf dies; schließen.	YES	NO	NONE
B4-S015	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	f83r.39|f83r.41	E352|E353|E354|E355|E356|E357	qokain shey kain chckhal solkey lchedy	ansetzen · Portion; Empfangsbestand; zuführen · Portion; abziehen · Durchlass · Zielstelle; auffangen · kurz · dies; führen · umsetzen · Schluss	Bei linke Hauptstation mit offenem Fransenlauf; dann ansetzen Portion; dann Empfangsbestand; dann zuführen Portion; dann abziehen Durchlass Zielstelle; dann [ohne Bildkante wechseln zu rechte Hauptstation mit S-Lauf und Mehrarmknoten]; dann auffangen kurz dies; dann führen umsetzen; schließen.	YES	YES	NONE
B4-S016	B4	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	f83r.41|f83r.44	E358|E359|E360|E361	qolkain dal skar shedy	fortsetzen · zuführen · Portion; Zielstelle; zuführen · von dort; absetzen · Schluss	Bei rechte Hauptstation mit S-Lauf und Mehrarmknoten; dann fortsetzen zuführen Portion; dann Zielstelle; dann zuführen von dort; dann absetzen; schließen.	YES	NO	NONE
B5-S001	B5	B5_LEFT_OPEN_FRINGE_STATION	f83r.47	E362	otchdy	danach · umsetzen · Schluss	Bei linke Fransenstation im eigenen B5-Nachtrag; dann danach umsetzen; schließen.	YES	NO	NONE
B5-S002	B5	B5_LEFT_OPEN_FRINGE_STATION	f83r.47	E363	qokchdy	ansetzen · umsetzen · Schluss	Bei linke Fransenstation im eigenen B5-Nachtrag; dann ansetzen umsetzen; schließen.	YES	NO	NONE
B5-S003	B5	B5_LEFT_OPEN_FRINGE_STATION	f83r.47|f83r.48|f83r.49	E364|E365|E366|E367|E368|E369|E370|E371|E372	shedal dal cheol lol chdal aiin sol daiiin chedy	absetzen · Zielstelle; Zielstelle; fortsetzen; führen · fortsetzen; umsetzen · Zielstelle; Maß; fortsetzen; Sollstufe · zweite; umsetzen · dies	Bei linke Fransenstation im eigenen B5-Nachtrag; dann absetzen Zielstelle; dann Zielstelle; dann fortsetzen; dann führen fortsetzen; dann umsetzen Zielstelle; dann Maß; dann fortsetzen; dann Sollstufe zweite; dann umsetzen dies.	NO	NO	NONE
B6-S001	B6	B6_RIGHT_S_RUN_MULTIPORT_STATION	f83r.52|f83r.54	E373|E374|E375|E376|E377|E378|E379|E380|E381	solkeey qekey raly ol daiin ol dain chey ldalor	auffangen · länger · dies; kurz · zuführen · kurz · dies; abkühlen · Zielstelle · dies; fortsetzen; Maß; fortsetzen; Portion; dies; führen · Zielstelle · Ansatz	Bei rechter S-Lauf im eigenen B6-Nachtrag; dann auffangen länger dies; dann kurz zuführen kurz dies; dann abkühlen Zielstelle dies; dann fortsetzen; dann Maß; dann fortsetzen; dann Portion; dann dies; dann führen Zielstelle Ansatz.	NO	NO	NONE
