side	context_surface	eligible_cross_folds	global_events	global_stems	global_folios	global_m	mean_beta_context	min_beta_context	max_beta_context	mean_beta_after_stem	direct_events	cache_rest_events	semantic_export_credit
LEFT	shey	25	17	9	13	4	0.204042829178	-0.0812928762877	0.413458644687	0.249685285457	2	15	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dal	25	23	15	18	5	0.216399118687	-0.0466920852535	0.491884906519	0.235163698252	2	21	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okedy	25	13	9	10	4	0.223138717796	0.0353300745609	0.436460406453	0.222004632898	1	12	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otedy	25	14	12	9	3	0.212830140534	-0.0858536033927	0.390553960756	0.220419507961	2	12	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cheey	25	15	13	12	4	0.195553737077	0.00650062828856	0.354460098451	0.212651522926	1	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	char	25	10	7	9	4	0.232041467269	0.0266444882902	0.443024109394	0.209118609525	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	aiin	25	67	26	43	12	-0.239678323117	-0.589119966182	0.011687100817	-0.207335182302	5	62	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	al	25	26	17	20	6	0.0895261954828	-0.172331734339	0.334699402809	0.205565375115	3	23	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dain	25	27	16	24	0	-0.250113386794	-0.310294703258	-0.157757056333	-0.200994982665	5	22	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chol	25	75	23	48	8	0.0550333751366	-0.151822710312	0.32421147713	0.196749176023	2	73	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dair	25	16	9	15	5	0.210855194743	0.0100574435321	0.381287801278	0.192709051598	1	15	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	sheey	25	23	12	20	2	0.144168475179	-0.119459519037	0.297951205353	0.190960128041	4	19	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokar	25	15	12	12	2	0.179041701074	-0.108674197369	0.359301649651	0.190578112091	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dar	25	41	21	28	1	-0.211983715916	-0.371845509129	-0.0653597968679	-0.190181991919	3	38	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	ain	25	18	9	14	0	-0.225558939196	-0.317615856672	-0.0838803447862	-0.188133360893	3	15	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dain	25	22	15	19	3	-0.16971135461	-0.432511253481	0.0261061912408	-0.185080828989	3	19	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	okar	25	11	10	9	2	0.191407620196	-0.115987000881	0.395695131794	0.180080148271	1	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cheody	25	13	12	11	2	0.158353350067	-0.0712380935072	0.324737290634	0.17906392683	3	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otain	25	14	9	11	3	-0.122011360424	-0.337154109705	0.0861019629696	-0.167405973522	0	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chy	25	11	8	11	4	0.0922623790196	-0.273405901098	0.398431873851	0.167229563972	2	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	keedy	25	21	13	15	0	-0.17823967651	-0.251022913649	-0.089156397429	-0.166673324731	2	19	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qoky	25	17	14	16	4	0.137334030681	-0.208096956126	0.364729141273	0.163314806736	2	15	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chedy	25	49	26	33	13	0.145038089827	-0.270813153183	0.408744156958	0.159102083537	8	41	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	ol	25	53	27	36	4	0.118277889166	-0.156519201785	0.379321065507	0.158125857966	7	46	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dar	25	26	15	25	5	0.108775116738	-0.298171572579	0.383732431401	0.150208257404	3	23	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	okaiin	25	25	16	22	2	0.108059358851	-0.157327213507	0.27390604738	0.146675188421	1	24	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	shey	25	22	13	18	2	0.11071987777	-0.139933132112	0.316469132728	0.146562957091	2	20	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dol	25	15	12	11	1	-0.169928697035	-0.288734838274	-0.0151235719784	-0.140992649622	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okain	25	21	16	14	2	-0.175369985038	-0.347501720101	0.0609797626701	-0.139881224978	0	21	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	ol	25	40	17	29	5	-0.19339191205	-0.397229379721	0.0652221694	-0.139507738122	4	36	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cheol	25	21	12	21	1	-0.158381920736	-0.320628394297	0.00685617115037	-0.129040485775	7	14	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dol	25	19	12	19	0	-0.158635786076	-0.225067592148	-0.10367450711	-0.128092869402	5	14	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	kaiin	25	26	14	17	0	-0.174754340536	-0.218317980153	-0.103887416453	-0.123794931446	2	24	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otal	25	25	16	17	6	0.117666330601	-0.270230331385	0.484540879279	0.101801868086	0	25	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokol	25	16	9	10	0	-0.126978568131	-0.197810730186	-0.0875559580983	-0.0984504396594	4	12	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	r	25	12	9	10	0	-0.110687384661	-0.146031713137	-0.0765485487773	-0.0941978874701	1	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	sheedy	25	16	8	11	0	-0.122373663211	-0.173010063464	-0.0745648434766	-0.0940894280314	2	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	sho	25	15	10	14	0	-0.116551205732	-0.14251411349	-0.0782754732893	-0.0930719157014	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	otal	25	10	6	9	0	-0.0900677961294	-0.129185206663	-0.0525119100923	-0.0919085314852	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	char	25	12	9	12	0	-0.103026754974	-0.142176081819	-0.0759153613932	-0.0915870216824	0	12	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otar	25	20	14	17	7	0.111008415057	-0.336887972086	0.470841424202	0.0915765900821	2	18	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	or	25	36	19	29	1	-0.12928790287	-0.326414486988	0.0508541335883	-0.0913411178022	6	30	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otaiin	25	22	10	16	4	-0.0588389452976	-0.305005344698	0.128715391806	-0.0892243638203	0	22	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dam	25	15	11	14	2	0.0509559315822	-0.206965600536	0.212166584626	0.0829429669649	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	ar	25	28	16	17	1	-0.0721222693774	-0.255391140129	0.046891966219	-0.0817872941655	3	25	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chol	25	80	31	52	4	-0.0223185714926	-0.284155101354	0.142096062597	0.0810217794749	4	76	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dal	25	38	23	27	3	0.012648684801	-0.329107799912	0.267621160609	0.0739621298641	2	36	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	sho	25	11	9	11	0	-0.0938343815794	-0.124721346655	-0.0652703942582	-0.0667682425222	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okaiin	25	23	14	21	4	0.0727992640481	-0.215264370906	0.294229646577	0.0640526079392	3	20	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	sheey	25	12	9	12	0	-0.085878745809	-0.106772270306	-0.0634303579734	-0.0604187863149	0	12	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	daiin	25	104	40	73	21	0.0427444382633	-0.368384913503	0.285272549032	0.057757674557	12	92	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okar	25	17	7	15	2	-0.00694040295145	-0.231397067004	0.176346456048	0.0566799787734	0	17	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	kedy	25	15	9	11	1	0.0229281246651	-0.159189717378	0.186104171869	0.0536484391146	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	kar	25	10	7	10	4	0.0516096303769	-0.175070282613	0.325795746168	0.0509366379167	1	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dy	25	51	32	40	3	-0.0868703136214	-0.305131509698	0.12261720808	-0.049454655877	3	48	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokaiin	25	51	25	26	7	0.0399881994667	-0.133290622664	0.208004226954	0.047967878204	3	48	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chey	25	32	16	28	4	-0.0639968924734	-0.341852583839	0.227839457557	-0.0476818738768	3	29	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	y	25	28	17	27	4	-0.0639795391338	-0.44538452312	0.28320814599	-0.0473965015412	3	25	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	shol	25	29	17	22	2	-0.0733096554431	-0.305047978915	0.123339512155	-0.0469288681753	1	28	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okal	25	17	9	16	4	0.0493815282076	-0.168541407482	0.264963468538	0.0457229332786	0	17	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chey	25	41	20	33	1	-0.0892631650323	-0.264016555927	0.0300443462868	-0.0431763242393	5	36	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chckhy	25	19	11	16	2	-0.0820677618523	-0.412925948436	0.237302518051	-0.040376509189	2	17	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokal	25	34	16	23	6	-0.0484585359842	-0.348605931431	0.239482262794	-0.0402786079071	3	31	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokal	25	15	11	12	1	0.0399069751202	-0.130349347145	0.177287736878	0.0394200888117	0	15	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	okal	25	12	10	9	1	0.0325074215725	-0.132337587438	0.146189057761	0.0386254857452	0	12	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cheor	25	15	10	14	1	-0.0241760346063	-0.185979750723	0.0800023572218	0.0374870663456	1	14	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	aiin	25	29	19	23	1	-0.0772166357546	-0.2296297667	0.105768642296	-0.0350779422442	2	27	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	shol	25	33	15	23	1	-0.0907349427056	-0.251946357083	0.0619573555131	-0.0333467033329	2	31	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	l	25	14	11	14	2	-0.0411520972903	-0.231593180471	0.123986167478	-0.0320216636923	0	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	saiin	25	14	10	11	2	0.0332507060169	-0.0956939614804	0.128992632481	0.020309026126	0	14	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	y	25	19	16	18	1	0.0104093468353	-0.154474531555	0.159107281495	0.0201215837067	1	18	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qol	25	13	9	9	1	-0.00528426981045	-0.1092611454	0.07275534732	0.0119039645815	3	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cheol	25	27	16	23	1	-0.0416622725871	-0.212928226475	0.112089529526	0.00483600675728	4	23	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	o	24	13	8	13	5	0.27281691634	0.0811562991715	0.413013188389	0.261577558823	2	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokaiin	24	14	12	12	2	0.192585855932	-0.086751607797	0.40480178647	0.189571936164	0	14	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cheey	24	22	10	18	0	-0.149116037265	-0.229460634666	-0.0895584060891	-0.11795292832	3	19	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	lchedy	24	13	8	11	0	-0.101948229945	-0.153672804484	-0.0612663857122	-0.110520570755	4	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	kar	24	14	11	11	0	-0.109088342329	-0.154678211162	-0.0448014827098	-0.104444347058	1	13	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	oty	24	11	9	10	4	0.0852034137663	-0.101068311923	0.30419641752	0.100203753671	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okeey	24	13	12	13	4	0.074917844876	-0.0751765694613	0.167538520749	0.0982359438901	1	12	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	shor	24	12	11	12	0	-0.102254021337	-0.145533995253	-0.0641668147151	-0.0976416917979	0	12	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokol	24	12	9	10	1	0.0612035061045	-0.110560454409	0.165575124513	0.0944031469935	2	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dor	24	11	10	11	0	-0.103979381395	-0.146475790849	-0.0437833833543	-0.0917988137493	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cheedy	24	15	8	12	0	-0.115116192634	-0.166444351642	-0.0698777511161	-0.0805166124881	2	13	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	shy	24	11	10	11	0	-0.0859049982578	-0.117887866058	-0.0603931308315	-0.0749256890668	2	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	r	24	17	7	15	1	-0.159585711357	-0.387082936468	0.110307893834	-0.0700772152171	4	13	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qotaiin	24	9	9	7	1	-0.0720652095103	-0.203729884635	0.0642494861242	-0.0687233183795	1	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cheky	24	9	9	9	2	0.0706468451	-0.0633831010932	0.170511868887	0.0667046509588	3	6	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	otar	24	12	9	10	1	0.0450827177284	-0.112196240181	0.183169684403	0.060551066709	2	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qoty	24	12	11	10	2	-0.036206218294	-0.182075632684	0.127448386525	-0.0304522921262	3	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	shy	23	9	8	8	3	0.189269939319	-0.0415420439557	0.344970055782	0.20159030352	2	7	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chody	23	15	10	13	2	0.172453927259	-0.108358601294	0.319352043527	0.194590574973	1	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	oteey	23	10	7	8	0	-0.236814401447	-0.321714839795	-0.089156397429	-0.169477488449	1	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chdy	23	15	15	13	4	0.174816030406	-0.0730517040126	0.322154520929	0.160002886652	2	13	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	kain	23	15	9	13	0	-0.140727779847	-0.200115740345	-0.0874228105545	-0.121967769128	2	13	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	oty	23	13	11	12	2	0.117276522553	-0.145574242206	0.304837325615	0.121699515194	2	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dor	23	12	8	11	3	0.0953646346864	-0.0838803447862	0.245750317138	0.118715437379	1	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	dair	23	11	10	11	0	-0.112831837473	-0.174578184803	-0.0453584797219	-0.11316159349	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	otaiin	23	10	8	10	0	-0.0983005468496	-0.122636535509	-0.0748437081385	-0.0930251060117	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okeol	23	11	10	9	0	-0.11859353463	-0.177457826114	-0.0603370206762	-0.088346665245	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	oky	23	11	10	10	1	0.0489811763405	-0.135397172953	0.160626673577	0.0751881289914	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	sheol	23	14	9	10	1	0.0350563435263	-0.14121131187	0.143716832222	0.0739972385383	1	13	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokchy	23	10	10	10	1	-0.0888133498436	-0.212648034577	0.0541515741627	-0.0731080646874	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cthol	23	12	8	10	1	0.0300393391335	-0.124114759123	0.129245339863	0.062300103309	1	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chody	23	10	8	10	1	-0.04444176413	-0.131564332318	0.034153322902	-0.0377246176889	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	lchedy	23	9	8	8	2	-0.00973707517242	-0.191671500537	0.118915826497	0.0307403563078	2	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	okeedy	23	11	10	8	2	-0.0236597904434	-0.215459632124	0.127148963439	-0.0293055756183	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	lkaiin	23	10	8	10	1	-0.0105195208988	-0.0972061278665	0.0563349302432	-0.0121724837823	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	oky	22	11	10	9	5	0.405535069602	0.240356757035	0.596960969828	0.413467373162	2	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokeol	22	10	8	8	0	-0.24933161064	-0.356588630438	-0.0627471306216	-0.199779726723	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chcthy	22	11	9	11	3	0.231492145806	-0.00143864594916	0.35384571023	0.192118746997	0	11	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokchdy	22	11	8	11	0	-0.191400499173	-0.266243445194	-0.0590449906012	-0.181024829225	1	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	o	22	9	9	9	1	0.0702784043831	-0.103860890083	0.189029657363	0.0807529136778	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	l	22	13	6	7	0	-0.0968657505368	-0.134753491941	-0.053287448272	-0.0803096060799	0	13	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	kal	22	9	7	8	0	-0.0796583102567	-0.0987872949592	-0.0472575767841	-0.079248810218	1	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qotchy	22	9	9	9	0	-0.0778808445179	-0.105899082182	-0.0549488794327	-0.0625433020421	2	7	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokeey	22	11	9	10	0	-0.0721025154014	-0.112926520668	-0.0459997795447	-0.0570229739016	1	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	shody	22	10	8	10	1	-0.0452814898898	-0.150711263532	0.0335663602851	-0.0476039333373	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokeedy	22	9	7	7	0	-0.0580330507251	-0.082879945145	-0.0421459631453	-0.0451336636355	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	kaiin	22	10	9	7	2	-0.0219490447527	-0.193031693118	0.13672181061	-0.000824341268341	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chcthy	21	10	8	9	1	0.0959576141578	-0.0795439272241	0.172663092274	0.104308915956	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokedy	21	10	8	9	0	-0.0744598892082	-0.110579540961	-0.0446621894172	-0.0892195339113	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	shor	21	14	9	14	0	-0.126585347219	-0.167501697641	-0.0657753534065	-0.0891048601169	0	14	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	otol	21	12	6	12	0	-0.128983947736	-0.182345736856	-0.085038586683	-0.0737991725537	2	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cthy	21	11	5	10	1	0.00704253214648	-0.155284240536	0.134407670408	0.0632100374372	4	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	sheol	21	10	9	9	1	-0.00850190231195	-0.092292521227	0.0669579529773	-0.00856309504135	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cthey	20	8	8	8	0	-0.154833039528	-0.218098517002	-0.0474197074786	-0.160472714439	0	8	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qotol	20	10	8	9	0	-0.166583591149	-0.235110108815	-0.0503443943723	-0.13800192262	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	olchedy	20	10	9	9	0	-0.130043801282	-0.188232599774	-0.0690278513079	-0.123408801288	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	cheor	20	9	7	8	1	0.0627235920397	-0.088213370808	0.183452654694	0.0914663790174	2	7	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	saiin	20	9	8	8	0	-0.0801078563803	-0.108589200458	-0.0551591984438	-0.075255089936	1	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	qokain	20	10	8	10	0	-0.0828332164651	-0.107763749912	-0.056902023032	-0.0630481773957	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	sar	20	11	5	10	1	-0.0648509462928	-0.196617981144	0.0278289103035	-0.0343862702009	3	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chal	20	9	8	9	1	0.0286490888683	-0.158580093101	0.158586576134	0.02698657076	1	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	olaiin	19	10	6	10	2	0.185283388262	-0.0719119000594	0.363653459185	0.206431504235	2	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chckhy	19	9	7	6	1	0.113580387275	-0.064797305078	0.189533847003	0.131572199192	1	8	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	keey	19	10	6	8	0	-0.0797022538702	-0.114967626578	-0.0497094402884	-0.065957442986	1	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	al	19	8	6	8	0	-0.0510303942451	-0.0655725020487	-0.0332466718962	-0.0548383045269	1	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	oteedy	18	8	8	7	5	0.29483769859	0.118374675477	0.511962174161	0.289450219637	1	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chear	18	8	7	7	3	0.217685970489	0.0646143213543	0.321158515221	0.22095846281	2	6	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chaiin	18	9	8	8	0	-0.0910314466184	-0.13512509706	-0.0486877335862	-0.0762243674957	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chos	18	8	8	7	1	0.0719749855704	-0.0716154623024	0.178250655992	0.0651499978115	1	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	lkar	18	9	6	8	1	-0.0385528520487	-0.216399278348	0.123507030095	-0.0633149297991	2	7	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	raiin	18	9	6	9	0	-0.0908592423489	-0.137718431043	-0.0516841743484	-0.0581200487775	3	6	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	kchol	18	9	5	8	0	-0.0875113480383	-0.124703804705	-0.0605946512547	-0.0519328427606	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	oiin	18	9	5	7	0	-0.0645956977833	-0.0873048334144	-0.042609726042	-0.0381623110472	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	otam	17	8	6	8	3	0.343785924035	0.0607369666881	0.573157047457	0.300454354888	1	7	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	taiin	17	8	5	8	2	0.140657367056	-0.0692087430731	0.292250319932	0.14872334065	2	6	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	okedy	17	9	8	6	0	-0.100710914328	-0.12733075525	-0.0775881835845	-0.0910077543139	4	5	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	cthol	17	9	6	9	1	-0.113747855383	-0.214938889206	0.0284162876913	-0.0711936221045	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	odaiin	17	9	8	8	2	0.0436075508695	-0.168181058261	0.269302164324	0.0200919651466	0	9	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	sheedy	16	10	8	8	2	-0.147197794109	-0.308264634594	-0.00523370727441	-0.126628861154	0	10	ZERO__OPAQUE_COMPLETE_CONTEXT
