domain	unit_id	page	locus_or_statement	group_or_event_id	surface	component_parse	direction_roots	direction_roles	context_value_de
PROSE	B1	f81v	B1-S017	E156	sal	AL	AL	ZIELSTELLE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“
PROSE	B1	f81v	B1-S021	E166	chal	AL	AL	ZIELSTELLE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“
PROSE	B2	f82r	B2-S004	E172	qokal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen
PROSE	B2	f82r	B2-S005	E177	qokaly	OK+AL+Y	AL	ZIELSTELLE	Teilportion von obere Beckenflüssigkeit an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen
PROSE	B2	f82r	B2-S006	E186	qokal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen
PROSE	B2	f82r	B2-S008	E191	qokar	OK+AR	AR	QUELLE	von Flüssigkeit am Zwischenknoten einsetzen
PROSE	B2	f82r	B2-S011	E199	char	AR	AR	QUELLE	von Teilportion des Postens der Einzelstation
PROSE	B2	f82r	B2-S014	E211	lar	L+AR	AR	QUELLE	von Fraktion des Empfangsbestands abführen
PROSE	B2	f82r	B2-S016	E214	cheal	AL	AL	ZIELSTELLE	Zielstelle „untere Beckenrand- und Endstationen“
PROSE	B2	f82r	B2-S016	E215	lchedar	L+CHD+AR	AR	QUELLE	von Flüssigkeit am Beckenrand hinausführen
PROSE	B2	f82r	B2-S017	E222	rsheal	R+SH+E+AL	AL	ZIELSTELLE	bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen
PROSE	B2	f82r	B2-S017	E223	daldy	AL+DY	AL	ZIELSTELLE	bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen
PROSE	B3	f83r	B3-S002	E230	qotal	OT+AL	AL	ZIELSTELLE	nächste Zielstelle bei „obere offene Fächerstation am Rand“
PROSE	B3	f83r	B3-S004	E237	qotal	OT+AL	AL	ZIELSTELLE	nächste Zielstelle bei „obere offene Fächerstation am Rand“
PROSE	B3	f83r	B3-S004	E238	dar	AR	AR	QUELLE	von aufgefangener Bestand des Gut der Fächerstation
PROSE	B3	f83r	B3-S006	E241	qokal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen
PROSE	B3	f83r	B3-S010	E248	pchedal	P+CHD+AL	AL	ZIELSTELLE	bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen
PROSE	B3	f83r	B3-S011	E253	chary	AR+Y	AR	QUELLE	Gut im Korbgefäß aus der Quelle nehmen
PROSE	B3	f83r	B3-S014	E260	okair	OK+AIR	AIR	LAUF_BAHN	Flüssigkeitslauf eröffnen
PROSE	B3	f83r	B3-S020	E268	dal	AL	AL	ZIELSTELLE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“
PROSE	B3	f83r	B3-S021	E272	dal	AL	AL	ZIELSTELLE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“
PROSE	B3	f83r	B3-S021	E275	shedal	SHED+AL	AL	ZIELSTELLE	bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen
PROSE	B3	f83r	B3-S021	E278	tal	AL	AL	ZIELSTELLE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“
PROSE	B3	f83r	B3-S021	E280	dalchdy	AL+CHD+DY	AL	ZIELSTELLE	bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss
PROSE	B3	f83r	B3-S026	E285	cheedar	EE+AR	AR	QUELLE	länger aus der Quelle führen
PROSE	B3	f83r	B3-S026	E290	chealror	AL+R+OR	AL	ZIELSTELLE	Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen
PROSE	B3	f83r	B3-S030	E300	schedair	CHD+AIR	AIR	LAUF_BAHN	Flüssigkeitslauf weiterführen
PROSE	B3	f83r	B3-S034	E313	olsaly	OL+AL+Y	AL	ZIELSTELLE	Teilportion aus der Arbeitsflüssigkeit bei der Zielstelle „durch einen Bogen verbundenes Hauptpaar“ fortsetzen
PROSE	B4	f83r	B4-S003	E320	otal	OT+AL	AL	ZIELSTELLE	nächste Zielstelle bei „durch einen Bogen verbundenes Hauptpaar“
PROSE	B4	f83r	B4-S014	E351	dairydy	AIR+Y+DY	AIR	LAUF_BAHN	Flüssigkeitslauf schließen
PROSE	B4	f83r	B4-S015	E355	chckhal	CH+CKH+AL	AL	ZIELSTELLE	Durchgangsstelle bei „linke offene Randstation“
PROSE	B4	f83r	B4-S016	E359	dal	AL	AL	ZIELSTELLE	Zielstelle „rechte S-förmige Mehrarmstation“
PROSE	B4	f83r	B4-S016	E360	skar	K+AR	AR	QUELLE	aus dem Vorrat zuführen
PROSE	B5	f83r	B5-S003	E364	shedal	SHED+AL	AL	ZIELSTELLE	bei der Zielstelle „linke offene Randstation des Nachtrags“ absetzen
PROSE	B5	f83r	B5-S003	E365	dal	AL	AL	ZIELSTELLE	Zielstelle „linke offene Randstation des Nachtrags“
PROSE	B5	f83r	B5-S003	E368	chdal	CHD+AL	AL	ZIELSTELLE	bei der Zielstelle „linke offene Randstation des Nachtrags“ umsetzen
PROSE	B6	f83r	B6-S001	E375	raly	R+AL+Y	AL	ZIELSTELLE	aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen
PROSE	B6	f83r	B6-S001	E381	ldalor	L+AL+OR	AL	ZIELSTELLE	Ansatz zur Zielstelle „rechte S-förmige Mehrarmstation des Nachtrags“ führen
ASTRO	A1	f67r2	f67r2.1	3	aram	AR+AM_ADDR	AR	QUELLE	von dieser Position; Gegenfeld
ASTRO	A1	f67r2	f67r2.3	9	okar	OK+AR	AR	QUELLE	markieren; von dieser Position
ASTRO	A1	f67r2	f67r2.8	18	chkchdar	CHK+CHD+AR	AR	QUELLE	Stufe anheben; uebertragen; von dieser Position
ASTRO	A1	f67r2	f67r2.9	19	ykar	Y+K+AR	AR	QUELLE	dieser Eintrag; zuordnen; von dieser Position
ASTRO	A1	f67r2	f67r2.9	20	ykaly	Y+K+AL+Y	AL	ZIELSTELLE	dieser Eintrag; zuordnen; Position; dieser Eintrag
ASTRO	A1	f67r2	f67r2.10	23	okar	OK+AR	AR	QUELLE	markieren; von dieser Position
ASTRO	A1	f67r2	f67r2.13	32	aldy	AL+DY	AL	ZIELSTELLE	Position; Eintrag schliessen
ASTRO	A1	f67r2	f67r2.18	46	dal	AL	AL	ZIELSTELLE	Position
ASTRO	A1	f67r2	f67r2.19	49	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.20	52	saral	AR+AL	AR|AL	QUELLE|ZIELSTELLE	von dieser Position; Position
ASTRO	A1	f67r2	f67r2.21	55	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.22	56	okal	OK+AL	AL	ZIELSTELLE	markieren; Position
ASTRO	A1	f67r2	f67r2.23	57	oparchy	O+P+AR+Y	AR	QUELLE	Lesegang; hinein; von dieser Position; dieser Eintrag
ASTRO	A1	f67r2	f67r2.23	58	salsain	AL+S_ADDR+AIN	AL	ZIELSTELLE	Position; Sternbezug; Teilwert
ASTRO	A1	f67r2	f67r2.24	59	sodar	S_ADDR+O+AR	AR	QUELLE	Sternbezug; Lesegang; von dieser Position
ASTRO	A1	f67r2	f67r2.24	60	ofar	O+F_ADDR+AR	AR	QUELLE	Lesegang; Aussenbezug; von dieser Position
ASTRO	A1	f67r2	f67r2.24	61	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.32	77	dosar	D_ADDR+O+AR	AR	QUELLE	Teiladresse; Lesegang; von dieser Position
ASTRO	A1	f67r2	f67r2.32	79	air	AIR	AIR	LAUF_BAHN	Bahn
ASTRO	A1	f67r2	f67r2.32	80	alaiin	AL+AIIN	AL	ZIELSTELLE	Position; Sollwert
ASTRO	A1	f67r2	f67r2.33	82	oear	O+E+AR	AR	QUELLE	Lesegang; kurze Stufe; von dieser Position
ASTRO	A1	f67r2	f67r2.33	83	odal	O+AL	AL	ZIELSTELLE	Lesegang; Position
ASTRO	A1	f67r2	f67r2.34	84	ofar	O+F_ADDR+AR	AR	QUELLE	Lesegang; Aussenbezug; von dieser Position
ASTRO	A1	f67r2	f67r2.46	117	oraly	OR+AL+Y	AL	ZIELSTELLE	Einstellung; Position; dieser Eintrag
ASTRO	A1	f67r2	f67r2.50	126	sal	AL	AL	ZIELSTELLE	Position
ASTRO	A1	f67r2	f67r2.52	128	qotoear	OT+O+E+AR	AR	QUELLE	naechster Eintrag; Lesegang; kurze Stufe; von dieser Position
ASTRO	A1	f67r2	f67r2.53	129	dchdar	D_ADDR+CHD+AR	AR	QUELLE	Teiladresse; uebertragen; von dieser Position
ASTRO	A1	f67r2	f67r2.54	131	saldal	AL+AL	AL	ZIELSTELLE	Position; Position
ASTRO	A1	f67r2	f67r2.55	132	ytodal	Y+T+O+AL	AL	ZIELSTELLE	dieser Eintrag; eintragen; Lesegang; Position
ASTRO	A1	f67r2	f67r2.57	135	otar	OT+AR	AR	QUELLE	naechster Eintrag; von dieser Position
ASTRO	A1	f67r2	f67r2.58	138	dal	AL	AL	ZIELSTELLE	Position
ASTRO	A1	f67r2	f67r2.61	142	ytokar	Y+T+OK+AR	AR	QUELLE	dieser Eintrag; eintragen; markieren; von dieser Position
ASTRO	A1	f67r2	f67r2.63	144	okodar	OK+O+AR	AR	QUELLE	markieren; Lesegang; von dieser Position
ASTRO	A1	f67r2	f67r2.64	146	air	AIR	AIR	LAUF_BAHN	Bahn
ASTRO	A1	f67r2	f67r2.65	147	soear	S_ADDR+O+E+AR	AR	QUELLE	Sternbezug; Lesegang; kurze Stufe; von dieser Position
ASTRO	A1	f67r2	f67r2.67	149	okodar	OK+O+AR	AR	QUELLE	markieren; Lesegang; von dieser Position
ASTRO	A1	f67r2	f67r2.70	153	osar	O+AR	AR	QUELLE	Lesegang; von dieser Position
ASTRO	A1	f67r2	f67r2.72	155	dar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.72	156	aldaiin	AL+AIIN	AL	ZIELSTELLE	Position; Sollwert
ASTRO	A1	f67r2	f67r2.72	160	qofair	O+F_ADDR+AIR	AIR	LAUF_BAHN	Lesegang; Aussenbezug; Bahn
ASTRO	A1	f67r2	f67r2.72	161	ypair	Y+P+AIR	AIR	LAUF_BAHN	dieser Eintrag; hinein; Bahn
ASTRO	A1	f67r2	f67r2.72	164	ytalchos	Y+AL+HO+S_ADDR	AL	ZIELSTELLE	dieser Eintrag; Position; Eintrag; Sternbezug
ASTRO	A1	f67r2	f67r2.73	176	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.73	177	olar	OL+AR	AR	QUELLE	weiterzaehlen; von dieser Position
ASTRO	A1	f67r2	f67r2.74	188	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A1	f67r2	f67r2.74	189	air	AIR	AIR	LAUF_BAHN	Bahn
ASTRO	A2	f68r1	f68r1.1	199	okchoal	OK+HO+AL	AL	ZIELSTELLE	markieren; Eintrag; Position
ASTRO	A2	f68r1	f68r1.3	212	chokal	HO+K+AL	AL	ZIELSTELLE	Eintrag; zuordnen; Position
ASTRO	A2	f68r1	f68r1.3	215	eckhear	E+CKHE+AR	AR	QUELLE	kurze Stufe; Bereiche trennen; von dieser Position
ASTRO	A2	f68r1	f68r1.3	216	daram	AR+AM_ADDR	AR	QUELLE	von dieser Position; Gegenfeld
ASTRO	A2	f68r1	f68r1.6	220	dary	AR+Y	AR	QUELLE	von dieser Position; dieser Eintrag
ASTRO	A2	f68r1	f68r1.8	222	okodaly	OK+O+AL+Y	AL	ZIELSTELLE	markieren; Lesegang; Position; dieser Eintrag
ASTRO	A2	f68r1	f68r1.11	225	okoaly	OK+O+AL+Y	AL	ZIELSTELLE	markieren; Lesegang; Position; dieser Eintrag
ASTRO	A2	f68r1	f68r1.16	230	okear	OK+E+AR	AR	QUELLE	markieren; kurze Stufe; von dieser Position
ASTRO	A2	f68r1	f68r1.27	241	oiinar	O+IIN+AR	AR	QUELLE	Lesegang; Sollstufe; von dieser Position
ASTRO	A2	f68r1	f68r1.32	246	okeeodal	OK+EE+O+AL	AL	ZIELSTELLE	markieren; lange Stufe; Lesegang; Position
ASTRO	A2	f68r1	f68r1.37	253	okardy	OK+AR+Y	AR	QUELLE	markieren; von dieser Position; dieser Eintrag
ASTRO	A2	f68r1	f68r1.37	254	qear	E+AR	AR	QUELLE	kurze Stufe; von dieser Position
ASTRO	A3	f69v	f69v.1	256	dair	D_ADDR+AIR	AIR	LAUF_BAHN	Teiladresse; Bahn
ASTRO	A3	f69v	f69v.1	259	sar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.1	260	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.1	261	chykar	Y+K+AR	AR	QUELLE	dieser Eintrag; zuordnen; von dieser Position
ASTRO	A3	f69v	f69v.1	263	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.1	283	okar	OK+AR	AR	QUELLE	markieren; von dieser Position
ASTRO	A3	f69v	f69v.1	284	okar	OK+AR	AR	QUELLE	markieren; von dieser Position
ASTRO	A3	f69v	f69v.1	288	odair	O+D_ADDR+AIR	AIR	LAUF_BAHN	Lesegang; Teiladresse; Bahn
ASTRO	A3	f69v	f69v.1	291	dar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.1	295	char	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.2	298	ykar	Y+K+AR	AR	QUELLE	dieser Eintrag; zuordnen; von dieser Position
ASTRO	A3	f69v	f69v.2	299	dal	AL	AL	ZIELSTELLE	Position
ASTRO	A3	f69v	f69v.2	304	ykeeal	Y+K+EE+AL	AL	ZIELSTELLE	dieser Eintrag; zuordnen; lange Stufe; Position
ASTRO	A3	f69v	f69v.2	306	oaram	O+AR+AM_ADDR	AR	QUELLE	Lesegang; von dieser Position; Gegenfeld
ASTRO	A3	f69v	f69v.2	311	daiial	D_ADDR+A_ADDR+I_COUNT+I_COUNT+AL	AL	ZIELSTELLE	Teiladresse; Nebenadresse; Zaehlstrich; Zaehlstrich; Position
ASTRO	A3	f69v	f69v.2	313	cheal	AL	AL	ZIELSTELLE	Position
ASTRO	A3	f69v	f69v.2	315	chear	CH+E+AR	AR	QUELLE	Eintrag entnehmen; kurze Stufe; von dieser Position
ASTRO	A3	f69v	f69v.2	323	ykar	Y+K+AR	AR	QUELLE	dieser Eintrag; zuordnen; von dieser Position
ASTRO	A3	f69v	f69v.2	328	dal	AL	AL	ZIELSTELLE	Position
ASTRO	A3	f69v	f69v.2	330	airchy	AIR+Y	AIR	LAUF_BAHN	Bahn; dieser Eintrag
ASTRO	A3	f69v	f69v.3	334	doair	D_ADDR+O+AIR	AIR	LAUF_BAHN	Teiladresse; Lesegang; Bahn
ASTRO	A3	f69v	f69v.3	335	otaldal	OT+AL+AL	AL	ZIELSTELLE	naechster Eintrag; Position; Position
ASTRO	A3	f69v	f69v.3	336	dair	D_ADDR+AIR	AIR	LAUF_BAHN	Teiladresse; Bahn
ASTRO	A3	f69v	f69v.3	338	otoar	OT+O+AR	AR	QUELLE	naechster Eintrag; Lesegang; von dieser Position
ASTRO	A3	f69v	f69v.3	339	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.3	343	qotair	OT+AIR	AIR	LAUF_BAHN	naechster Eintrag; Bahn
ASTRO	A3	f69v	f69v.3	345	oteeal	OT+EE+AL	AL	ZIELSTELLE	naechster Eintrag; lange Stufe; Position
ASTRO	A3	f69v	f69v.3	347	ar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.3	348	air	AIR	AIR	LAUF_BAHN	Bahn
ASTRO	A3	f69v	f69v.3	354	okeodal	OK+E+O+AL	AL	ZIELSTELLE	markieren; kurze Stufe; Lesegang; Position
ASTRO	A3	f69v	f69v.3	355	oteoarar	OT+E+O+AR+AR	AR	QUELLE	naechster Eintrag; kurze Stufe; Lesegang; von dieser Position; von dieser Position
ASTRO	A3	f69v	f69v.3	357	dair	D_ADDR+AIR	AIR	LAUF_BAHN	Teiladresse; Bahn
ASTRO	A3	f69v	f69v.3	360	dal	AL	AL	ZIELSTELLE	Position
ASTRO	A3	f69v	f69v.4	364	sar	AR	AR	QUELLE	von dieser Position
ASTRO	A3	f69v	f69v.13	374	okeal	OK+E+AL	AL	ZIELSTELLE	markieren; kurze Stufe; Position
ASTRO	A3	f69v	f69v.19	380	saral	AR+AL	AR|AL	QUELLE|ZIELSTELLE	von dieser Position; Position
ASTRO	A3	f69v	f69v.21	382	okolar	OK+OL+AR	AR	QUELLE	markieren; weiterzaehlen; von dieser Position
ASTRO	A3	f69v	f69v.23	384	sarydy	AR+Y+DY	AR	QUELLE	von dieser Position; dieser Eintrag; Eintrag schliessen
ASTRO	A3	f69v	f69v.31	394	oar	O+AR	AR	QUELLE	Lesegang; von dieser Position
ASTRO	A3	f69v	f69v.31	395	alys	AL+Y+S_ADDR	AL	ZIELSTELLE	Position; dieser Eintrag; Sternbezug
