statement_id	register	record_unit_id	page	events	source_present	quantity_present	path_present	target_present	receiver_whole_card_present	strict_four_slot_formula	four_slot_with_receiver	source_values_de	quantity_values_de	path_values_de	target_values_de	source_order_formula
H4-S002	HERBAL	H4	f55v	3	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	Q > X > X
H4-S003	HERBAL	H4	f55v	4	YES	YES	NO	NO	NO	NO	NO	Auszug aus der Quelle	zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen	NONE	NONE	Q > S > X > X
H4-S004	HERBAL	H4	f55v	6	NO	YES	NO	YES	NO	NO	NO	NONE	Sollmaß | Stoffportion des Ansatzes	NONE	an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen	Q > T > X > X > X > Q
H5-S001	HERBAL	H5	f56r	9	NO	YES	NO	YES	NO	NO	NO	NONE	Sollmaß	NONE	diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ | Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“	X > X > T > Q > X > X > X > X > T
H5-S002	HERBAL	H5	f56r	4	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X
H5-S003	HERBAL	H5	f56r	4	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X
H5-S004	HERBAL	H5	f56r	3	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen	X > X > T
H5-S005	HERBAL	H5	f56r	4	YES	YES	NO	NO	NO	NO	NO	Zutat aus dem Vorrat zuführen	danach eine Stoffportion	NONE	NONE	X > X > S > Q
H5-S006	HERBAL	H5	f56r	3	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	X > X > Q
B1-S001	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S002	BIOLOGICAL	B1	f81v	19	YES	YES	YES	YES	NO	YES	YES	aus der Arbeitsflüssigkeit	Sollmaß setzen | eine Stoffportion | weitere Stoffportion | Sollmaß | Sollmaß	Flüssigkeit in den Lauf geben	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen | Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ | kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“ | länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten	Q > P > T > S > X > Q > Q > T > X > X > X > X > X > T > Q > T > Q > X > X
B1-S003	BIOLOGICAL	B1	f81v	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B1-S004	BIOLOGICAL	B1	f81v	3	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X
B1-S005	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S006	BIOLOGICAL	B1	f81v	4	NO	YES	NO	YES	NO	NO	NO	NONE	eine Stoffportion zugeben	NONE	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen	Q > X > X > T
B1-S007	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S008	BIOLOGICAL	B1	f81v	5	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X > X
B1-S009	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S010	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S011	BIOLOGICAL	B1	f81v	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B1-S012	BIOLOGICAL	B1	f81v	3	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X
B1-S013	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S014	BIOLOGICAL	B1	f81v	5	YES	NO	NO	YES	NO	NO	NO	danach von aufgefangener Bestand des laufender Stationsansatz	NONE	NONE	zum Auslass führen	X > X > T > X > S
B1-S015	BIOLOGICAL	B1	f81v	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B1-S016	BIOLOGICAL	B1	f81v	4	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen	T > X > X > X
B1-S017	BIOLOGICAL	B1	f81v	3	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	T > X > X
B1-S018	BIOLOGICAL	B1	f81v	4	NO	YES	NO	NO	NO	NO	NO	NONE	Sollstufe	NONE	NONE	X > X > Q > X
B1-S019	BIOLOGICAL	B1	f81v	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B1-S020	BIOLOGICAL	B1	f81v	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B1-S021	BIOLOGICAL	B1	f81v	1	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	T
B2-S001	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S002	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S003	BIOLOGICAL	B2	f82r	3	NO	YES	NO	NO	NO	NO	NO	NONE	eine Stoffportion zugeben	NONE	NONE	Q > X > X
B2-S004	BIOLOGICAL	B2	f82r	5	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen	T > X > X > X > X
B2-S005	BIOLOGICAL	B2	f82r	8	NO	YES	NO	YES	NO	NO	NO	NONE	Auffang-Sollmaß | Sollmaß setzen | Sollmaß setzen	NONE	Teilportion von obere Beckenflüssigkeit an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen	T > Q > X > Q > Q > X > X > X
B2-S006	BIOLOGICAL	B2	f82r	4	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen	X > T > X > X
B2-S007	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S008	BIOLOGICAL	B2	f82r	3	YES	YES	NO	NO	NO	NO	NO	von Flüssigkeit am Zwischenknoten einsetzen	nächstes Sollmaß	NONE	NONE	Q > S > X
B2-S009	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S010	BIOLOGICAL	B2	f82r	4	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X > X
B2-S011	BIOLOGICAL	B2	f82r	4	YES	YES	NO	NO	NO	NO	NO	von Teilportion des Postens der Einzelstation	eine Stoffportion zugeben | eine Stoffportion zugeben	NONE	NONE	Q > S > Q > X
B2-S012	BIOLOGICAL	B2	f82r	8	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	X > X > X > X > X > Q > X > X
B2-S013	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S014	BIOLOGICAL	B2	f82r	1	YES	NO	NO	NO	NO	NO	NO	von Fraktion des Empfangsbestands abführen	NONE	NONE	NONE	S
B2-S015	BIOLOGICAL	B2	f82r	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B2-S016	BIOLOGICAL	B2	f82r	8	YES	YES	NO	YES	NO	NO	NO	von Flüssigkeit am Beckenrand hinausführen	Sollmaß | Sollmaß setzen	NONE	Zielstelle „untere Beckenrand- und Endstationen“	T > S > X > Q > X > Q > X > X
B2-S017	BIOLOGICAL	B2	f82r	2	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen | bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen	T > T
B2-S018	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S019	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S020	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S021	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B2-S022	BIOLOGICAL	B2	f82r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S001	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S002	BIOLOGICAL	B3	f83r	2	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	nächste Zielstelle bei „obere offene Fächerstation am Rand“	T > X
B3-S003	BIOLOGICAL	B3	f83r	4	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	X > Q > X > X
B3-S004	BIOLOGICAL	B3	f83r	3	YES	YES	NO	YES	NO	NO	NO	von aufgefangener Bestand des Gut der Fächerstation	Sollmaß setzen	NONE	nächste Zielstelle bei „obere offene Fächerstation am Rand“	Q > T > S
B3-S005	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S006	BIOLOGICAL	B3	f83r	3	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen	X > T > X
B3-S007	BIOLOGICAL	B3	f83r	3	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß setzen	NONE	NONE	Q > X > X
B3-S008	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S009	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S010	BIOLOGICAL	B3	f83r	2	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen	T > X
B3-S011	BIOLOGICAL	B3	f83r	4	YES	NO	NO	NO	NO	NO	NO	Gut im Korbgefäß aus der Quelle nehmen	NONE	NONE	NONE	X > X > X > S
B3-S012	BIOLOGICAL	B3	f83r	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B3-S013	BIOLOGICAL	B3	f83r	4	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß setzen | eine Stoffportion	NONE	NONE	Q > Q > X > X
B3-S014	BIOLOGICAL	B3	f83r	2	NO	NO	YES	NO	NO	NO	NO	NONE	NONE	Flüssigkeitslauf eröffnen	NONE	P > X
B3-S015	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S016	BIOLOGICAL	B3	f83r	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B3-S017	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S018	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S019	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S020	BIOLOGICAL	B3	f83r	2	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“	T > X
B3-S021	BIOLOGICAL	B3	f83r	11	NO	YES	NO	YES	NO	NO	NO	NONE	Sollmaß setzen | Sollmaß	NONE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen | Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ | bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss	Q > X > T > X > Q > T > X > X > T > X > T
B3-S022	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S023	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S024	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S025	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S026	BIOLOGICAL	B3	f83r	7	YES	YES	NO	YES	NO	NO	NO	länger aus der Quelle führen	Abführ-Sollmaß | eine Stoffportion zugeben	NONE	Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen	S > Q > X > Q > X > T > X
B3-S027	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S028	BIOLOGICAL	B3	f83r	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B3-S029	BIOLOGICAL	B3	f83r	3	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X
B3-S030	BIOLOGICAL	B3	f83r	4	NO	YES	YES	NO	NO	NO	NO	NONE	Sollmaß	Flüssigkeitslauf weiterführen	NONE	X > Q > P > X
B3-S031	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S032	BIOLOGICAL	B3	f83r	5	NO	YES	NO	NO	NO	NO	NO	NONE	eine Stoffportion überführen | kurzes Folge-Sollmaß | nächstes Sollmaß	NONE	NONE	Q > X > Q > Q > X
B3-S033	BIOLOGICAL	B3	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B3-S034	BIOLOGICAL	B3	f83r	6	NO	YES	NO	YES	NO	NO	NO	NONE	Sollstufe | nächstes Sollmaß	NONE	Teilportion aus der Arbeitsflüssigkeit bei der Zielstelle „durch einen Bogen verbundenes Hauptpaar“ fortsetzen	Q > X > X > Q > T > X
B4-S001	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S002	BIOLOGICAL	B4	f83r	3	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X > X
B4-S003	BIOLOGICAL	B4	f83r	7	NO	NO	NO	YES	NO	NO	NO	NONE	NONE	NONE	nächste Zielstelle bei „durch einen Bogen verbundenes Hauptpaar“	X > T > X > X > X > X > X
B4-S004	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S005	BIOLOGICAL	B4	f83r	3	NO	YES	NO	NO	NO	NO	NO	NONE	Stoffportion	NONE	NONE	Q > X > X
B4-S006	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S007	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S008	BIOLOGICAL	B4	f83r	4	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß	NONE	NONE	Q > X > X > X
B4-S009	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S010	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S011	BIOLOGICAL	B4	f83r	7	NO	YES	NO	NO	NO	NO	NO	NONE	Sollmaß | eine Stoffportion zugeben	NONE	NONE	Q > X > X > Q > X > X > X
B4-S012	BIOLOGICAL	B4	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B4-S013	BIOLOGICAL	B4	f83r	2	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X > X
B4-S014	BIOLOGICAL	B4	f83r	4	NO	NO	YES	NO	NO	NO	NO	NONE	NONE	Flüssigkeitslauf schließen	NONE	X > X > X > P
B4-S015	BIOLOGICAL	B4	f83r	6	NO	YES	NO	YES	NO	NO	NO	NONE	eine Stoffportion zugeben | eine Stoffportion	NONE	Durchgangsstelle bei „linke offene Randstation“	Q > X > Q > T > X > X
B4-S016	BIOLOGICAL	B4	f83r	4	YES	YES	NO	YES	NO	NO	NO	aus dem Vorrat zuführen	weitere Stoffportion	NONE	Zielstelle „rechte S-förmige Mehrarmstation“	Q > T > S > X
B5-S001	BIOLOGICAL	B5	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B5-S002	BIOLOGICAL	B5	f83r	1	NO	NO	NO	NO	NO	NO	NO	NONE	NONE	NONE	NONE	X
B5-S003	BIOLOGICAL	B5	f83r	9	NO	YES	NO	YES	NO	NO	NO	NONE	Sollmaß	NONE	bei der Zielstelle „linke offene Randstation des Nachtrags“ absetzen | Zielstelle „linke offene Randstation des Nachtrags“ | bei der Zielstelle „linke offene Randstation des Nachtrags“ umsetzen	T > T > X > X > T > Q > X > X > X
B6-S001	BIOLOGICAL	B6	f83r	9	NO	YES	NO	YES	NO	NO	NO	NONE	Sollmaß | Stoffportion	NONE	aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen | Ansatz zur Zielstelle „rechte S-förmige Mehrarmstation des Nachtrags“ führen	X > X > T > X > Q > X > Q > X > T
