occurrence_id	visual_role	confidence	ownership_rationale
R4O28	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Last line of record 1 lies at the boundary between prose blocks and the arched apparatus; only page/configuration ownership survives.
R4O29	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Opening of record 2 is set within the arched-apparatus region but is not keyed to one end of the arch.
R4O30	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same opening line and whole-apparatus ownership as R4O29; no drawn division matches the second field.
R4O31	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Early record-2 line is laid inside the arch region and most plausibly describes the configuration as a whole.
R4O32	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same arched-apparatus text block; no leader distinguishes conduit from attached figures.
R4O33	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same text block and general configuration owner; field terminal position supplies no visual role.
R4O34	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O33; isolated field lacks an independent graphic correspondent.
R4O35	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Lower-right prose approaches the serpentine conduit and terminal ornament, but no local connector establishes ownership.
R4O36	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same lower-right line as R4O35; separate field cannot be assigned to an intermediate or endpoint.
R4O37	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Lower-right block remains between body, conduit, and terminal motifs; page-level apparatus ownership is safest.
R4O38	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Late lower-right prose has no leader or field-aligned drawing and is therefore retained only under the whole configuration.
