occurrence_id	page	locus	record_ordinal	field_ordinal	field_length	within_field_position	value_family	surface	wrapper	visual_role	confidence	ownership_rationale
R4O14	f82r	f82r.27	1	6	1	ONLY	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same seven-cell line and same configuration owner as R4O13; field ordinal does not supply a visual station.
R4O15	f83r	f83r.3	1	3	4	LAST	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper f83r prose is adjacent to a spraying figure and conduits, but the line spans a general text block with no local leader.
R4O16	f83r	f83r.6	1	3	3	LAST	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Upper block remains compatible with figure, spray, and conduit ownership, so only the assembled configuration is assigned.
R4O17	f83r	f83r.6	1	4	1	ONLY	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line as R4O16; the isolated field has no separate visual anchor.
R4O18	f83r	f83r.11	1	1	2	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Second upper text band is beside a seated figure/container drawing but lacks a leader joining this field to either component.
R4O19	f83r	f83r.11	1	2	4	LAST	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same line and ambiguous figure-versus-container context as R4O18.
R4O20	f83r	f83r.11	1	4	1	ONLY	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same physical line as R4O18; the short field has no independent drawn owner.
R4O21	f83r	f83r.14	1	2	1	ONLY	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Mid-page prose block lies beside a distinct seated figure/container vignette, but it addresses the vignette as a whole.
R4O22	f83r	f83r.14	1	3	1	ONLY	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same line and vignette-level ownership as R4O21; no field-to-object alignment is visible.
R4O23	f83r	f83r.14	1	5	2	LAST	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same mid-page vignette block; terminal position within a field does not identify body, pool, or outlet.
R4O24	f83r	f83r.15	1	3	1	ONLY	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Late line of the vignette block remains configuration-level because picture-first reflow breaks simple proximity.
R4O25	f83r	f83r.20	1	3	2	LAST	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Transition area above the large arched conduit has multiple possible owners and no caption leader.
R4O26	f83r	f83r.20	1	4	3	LAST	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same transition line as R4O25; the extra field is not spatially keyed to a separate object.
R4O27	f83r	f83r.22	1	2	1	ONLY	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Text near the arched conduit and adjacent figure is not locally attached to path, body, or endpoint.
R4O28	f83r	f83r.24	1	1	6	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Last line of record 1 lies at the boundary between prose blocks and the arched apparatus; only page/configuration ownership survives.
R4O29	f83r	f83r.25	2	1	1	ONLY	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Opening of record 2 is set within the arched-apparatus region but is not keyed to one end of the arch.
R4O30	f83r	f83r.25	2	2	3	LAST	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same opening line and whole-apparatus ownership as R4O29; no drawn division matches the second field.
R4O31	f83r	f83r.26	2	1	5	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Early record-2 line is laid inside the arch region and most plausibly describes the configuration as a whole.
R4O32	f83r	f83r.27	2	1	3	LAST	VAL-B	qokeedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same arched-apparatus text block; no leader distinguishes conduit from attached figures.
R4O33	f83r	f83r.28	2	1	4	LAST	VAL-C	qokedy	q	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same text block and general configuration owner; field terminal position supplies no visual role.
R4O34	f83r	f83r.28	2	2	1	ONLY	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	MEDIUM	Same physical line as R4O33; isolated field lacks an independent graphic correspondent.
R4O35	f83r	f83r.37	2	2	1	ONLY	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Lower-right prose approaches the serpentine conduit and terminal ornament, but no local connector establishes ownership.
R4O36	f83r	f83r.37	2	3	2	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Same lower-right line as R4O35; separate field cannot be assigned to an intermediate or endpoint.
R4O37	f83r	f83r.41	2	1	2	LAST	VAL-D	lchedy	NONE	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Lower-right block remains between body, conduit, and terminal motifs; page-level apparatus ownership is safest.
R4O38	f83r	f83r.44	2	1	2	LAST	VAL-A	shedy	sh	GENERAL_CONFIGURATION_OR_PAGE_OWNER	LOW	Late lower-right prose has no leader or field-aligned drawing and is therefore retained only under the whole configuration.
