root_id	recognition_form	atomic_meaning_de	material_workshop_expansion_de	station_workshop_expansion_de	celestial_relational_expansion_de	content_events	content_pages	label_mnemonic_events	common_surface_examples
R-D_ADDR	D_ADDR	TEIL	Wurzel-, Blatt-, Blüten- oder Fruchtteil	Teilbecken oder Arbeitsanteil	Unterplatz	169	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	45	dar|d|dor|dol|chody|dchedy
R-SH	SH	HALTEN	halten, ziehen oder stehen lassen	an der Station halten	Posten festhalten	185	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	33	shey|cheey|sheedy|shol|dshedy|sheey
R-AR	AR	QUELLE	aus Wurzelstock oder Vorrat	von Ausgangs-/Entnahmestelle	Quellplatz	129	f10r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	68	dar|ar|otar|sar|okar|qokar
R-K	K	GEBEN	dem Ansatz zugeben	in die Station geben	Wert zuordnen	149	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	42	keedy|kchol|kar|kain|kchy|ykor
R-AIIN	AIIN	SOLLWERT	die vorgeschriebene Menge	die vorgeschriebene Stationsmenge	eingetragener Wert	163	f10r|f11r|f13r|f55v|f56r|f67r2|f75r|f81v|f82r|f83r|f88r	28	daiin|aiin|qokaiin|okaiin|saiin|chaiin
R-S	S	AUSWÄHLEN	den bezeichneten Drogenposten wählen	sichtbare Station wählen	Ring-/Sternplatz wählen	131	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	44	s|sar|sain|saiin|sor|sal
R-CHD	CHD	UMSETZEN	in ein anderes Gefäß versetzen	zur nächsten Station versetzen	auf anderen Platz übertragen	153	f55v|f56r|f67r2|f75r|f81v|f82r|f83r	11	chedy|lchedy|chdy|pchedy|qokchdy|olchedy
R-OR	OR	ARBEITSSATZ	der laufende Ansatz	laufende Stationskonfiguration	Eintragsklasse	126	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	15	or|chor|sor|dor|shor|otor
R-L	L	LEITEN	gießen, abführen oder durchleiten	über den sichtbaren Weg leiten	zu verbundenem Platz führen	120	f11r|f55v|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	10	lchedy|cheol|l|lo|ldy|lol
R-T	T	EINSTELLEN	Menge, Dauer oder Stufe einstellen	Stufe oder Stellung einstellen	Stellung/Grad einstellen	89	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	35	tchedy|ytedy|tchol|yty|taiin|ytchy
R-AIN	AIN	EINHEIT	eine Portion	eine Stationsfüllung	eine Tabellen- oder Ringzelle	97	f10r|f11r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	8	qokain|dain|sain|ain|okain|kain
R-R	R	MARKIEREN	den Teilgang oder Zustand kennzeichnen	Stationszustand markieren	Platz kennzeichnen	57	f10r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	14	r|cheor|rol|raiin|dary|ror
R-P	P	EINSETZEN	den Pflanzenteil einbringen	in Becken oder Anschluss einsetzen	in Ring/Tabelle eintragen	53	f10r|f13r|f55v|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	7	pchedy|qopchy|pchedar|polshy|pchocthy|pchodol
R-CTH	CTH	BEREIT	gebrauchsfertig	anwendungsbereit	gültiger/freigegebener Eintrag	52	f10r|f11r|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	7	cthy|chcthy|cthol|checthy|shecthy|ctho
R-SHED	SHED	ABSETZEN	stehen und absetzen lassen	im Becken absetzen lassen	Eintrag ablegen	59	f75r|f81v|f82r|f83r	0	shedy|shedaiin|rshedy|shedal|oshedy|lshed
R-CKH	CKH	DURCHLASS	durch Tuch, Sieb oder Auslass	durch sichtbaren Anschluss/Durchlass	formale Verbindung	53	f10r|f13r|f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	2	chckhy|shckhy|checkhy|shckhedy|sheckhy|qockhey
R-AM_ADDR	AM_ADDR	INNEN	im Gefäß oder inneren Anteil	im inneren Becken	Innenring/-platz	33	f10r|f55v|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	12	am|otam|sam|cheom|om|talam
R-CHEO	CHEO	AUSZUG	der gewonnene Auszug	Arbeitsauszug oder laufende Flüssigkeit	lokale Eintragsklasse	36	f10r|f55v|f56r|f67r2|f68r1|f81v|f82r|f83r|f88r	9	cheol|cheor|cheom|cheody|cheos|ycheor
R-DA	DA	ZWEIT	zweiter Ansatz oder zweite Zugabe	zweite Station oder zweite Füllung	zweiter Ring/zweite Stufe	18	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	16	dary|dackhy|daiidy|ykeday|dam|ldar
R-CARRIER_Q	CARRIER_Q	START	einen neuen Ansatz beginnen	neue Stationszelle beginnen	neue Reihe beginnen	35	f10r|f11r|f55v|f67r2|f68r1|f81v|f82r|f83r|f88r	1	qockhol|qoekol|qoctholy|qodor|qoaiin|qool
R-A_ADDR	A_ADDR	ORT	die bezeichnete Gefäß-/Gebrauchsstelle	sichtbare Station	lokale Adresse	19	f10r|f55v|f67r2|f68r1|f75r|f81v|f82r|f88r	14	kaiiin|ykaky|otaky|ajy|ofalsheky|ashyteed
R-AIR	AIR	LAUF	der Flüssigkeitslauf	lokaler Wasser-/Arbeitslauf	Ringlauf	17	f10r|f11r|f55v|f67r2|f75r|f81v|f82r|f83r	16	dair|air|chair|ykair|qokair|oldair
R-CHK	CHK	BEHANDELN	zerkleinern, wärmen, mischen oder bearbeiten	baden, waschen oder technisch bearbeiten	eingetragene Regel anwenden	26	f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r	4	cheky|cheeky|chkedy|chkor|chekeedy|chekam
R-IIN	IIN	STUFE	Ernte-, Reife- oder Arbeitsstufe	Stationsstufe	Grad/Stufe	18	f10r|f13r|f67r2|f68r1|f81v|f82r|f83r	8	oiin|doiin|doiir|kaiiin|ytoiin|daiidy
R-S_ADDR	S_ADDR	STERNORT	zugeordneter Himmelsplatz	sternort	sternort	2	f67r2|f83r	21	kesd|yteos
R-SOLK	SOLK	AUFFANGEN	im Gefäß auffangen	im Empfangsbecken auffangen	Ergebnisplatz	22	f75r|f81v|f82r|f83r|f88r	0	olkeedy|olkeey|solkeey|solkeedy|olkar|olky
R-EEE	EEE	VOLL	bis zum vollen Grad	vollständig halten/füllen	voller Grad	15	f13r|f55v|f68r1|f82r|f83r|f88r	3	qokeeey|keeedy|qokeeedy|oeees|oeeed|deeedy
R-LSH	LSH	SPÜLEN	mit Arbeitsflüssigkeit spülen	Becken oder Körperstelle spülen	Reihe durchlaufen	17	f75r|f81v|f82r|f83r|f88r	0	lshedy|lsheedy|ofalsheky|salshcthdy|lshety|lsho
R-LOCAL_CHAR_F	LOCAL_CHAR_F	NEBENWEG	zweiter Auszug oder Nebenweg	Nebenrinne oder Nebenstation	Nebenring/-zweig	8	f55v|f67r2|f81v|f88r	3	keeyfar|ofalsheky|qofchedy|ofar|ofydy|qofair
R-CPH	CPH	UMLEITEN	in einen anderen Empfänger leiten	zum anderen Becken umleiten	auf Alternativplatz führen	9	f11r|f56r|f68r1|f81v|f82r|f83r|f88r	3	cphol|cphy|ychocphy|cphedy|cphal|checphedy
R-HO	HO	TEILSTOFF	weiterer Pflanzenteil oder Hilfsstoff	Badezusatz oder Arbeitsstoff	Unterklasse	7	f13r|f55v|f56r	4	cho|shochy|chochor|chodaly|choy
R-AN	AN	ZUSATZ	ein Zusatz	Zusatz in der Station	Zusatzmarke	6	f55v|f56r|f67r2|f75r	3	ykeesan|ykan|sotodan|qokan|qotan|dokan
R-G_LABEL	G_LABEL	PRÜFEN	Farbe, Klarheit oder Zustand prüfen	sichtbaren Zustand prüfen	Platz/Regel prüfen	3	f67r2|f82r	4	rag|og|qsg
R-CFH	CFH	TRENNEN	Fraktion oder Pflanzenteil trennen	Lauf oder Fraktion trennen	Klasse oder Ring trennen	4	f10r|f11r|f13r|f67r2	1	cfhy|cfholdy|chocfhy
R-LOCAL_CHAR_G	LOCAL_CHAR_G	EINMAL	einmal oder eine Portion	ein Durchgang	ein Platz/ein Umlauf	5	f13r|f56r|f67r2|f83r|f88r	0	dchg|kcharg|cheg|giin|sheoldg
R-LOCAL_CHAR_I	LOCAL_CHAR_I	UNTERSTUFE	untere/zweite Arbeitsstufe	untere Station/Stufe	Untergrad	4	f10r|f67r2|f68r1|f83r	1	kaiiin|soiiin|odaiiin|okaiiin
R-OS	OS	DAZU	zum bisherigen Ansatz	zur aktuellen Station	zugeordnet	4	f10r|f55v|f67r2	0	os
R-D_LABEL	D_LABEL	RAND	am Gefäßrand oder äußeren Anteil	am Beckenrand	Außenrand	1	f55v	2	dodyd
R-LOCAL_CHAR_B	LOCAL_CHAR_B	PAAR	ein Paar oder zwei gleiche Portionen	Paarbecken oder Paarposten	Paarposten	2	f83r|f88r	0	cheeb
R-M_LOCAL	M_LOCAL	MITTE	im Mittelgefäß oder mittleren Anteil	Mittelbecken/Mittelstelle	Mittelpunkt/Mittelplatz	1	f10r	1	kom
R-LD	LD	BEFESTIGEN	Auflage oder Einsatz befestigen	Auflage oder Einsatz befestigen	Marke fixieren	1	f83r	0	qokylddy
R-LOCAL_CHAR_J	LOCAL_CHAR_J	VERBINDEN	Materialien oder Gefäßwege verbinden	zwei Stationen verbinden	Plätze verbinden	1	f88r	0	cheojam
R-RESUME_CARD	RESUME_CARD	WIEDER	den Gang wiederholen	Stationsgang wiederholen	Platzfolge wiederholen	1	f56r	0	schol
