global_teaching_order	hierarchy_level	entry_id	entry_kind	surface_symbol_or_pattern	short_value_de	written_as_manuscript_card	scope	composition_license	what_supplies_concrete_content	must_not_be_read_as	source_path
11	L1_ATOMIC_ROOT	ROOT_Y	PRODUCTIVE_CARD_COMPONENT	Y	dieser Posten	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
12	L1_ATOMIC_ROOT	ROOT_E	PRODUCTIVE_CARD_COMPONENT	E	kurz	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
13	L1_ATOMIC_ROOT	ROOT_EE	PRODUCTIVE_CARD_COMPONENT	EE	laenger	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
14	L1_ATOMIC_ROOT	ROOT_EEE	PRODUCTIVE_CARD_COMPONENT	EEE	voll	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
15	L1_ATOMIC_ROOT	ROOT_CLOSE	PRODUCTIVE_CARD_COMPONENT	CLOSE	schluss	YES_INSIDE_REGISTERED_CARDS	PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
16	L1_ATOMIC_ROOT	ROOT_CHD	PRODUCTIVE_CARD_COMPONENT	CHD	umsetzen	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
17	L1_ATOMIC_ROOT	ROOT_CTH	PRODUCTIVE_CARD_COMPONENT	CTH	bereit	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
18	L1_ATOMIC_ROOT	ROOT_CKH	PRODUCTIVE_CARD_COMPONENT	CKH	durchlauf	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
19	L1_ATOMIC_ROOT	ROOT_CKHE	PRODUCTIVE_CARD_COMPONENT	CKHE	trennen	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
20	L1_ATOMIC_ROOT	ROOT_CHK	PRODUCTIVE_CARD_COMPONENT	CHK	waermen	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
21	L1_ATOMIC_ROOT	ROOT_SHED	PRODUCTIVE_CARD_COMPONENT	SHED	absetzen	YES_INSIDE_REGISTERED_CARDS	PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
22	L1_ATOMIC_ROOT	ROOT_SOLK	PRODUCTIVE_CARD_COMPONENT	SOLK	sammeln	YES_INSIDE_REGISTERED_CARDS	PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
23	L1_ATOMIC_ROOT	ROOT_HO	PRODUCTIVE_CARD_COMPONENT	HO	eingangsposten	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
24	L1_ATOMIC_ROOT	ROOT_CHEO	PRODUCTIVE_CARD_COMPONENT	CHEO	Auszug	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
25	L1_ATOMIC_ROOT	ROOT_KCH	PRODUCTIVE_CARD_COMPONENT	KCH	bearbeiten	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
26	L1_ATOMIC_ROOT	ROOT_TY	PRODUCTIVE_CARD_COMPONENT	TY	teil	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
27	L1_ATOMIC_ROOT	ROOT_SH	PRODUCTIVE_CARD_COMPONENT	SH	halten	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
28	L1_ATOMIC_ROOT	ROOT_CHEEY	PRODUCTIVE_CARD_COMPONENT	CHEEY	sichtbares Ergebnis	YES_INSIDE_REGISTERED_CARDS	ASTRO|PROSE	May combine only in registered or lattice-licensed base/ending slots	OWNER supplies the concrete noun or address	a full sentence, object name, or historical plaintext word	experiments/yolo/sidequest_semantic_owner_atlas_forty_sixth_edition/FORTY_SIXTH_28_ROOT_TRANSFER_VERDICTS.tsv
29	L2_LEARNED_NOMENCLATOR	N01_CFH	LEARNED_BODY	cfhy	auswringen	YES_AS_LEARNED_REGISTERED_FORM	f11r	CFH+Y	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
30	L2_LEARNED_NOMENCLATOR	N02_CPH	LEARNED_BODY	cphy|ocphy	zweiter durchgang	YES_AS_LEARNED_REGISTERED_FORM	f11r|f68r1	CPH+Y; Astro O+CPH+Y	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
31	L2_LEARNED_NOMENCLATOR	N03_PARTITION	LEARNED_BODY	ches|chety|chty	abteilen	YES_AS_LEARNED_REGISTERED_FORM	f10r|f82r|f83r	PARTITION oder PARTITION+TY	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
32	L2_LEARNED_NOMENCLATOR	N04_HO	LEARNED_BODY	cho|sho|tshol	eingangsposten	YES_AS_LEARNED_REGISTERED_FORM	f11r|f56r|f67r2|f69v	HO; HO+L	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
33	L2_LEARNED_NOMENCLATOR	N05_DCHE	LEARNED_BODY	dchey	unterer pflanzenteil	YES_AS_LEARNED_REGISTERED_FORM	f10r	DCHE+Y	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
34	L2_LEARNED_NOMENCLATOR	N06_PREV	LEARNED_BODY	dchol|schol	voriger posten	YES_AS_LEARNED_REGISTERED_FORM	f11r|f56r	PREV+OL	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
35	L2_LEARNED_NOMENCLATOR	N07_WASH	LEARNED_BODY	lshedy|lsho|rshedy	waschgang	YES_AS_LEARNED_REGISTERED_FORM	f81v|f82r	WASH+START oder WASH+CLOSE	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
36	L2_LEARNED_NOMENCLATOR	N08_LDDY	LEARNED_BODY	qokylddy	festmachen und schließen	YES_AS_LEARNED_REGISTERED_FORM	f83r	OK+Y+LDDY	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
37	L2_LEARNED_NOMENCLATOR	N09_SK	LEARNED_BODY	skar	ausgiessen	YES_AS_LEARNED_REGISTERED_FORM	f83r	SK+AR	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
38	L2_LEARNED_NOMENCLATOR	N10_DAN	LEARNED_BODY	sotodan	anwenden	YES_AS_LEARNED_REGISTERED_FORM	f56r	OT+DAN	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
39	L2_LEARNED_NOMENCLATOR	N11_DL	WHOLE_CARD	dl	zusatz	YES_AS_LEARNED_REGISTERED_FORM	f81v	DL	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
40	L2_LEARNED_NOMENCLATOR	N12_TALAM	WHOLE_CARD	talam	am ziel verwahren	YES_AS_LEARNED_REGISTERED_FORM	f55v	TALAM	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
41	L2_LEARNED_NOMENCLATOR	S01_DAIN	REGISTER_SPLIT	dain	Prosa: Tuch / Astro: Portion	YES_AS_LEARNED_REGISTERED_FORM	f67r2|f83r	Prosa DAIN whole; Astro AIN	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
42	L2_LEARNED_NOMENCLATOR	S02_ODY	REGISTER_SPLIT	ody	Prosa: kühlen / Astro: markieren	YES_AS_LEARNED_REGISTERED_FORM	f55v|f69v	Prosa ODY whole; Astro OD+Y	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
43	L2_LEARNED_NOMENCLATOR	S03_OS	REGISTER_SPLIT	os	Prosa: Gefäß / Astro: Feld	YES_AS_LEARNED_REGISTERED_FORM	f10r|f67r2	Prosa OS whole; Astro OS field	learned workshop convention and local owner	a productive letter-by-letter decomposition unless its named rule licenses one	experiments/yolo/sidequest_semantic_nomenclator_forty_third_edition/FORTY_THIRD_15_NOMENCLATOR_LESSONS.tsv
44	L2B_SIMULATED_MASTER_SUPPLEMENT	M01	HYPOTHETICAL_TEACHING_CATEGORY	[M01]	wärmen	NO_NEUTRAL_CATALOG_LABEL_ONLY	SIMULATED_WORKSHOP	May fill its named bare slot in the four-card training compiler	the spoken master lesson	a Voynich surface or an observed manuscript word	experiments/yolo/sidequest_semantic_simulated_master_exemplar_fifty_third_edition/FIFTY_THIRD_4_MASTER_CATALOG_CARDS.tsv
45	L2B_SIMULATED_MASTER_SUPPLEMENT	M02	HYPOTHETICAL_TEACHING_CATEGORY	[M02]	trennen	NO_NEUTRAL_CATALOG_LABEL_ONLY	SIMULATED_WORKSHOP	May fill its named bare slot in the four-card training compiler	the spoken master lesson	a Voynich surface or an observed manuscript word	experiments/yolo/sidequest_semantic_simulated_master_exemplar_fifty_third_edition/FIFTY_THIRD_4_MASTER_CATALOG_CARDS.tsv
46	L2B_SIMULATED_MASTER_SUPPLEMENT	M03	HYPOTHETICAL_TEACHING_CATEGORY	[M03]	kurz schluss	NO_NEUTRAL_CATALOG_LABEL_ONLY	SIMULATED_WORKSHOP	May fill its named bare slot in the four-card training compiler	the spoken master lesson	a Voynich surface or an observed manuscript word	experiments/yolo/sidequest_semantic_simulated_master_exemplar_fifty_third_edition/FIFTY_THIRD_4_MASTER_CATALOG_CARDS.tsv
47	L2B_SIMULATED_MASTER_SUPPLEMENT	M04	HYPOTHETICAL_TEACHING_CATEGORY	[M04]	laenger schluss	NO_NEUTRAL_CATALOG_LABEL_ONLY	SIMULATED_WORKSHOP	May fill its named bare slot in the four-card training compiler	the spoken master lesson	a Voynich surface or an observed manuscript word	experiments/yolo/sidequest_semantic_simulated_master_exemplar_fifty_third_edition/FIFTY_THIRD_4_MASTER_CATALOG_CARDS.tsv
48	L3_SILENT_MEMORY_REGISTER	MEM_OWNER	SCRIBE_STATE_NOT_CARD	<OWNER>	welches Bildobjekt oder welche lokale Station die stillen Substantive liefert	NO	ONE_RECORD	set: am Recordanfang aus dem Bild setzen; bei sichtbarem Szenenwechsel umschalten; carry: über Felder und Zeilen mitführen; clear: erst am Recordende; Ziel bei Stationswechsel neu prüfen	linke Randmarke oder Finger am Bild	a word, glyph, stem, or silent noun encoded by one card	experiments/yolo/sidequest_semantic_scribe_memory_thirty_ninth_edition/THIRTY_NINTH_FOUR_MEMORY_SLOTS.tsv
49	L3_SILENT_MEMORY_REGISTER	MEM_ACTIVE	SCRIBE_STATE_NOT_CARD	<ACTIVE>	der gerade bearbeitete Posten oder Ansatz	NO	ONE_RECORD	set: beim ersten oder nächsten Posten setzen; carry: bei Y oder fortgesetztem Gang beibehalten; clear: nicht durch Zeilenende oder bloßen Zellschluss; beim echten neuen Posten ersetzen	ein verschiebbarer Stein oder Wachstafelstrich	a word, glyph, stem, or silent noun encoded by one card	experiments/yolo/sidequest_semantic_scribe_memory_thirty_ninth_edition/THIRTY_NINTH_FOUR_MEMORY_SLOTS.tsv
50	L3_SILENT_MEMORY_REGISTER	MEM_TARGET	SCRIBE_STATE_NOT_CARD	<TARGET>	die örtlich bezeichnete Zielstelle, Öffnung, Schale oder Tabellenzelle	NO	ONE_RECORD	set: durch AL/Zielkarte oder sichtbare lokale Stelle setzen; carry: nur solange derselbe örtliche Gang läuft; clear: bei neuem Parallelgang, neuer Klausel oder Stationswechsel löschen	zweite Randkerbe oder Zeigefinger auf der Zielstation	a word, glyph, stem, or silent noun encoded by one card	experiments/yolo/sidequest_semantic_scribe_memory_thirty_ninth_edition/THIRTY_NINTH_FOUR_MEMORY_SLOTS.tsv
51	L3_SILENT_MEMORY_REGISTER	MEM_PREVIOUS	SCRIBE_STATE_NOT_CARD	<PREVIOUS>	genau den unmittelbar zuvor abgelegten oder verdrängten Posten	NO	ONE_RECORD	set: alten ACTIVE-Wert beim Wechsel hierher schieben; carry: bis VORIGES/OL ihn abruft oder ein neuer Posten ihn überschreibt; clear: am Recordende und bei ausdrücklich unabhängigem Neubeginn	eine einzelne Kerbe; keine Liste früherer Posten	a word, glyph, stem, or silent noun encoded by one card	experiments/yolo/sidequest_semantic_scribe_memory_thirty_ninth_edition/THIRTY_NINTH_FOUR_MEMORY_SLOTS.tsv
52	L4_PROCESS_MACRO	MAC_M01	MULTI_CLAUSE_TEACHING_MOVE	CONTINUE>CONTINUE>CONTINUE	denselben Gang über drei Teilposten fortführen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|H2	exactly 3 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
53	L4_PROCESS_MACRO	MAC_M02	MULTI_CLAUSE_TEACHING_MOVE	SET>CONTINUE>SETTLE	ansetzen, im selben Gang weiterführen und absetzen lassen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B4	exactly 3 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
54	L4_PROCESS_MACRO	MAC_M03	MULTI_CLAUSE_TEACHING_MOVE	TRANSFER>CONTINUE>LEAD_OUT	umsetzen, weiterführen und am Ende abführen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B4	exactly 3 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
55	L4_PROCESS_MACRO	MAC_M04	MULTI_CLAUSE_TEACHING_MOVE	READY>DIVIDE	bereitstellen und einen Teil abtrennen	NO_PATTERN_OVER_SEVERAL_CARDS	B3|H1	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
56	L4_PROCESS_MACRO	MAC_M05	MULTI_CLAUSE_TEACHING_MOVE	CONTINUE>SET	weiterführen und den nächsten Posten ansetzen	NO_PATTERN_OVER_SEVERAL_CARDS	B3|B4|H1	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
57	L4_PROCESS_MACRO	MAC_M06	MULTI_CLAUSE_TEACHING_MOVE	SET>CONTINUE	ansetzen und im selben Gang weiterführen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B3|B4|H1|H4	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
58	L4_PROCESS_MACRO	MAC_M07	MULTI_CLAUSE_TEACHING_MOVE	SET>PASSAGE	ansetzen und durch den örtlichen Gang führen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B2|B4|H5	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
59	L4_PROCESS_MACRO	MAC_M08	MULTI_CLAUSE_TEACHING_MOVE	PASSAGE>SET	durchleiten und am folgenden Posten ansetzen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B2	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
60	L4_PROCESS_MACRO	MAC_M09	MULTI_CLAUSE_TEACHING_MOVE	SET>READY	ansetzen und bereitstellen	NO_PATTERN_OVER_SEVERAL_CARDS	B2|B3|H3	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
61	L4_PROCESS_MACRO	MAC_M10	MULTI_CLAUSE_TEACHING_MOVE	SET>SETTLE	ansetzen und absetzen lassen	NO_PATTERN_OVER_SEVERAL_CARDS	B2|B3|B4	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
62	L4_PROCESS_MACRO	MAC_M11	MULTI_CLAUSE_TEACHING_MOVE	CONTINUE>SETTLE	weiterführen und absetzen lassen	NO_PATTERN_OVER_SEVERAL_CARDS	B1|B4	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
63	L4_PROCESS_MACRO	MAC_M12	MULTI_CLAUSE_TEACHING_MOVE	READY>SET	den bereitgestellten Posten ansetzen	NO_PATTERN_OVER_SEVERAL_CARDS	B2|B3	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
64	L4_PROCESS_MACRO	MAC_M13	MULTI_CLAUSE_TEACHING_MOVE	TRANSFER>SET	umsetzen und neu ansetzen	NO_PATTERN_OVER_SEVERAL_CARDS	B3|B4	exactly 2 clauses in the listed order	the sequence of independently read cards and memory state	the meaning of any one surface or card	experiments/yolo/sidequest_semantic_process_macros_thirty_eighth_edition/THIRTY_EIGHTH_20_PROCESS_MACROS.tsv
