visible_surface	concrete_default_de	occurrence_count	event_ids	pages	records	owners	dictionary_layers	value_invariant_across_all_occurrences
cheeky	länger bearbeiten	1	E333	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
cheey	Ergebnis	2	E197|E203	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation | unteres grünes Mehrfigurenfeld	BASE_CURRICULUM	YES
cheky	kurz wärmen	3	E134|E164|E339	f81v|f83r	B1|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | linke offene Fransen-/Unterlaufstation	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
cheol	weiter	1	E366	f83r	B5	linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
ches	GLEICHTEILEN	1	E216	f82r	B2	lokale Randstationen des unteren Feldes	LEARNED_WHOLE_SIGN	YES
chety	Teil	1	E311	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chey	dies	7	E132|E208|E232|E234|E277|E349|E380	f81v|f82r|f83r	B1|B2|B3|B4|B6	gemeinsames zweireihiges Figuren-/Beckenfeld | unteres grünes Mehrfigurenfeld | obere offene Fächer-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | linke offene Fransen-/Unterlaufstation | rechter S-Lauf-/Mehrarm-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chkain	Portion	1	E257	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chkeedy	Langwärmen; Schluss	1	E231	f83r	B3	obere offene Fächer-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
chkeey	Langwärmen	1	E183	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
chldaiin	Sollabsetzung	1	E286	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
daiiin	Endstufe	1	E371	f83r	B5	linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
daiin	Sollwert	5	E116|E118|E207|E233|E377	f81v|f82r|f83r	B1|B2|B3|B6	gemeinsames zweireihiges Figuren-/Beckenfeld | unteres grünes Mehrfigurenfeld | obere offene Fächer-Randstation | rechter S-Lauf-/Mehrarm-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
dain	Einlage	2	E327|E379	f83r	B4|B6	Hauptpaar am sichtbaren ungerichteten Bogen | rechter S-Lauf-/Mehrarm-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
dairydy	Laufschluss	1	E351	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
dal	dorthin	4	E268|E272|E359|E365	f83r	B3|B4|B5	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | rechte S-Lauf-/Mehrarmknotenstation | linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
dalchdy	Zieltransfer; Schluss	1	E280	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
daldy	Zielschluss	1	E223	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
dar	davon	1	E238	f83r	B3	obere offene Fächer-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
dchdy	Transfer; Schluss	1	E158	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
dchedy	überführen; Schluss	1	E167	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
dl	BADZUSATZ	2	E112|E129	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LEARNED_WHOLE_SIGN	YES
dshedy	Frischwasser zugeben; Schluss	1	E189	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	BASE_CURRICULUM	YES
dsheol	Kurzhalt	1	E160	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
dy	dies	1	E170	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
kain	Portion	2	E107|E354	f81v|f83r	B1|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | linke offene Fransen-/Unterlaufstation	SPECIALIST_COMPONENT_COMPOSITION|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
kair	Beckenlauf	1	E103	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	SPECIALIST_COMPONENT_COMPOSITION	YES
lar	Quellabzug	1	E211	f82r	B2	unteres grünes Mehrfigurenfeld	BASE_CURRICULUM	YES
lcheckhedy	Trennabzug; Schluss	1	E176	f82r	B2	obere Paarbecken-/Zylinderstation	SPECIALIST_COMPONENT_COMPOSITION	YES
lcheckhy	Abführpassage	1	E173	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
lched	Abführung	1	E174	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
lchedal	Zielabführung	1	E147	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
lchedar	Quellabführung	1	E215	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
lchedy	abführen; Schluss	8	E210|E235|E246|E262|E269|E282|E345|E357	f82r|f83r	B2|B3|B4	unteres grünes Mehrfigurenfeld | obere offene Fächer-Randstation | mittlere runde Gefäß-Randstation | untere korbartige Gefäß-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | linke offene Fransen-/Unterlaufstation | rechte S-Lauf-/Mehrarmknotenstation	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
lcheey	Klarabzug	1	E206	f82r	B2	unteres grünes Mehrfigurenfeld	SPECIALIST_COMPONENT_COMPOSITION	YES
lchy	Abführgut	1	E202	f82r	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	BASE_CURRICULUM	YES
ldalor	Endziel	1	E381	f83r	B6	rechter S-Lauf-/Mehrarm-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
ldy	abziehen; Schluss	2	E184|E308	f82r|f83r	B2|B3	obere Paarbecken-/Zylinderstation | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
lkedy	Kurzabzug; Schluss	1	E344	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
lo	Abzug	1	E263	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
lochedy	Abführung; Schluss	1	E228	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
lol	Weiterabzug	1	E367	f83r	B5	linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
ls	DÜSE	1	E196	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	LEARNED_WHOLE_SIGN	YES
lshedy	Waschgang; Schluss	2	E143|E144	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
lsho	Waschgang	1	E141	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	SPECIALIST_COMPONENT_COMPOSITION	YES
ly	AUFFANGSCHALE	1	E159	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LEARNED_WHOLE_SIGN	YES
octheol	Fortsetzung vorbereiten	1	E182	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
oiiin	Arbeitsstufe	1	E161	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	SPECIALIST_COMPONENT_COMPOSITION	YES
okaiin	bemessen	1	E102	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
okain	Anteil zugeben	3	E198|E200|E341	f82r|f83r	B2|B4	ungelöste mittlere rechte Linie-/Liegepodeststation | linke offene Fransen-/Unterlaufstation	SPECIALIST_COMPONENT_COMPOSITION|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
okair	Laufeinsatz	1	E260	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
okal	dorthin einsetzen	1	E104	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
okchedy	einführen; Schluss	1	E151	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
okeeol	Langfortsetzung	1	E340	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
okeey	lange einwirken	1	E153	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
okey	kurz einwirken	1	E220	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
ol	weiter	8	E106|E110|E114|E124|E133|E135|E376|E378	f81v|f83r	B1|B6	gemeinsames zweireihiges Figuren-/Beckenfeld | rechter S-Lauf-/Mehrarm-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
olchedy	weiterführen; Schluss	1	E242	f83r	B3	mittlere runde Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
oldy	Schluss	1	E337	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
olkain	weiterer Anteil	1	E108	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
olkeedy	lange sammeln; Schluss	2	E162|E229	f81v|f83r	B1|B3	gemeinsames zweireihiges Figuren-/Beckenfeld | obere offene Fächer-Randstation	SPECIALIST_COMPONENT_COMPOSITION|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
olor	derselbe Ansatz	1	E113	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
olsaly	Zwischenziel	1	E313	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
or	Ansatz	1	E348	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otaiin	Folgemaß	2	E306|E312	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otal	danach dorthin	1	E320	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otar	Folgequelle	1	E149	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
otchdy	Nachtransfer; Schluss	1	E362	f83r	B5	linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otchedy	Folgetransfer; Schluss	1	E301	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otchey	das nächste	1	E321	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
otedy	Kurzfolge; Schluss	2	E249|E307	f83r	B3	untere korbartige Gefäß-Randstation | Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
oteey	Langfolge	2	E185|E218	f82r	B2	obere Paarbecken-/Zylinderstation | lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
pchedal	Zielzuführung	1	E248	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
pchedy	Zuführung; Schluss	1	E221	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
qcthey	kurz vorbereiten	1	E204	f82r	B2	unteres grünes Mehrfigurenfeld	BASE_CURRICULUM	YES
qekey	kurz bearbeiten	1	E374	f83r	B6	rechter S-Lauf-/Mehrarm-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qockhey	Kurzdurchgang	1	E350	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokaiin	bemessen	7	E180|E181|E219|E236|E243|E256|E270	f82r|f83r	B2|B3	obere Paarbecken-/Zylinderstation | lokale Randstationen des unteren Feldes | obere offene Fächer-Randstation | mittlere runde Gefäß-Randstation | untere korbartige Gefäß-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokain	Anteil zugeben	4	E127|E169|E288|E352	f81v|f82r|f83r	B1|B2|B3|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | obere Paarbecken-/Zylinderstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | linke offene Fransen-/Unterlaufstation	SPECIALIST_COMPONENT_COMPOSITION|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokal	dorthin einsetzen	4	E152|E172|E186|E241	f81v|f82r|f83r	B1|B2|B3	gemeinsames zweireihiges Figuren-/Beckenfeld | obere Paarbecken-/Zylinderstation | mittlere runde Gefäß-Randstation	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokaly	Zieleinsatz	1	E177	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
qokar	Quelleinsatz	1	E191	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	BASE_CURRICULUM	YES
qokchdy	einführen; Schluss	3	E131|E284|E363	f81v|f83r	B1|B3|B5	gemeinsames zweireihiges Figuren-/Beckenfeld | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | linker offener Fransen-Endposten	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokchedy	einführen; Schluss	1	E264	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokedy	kurz einwirken; Schluss	8	E101|E137|E138|E259|E294|E297|E318|E335	f81v|f83r	B1|B3|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | untere korbartige Gefäß-Randstation | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokeedal	Langer Zieleinsatz	1	E117	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
qokeedy	lange einwirken; Schluss	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	f82r|f83r	B2|B3|B4	obere Paarbecken-/Zylinderstation | ungelöste mittlere rechte Linie-/Liegepodeststation | lokale Randstationen des unteren Feldes | mittlere runde Gefäß-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokeeedy	Volleinsatz; Schluss	1	E209	f82r	B2	unteres grünes Mehrfigurenfeld	BASE_CURRICULUM	YES
qokeey	lange einwirken	6	E175|E194|E205|E293|E317|E322	f82r|f83r	B2|B3|B4	obere Paarbecken-/Zylinderstation | mittlere linke Geräte-/Inline-Knotenstation | unteres grünes Mehrfigurenfeld | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokey	kurz einwirken	1	E142	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
qokol	Weiter einsetzen	1	E346	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokshedy	Einsatzabsetzen; Schluss	1	E267	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qoky	einsetzen	7	E140|E188|E195|E247|E251|E298|E323	f81v|f82r|f83r	B1|B2|B3|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | obere Paarbecken-/Zylinderstation | mittlere linke Geräte-/Inline-Knotenstation | mittlere runde Gefäß-Randstation | untere korbartige Gefäß-Randstation | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qokylddy	befestigen; Schluss	1	E326	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qol	weiter	3	E121|E148|E154	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
qolchedy	weiterführen; Schluss	2	E126|E168	f81v|f82r	B1|B2	gemeinsames zweireihiges Figuren-/Beckenfeld | obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
qolchey	Weiterposten	1	E316	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qolkain	weiterer Anteil	1	E358	f83r	B4	rechte S-Lauf-/Mehrarmknotenstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qolky	Weiterweg	1	E146	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
qotal	danach dorthin	2	E230|E237	f83r	B3	obere offene Fächer-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qotchedy	Folgetransfer; Schluss	1	E281	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qotedaiin	Kurzsoll	1	E305	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
qoteedy	lange Folgestufe; Schluss	2	E226|E292	f82r|f83r	B2|B3	lokale Randstationen des unteren Feldes | Hauptpaar am sichtbaren ungerichteten Bogen	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
ral	Zielmarke	1	E130	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
raly	Endposten	1	E375	f83r	B6	rechter S-Lauf-/Mehrarm-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
rol	Anschluss	1	E111	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
rsheal	Kurzhalt am Ziel	1	E222	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
rshedy	Vollwaschung; Schluss	1	E225	f82r	B2	lokale Randstationen des unteren Feldes	BASE_CURRICULUM	YES
saiin	Sollwert	4	E274|E299|E332|E338	f83r	B3|B4	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | Hauptpaar am sichtbaren ungerichteten Bogen | linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sal	dorthin	1	E156	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
sar	davon	1	E105	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
schedair	Weiterlauf	1	E300	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
schedy	überführen; Schluss	2	E120|E239	f81v|f83r	B1|B3	gemeinsames zweireihiges Figuren-/Beckenfeld | mittlere runde Gefäß-Randstation	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shckhedy	durchlassen; Schluss	3	E165|E330|E331	f81v|f83r	B1|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | Hauptpaar am sichtbaren ungerichteten Bogen	SPECIALIST_COMPONENT_COMPOSITION|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shckhy	durchleiten	1	E128	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
shcthey	kurz vorbereiten	1	E258	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shcthy	bereit	2	E271|E279	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sheckhal	Kurze Zielpassage	1	E115	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	BASE_CURRICULUM	YES
sheckhy	Kurzpassage	1	E187	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
shecthedchy	Vorbereitungstransfer	1	E250	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shecthy	Kurzvorbereitung	1	E276	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shedal	am Ziel absetzen	2	E275|E364	f83r	B3|B5	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shedy	kurz absetzen; Schluss	10	E125|E136|E192|E255|E266|E314|E325|E336|E347|E361	f81v|f82r|f83r	B1|B2|B3|B4	gemeinsames zweireihiges Figuren-/Beckenfeld | mittlere linke Geräte-/Inline-Knotenstation | untere korbartige Gefäß-Randstation | ungelöster Zwischenposten zwischen Randstapel und Hauptpaar | Hauptpaar am sichtbaren ungerichteten Bogen | linke offene Fransen-/Unterlaufstation | rechte S-Lauf-/Mehrarmknotenstation	BASE_CURRICULUM|F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sheedy	Langabsetzen; Schluss	1	E261	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sheey	Langhalt	1	E334	f83r	B4	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
shey	Ergebnis	1	E353	f83r	B4	linke offene Fransen-/Unterlaufstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
skar	Quellausguss	1	E360	f83r	B4	rechte S-Lauf-/Mehrarmknotenstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
soiiin	Arbeitsstufe	1	E309	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sol	weiter	3	E295|E343|E370	f83r	B3|B4|B5	Hauptpaar am sichtbaren ungerichteten Bogen | linke offene Fransen-/Unterlaufstation | linker offener Fransen-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
solkaiin	Sollsammlung	1	E178	f82r	B2	obere Paarbecken-/Zylinderstation	BASE_CURRICULUM	YES
solkeedy	lange sammeln; Schluss	1	E291	f83r	B3	Hauptpaar am sichtbaren ungerichteten Bogen	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
solkeey	Langsammlung	1	E373	f83r	B6	rechter S-Lauf-/Mehrarm-Endposten	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
solkey	Kurzsammlung	1	E356	f83r	B4	rechte S-Lauf-/Mehrarmknotenstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
solshedy	Folgeabsetzen; Schluss	1	E193	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	BASE_CURRICULUM	YES
sor	Ansatz	1	E254	f83r	B3	untere korbartige Gefäß-Randstation	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
sotaiin	Folgemaß	1	E190	f82r	B2	mittlere linke Geräte-/Inline-Knotenstation	BASE_CURRICULUM	YES
sshkchdy	SCHWENKEN; SCHLUSS	1	E122	f81v	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LEARNED_WHOLE_SIGN	YES
sy	dies	1	E273	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
tal	dorthin	1	E278	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
tchedy	überführen; Schluss	1	E283	f83r	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	F83R_PRODUCTIVE_OR_LOCAL_CARD	YES
