occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	narrowed_from_base	member_card_nos	source_position_ids	source_pass	component_values_changed
156	I046-C01	I046	B2	f82r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC130	SRC_E228	PASS551	NO
157	I046-C01	I046	B2	f82r	L	CLOSED_DRAIN	abführen	L plus Schluss	YES	PROC130	SRC_E228	PASS551	NO
158	I047-C01	I047	B3	f83r	SOLK	COMMIT_COLLECT	auffangen und stehen lassen	SOLK plus Grad und Schluss	YES	PROC098	SRC_E229	PASS553	NO
159	I048-C01	I048	B3	f83r	CHK	TARGET_WARM	anwärmen	CHK plus Ziel	YES	PROC131|PROC132	SRC_E230|SRC_E231	PASS552	NO
160	I049-C01	I049	B3	f83r	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	YES	PROC019|PROC009|PROC019|PROC120	SRC_E232|SRC_E233|SRC_E234|SRC_E235	PASS551	NO
161	I049-C01	I049	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	YES	PROC019|PROC009|PROC019|PROC120	SRC_E232|SRC_E233|SRC_E234|SRC_E235	PASS551	NO
162	I050-C01	I050	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC038	SRC_E236	PASS551	NO
163	I050-C02	I050	B3	f83r	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	YES	PROC131|PROC003|PROC076	SRC_E237|SRC_E238|SRC_E239	PASS551	NO
164	I051-C01	I051	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	YES	PROC133	SRC_E240	PASS551	NO
165	I051-C02	I051	B3	f83r	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	YES	PROC048	SRC_E241	PASS551	NO
166	I051-C03	I051	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC079	SRC_E242	PASS551	NO
167	I052-C01	I052	B3	f83r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	YES	PROC038	SRC_E243	PASS551	NO
168	I052-C02	I052	B3	f83r	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	YES	PROC042	SRC_E244	PASS551	NO
169	I052-C03	I052	B3	f83r	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	YES	PROC100	SRC_E245	PASS551	NO
170	I053-C01	I053	B3	f83r	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	YES	PROC120	SRC_E246	PASS551	NO
171	I053-C01	I053	B3	f83r	L	CLOSED_DRAIN	abführen	L plus Schluss	YES	PROC120	SRC_E246	PASS551	NO
