token_id	page	locus	token_index	surface	default_type	default_meaning_de	composition	evidence_source
G629-T017	f21r	f21r.12	2	chor	CONCRETE_PART	Pflanzen-/Reproduktionsteil	gelernte Partform	GDT623/GDT628
G629-T018	f21r	f21r.12	3	sheey	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T019	f21r	f21r.12	4	ysheol	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T020	f21r	f21r.12	5	chor	CONCRETE_PART	Pflanzen-/Reproduktionsteil	gelernte Partform	GDT623/GDT628
G629-T021	f21r	f21r.12	6	chol	CONCRETE_QUALITY	trocken; nominal trockenes Gut	ch+ol	GDT628
G629-T022	f21r	f21r.12	7	daiin	CONTEXTUAL_VALUE	nach chol: Grad III; sonst Grad/Maß III	d+a+III	GDT627/GDT628
G629-T023	f21r	f21r.12	8	chkaiin	VALUE_WITH_OPEN_HEAD	Wert III; Kopf chka offen	chka+III	GDT626/GDT627
G629-T024	f27r	f27r.6	1	chy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T025	f27r	f27r.6	2	t	QUALITY_ROOT_OPEN_BINDING	Kältestamm; selbständige Bindung offen	t	GDT623
G629-T026	f27r	f27r.6	3	chols	CHOL_EXTENSION_OPEN	Trockenheits-/Trockenmaterialform; äußere Erweiterung offen	PRODUCTIVE_EXTENSION_OPEN	GDT628
G629-T027	f27r	f27r.6	4	chor	CONCRETE_PART	Pflanzen-/Reproduktionsteil	gelernte Partform	GDT623/GDT628
G629-T028	f27r	f27r.6	5	cholaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+a+III	GDT628
G629-T029	f27r	f27r.6	6	shy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T030	f27r	f27r.6	7	kchal	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T031	f27r	f27r.6	8	dy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T032	f32v	f32v.10	1	sho	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T033	f32v	f32v.10	2	keol	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T034	f32v	f32v.10	3	chor	CONCRETE_PART	Pflanzen-/Reproduktionsteil	gelernte Partform	GDT623/GDT628
G629-T035	f32v	f32v.10	4	chol	CONCRETE_QUALITY	trocken; nominal trockenes Gut	ch+ol	GDT628
G629-T036	f32v	f32v.10	5	daiin	CONTEXTUAL_VALUE	nach chol: Grad III; sonst Grad/Maß III	d+a+III	GDT627/GDT628
G629-T037	f32v	f32v.10	6	cpho	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T038	f32v	f32v.10	7	l	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T039	f32v	f32v.10	8	cthol	CTH_PART_FAMILY	cth-Pflanzenteilform; Endung offen	cth+ol	GDT625
G629-T040	f32v	f32v.10	9	da	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T041	f32v	f32v.10	10	ar	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T042	f49r	f49r.6	1	ol	CARRIER	Qualitäts-/Zustands-/Materialträger; genauer Inhalt offen	ol	GDT628
G629-T043	f49r	f49r.6	2	or	CARRIER	Teil-/Nominalträger; genauer Inhalt offen	or	GDT628
G629-T044	f49r	f49r.6	3	shes	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T045	f49r	f49r.6	4	sheoty	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T046	f49r	f49r.6	5	choldaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+d+a+III	GDT628/GDT629
G629-T047	f58r	f58r.18	1	darar	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T048	f58r	f58r.18	2	shol	CONCRETE_QUALITY	feucht; nominal feuchtes Gut	sh+ol	GDT628
G629-T049	f58r	f58r.18	3	cholraly	CHOL_EXTENSION_OPEN	Trockenheits-/Trockenmaterialform; äußere Erweiterung offen	PRODUCTIVE_EXTENSION_OPEN	GDT628
G629-T050	f58r	f58r.18	4	cholaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+a+III	GDT628
G629-T051	f58r	f58r.18	5	odaiin	VALUE_WITH_OPEN_HEAD	Wert III; Kopf oda offen	oda+III	GDT626/GDT627
G629-T052	f58r	f58r.18	6	chaly	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T053	f58r	f58r.18	7	dalar	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T054	f58r	f58r.18	8	aiin	VALUE_WITH_OPEN_HEAD	Wert III; Kopf a offen	a+III	GDT626/GDT627
G629-T055	f58r	f58r.18	9	okal	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T056	f58r	f58r.18	10	otal	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T057	f100r	f100r.22	1	folshody	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T058	f100r	f100r.22	2	choldaiin	CONCRETE_QUALITY_DEGREE	trocken, Grad III	ch+ol+d+a+III	GDT628/GDT629
G629-T059	f100r	f100r.22	3	fchod	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T060	f100r	f100r.22	4	ycheol	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T061	f100r	f100r.22	5	cphol	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T062	f100r	f100r.22	6	qotees	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T063	f100r	f100r.22	7	shey	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T064	f100r	f100r.22	8	aseso	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
G629-T065	f100r	f100r.22	9	alcfhy	OPEN	OPEN; keine generische Ersatzbedeutung	OPEN	NONE
