card_no	surfaces	component_recipe	productive_roots	root_values_de	composed_reading_de	events	pages	contains_close
PROC082	qokchdy	OK+CHD+DY	OK|CHD	ANSETZEN|UMSETZEN	ANSETZEN · UMSETZEN; SCHLUSS	3	f81v|f83r	YES
PROC083	cheky	CHK+E+Y	CHK	WAERMEN	WAERMEN · KURZ · ARBEITSPOSTEN	3	f81v|f83r	NO
PROC085	okey|qokey	OK+E+Y	OK	ANSETZEN	ANSETZEN · KURZ · ARBEITSPOSTEN	2	f81v|f82r	NO
PROC088	lchedal	L+CHD+AL	CHD	UMSETZEN	WEITERLEITEN · UMSETZEN · ZIELSTELLE	1	f81v	NO
PROC091	okchedy|qokchedy	OK+CHD+DY	OK|CHD	ANSETZEN|UMSETZEN	ANSETZEN · UMSETZEN; SCHLUSS	2	f81v|f83r	YES
PROC092	okeey|qokeey	OK+EE+Y	OK	ANSETZEN	ANSETZEN · LANG · ARBEITSPOSTEN	7	f81v|f82r|f83r	NO
PROC094	dchdy	CHD+DY	CHD	UMSETZEN	UMSETZEN; SCHLUSS	1	f81v	YES
PROC100	qokeedy	OK+EE+DY	OK	ANSETZEN	ANSETZEN · LANG; SCHLUSS	10	f82r|f83r	YES
PROC102	lched	L+CHD	CHD	UMSETZEN	WEITERLEITEN · UMSETZEN	1	f82r	NO
PROC104	qokaly	OK+AL+Y	OK	ANSETZEN	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f82r	NO
PROC106	octheol	O+CTH+E+OL	CTH	BEREIT	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	1	f82r	NO
PROC107	chkeey	CHK+EE+Y	CHK	WAERMEN	WAERMEN · LANG · ARBEITSPOSTEN	1	f82r	NO
PROC113	qokar	OK+AR	OK	ANSETZEN	ANSETZEN · VORRAT	1	f82r	NO
PROC117	qcthey|shcthey	CTH+E+Y	CTH	BEREIT	BEREIT · KURZ · ARBEITSPOSTEN	2	f82r|f83r	NO
PROC119	qokeeedy	OK+EEE+DY	OK	ANSETZEN	ANSETZEN · VOLL; SCHLUSS	1	f82r	YES
PROC120	lchedy	L+CHD+DY	CHD	UMSETZEN	WEITERLEITEN · UMSETZEN; SCHLUSS	8	f82r|f83r	YES
PROC123	lchedar	L+CHD+AR	CHD	UMSETZEN	WEITERLEITEN · UMSETZEN · VORRAT	1	f82r	NO
PROC125	pchedy	P+CHD+DY	CHD	UMSETZEN	EINFUELLEN · UMSETZEN; SCHLUSS	1	f82r	YES
PROC128	rshedy	R+SHED+DY	SHED	ABSETZEN	KUEHLEN · ABSETZEN; SCHLUSS	1	f82r	YES
PROC130	lochedy	L+O+CHD+DY	CHD	UMSETZEN	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	1	f82r	YES
PROC132	chkeedy	CHK+EE+DY	CHK	WAERMEN	WAERMEN · LANG; SCHLUSS	1	f83r	YES
PROC133	chedchy	CHD+Y	CHD	UMSETZEN	UMSETZEN · ARBEITSPOSTEN	1	f83r	NO
PROC134	pchedal	P+CHD+AL	CHD	UMSETZEN	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	f83r	NO
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CHD|CTH	UMSETZEN|BEREIT	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	f83r	NO
PROC138	okair	OK+AIR	OK	ANSETZEN	ANSETZEN · FLUESSIGKEITSLAUF	1	f83r	NO
PROC141	qokshedy	OK+SH+E+DY	OK	ANSETZEN	ANSETZEN · HALTEN · KURZ; SCHLUSS	1	f83r	YES
PROC142	shedal	SHED+AL	SHED	ABSETZEN	ABSETZEN · ZIELSTELLE	2	f83r	NO
PROC143	shecthy	SH+E+CTH+Y	CTH	BEREIT	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	f83r	NO
PROC144	dalchdy	AL+CHD+DY	CHD	UMSETZEN	ZIELSTELLE · UMSETZEN; SCHLUSS	1	f83r	YES
PROC145	otchedy|qotchedy	OT+CHD+DY	CHD	UMSETZEN	DANACH · UMSETZEN; SCHLUSS	2	f83r	YES
PROC150	schedair	CHD+AIR	CHD	UMSETZEN	UMSETZEN · FLUESSIGKEITSLAUF	1	f83r	NO
PROC151	chedain	CHD+AIN	CHD	UMSETZEN	UMSETZEN · PORTION	1	f83r	NO
PROC155	qokylddy	OK+Y+LD+DY	OK	ANSETZEN	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	1	f83r	YES
PROC158	okeeol	OK+EE+OL	OK	ANSETZEN	ANSETZEN · LANG · FORTSETZEN	1	f83r	NO
PROC160	qokol	OK+OL	OK	ANSETZEN	ANSETZEN · FORTSETZEN	1	f83r	NO
PROC166	otchdy	OT+CHD+DY	CHD	UMSETZEN	DANACH · UMSETZEN; SCHLUSS	1	f83r	YES
PROC168	chdal	CHD+AL	CHD	UMSETZEN	UMSETZEN · ZIELSTELLE	1	f83r	NO
