card_no	surfaces	component_recipe	current_reading_de	events	pages	next_layer_status
PROC024	kaiiin	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	1	f10r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	4	f11r|f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC033	shoyty	SH+O+Y+T+Y	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	f11r|f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC035	kchy	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC036	qotchy	OT+Y	DANACH · ARBEITSPOSTEN	1	f11r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC039	ykain	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC040	ykan	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC041	ody	O+DY	ARBEITSGANG; SCHLUSS	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC043	talam	TALAM	VERWAHREN	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC044	ykaiin	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC047	oldy	OL+DY	FORTSETZEN; SCHLUSS	2	f55v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	f55v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC052	cho|sho	HO	ZUTAT	4	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	f56r|f81v|f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC056	choy	HO+Y	ZUTAT · ARBEITSPOSTEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC058	sh	SH	HALTEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC062	kchal	K+AL	ZUDOSIEREN · ZIELSTELLE	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC065	otchey	OT+Y	DANACH · ARBEITSPOSTEN	2	f56r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	f56r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC068	kair	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	3	f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC072	dl	L	WEITERLEITEN	2	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC075	chckhy|shckhy	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	4	f81v|f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	2	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC087	qolky	SOLK+Y	AUFFANGEN · ARBEITSPOSTEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC089	otar	OT+AR	DANACH · VORRAT	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · ARBEITSPOSTEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC093	teol	E+OL	KURZ · FORTSETZEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC095	ly	L+Y	WEITERLEITEN · ARBEITSPOSTEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	f81v	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	2	f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG; SCHLUSS	3	f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	3	f81v|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · SOLLMASS	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC108	ldy	L+DY	WEITERLEITEN; SCHLUSS	2	f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC109	oteey	OT+EE+Y	DANACH · LANG · ARBEITSPOSTEN	2	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC111	dshedy	SH+E+DY	HALTEN · KURZ; SCHLUSS	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	3	f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ; SCHLUSS	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC115	ls	OL	FORTSETZEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · ARBEITSPOSTEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC121	lar	L+AR	WEITERLEITEN · VORRAT	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC127	daldy	AL+DY	ZIELSTELLE; SCHLUSS	1	f82r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC129	qoteedy	OT+EE+DY	DANACH · LANG; SCHLUSS	2	f82r|f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	3	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC135	otedy	OT+E+DY	DANACH · KURZ; SCHLUSS	2	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC137	chary	AR+Y	VORRAT · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC139	sheedy	SH+EE+DY	HALTEN · LANG; SCHLUSS	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC140	lo	L+O	WEITERLEITEN · ARBEITSGANG	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC146	cheedar	EE+AR	LANG · VORRAT	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC147	chldaiin	L+AIIN	WEITERLEITEN · SOLLMASS	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · SOLLMASS	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC154	qolchey	OL+Y	FORTSETZEN · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC156	dain	AIN	PORTION	2	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC157	sheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC162	dairydy	AIR+Y+DY	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC165	skar	K+AR	ZUDOSIEREN · VORRAT	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC169	daiiin	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC172	raly	R+AL+Y	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	1	f83r	NOT_YET_IN_FIVE_ROOT_DICTIONARY
