event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	transfer_roots	pass736_reading_de	root_expansion_de
E248	f83r	B3	B3-S010	untere Randfigur im korbartigen Gefäß	PROC134	pchedal	P+CHD+AL	P	FUELLEN · UMSETZEN · ZIELSTELLE	einen Posten in einen lokalen Empfänger füllen
E262	f83r	B3	B3-S015	untere Randfigur im korbartigen Gefäß	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E263	f83r	B3	B3-S016	untere Randfigur im korbartigen Gefäß	PROC140	lo	L+O	L	LEITEN · ARBEITSGANG	einen Posten entlang einer lokalen Route führen
E269	f83r	B3	B3-S020	unverbundener Zwischenbereich	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E282	f83r	B3	B3-S023	unverbundener Zwischenbereich	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E286	f83r	B3	B3-S026	unverbundener Zwischenbereich	PROC147	chldaiin	L+AIIN	L	LEITEN · SOLLMASS	einen Posten entlang einer lokalen Route führen
E290	f83r	B3	B3-S026	unverbundener Zwischenbereich	PROC148	chealror	AL+R+OR	R	ZIELSTELLE · KUEHLEN · ANSATZ	den Posten abkühlen oder kühl halten
E296	f83r	B3	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC149	cheeety	EEE+T+Y	T	VOLL · ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E308	f83r	B3	B3-S033	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC108	ldy	L+DY	L	LEITEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E311	f83r	B3	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC004	chety	T+Y	T	ANWENDEN · DIES	den Posten am aktuellen Gegenstand oder Ort gebrauchen
E344	f83r	B4	B4-S011	linke Hauptstation mit offenem Fransenlauf	PROC159	lkedy	L+K+E+DY	L	LEITEN · ZUGEBEN · KURZ · SCHLUSS	einen Posten entlang einer lokalen Route führen
E345	f83r	B4	B4-S012	linke Hauptstation mit offenem Fransenlauf	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E357	f83r	B4	B4-S015	rechte Hauptstation mit S-Lauf und Mehrarmknoten	PROC120	lchedy	L+CHD+DY	L	LEITEN · UMSETZEN · SCHLUSS	einen Posten entlang einer lokalen Route führen
E367	f83r	B5	B5-S003	linke Fransenstation im B5-Nachtrag	PROC167	lol	L+OL	L	LEITEN · WEITER	einen Posten entlang einer lokalen Route führen
E375	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	PROC172	raly	R+AL+Y	R	KUEHLEN · ZIELSTELLE · DIES	den Posten abkühlen oder kühl halten
E381	f83r	B6	B6-S001	rechter S-Lauf im B6-Nachtrag	PROC173	ldalor	L+AL+OR	L	LEITEN · ZIELSTELLE · ANSATZ	einen Posten entlang einer lokalen Route führen
