component_template_id	component_template	template_modes	meaning_template_de	surface_template_count	surface_template_ids	surface_templates	alternate_surface_rendering	topology_ids	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers
G472-C031	OR · AR · {NAME_1}	LEARNED_SLOT_TEMPLATE	EINHEIT · AUSGANG · {NAME_1}	1	G472-T031	orar{NAME_1}	NO	G472-P05	2	1	STAR_BEARING_RING_POSITION	1	f72r	orara|orary	ADDRESS_HYBRID_SHELL_ONLY
G472-C032	OR · {NAME_1} · AL	LEARNED_SLOT_TEMPLATE	EINHEIT · {NAME_1} · ZIELORT	1	G472-T032	or{NAME_1}al	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	oraiiral	RUNNING_EXACT_RECIPE
G472-C033	OR · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	EINHEIT · {NAME_1} · HIER	1	G472-T033	or{NAME_1}am	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	oraiinam	ADDRESS_HYBRID_SHELL_ONLY
G472-C034	OT · AIN+Y	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · ANTEIL · POSTEN	1	G472-T034	otainy	NO	G472-P07	1	1	STAR_BEARING_RING_POSITION	1	f72r	otainy	ADDRESS_FULL_FORMULA_ONLY
G472-C035	OT · OK · OL	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · SETZEN · FORTSETZEN	1	G472-T037	otokol	NO	G472-P04	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	otokol	ADDRESS_FULL_FORMULA_ONLY
G472-C036	OT · {NAME_1}	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1}	1	G472-T042	ot{NAME_1}	NO	G472-P08	5	4	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT|STAR_BEARING_RING_POSITION	4	f17r|f71v|f77r|f88v	otchody|otdordy|oteeeon|otora|otork	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C037	OT · {NAME_1} · AIN	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · ANTEIL	1	G472-T043	ot{NAME_1}ain	NO	G472-P12	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	otorain	RUNNING_EXACT_RECIPE
G472-C038	OT · {NAME_1} · AL	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · ZIELORT	1	G472-T046	ot{NAME_1}dal	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	otchdal	RUNNING_EXACT_RECIPE
G472-C039	OT · {NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · HIER	1	G472-T044	ot{NAME_1}am	NO	G472-P12	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	otoram	RUNNING_EXACT_RECIPE
G472-C040	OT · {NAME_1} · AR · {NAME_2}	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · AUSGANG · {NAME_2}	1	G472-T045	ot{NAME_1}ar{NAME_2}	NO	G472-P10	1	1	STAR_BEARING_RING_POSITION	1	f72r	oteeary	RUNNING_EXACT_RECIPE
G472-C041	OT · {NAME_1} · D_ADDR+AR · {NAME_2}	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · HIER · AUSGANG · {NAME_2}	1	G472-T047	ot{NAME_1}dar{NAME_2}	NO	G472-P10	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	otydary	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C042	OT · {NAME_1} · Y	LEARNED_SLOT_TEMPLATE	DANACH · {NAME_1} · POSTEN	1	G472-T048	ot{NAME_1}shy	NO	G472-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	otchoshy	RUNNING_EXACT_RECIPE
G472-C043	OT+AL · AIIN	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · ZIELORT · WERT	1	G472-T035	otalaiin	NO	G472-P07	1	1	STAR_BEARING_RING_POSITION	1	f71v	otalaiin	ADDRESS_FULL_FORMULA_ONLY
G472-C044	OT+AL · {NAME_1}	LEARNED_SLOT_TEMPLATE	DANACH · ZIELORT · {NAME_1}	1	G472-T036	otal{NAME_1}	NO	G472-P08	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	otalef|otalody	RUNNING_EXACT_RECIPE
G472-C045	OT+OL · AIIN	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · FORTSETZEN · WERT	1	G472-T038	otolaiin	NO	G472-P07	1	1	BATH_OR_OUTLET_STATION	1	f77r	otolaiin	ADDRESS_FULL_FORMULA_ONLY
G472-C046	OT+OL · AM_ADDR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · FORTSETZEN · HIER	1	G472-T039	otolam	NO	G472-P07	1	1	STAR_BEARING_RING_POSITION	1	f72r	otolam	ADDRESS_FULL_FORMULA_ONLY
G472-C047	OT+OL · AR · OL	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	DANACH · FORTSETZEN · AUSGANG · FORTSETZEN	1	G472-T040	otolarol	NO	G472-P04	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	otolarol	ADDRESS_FULL_FORMULA_ONLY
G472-C048	OT+OL · {NAME_1}	LEARNED_SLOT_TEMPLATE	DANACH · FORTSETZEN · {NAME_1}	1	G472-T041	otol{NAME_1}	NO	G472-P08	2	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	otold|otoldy	RUNNING_EXACT_RECIPE
G472-C049	SH · AR · AM_ADDR	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	HALTEN · AUSGANG · HIER	1	G472-T049	sharam	NO	G472-P04	1	1	STAR_BEARING_RING_POSITION	1	f72r	sharam	ADDRESS_FULL_FORMULA_ONLY
G472-C050	SH · OL · SH · {NAME_1}	LEARNED_SLOT_TEMPLATE	HALTEN · FORTSETZEN · HALTEN · {NAME_1}	1	G472-T050	sholsh{NAME_1}	NO	G472-P03	1	1	STAR_BEARING_RING_POSITION	1	f71v	sholshdy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C051	{NAME_1}	LEARNED_SLOT_TEMPLATE	{NAME_1}	1	G472-T051	{NAME_1}	NO	G472-P13	2	2	DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT	2	f17r|f88v	cheosdy|oiil	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C052	{NAME_1} · AIIN	LEARNED_SLOT_TEMPLATE	{NAME_1} · WERT	2	G472-T052|G472-T075	{NAME_1}aiin|{NAME_1}daiin	YES	G472-P20	3	1	STAR_BEARING_RING_POSITION	1	f72r	oeeesaiin|oeeodaiin|ypaiin	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C053	{NAME_1} · AIN	LEARNED_SLOT_TEMPLATE	{NAME_1} · ANTEIL	1	G472-T053	{NAME_1}ain	NO	G472-P20	2	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	oporain|yorain	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C054	{NAME_1} · AIN+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · ANTEIL · POSTEN	1	G472-T054	{NAME_1}ainy	NO	G472-P20	1	1	STAR_BEARING_RING_POSITION	1	f72r	chdaiirdainy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C055	{NAME_1} · AIR · AL	LEARNED_SLOT_TEMPLATE	{NAME_1} · BAHN · ZIELORT	1	G472-T055	{NAME_1}airal	NO	G472-P16	1	1	STAR_BEARING_RING_POSITION	1	f72r	ytairal	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C056	{NAME_1} · AL	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT	1	G472-T056	{NAME_1}al	NO	G472-P20	1	1	BATH_OR_OUTLET_STATION	1	f77r	soral	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C057	{NAME_1} · AL · AL	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · ZIELORT	1	G472-T057	{NAME_1}alal	NO	G472-P16	2	1	STAR_BEARING_RING_POSITION	1	f72r	opalal|ralal	RUNNING_EXACT_RECIPE
G472-C058	{NAME_1} · AL · AR	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · AUSGANG	1	G472-T058	{NAME_1}alar	NO	G472-P16	1	1	STAR_BEARING_RING_POSITION	1	f71v	opalar	ADDRESS_HYBRID_SHELL_ONLY
G472-C059	{NAME_1} · AL · SH · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · HALTEN · {NAME_2}	1	G472-T060	{NAME_1}alsh{NAME_2}	NO	G472-P15	1	1	STAR_BEARING_RING_POSITION	1	f72r	ytalshdy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C060	{NAME_1} · AL · {NAME_2} · AM_ADDR	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · {NAME_2} · HIER	1	G472-T062	{NAME_1}al{NAME_2}am	NO	G472-P19	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saldam	ADDRESS_HYBRID_SHELL_ONLY
G472-C061	{NAME_1} · AL · {NAME_2} · SH · {NAME_3} · OL	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · {NAME_2} · HALTEN · {NAME_3} · FORTSETZEN	1	G472-T063	{NAME_1}al{NAME_2}sh{NAME_3}ol	NO	G472-P18	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saloiinsheol	ADDRESS_HYBRID_SHELL_ONLY
G472-C062	{NAME_1} · AL+OR	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · EINHEIT	1	G472-T059	{NAME_1}alor	NO	G472-P20	1	1	STAR_BEARING_RING_POSITION	1	f71v	opalor	RUNNING_EXACT_RECIPE
G472-C063	{NAME_1} · AL+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · ZIELORT · POSTEN	1	G472-T061	{NAME_1}aly	NO	G472-P20	3	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ainaly|chfaly|eeesaly	RUNNING_EXACT_RECIPE
G472-C064	{NAME_1} · AM_ADDR	LEARNED_SLOT_TEMPLATE	{NAME_1} · HIER	1	G472-T064	{NAME_1}am	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	opchosam	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C065	{NAME_1} · AR	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG	1	G472-T065	{NAME_1}ar	NO	G472-P20	2	1	STAR_BEARING_RING_POSITION	1	f72r	chosar|ytoar	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C066	{NAME_1} · AR · AIIN	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · WERT	1	G472-T066	{NAME_1}araiin	NO	G472-P16	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykaraiin	RUNNING_EXACT_RECIPE
G472-C067	{NAME_1} · AR · AR · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · AUSGANG · {NAME_2}	1	G472-T067	{NAME_1}arar{NAME_2}	NO	G472-P15	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	dararda	ADDRESS_HYBRID_SHELL_ONLY
G472-C068	{NAME_1} · AR · SH · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · HALTEN · {NAME_2}	1	G472-T068	{NAME_1}arsh{NAME_2}	NO	G472-P15	1	1	STAR_BEARING_RING_POSITION	1	f72r	osarsheeeo	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C069	{NAME_1} · AR · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · {NAME_2}	1	G472-T069	{NAME_1}ar{NAME_2}	NO	G472-P17	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	yfary|ytarem	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C070	{NAME_1} · AR · {NAME_2} · AL	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · {NAME_2} · ZIELORT	1	G472-T071	{NAME_1}ar{NAME_2}dal	NO	G472-P19	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	daramdal	ADDRESS_HYBRID_SHELL_ONLY
G472-C071	{NAME_1} · AR · {NAME_2} · AR	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSGANG · {NAME_2} · AUSGANG	1	G472-T070	{NAME_1}ar{NAME_2}ar	NO	G472-P19	1	1	BATH_OR_OUTLET_STATION	1	f77r	darchdar	ADDRESS_HYBRID_SHELL_ONLY
G472-C072	{NAME_1} · CH+LOCAL_CHAR_F+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · NEHMEN · HIER · POSTEN	1	G472-T072	{NAME_1}cfhy	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ykocfhy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C073	{NAME_1} · CH+T · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · NEHMEN · EINSTELLEN · {NAME_2}	1	G472-T074	{NAME_1}cth{NAME_2}	NO	G472-P17	1	1	STAR_BEARING_RING_POSITION	1	f72r	octho	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C074	{NAME_1} · CH+T+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · NEHMEN · EINSTELLEN · POSTEN	1	G472-T073	{NAME_1}cthy	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	cheocthy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C075	{NAME_1} · D_ADDR+AR · AR · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · HIER · AUSGANG · AUSGANG · {NAME_2}	1	G472-T076	{NAME_1}darar{NAME_2}	NO	G472-P15	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	sydarary	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C076	{NAME_1} · EE+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · GRAD II · POSTEN	1	G472-T077	{NAME_1}eey	NO	G472-P20	1	1	STAR_BEARING_RING_POSITION	1	f72r	opoeey	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C077	{NAME_1} · O+IIN	LEARNED_SLOT_TEMPLATE	{NAME_1} · AUSFÜHRUNG · STUFE	2	G472-T078|G472-T079	{NAME_1}oiin|{NAME_1}oin	YES	G472-P20	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	opchoroiin|opoiiinoin	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C078	{NAME_1} · OL	LEARNED_SLOT_TEMPLATE	{NAME_1} · FORTSETZEN	1	G472-T080	{NAME_1}ol	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	qkol	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C079	{NAME_1} · OL · AIR · OL	LEARNED_SLOT_TEMPLATE	{NAME_1} · FORTSETZEN · BAHN · FORTSETZEN	1	G472-T081	{NAME_1}olairol	NO	G472-P14	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykolairol	ADDRESS_HYBRID_SHELL_ONLY
G472-C080	{NAME_1} · OL+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · FORTSETZEN · POSTEN	1	G472-T082	{NAME_1}oly	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	doly	RUNNING_EXACT_RECIPE
G472-C081	{NAME_1} · OR	LEARNED_SLOT_TEMPLATE	{NAME_1} · EINHEIT	1	G472-T083	{NAME_1}or	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	cpheor	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C082	{NAME_1} · OR+Y	LEARNED_SLOT_TEMPLATE	{NAME_1} · EINHEIT · POSTEN	1	G472-T084	{NAME_1}ory	NO	G472-P20	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	odory	RUNNING_EXACT_RECIPE
G472-C083	{NAME_1} · OT · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · DANACH · {NAME_2}	1	G472-T085	{NAME_1}ot{NAME_2}	NO	G472-P17	1	1	BATH_OR_OUTLET_STATION	1	f77r	dotedy	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C084	{NAME_1} · SH · {NAME_2}	LEARNED_SLOT_TEMPLATE	{NAME_1} · HALTEN · {NAME_2}	1	G472-T086	{NAME_1}sh{NAME_2}	NO	G472-P17	1	1	STAR_BEARING_RING_POSITION	1	f72r	oshodady	OUTSIDE_BOUNDED_SHELL_ATLAS
G472-C085	{NAME_1} · Y+DY	LEARNED_SLOT_TEMPLATE	{NAME_1} · POSTEN · SCHLUSS	1	G472-T087	{NAME_1}ydy	NO	G472-P20	1	1	STAR_BEARING_RING_POSITION	1	f72r	fydy	OUTSIDE_BOUNDED_SHELL_ATLAS
