statement_order	statement_id	record_unit_id	page	event_count	equal_distance_resolutions	resolved_attachment_trace	card_near_workshop_reading_de	concrete_source_expansion_de
17	H5-S004	H5	f56r	3	0	okchy[ansetzen+Posten→E091] | chokcheo[ansetzen+Auszug→E092] | kchal[bearbeiten+Ziel→E093]	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
18	H5-S005	H5	f56r	4	1	sho[Zutat→E095] | chokchy[ansetzen+Posten→E095] | kchoar[Auszug+Quelle→E097] | sotodan[danach+anwenden→E097]	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
19	H5-S006	H5	f56r	3	0	otchey[danach+Posten→E099] | keol[kurz+weiter→E099] | daiin[Sollmaß→E099]	Nimm den Folgeposten, führe ihn kurz weiter und stelle das Sollmaß ein.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
20	B1-S001	B1	f81v	1	0	qokedy[ansetzen+kurz+Schluss→E101]	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
21	B1-S002	B1	f81v	19	7	okaiin[ansetzen+Sollmaß→E102] | kair[Lauf→E102] | okal[ansetzen+Ziel→E104] | sar[Quelle→E104] | ol[weiter→E106] | kain[Anteil→E106] | olkain[weiter+Anteil→E108] | al[Ziel→E108] | ol[weiter→E110] | rol[weiter→E111] | dl[Zusatz→E113] | olor[weiter+Ansatz→E113] | ol[weiter→E114] | sheckhal[Durchlass+kurz+Ziel→E115] | daiin[Sollmaß→E115] | qokeedal[ansetzen+länger+Ziel→E117] | daiin[Sollmaß→E117] | chckhy[Durchlass+Posten→E119] | schedy[umsetzen+Schluss→E120]	Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
22	B1-S003	B1	f81v	2	0	qol[weiter→E121] | sshkchdy[halten+bearbeiten+umsetzen+Schluss→E122]	Führe weiter, schwenke den Posten und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
23	B1-S004	B1	f81v	3	0	chedy[umsetzen+Posten→E123] | ol[weiter→E124] | shedy[absetzen+kurz+Schluss→E125]	Setze um, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
24	B1-S005	B1	f81v	1	0	qolchedy[weiter+umsetzen+Schluss→E126]	Führe den Posten weiter und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
25	B1-S006	B1	f81v	4	0	qokain[ansetzen+Anteil→E127] | shckhy[Durchlass+Posten→E128] | dl[Zusatz→E128] | ral[Ziel→E128]	Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
26	B1-S007	B1	f81v	1	0	qokchdy[ansetzen+umsetzen+Schluss→E131]	Setze die abgekühlte Badmischung um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
27	B1-S008	B1	f81v	5	0	chey[Posten→E133] | ol[weiter→E133] | cheky[wärmen+kurz+Posten→E134] | ol[weiter→E135] | shedy[absetzen+kurz+Schluss→E136]	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
28	B1-S009	B1	f81v	1	0	qokedy[ansetzen+kurz+Schluss→E137]	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
29	B1-S010	B1	f81v	1	0	qokedy[ansetzen+kurz+Schluss→E138]	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
30	B1-S011	B1	f81v	2	0	chckhy[Durchlass+Posten→E139] | qoky[ansetzen+Posten→E140]	Leite durch und setze den Posten an	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
31	B1-S012	B1	f81v	3	0	lsho[waschen→E141] | qokey[ansetzen+kurz+Posten→E142] | lshedy[waschen+Schluss→E143]	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
32	B1-S013	B1	f81v	1	0	lshedy[waschen+Schluss→E144]	Wasche und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
33	B1-S014	B1	f81v	5	0	chedy[umsetzen+Posten→E145] | qolky[weiter→E146] | lchedal[abführen+umsetzen+Ziel→E147] | qol[weiter→E148] | otar[danach+Quelle→E148]	Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
34	B1-S015	B1	f81v	2	0	ytey[Posten+kurz+Teil→E151] | okchedy[ansetzen+umsetzen+Schluss→E151]	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
35	B1-S016	B1	f81v	4	0	qokal[ansetzen+Ziel→E152] | okeey[ansetzen+länger+Posten→E153] | qol[weiter→E154] | cheedy[absetzen+kurz+Schluss→E155]	Setze dort länger an, führe weiter, lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
36	B1-S017	B1	f81v	3	0	sal[Ziel→E157] | teol[kurz+weiter→E157] | dchdy[umsetzen+Schluss→E158]	Führe dorthin, führe kurz weiter, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
37	B1-S018	B1	f81v	4	1	ly[abführen+Posten→E159] | dsheol[halten+kurz+weiter→E160] | oiiin[Stufe→E160] | olkeedy[sammeln+länger+Schluss→E162]	Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
38	B1-S019	B1	f81v	1	0	tedy[absetzen+kurz+Schluss→E163]	Lass absetzen und schließe	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
39	B1-S020	B1	f81v	2	0	cheky[wärmen+kurz+Posten→E164] | shckhedy[trennen+Schluss→E165]	Wärme kurz, seih und schließe	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
40	B1-S021	B1	f81v	1	0	chal[Ziel→E166]	Führe den Posten dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
41	B2-S001	B2	f82r	1	0	dchedy[umsetzen+Schluss→E167]	Setze um und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze um und schließe
42	B2-S002	B2	f82r	1	0	qolchedy[weiter+umsetzen+Schluss→E168]	Führe weiter und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe weiter und schließe
43	B2-S003	B2	f82r	3	1	qokain[ansetzen+Anteil→E169] | dy[Posten→E169] | qokeedy[ansetzen+länger+Schluss→E171]	Gib eine Portion zu, setze den Posten länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib eine Portion zu, setze den Posten länger an und schließe
44	B2-S004	B2	f82r	5	0	qokal[ansetzen+Ziel→E172] | lcheckhy[abführen+Durchlass+Posten→E173] | lched[abführen+umsetzen→E174] | qokeey[ansetzen+länger+Posten→E175] | lcheckhedy[abführen+trennen+Schluss→E176]	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe
45	B2-S005	B2	f82r	8	0	qokaly[ansetzen+Ziel+Posten→E177] | solkaiin[sammeln+Sollmaß→E178] | chckhy[Durchlass+Posten→E179] | qokaiin[ansetzen+Sollmaß→E180] | qokaiin[ansetzen+Sollmaß→E181] | octheol[bereit+weiter→E182] | chkeey[wärmen+länger+Posten→E183] | ldy[abführen+Schluss→E184]	Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
46	B2-S006	B2	f82r	4	0	oteey[danach+länger+Posten→E186] | qokal[ansetzen+Ziel→E186] | sheckhy[Durchlass+kurz+Posten→E187] | qoky[ansetzen+Posten→E188]	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	An der jeweils neu gesetzten lokalen Beckenstation: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
47	B2-S007	B2	f82r	1	0	dshedy[absetzen+kurz+Schluss→E189]	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
48	B2-S008	B2	f82r	3	0	sotaiin[danach+Sollmaß→E191] | qokar[ansetzen+Quelle→E191] | shedy[absetzen+kurz+Schluss→E192]	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe
49	B2-S009	B2	f82r	1	0	solshedy[weiter+absetzen+Schluss→E193]	Lass weiter absetzen und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Lass weiter absetzen und schließe
50	B2-S010	B2	f82r	4	0	qokeey[ansetzen+länger+Posten→E194] | qoky[ansetzen+Posten→E195] | ls[abführen→E196] | cheey[Ergebnis→E196]	Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
51	B2-S011	B2	f82r	4	1	okain[ansetzen+Anteil→E198] | char[Quelle→E198] | okain[ansetzen+Anteil→E200] | qokeedy[ansetzen+länger+Schluss→E201]	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe
52	B2-S012	B2	f82r	8	1	lchy[abführen+Posten→E202] | cheey[Ergebnis→E204] | qcthey[bereit+kurz+Posten→E204] | qokeey[ansetzen+länger+Posten→E205] | lcheey[abführen+Ergebnis→E206] | daiin[Sollmaß→E206] | chey[Posten→E209] | qokeeedy[ansetzen+vollständig+Schluss→E209]	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe den Klarlauf ab, stelle das Sollmaß ein, führe den Posten vollständig aus und schließe.
53	B2-S013	B2	f82r	1	0	lchedy[abführen+umsetzen+Schluss→E210]	Führe ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ab und schließe
54	B2-S014	B2	f82r	1	0	lar[abführen+Quelle→E211]	Führe von dort ab.	An der jeweils neu gesetzten lokalen Beckenstation: Führe von dort ab.
55	B2-S015	B2	f82r	2	0	tshey[Ergebnis→E213] | qokeedy[ansetzen+länger+Schluss→E213]	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
56	B2-S016	B2	f82r	8	0	cheal[Ziel→E215] | lchedar[abführen+umsetzen+Quelle→E215] | ches[teilen→E216] | aiin[Sollmaß→E216] | oteey[danach+länger+Posten→E219] | qokaiin[ansetzen+Sollmaß→E219] | okey[ansetzen+kurz+Posten→E220] | pchedy[zuführen+umsetzen+Schluss→E221]	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe
57	B2-S017	B2	f82r	2	0	rsheal[halten+kurz+Ziel→E222] | daldy[Ziel+Schluss→E222]	Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	An der jeweils neu gesetzten lokalen Beckenstation: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
58	B2-S018	B2	f82r	1	0	qokeedy[ansetzen+länger+Schluss→E224]	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe
59	B2-S019	B2	f82r	1	0	rshedy[waschen+Schluss→E225]	Führe den Waschgang aus und schließe.	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Waschgang aus und schließe.
60	B2-S020	B2	f82r	1	0	qoteedy[danach+länger+Schluss→E226]	Nimm die lange Folge und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Nimm die lange Folge und schließe
61	B2-S021	B2	f82r	1	0	qokeedy[ansetzen+länger+Schluss→E227]	Setze länger an und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Setze länger an und schließe
62	B2-S022	B2	f82r	1	0	lochedy[abführen+umsetzen+Schluss→E228]	Führe den Rest ab und schließe	An der jeweils neu gesetzten lokalen Beckenstation: Führe den Rest ab und schließe
63	B3-S001	B3	f83r	1	0	olkeedy[sammeln+länger+Schluss→E229]	Sammle länger und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Sammle länger und schließe
64	B3-S002	B3	f83r	2	0	qotal[danach+Ziel→E231] | chkeedy[wärmen+länger+Schluss→E231]	Führe danach dorthin, wärme länger und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe danach dorthin, wärme länger und schließe
65	B3-S003	B3	f83r	4	0	chey[Posten→E235] | daiin[Sollmaß→E235] | chey[Posten→E235] | lchedy[abführen+umsetzen+Schluss→E235]	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe
66	B3-S004	B3	f83r	3	0	qokaiin[ansetzen+Sollmaß→E236] | qotal[danach+Ziel→E236] | dar[Quelle→E236]	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus
67	B3-S005	B3	f83r	1	0	schedy[umsetzen+Schluss→E239]	Setze die entnommene Sollmaßportion um und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze die entnommene Sollmaßportion um und schließe
68	B3-S006	B3	f83r	3	0	chedchy[umsetzen+Posten→E240] | qokal[ansetzen+Ziel→E241] | olchedy[weiter+umsetzen+Schluss→E242]	Setze dorthin um, führe weiter und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe
69	B3-S007	B3	f83r	3	0	qokaiin[ansetzen+Sollmaß→E243] | chedy[umsetzen+Posten→E244] | qokeedy[ansetzen+länger+Schluss→E245]	Stelle das Sollmaß ein, setze um, setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe
70	B3-S008	B3	f83r	1	0	lchedy[abführen+umsetzen+Schluss→E246]	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
71	B3-S009	B3	f83r	1	0	qoky[ansetzen+Posten→E247]	Setze den Posten an	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an
72	B3-S010	B3	f83r	2	0	pchedal[zuführen+umsetzen+Ziel→E248] | otedy[danach+kurz+Schluss→E248]	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe
73	B3-S011	B3	f83r	4	0	shecthedchy[bereit+umsetzen+Posten→E250] | qoky[ansetzen+Posten→E251] | chedy[umsetzen+Posten→E252] | chary[Quelle+Posten→E252]	Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
74	B3-S012	B3	f83r	2	0	sor[Ansatz→E255] | shedy[absetzen+kurz+Schluss→E255]	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe
75	B3-S013	B3	f83r	4	1	qokaiin[ansetzen+Sollmaß→E256] | chkain[Anteil→E256] | shcthey[bereit+kurz+Posten→E258] | qokedy[ansetzen+kurz+Schluss→E259]	Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe
76	B3-S014	B3	f83r	2	0	okair[ansetzen+Lauf→E260] | sheedy[absetzen+länger+Schluss→E261]	Lass Wasser ein, lass länger absetzen und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe
77	B3-S015	B3	f83r	1	0	lchedy[abführen+umsetzen+Schluss→E262]	Führe ab und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe
78	B3-S016	B3	f83r	2	0	lo[abführen→E263] | qokchedy[ansetzen+umsetzen+Schluss→E264]	Führe ab, setze den Posten um und schließe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.
79	B3-S017	B3	f83r	1	0	qokeedy[ansetzen+länger+Schluss→E265]	Setze länger an und schließe	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe
