event_serial	event_id	statement_id	record_unit_id	page	surface	master_card_id	semantic_atoms	atomic_default_de	syntactic_role	selected_host_event	selected_direction	selection_rule	was_equal_distance
26	E026	H2-S002	H2	f10r	otol	MC053	OT+OL	danach+weiter	ACTION_HEAD	E026	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
27	E027	H2-S002	H2	f10r	chol	MC153	OL	weiter	ACTION_HEAD	E027	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
28	E028	H2-S002	H2	f10r	cholor	MC157	OL+OR	weiter+Ansatz	ACTION_HEAD	E028	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
29	E029	H2-S002	H2	f10r	chol	MC153	OL	weiter	ACTION_HEAD	E029	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
30	E030	H2-S002	H2	f10r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E029	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
31	E031	H2-S002	H2	f10r	dar	MC055	AR	Quelle	ARGUMENT_OR_MODIFIER	E029	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
32	E032	H2-S003	H2	f10r	oykchor	MC027	Y+KCH+OR	Posten+bearbeiten+Ansatz	ACTION_HEAD	E032	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
33	E033	H2-S003	H2	f10r	shor	MC080	OR	Ansatz	CONTENT_OR_STATE	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
34	E034	H2-S003	H2	f10r	chor	MC080	OR	Ansatz	CONTENT_OR_STATE	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
35	E035	H2-S003	H2	f10r	chy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
36	E036	H2-S003	H2	f10r	kaiiin	MC048	IIN	Stufe	ARGUMENT_OR_MODIFIER	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
37	E037	H2-S003	H2	f10r	dy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
38	E038	H2-S003	H2	f10r	chodaiin	MC087	HO+AIIN	Zutat+Sollmaß	CONTENT_OR_STATE	E032	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
39	E039	H3-S001	H3	f11r	tshol	MC098	HO+L	Zutat+abführen	ACTION_HEAD	E039	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
40	E040	H3-S001	H3	f11r	schoal	MC049	HO+AL	Zutat+Ziel	CONTENT_OR_STATE	E041	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
41	E041	H3-S001	H3	f11r	cfhy	MC129	CFH+Y	auswringen+Posten	ACTION_HEAD	E041	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
42	E042	H3-S001	H3	f11r	shfydaiin	MC111	SH+AIIN	halten+Sollmaß	ACTION_HEAD	E042	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
43	E043	H3-S001	H3	f11r	cphy	MC156	CPH+Y	nachseihen+Posten	ACTION_HEAD	E043	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
44	E044	H3-S001	H3	f11r	shey	MC119	CHEEY	Ergebnis	CONTENT_OR_STATE	E043	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
45	E045	H3-S001	H3	f11r	tchody	MC037	HO+CLOSE	Zutat+Schluss	ENDPOINT_ONLY	E043	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
46	E046	H3-S002	H3	f11r	shoyty	MC062	HO+Y+TY	Zutat+Posten+Teil	ELLIPTIC_HEAD	E046	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
47	E047	H3-S003	H3	f11r	dchol	MC142	DCHOL	vorher	CONTENT_OR_STATE	E049	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
48	E048	H3-S003	H3	f11r	chy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E049	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
49	E049	H3-S003	H3	f11r	kchy	MC117	KCH+Y	bearbeiten+Posten	ACTION_HEAD	E049	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
50	E050	H3-S003	H3	f11r	dy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E049	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
51	E051	H3-S003	H3	f11r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E049	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
52	E052	H3-S004	H3	f11r	qotchy	MC107	OT+Y	danach+Posten	ORDER_MARKER	E053	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
53	E053	H3-S004	H3	f11r	okchol	MC041	OK+OL	ansetzen+weiter	ACTION_HEAD	E053	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
54	E054	H3-S004	H3	f11r	cthy	MC161	CTH+Y	bereit+Posten	ACTION_HEAD	E054	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
55	E055	H3-S004	H3	f11r	dy	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E054	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
56	E056	H4-S001	H4	f55v	qokaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E056	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
57	E057	H4-S001	H4	f55v	chaiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E056	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
58	E058	H4-S001	H4	f55v	ykain	MC047	Y+AIN	Posten+Anteil	ARGUMENT_OR_MODIFIER	E056	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
59	E059	H4-S001	H4	f55v	ykan	MC148	Y+AIN	Posten+Anteil	ARGUMENT_OR_MODIFIER	E060	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
60	E060	H4-S001	H4	f55v	ody	MC100	ODY	kühlen	ACTION_HEAD	E060	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
61	E061	H4-S002	H4	f55v	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E062	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
62	E062	H4-S002	H4	f55v	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E062	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
63	E063	H4-S002	H4	f55v	talam	MC160	AL+AM	Ziel+verwahren	ACTION_HEAD	E063	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
64	E064	H4-S003	H4	f55v	ykaiin	MC170	Y+AIIN	Posten+Sollmaß	ARGUMENT_OR_MODIFIER	E066	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
65	E065	H4-S003	H4	f55v	cheoar	MC085	CHEO+AR	Auszug+Quelle	CONTENT_OR_STATE	E066	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
66	E066	H4-S003	H4	f55v	cheeky	MC032	CHK+EE+Y	wärmen+länger+Posten	ACTION_HEAD	E066	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
67	E067	H4-S003	H4	f55v	oldy	MC019	OL+CLOSE	weiter+Schluss	ACTION_HEAD	E067	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
68	E068	H4-S004	H4	f55v	aiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E069	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
69	E069	H4-S004	H4	f55v	okal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E069	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
70	E070	H4-S004	H4	f55v	oltchy	MC021	OL+CTH+Y	weiter+bereit+Posten	ACTION_HEAD	E070	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
71	E071	H4-S004	H4	f55v	or	MC080	OR	Ansatz	CONTENT_OR_STATE	E070	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
72	E072	H4-S004	H4	f55v	y	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E070	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
73	E073	H4-S004	H4	f55v	orain	MC072	OR+AIN	Ansatz+Anteil	CONTENT_OR_STATE	E070	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
74	E074	H5-S001	H5	f56r	chochor	MC125	HO+OR	Zutat+Ansatz	CONTENT_OR_STATE	E079	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
75	E075	H5-S001	H5	f56r	cho	MC034	HO	Zutat	CONTENT_OR_STATE	E079	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
76	E076	H5-S001	H5	f56r	chodaly	MC010	HO+AL+Y	Zutat+Ziel+Posten	CONTENT_OR_STATE	E079	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
77	E077	H5-S001	H5	f56r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E079	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
78	E078	H5-S001	H5	f56r	sho	MC034	HO	Zutat	CONTENT_OR_STATE	E079	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
79	E079	H5-S001	H5	f56r	kchol	MC090	KCH+OL	bearbeiten+weiter	ACTION_HEAD	E079	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
80	E080	H5-S001	H5	f56r	otchor	MC013	OT+OR	danach+Ansatz	ORDER_MARKER	E081	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
81	E081	H5-S001	H5	f56r	choky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E081	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
82	E082	H5-S001	H5	f56r	dal	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E081	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
83	E083	H5-S002	H5	f56r	schol	MC142	DCHOL	vorher	CONTENT_OR_STATE	E085	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
84	E084	H5-S002	H5	f56r	choy	MC131	HO+Y	Zutat+Posten	CONTENT_OR_STATE	E085	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
85	E085	H5-S002	H5	f56r	choky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E085	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
86	E086	H5-S002	H5	f56r	cheeckhody	MC099	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	ACTION_HEAD	E086	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
87	E087	H5-S003	H5	f56r	sh	MC114	SH	halten	ACTION_HEAD	E087	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
88	E088	H5-S003	H5	f56r	cho	MC034	HO	Zutat	CONTENT_OR_STATE	E089	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
89	E089	H5-S003	H5	f56r	kchey	MC122	KCH+E+Y	bearbeiten+kurz+Posten	ACTION_HEAD	E089	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
90	E090	H5-S003	H5	f56r	qokokchy	MC015	OK+OK+Y	ansetzen+ansetzen+Posten	ACTION_HEAD	E090	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
91	E091	H5-S004	H5	f56r	okchy	MC103	OK+Y	ansetzen+Posten	ACTION_HEAD	E091	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
92	E092	H5-S004	H5	f56r	chokcheo	MC006	OK+CHEO	ansetzen+Auszug	ACTION_HEAD	E092	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
93	E093	H5-S004	H5	f56r	kchal	MC077	KCH+AL	bearbeiten+Ziel	ACTION_HEAD	E093	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
94	E094	H5-S005	H5	f56r	sho	MC034	HO	Zutat	CONTENT_OR_STATE	E095	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
95	E095	H5-S005	H5	f56r	chokchy	MC103	OK+Y	ansetzen+Posten	ACTION_HEAD	E095	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
96	E096	H5-S005	H5	f56r	kchoar	MC136	CHEO+AR	Auszug+Quelle	CONTENT_OR_STATE	E097	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
97	E097	H5-S005	H5	f56r	sotodan	MC068	OT+DAN	danach+anwenden	ACTION_HEAD	E097	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
98	E098	H5-S006	H5	f56r	otchey	MC171	OT+Y	danach+Posten	ORDER_MARKER	E099	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
99	E099	H5-S006	H5	f56r	keol	MC104	E+OL	kurz+weiter	ACTION_HEAD	E099	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
100	E100	H5-S006	H5	f56r	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E099	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
101	E101	B1-S001	B1	f81v	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	ACTION_HEAD	E101	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
102	E102	B1-S002	B1	f81v	okaiin	MC120	OK+AIIN	ansetzen+Sollmaß	ACTION_HEAD	E102	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
103	E103	B1-S002	B1	f81v	kair	MC023	AIR	Lauf	ARGUMENT_OR_MODIFIER	E102	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
104	E104	B1-S002	B1	f81v	okal	MC040	OK+AL	ansetzen+Ziel	ACTION_HEAD	E104	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
105	E105	B1-S002	B1	f81v	sar	MC055	AR	Quelle	ARGUMENT_OR_MODIFIER	E104	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
106	E106	B1-S002	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E106	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
107	E107	B1-S002	B1	f81v	kain	MC105	AIN	Anteil	ARGUMENT_OR_MODIFIER	E106	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
108	E108	B1-S002	B1	f81v	olkain	MC097	OL+AIN	weiter+Anteil	ACTION_HEAD	E108	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
109	E109	B1-S002	B1	f81v	al	MC154	AL	Ziel	ARGUMENT_OR_MODIFIER	E108	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
110	E110	B1-S002	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E110	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
111	E111	B1-S002	B1	f81v	rol	MC016	OL	weiter	ACTION_HEAD	E111	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
112	E112	B1-S002	B1	f81v	dl	MC012	LOCAL_WHOLE	Zusatz	CONTENT_OR_STATE	E113	FORWARD	MATERIAL_OR_STATE_BETWEEN_ACTIONS_FEEDS_NEXT_ACTION	YES
113	E113	B1-S002	B1	f81v	olor	MC157	OL+OR	weiter+Ansatz	ACTION_HEAD	E113	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
114	E114	B1-S002	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E114	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
115	E115	B1-S002	B1	f81v	sheckhal	MC058	CKH+E+AL	Durchlass+kurz+Ziel	ACTION_HEAD	E115	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
116	E116	B1-S002	B1	f81v	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E115	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
117	E117	B1-S002	B1	f81v	qokeedal	MC096	OK+EE+AL	ansetzen+länger+Ziel	ACTION_HEAD	E117	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
118	E118	B1-S002	B1	f81v	daiin	MC039	AIIN	Sollmaß	ARGUMENT_OR_MODIFIER	E117	BACKWARD	SOURCE_QUANTITY_TARGET_OR_FINAL_RESULT_MODIFIES_COMPLETED_ACTION	YES
119	E119	B1-S002	B1	f81v	chckhy	MC035	CKH+Y	Durchlass+Posten	ACTION_HEAD	E119	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
120	E120	B1-S002	B1	f81v	schedy	MC025	CHD+CLOSE	umsetzen+Schluss	ACTION_HEAD	E120	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
121	E121	B1-S003	B1	f81v	qol	MC153	OL	weiter	ACTION_HEAD	E121	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
122	E122	B1-S003	B1	f81v	sshkchdy	MC061	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	ACTION_HEAD	E122	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
123	E123	B1-S004	B1	f81v	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E123	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
124	E124	B1-S004	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E124	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
125	E125	B1-S004	B1	f81v	shedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E125	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
126	E126	B1-S005	B1	f81v	qolchedy	MC028	OL+CHD+CLOSE	weiter+umsetzen+Schluss	ACTION_HEAD	E126	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
127	E127	B1-S006	B1	f81v	qokain	MC017	OK+AIN	ansetzen+Anteil	ACTION_HEAD	E127	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
128	E128	B1-S006	B1	f81v	shckhy	MC035	CKH+Y	Durchlass+Posten	ACTION_HEAD	E128	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
129	E129	B1-S006	B1	f81v	dl	MC012	LOCAL_WHOLE	Zusatz	CONTENT_OR_STATE	E128	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
130	E130	B1-S006	B1	f81v	ral	MC056	AL	Ziel	ARGUMENT_OR_MODIFIER	E128	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
131	E131	B1-S007	B1	f81v	qokchdy	MC088	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	ACTION_HEAD	E131	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
132	E132	B1-S008	B1	f81v	chey	MC123	Y	Posten	ARGUMENT_OR_MODIFIER	E133	FORWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
133	E133	B1-S008	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E133	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
134	E134	B1-S008	B1	f81v	cheky	MC147	CHK+E+Y	wärmen+kurz+Posten	ACTION_HEAD	E134	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
135	E135	B1-S008	B1	f81v	ol	MC153	OL	weiter	ACTION_HEAD	E135	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
136	E136	B1-S008	B1	f81v	shedy	MC128	SHED+E+CLOSE	absetzen+kurz+Schluss	ACTION_HEAD	E136	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
137	E137	B1-S009	B1	f81v	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	ACTION_HEAD	E137	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
138	E138	B1-S010	B1	f81v	qokedy	MC083	OK+E+CLOSE	ansetzen+kurz+Schluss	ACTION_HEAD	E138	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
139	E139	B1-S011	B1	f81v	chckhy	MC035	CKH+Y	Durchlass+Posten	ACTION_HEAD	E139	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
140	E140	B1-S011	B1	f81v	qoky	MC026	OK+Y	ansetzen+Posten	ACTION_HEAD	E140	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
141	E141	B1-S012	B1	f81v	lsho	MC130	WASH	waschen	ACTION_HEAD	E141	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
142	E142	B1-S012	B1	f81v	qokey	MC007	OK+E+Y	ansetzen+kurz+Posten	ACTION_HEAD	E142	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
143	E143	B1-S012	B1	f81v	lshedy	MC038	WASH+CLOSE	waschen+Schluss	ACTION_HEAD	E143	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
144	E144	B1-S013	B1	f81v	lshedy	MC038	WASH+CLOSE	waschen+Schluss	ACTION_HEAD	E144	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
145	E145	B1-S014	B1	f81v	chedy	MC074	CHD+Y	umsetzen+Posten	ACTION_HEAD	E145	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
146	E146	B1-S014	B1	f81v	qolky	MC134	OL	weiter	ACTION_HEAD	E146	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
147	E147	B1-S014	B1	f81v	lchedal	MC051	L+CHD+AL	abführen+umsetzen+Ziel	ACTION_HEAD	E147	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
148	E148	B1-S014	B1	f81v	qol	MC153	OL	weiter	ACTION_HEAD	E148	SELF	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
149	E149	B1-S014	B1	f81v	otar	MC121	OT+AR	danach+Quelle	ORDER_MARKER	E148	BACKWARD	KEEP_UNAMBIGUOUS_ATTACHMENT	NO
