component_formula	card_count	master_card_ids	master_forms	portable_cores_de	equation_status
CH_PARTITION+TY_PART	1	MC086	chety	Teil	CONSISTENT
CKHE_STRAIN+TERMINAL	1	MC143	shckhedy	durchlassen; Schluss	CONSISTENT
CKH_THROUGH+AL_TO	1	MC022	chckhal	Zielpassage	CONSISTENT
CKH_THROUGH+E_SHORT+AL_TO	1	MC058	sheckhal	Kurze Zielpassage	CONSISTENT
CKH_THROUGH+E_SHORT+Y_CURRENT	1	MC132	sheckhy	Kurzpassage	CONSISTENT
CKH_THROUGH+Y_ITEM	1	MC035	chckhy	durchleiten	CONSISTENT
CPHY	1	MC156	cphy	nachseihen	CONSISTENT
CTH + AIIN	1	MC169	cthaiin	die Sollvorbereitung setzen	CONSISTENT
CTH + OR	1	MC158	cthoor	den Ansatz bereitstellen	CONSISTENT
CTH_READY+CHED_TRANSFER+Y_CURRENT	1	MC043	shecthedchy	Vorbereitungstransfer	CONSISTENT
CTH_READY+E_SHORT+Y_CURRENT	1	MC137	shecthy	Kurzvorbereitung	CONSISTENT
CTH_READY+GRADE_1+Y_CURRENT	1	MC073	qcthey	kurz vorbereiten	CONSISTENT
CTH_READY+OL_CONTINUE	1	MC112	octheol	Fortsetzung vorbereiten	CONSISTENT
CTH_READY+Y_CURRENT	1	MC161	checthy	bereit	CONSISTENT
D + OL	1	MC142	dchol	vom vorigen Arbeitsgang nehmen	CONSISTENT
D+AL_TO+CHD_TRANSFER+CLOSE	1	MC031	dalchdy	Zieltransfer; Schluss	CONSISTENT
D+CHD_TRANSFER+CLOSE	1	MC139	dchdy	Transfer; Schluss	CONSISTENT
DA+IIN_PORT_GRADE	1	MC172	daiiin	Endstufe	CONSISTENT
DAIN_CLOTH_WHOLE	1	MC059	dain	Einlage	CONSISTENT
DCHEY	1	MC071	dchey	Wurzel	CONSISTENT
DL_BATH_ADDITIVE_WHOLE_CARD	1	MC012	dl	Zusatz	CONSISTENT
DSHE_FRESH_WATER+DY_CLOSE	1	MC138	dshedy	Frischwasser zugeben; Schluss	CONSISTENT
D_SIDE_FRAME+AL_TO+CLOSE_EXACT	1	MC079	daldy	Zielschluss	CONSISTENT
D_TERMINAL_FRAME+AIR_WATER+Y_ITEM+CLOSE_EXACT	1	MC091	dairydy	Laufschluss	CONSISTENT
EEE_FULL+TY_PART	1	MC094	cheeety	Vollteil	CONSISTENT
ETYD	1	MC108	etyd	kleiner Rest	CONSISTENT
E_SHORT+OL_CONTINUE	1	MC106	teol	kurz weiterführen	CONSISTENT
IIN_TARGET_STAGE	1	MC033	oiiin	Arbeitsstufe	CONSISTENT
K + AL	1	MC077	kchal	an der Zielstelle bearbeiten	CONSISTENT
K + CHO + AR	1	MC136	kchoar	bearbeiteter Quellauszug	CONSISTENT
K + E + OL	1	MC104	keol	kurz weiterbearbeiten	CONSISTENT
K + E + Y	1	MC122	kchey	den laufenden Posten kurz bearbeiten	CONSISTENT
K + IIN	1	MC048	kaiiin	die Arbeitsstufe setzen	CONSISTENT
K + OL	1	MC090	kchol	weiter bearbeiten	CONSISTENT
K + Y	1	MC117	kchy	den laufenden Posten bearbeiten	CONSISTENT
K_BASIN+AIR_WATER	1	MC023	kair	Beckenlauf	CONSISTENT
LCH_WITHDRAW+Y_ITEM	1	MC008	lchy	Abführgut	CONSISTENT
LD_END+AL_TO	1	MC101	ldalor	Endziel	CONSISTENT
LKEDY_REWASH_WHOLE+CLOSE	1	MC124	lkedy	Kurzabzug; Schluss	CONSISTENT
LSH_WASH	1	MC130	lsho	Waschgang	CONSISTENT
LSH_WASH+DY_CLOSE	1	MC038	lshedy	Waschgang; Schluss	CONSISTENT
L_OUT+AR_FROM	1	MC029	lar	Quellabzug	CONSISTENT
L_OUT+CHED_TRANSFER	1	MC127	lched	Abführung	CONSISTENT
L_OUT+CHED_TRANSFER+AL_TO	1	MC051	lchedal	Zielabführung	CONSISTENT
L_OUT+CHED_TRANSFER+AR_FROM	1	MC011	lchedar	Quellabführung	CONSISTENT
L_OUT+CHED_TRANSFER+TERMINAL	1	MC155	lchedy	abführen; Schluss	CONSISTENT
L_OUT+CHEEY_CLEAR_FLOW	1	MC066	lcheey	Klarabzug	CONSISTENT
L_OUT+CKHE_STRAIN+TERMINAL	1	MC133	lcheckhedy	Trennabzug; Schluss	CONSISTENT
L_OUT+CKH_THROUGH+Y_ITEM	1	MC168	lcheckhy	Abführpassage	CONSISTENT
L_OUT+CLOSE_EXACT	1	MC004	ldy	abziehen; Schluss	CONSISTENT
L_OUT+OL_CONTINUE	1	MC092	lol	Weiterabzug	CONSISTENT
L_OUT+O_RESIDUAL_BRANCH	1	MC030	lo	Abzug	CONSISTENT
L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	1	MC167	lochedy	Abführung; Schluss	CONSISTENT
L_OUT+S_PORT	1	MC065	ls	Auslass	CONSISTENT
MEMORIZED_VESSEL_CARD	1	MC118	ly	Auffanggefäß	CONSISTENT
MEMORIZED_WHOLE_CARD	3	MC052|MC109|MC152	qekey|ytey|ches	kurz bearbeiten|Kurzteil|teilen	GENERIC_WHOLE_CARD_BUCKET
O + DY	1	MC100	ody	ZURUECKNEHMEN__SCHLUSS	CONSISTENT
OK + CHEO	1	MC006	chokcheo	Auszug einsetzen	CONSISTENT
OK + OK + Y	1	MC015	qokokchy	denselben Posten erneut einsetzen	CONSISTENT
OK + OL	1	MC041	okchol	die Fortsetzung einsetzen	CONSISTENT
OK + Y	1	MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	CONSISTENT
OK+AIN_PORTION	1	MC017	okain	Anteil zugeben	CONSISTENT
OK+CHD_TRANSFER+CLOSE	1	MC088	qokchdy	einführen; Schluss	CONSISTENT
OK+CHED_TRANSFER+CLOSE	1	MC005	okchedy	einführen; Schluss	CONSISTENT
OK+Y_ITEM+LDDY_FASTEN_CLOSE	1	MC164	qokylddy	befestigen; Schluss	CONSISTENT
OK_SET+AIIN_TARGET_MEASURE	1	MC120	okaiin	bemessen	CONSISTENT
OK_SET+AIR_WATER	1	MC081	okair	Laufeinsatz	CONSISTENT
OK_SET+AL_TO	1	MC040	okal	dorthin einsetzen	CONSISTENT
OK_SET+AL_TO+Y_ITEM	1	MC054	qokaly	Zieleinsatz	CONSISTENT
OK_SET+AR_FROM	1	MC044	qokar	Quelleinsatz	CONSISTENT
OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	1	MC165	qockhey	Kurzdurchgang	CONSISTENT
OK_SET+EE_HOLD+AL_TO	1	MC096	qokeedal	Langer Zieleinsatz	CONSISTENT
OK_SET+GRADE_1+DY_CLOSE	1	MC083	qokedy	kurz einwirken; Schluss	CONSISTENT
OK_SET+GRADE_1+Y_CURRENT_ITEM	1	MC007	okey	KURZ_SETZEN	CONSISTENT
OK_SET+GRADE_2+DY_CLOSE	1	MC082	qokeedy	lange einwirken; Schluss	CONSISTENT
OK_SET+GRADE_2+OL_CONTINUE	1	MC150	okeeol	Langfortsetzung	CONSISTENT
OK_SET+GRADE_2+Y_CURRENT_ITEM	1	MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	CONSISTENT
OK_SET+GRADE_3+DY_CLOSE	1	MC140	qokeeedy	Volleinsatz; Schluss	CONSISTENT
OK_SET+OL_CONTINUE	1	MC024	qokol	Weiter einsetzen	CONSISTENT
OK_SET+SHED_SETTLE+CLOSE	1	MC151	qokshedy	Einsatzabsetzen; Schluss	CONSISTENT
OK_SET+Y_CURRENT_ITEM	1	MC026	choky	einsetzen	CONSISTENT
OL + TCH + Y	1	MC021	oltchy	die laufende Bereitung fortsetzen	CONSISTENT
OLS_BELOW+AL_TO+Y_ITEM	1	MC078	olsaly	Zwischenziel	CONSISTENT
OL_CONTINUE	1	MC153	cheol	weiter	CONSISTENT
OL_CONTINUE+AIN_PORTION	1	MC097	olkain	weiterer Anteil	CONSISTENT
OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	1	MC028	olchedy	weiterführen; Schluss	CONSISTENT
OL_CONTINUE+DY_CLOSE	1	MC019	oldy	fertig	CONSISTENT
OL_CONTINUE+OR_BATCH	1	MC157	cholor	derselbe Ansatz	CONSISTENT
OL_CONTINUE+SHED_SETTLE+CLOSE	1	MC149	solshedy	Folgeabsetzen; Schluss	CONSISTENT
OL_CONTINUE+Y_CURRENT	1	MC162	qolchey	Weiterposten	CONSISTENT
OR + AIN	1	MC072	orain	Bereitungsanteil	CONSISTENT
OR_BATCH	1	MC080	chor	Ansatz	CONSISTENT
OS	1	MC159	os	AUFNAHMEFELD_ODER_UMSCHLUSS	CONSISTENT
OT + OL	2	MC053|MC163	otol|qotchol	DANACH_WEITER	CONSISTENT
OT + OL + Y	1	MC115	qoctholy	den bereiten Folgeposten wählen	CONSISTENT
OT + OR	1	MC013	otchor	Folgeansatz	CONSISTENT
OT + Y	1	MC107	qotchy	zum nächsten Posten wechseln	CONSISTENT
OT + YTY + OL	1	MC069	otytchol	Folgeteil	CONSISTENT
OT_FOLLOW+AIIN_MEASURE	1	MC060	otaiin	Folgemaß	CONSISTENT
OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	1	MC067	otchdy	Nachtransfer; Schluss	CONSISTENT
OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	1	MC057	otchedy	Folgetransfer; Schluss	CONSISTENT
OT_FOLLOW+E_SHORT+AIIN_MEASURE	1	MC018	qotedaiin	Kurzsoll	CONSISTENT
OT_FOLLOW+GRADE_1+CLOSE	1	MC135	otedy	Kurzfolge; Schluss	CONSISTENT
OT_FOLLOW+GRADE_2+CLOSE	1	MC173	qoteedy	lange Folgestufe; Schluss	CONSISTENT
OT_FOLLOW+GRADE_2+Y_ITEM	1	MC063	oteey	Langfolge	CONSISTENT
OT_FOLLOW+Y_CURRENT_ITEM	1	MC171	otchey	das nächste	CONSISTENT
OT_NEXT+AL_TO	1	MC093	otal	danach dorthin	CONSISTENT
OT_NEXT+AR_FROM	1	MC121	otar	Folgequelle	CONSISTENT
OYK + OR	1	MC027	oykchor	Gefäß für den Ansatz	CONSISTENT
P_IN+CHED_TRANSFER+AL_TO	1	MC126	pchedal	Zielzuführung	CONSISTENT
P_IN+CHED_TRANSFER+TERMINAL	1	MC070	pchedy	Zuführung; Schluss	CONSISTENT
Q_FRAME+OL_CONTINUE+KY_PATH	1	MC134	qolky	Weiterweg	CONSISTENT
RSHE_WASH_WHOLE_CARD+DY_CLOSE	1	MC084	rshedy	Vollwaschung; Schluss	CONSISTENT
R_FRAME+AL_TO	1	MC056	ral	Zielmarke	CONSISTENT
R_FRAME+OL_CONTINUE	1	MC016	rol	Anschluss	CONSISTENT
R_FRAME+SH_REST+E_SHORT+AL_TO	1	MC102	rsheal	Kurzhalt am Ziel	CONSISTENT
SCHED_LEAD+AIR_WATER	1	MC116	schedair	Weiterlauf	CONSISTENT
SCHOAL	1	MC049	schoal	Sudansatz	CONSISTENT
SH	1	MC114	sh	Stängel	CONSISTENT
SHED_SETTLE+AL_TO	1	MC113	shedal	am Ziel absetzen	CONSISTENT
SHED_SETTLE+GRADE_1+DY_CLOSE	1	MC128	cheedy	kurz absetzen; Schluss	CONSISTENT
SHED_SETTLE+GRADE_2+DY_CLOSE	1	MC003	sheedy	Langabsetzen; Schluss	CONSISTENT
SHEY_CLEAR_LIQUID_WHOLE	1	MC119	cheey	Klarlauf	CONSISTENT
SHFY + AIIN	1	MC111	shfydaiin	eine vorgeschriebene Stehzeit einhalten	CONSISTENT
SHO + YTY	1	MC062	shoyty	Zugabeteil	CONSISTENT
SH_REST+EE_LONG+Y_CURRENT	1	MC095	sheey	Langhalt	CONSISTENT
SH_REST+E_SHORT+OL_CONTINUE	1	MC076	dsheol	Kurzhalt	CONSISTENT
SK_POUR+AR_FROM	1	MC089	skar	Quellausguss	CONSISTENT
SOLK_COLLECT+AIIN_MEASURE	1	MC036	solkaiin	Sollsammlung	CONSISTENT
SOLK_COLLECT+EE_LONG+TERMINAL	1	MC045	olkeedy	lange sammeln; Schluss	CONSISTENT
SOLK_COLLECT+EE_LONG+Y_ITEM	1	MC020	solkeey	Langsammlung	CONSISTENT
SOLK_COLLECT+E_SHORT+Y_ITEM	1	MC050	solkey	Kurzsammlung	CONSISTENT
SOTODAN	1	MC068	sotodan	als Folgeanwendung führen	CONSISTENT
SSHK_SWIVEL_WHOLE+CLOSE	1	MC061	sshkchdy	Haltetransfer; Schluss	CONSISTENT
TALAM	1	MC160	talam	Verwahrort	CONSISTENT
TCHO + DY	1	MC037	tchody	kalt stellen; Schluss	CONSISTENT
TSHOL	1	MC098	tshol	Kochgut	CONSISTENT
T_FRAME+SHEY_CLEAR_FLOW	1	MC141	tshey	Folgeklarlauf	CONSISTENT
Y + CHEO + OR	1	MC075	ycheor	aktueller Auszugsansatz	CONSISTENT
Y + K + AIIN	1	MC170	ykaiin	Sollportion	CONSISTENT
Y + K + AIN	1	MC047	ykain	erste Portion	CONSISTENT
Y + K + AN	1	MC148	ykan	zweite Portion	CONSISTENT
Y_CURRENT_ITEM_CARD	1	MC123	chey	dies	CONSISTENT
