identity	surface_forms	component_recipe	slot_signature	atomic_root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_card_pattern	apprentice_action	functional_allographs	marks	orders	pages	sections	owners_or_handles_de
A3:G046	iokeeor	NONE	WHOLE	LOKALES GANZWORT	WETTERZEICHEN	WETTERZEICHEN	WHOLE_LEXICON	READ_LOCAL_CONDITION_WORD	WEATHER_CLASS_WHOLE_WORD->iokeeor	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G047	cheey	WHOLE[cheey|shey]	WHOLE	LANG HALTEN	LANG HALTEN	LANG HALTEN	WHOLE_LEXICON	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G048	choly	OL+Y	ORDER>REFERENT	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	CONDITION_CURRENT_CONTINUATION->choly	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G049	ykeeal	Y+K+EE+AL	REFERENT>OPERATION>GRADE>ADDRESS	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G050	cheo	CHEO	MATERIAL	AUSZUG	AUSZUG	AUSZUG	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G051	oaram	O+AR+AM_ADDR	PROCESS>ADDRESS>ADDRESS	ARBEITSGANG · QUELLE · GEGENFELD	ARBEITSGANG · QUELLE · GEGENFELD	ARBEITSGANG · QUELLE · GEGENFELD	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G052	ockhy	O+CKH+Y	PROCESS>PATH>REFERENT	ARBEITSGANG · DURCHLASS · POSTEN	ARBEITSGANG · DURCHLASS · POSTEN	ARBEITSGANG · DURCHLASS · POSTEN	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G053	sheey	SH+EE+Y	STATE>GRADE>REFERENT	HALTEN · LANG · POSTEN	LANG HALTEN	LANG HALTEN	STATE_OR_GRADE	READ_LOCAL_CONDITION_WORD	MARKED_LONG_HOLD->sheey	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G054	aiin	AIIN	ARGUMENT	MASS	MASS	MASS	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	BARE_CONDITION_MEASURE->aiin	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G055	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	BARE_CURRENT_REFERENT->y	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G056	daiial	NONE	WHOLE	LOKALES GANZWORT	FEUCHTESTUFE	FEUCHTESTUFE	WHOLE_LEXICON	READ_LOCAL_CONDITION_WORD	MOISTURE_STAGE_WHOLE_WORD->daiial	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G057	cheody	CHEO+Y	MATERIAL>REFERENT	AUSZUG · POSTEN	AUSZUG · POSTEN	AUSZUG · POSTEN	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G058	cheal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	EMBEDDED_TARGET->cheal	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G059	yetey	Y+E+T+E+Y	REFERENT>GRADE>OPERATION>GRADE>REFERENT	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	POSTEN · KURZ · BEARBEITEN · KURZ · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G060	chear	CH+E+AR	OPERATION>GRADE>ADDRESS	ENTNEHMEN · KURZ · QUELLE	ENTNEHMEN · KURZ · QUELLE	ENTNEHMEN · KURZ · QUELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G061	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	BARE_CURRENT_REFERENT->y	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G062	dy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	ECHOED_CURRENT_REFERENT->dy	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G063	ykey	Y+K+E+Y	REFERENT>OPERATION>GRADE>REFERENT	POSTEN · ZUGEBEN · KURZ · POSTEN	POSTEN · ZUGEBEN · KURZ · POSTEN	POSTEN · ZUGEBEN · KURZ · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G064	ch	CH	OPERATION	ENTNEHMEN	ENTNEHMEN	ENTNEHMEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G065	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	BARE_CURRENT_REFERENT->y	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G066	dy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	ECHOED_CURRENT_REFERENT->dy	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G067	chol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	ATTACHED_OR_RING_CONTINUATION->chol	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G068	ykar	Y+K+AR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G069	ol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	GENERAL_CONTINUATION->ol	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G070	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	BARE_CURRENT_REFERENT->y	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G071	ykeeody	Y+K+EE+O+Y	REFERENT>OPERATION>GRADE>PROCESS>REFERENT	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	POSTEN · ZUGEBEN · LANG · ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G072	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	MATERIAL_OR_QUALITY_REFERENT->chey	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G073	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	DEFAULT_TARGET->dal	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G074	ody	O+DY	PROCESS>ENDPOINT	ARBEITSGANG · SCHLIESSEN	ARBEITSGANG SCHLIESSEN	ARBEITSGANG SCHLIESSEN	CLOSING_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G075	airchy	AIR+Y	PATH>REFERENT	LAUF · POSTEN	LAUF · POSTEN	LAUF · POSTEN	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G076	choky	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	CONDITION_CURRENT_START->choky	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G077	ychey	Y+Y	REFERENT>REFERENT	POSTEN · POSTEN	POSTEN · POSTEN	POSTEN · POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	NONE	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G078	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	MATERIAL_OR_QUALITY_REFERENT->chey	1	WH01	f69v	WHEN	C5@f69v.2; mittlerer Wetter-/Feuchtering
A3:G079	doair	D_ADDR+O+AIR	ADDRESS>PROCESS>PATH	TEILSTELLE · ARBEITSGANG · LAUF	TEILSTELLE · ARBEITSGANG · LAUF	TEILSTELLE · ARBEITSGANG · LAUF	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G080	otaldal	OT+AL+AL	ORDER>ADDRESS>ADDRESS	DANACH · ZIELSTELLE · ZIELSTELLE	DANACH · ZIELSTELLE · ZIELSTELLE	DANACH · ZIELSTELLE · ZIELSTELLE	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G081	dair	D_ADDR+AIR	ADDRESS>PATH	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G082	chdy	CHD+Y	OPERATION>REFERENT	UMSETZEN · POSTEN	UMSETZEN · POSTEN	UMSETZEN · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	CONDITION_STATE_TRANSFER->chdy	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G083	otoar	OT+O+AR	ORDER>PROCESS>ADDRESS	DANACH · ARBEITSGANG · QUELLE	DANACH · ARBEITSGANG · QUELLE	DANACH · ARBEITSGANG · QUELLE	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G084	ar	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	BARE_CONDITION_SOURCE->ar	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G085	chy	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	STATE_OR_BODY_REFERENT->chy	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G086	qoteor	OT+E+OR	ORDER>GRADE>MATERIAL	DANACH · KURZ · ANSATZ	DANACH · KURZ · ANSATZ	DANACH · KURZ · ANSATZ	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G087	cho	HO	MATERIAL	TEIL	TEIL	TEIL	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G088	qotair	OT+AIR	ORDER>PATH	DANACH · LAUF	DANACH · LAUF	DANACH · LAUF	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G089	chda	CHD+A_ADDR	OPERATION>ADDRESS	UMSETZEN · STELLE	UMSETZEN · STELLE	UMSETZEN · STELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G090	oteeal	OT+EE+AL	ORDER>GRADE>ADDRESS	DANACH · LANG · ZIELSTELLE	DANACH · LANG · ZIELSTELLE	DANACH · LANG · ZIELSTELLE	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G091	cheor	CHEO+R	MATERIAL>STATE	AUSZUG · KUEHL	AUSZUG · KUEHL	AUSZUG · BEZUG	STATE_OR_GRADE	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G092	ar	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	BARE_CONDITION_SOURCE->ar	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G093	air	AIR	PATH	LAUF	LAUF	LAUF	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G094	oteody	OT+E+O+Y	ORDER>GRADE>PROCESS>REFERENT	DANACH · KURZ · ARBEITSGANG · POSTEN	DANACH · KURZ · ARBEITSGANG · POSTEN	DANACH · KURZ · ARBEITSGANG · POSTEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G095	ytyd	Y+T+Y+D_LABEL	REFERENT>OPERATION>REFERENT>LABEL	POSTEN · BEARBEITEN · POSTEN · PHASE	POSTEN · BEARBEITEN · POSTEN · PHASE	POSTEN · BEARBEITEN · POSTEN · PHASE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G096	a	A_ADDR	ADDRESS	STELLE	STELLE	STELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G097	dchy	D_ADDR+Y	ADDRESS>REFERENT	TEILSTELLE · POSTEN	TEILSTELLE · POSTEN	TEILSTELLE · POSTEN	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G098	otoly	OT+OL+Y	ORDER>ORDER>REFERENT	DANACH · FORTSETZEN · POSTEN	DANACH · FORTSETZEN · POSTEN	DANACH · FORTSETZEN · POSTEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G099	okeodal	OK+E+O+AL	OPERATION>GRADE>PROCESS>ADDRESS	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	ANSETZEN · KURZ · ARBEITSGANG · ZIELSTELLE	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G100	oteoarar	OT+E+O+AR+AR	ORDER>GRADE>PROCESS>ADDRESS>ADDRESS	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	DANACH · KURZ · ARBEITSGANG · QUELLE · QUELLE	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G101	cheteeser	CH+E+T+EE+S_ADDR+E+R	OPERATION>GRADE>OPERATION>GRADE>ADDRESS>GRADE>STATE	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · KUEHL	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · KUEHL	ENTNEHMEN · KURZ · BEARBEITEN · LANG · STERNBEZUG · KURZ · BEZUG	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G102	dair	D_ADDR+AIR	ADDRESS>PATH	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TEILSTELLE · LAUF	TRANSFER_OR_PATH	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G103	chey	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	READ_LOCAL_CONDITION_WORD	MATERIAL_OR_QUALITY_REFERENT->chey	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G104	okody	OK+O+Y	OPERATION>PROCESS>REFERENT	ANSETZEN · ARBEITSGANG · POSTEN	ANSETZEN · ARBEITSGANG · POSTEN	ANSETZEN · ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G105	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	READ_LOCAL_CONDITION_WORD	DEFAULT_TARGET->dal	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G106	oteey	OT+EE+Y	ORDER>GRADE>REFERENT	DANACH · LANG · POSTEN	DANACH LANG HALTEN	DANACH LANG HALTEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G107	oteey	OT+EE+Y	ORDER>GRADE>REFERENT	DANACH · LANG · POSTEN	DANACH LANG HALTEN	DANACH LANG HALTEN	ORDERED_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH04	f69v	WHEN	C6@f69v.3; rechter Licht-/Körperqualitätsring
A3:G118	otody	OT+O+DY	ORDER>PROCESS>ENDPOINT	DANACH · ARBEITSGANG · SCHLIESSEN	DANACH · ARBEITSGANG · SCHLIESSEN	DANACH · ARBEITSGANG · SCHLIESSEN	CLOSING_INSTRUCTION	READ_LOCAL_CONDITION_WORD	NONE	1	WH02	f69v	WHEN	C4@f69v.12; linker lokaler 28er-Bedingungsplatz
PROC001	dchey	CH+E+Y	OPERATION>GRADE>REFERENT	ENTNEHMEN · KURZ · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	OPERATION_INSTRUCTION	READ_SHARED_CORE	NONE	2	WH01 | WH03	f10r	WHAT	Bildprodukt A.G2
PROC002	cthoor	CTH+O+OR	STATE>PROCESS>MATERIAL	BEREIT · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	STATE_OR_GRADE	READ_SHARED_CORE	NONE	2	WH01 | WH03	f10r	WHAT	Bildprodukt A.G2
PROC003	char	AR	ADDRESS	QUELLE	QUELLE	QUELLE	ARGUMENT_OR_ADDRESS	READ_SHARED_CORE	ACTIVE_SOURCE->char	5	WH01 | WH02 | WH03	f10r | f81v | f82r | f83r	HOW | WHAT	Bildprodukt A.G2 | gemeinsame zweireihige Figuren-/Beckenstation | mittlere rechte unklare Station | obere offene Fächerstation am Rand
PROC004	chety	T+Y	OPERATION>REFERENT	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	OPERATION_INSTRUCTION	READ_SHARED_CORE	NONE	3	WH01 | WH03	f10r | f83r	HOW | WHAT	Bildprodukt A.G2 | sichtbares Figurenpaar mit gemeinsamem Bogen in B3
PROC005	os	OS	ORDER	DAZU	DAZU	DAZU	ORDERED_INSTRUCTION	READ_SHARED_CORE	NONE	2	WH01 | WH03	f10r	WHAT	Bildprodukt A.G2
PROC006	chair	CH+AIR	OPERATION>PATH	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	OPERATION_INSTRUCTION	READ_SHARED_CORE	NONE	2	WH01 | WH03	f10r	WHAT	Bildprodukt A.G2
PROC007	otytchol	OT+Y+T+CH+OL	ORDER>REFERENT>OPERATION>OPERATION>ORDER	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · FORTSETZEN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	ORDERED_INSTRUCTION	READ_SHARED_CORE	NONE	2	WH01 | WH03	f10r	WHAT	Bildprodukt A.G2
PROC008	qoky	OK+Y	OPERATION>REFERENT	ANSETZEN · POSTEN	ANSETZEN · POSTEN	ANSETZEN · POSTEN	OPERATION_INSTRUCTION	READ_SHARED_CORE	DEFAULT_CURRENT_START->qoky	11	WH01 | WH02 | WH03 | WH04 | WH06	f10r | f56r | f81v | f82r | f83r	HOW | WHAT	Bildprodukt A.G2 | Bildprodukt D.P1 | gemeinsame zweireihige Figuren-/Beckenstation | mittlere Randfigur im runden Gefäß | mittleres linkes Handgerät mit Inline-Knoten | oberes Beckenpaar mit Zylinder | sichtbares Figurenpaar mit gemeinsamem Bogen in B3 | sichtbares Figurenpaar mit gemeinsamem Bogen in B4 | untere Randfigur im korbartigen Gefäß
