order_mark_id	order_id	page	unit	section	surface	identity	component_recipe	slot_signature	atomic_root_reading_de	dictionary_value_de	local_fluent_expansion_de	functional_allograph	microfunction_trigger_de	owner_or_handle_de	unit_fluent_instruction_de	renderer_skeleton	predicted_surface	reading_action
WH01-R025	WH01	f81v	B1-S002	HOW	rol	PROC071	R+OL	STATE>ORDER	KUEHL · FORTSETZEN	KUEHL · FORTSETZEN	KUEHL WEITERARBEITEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	r-ol/chol/qol/ls/sol	rol	READ_ROOT_COMPOSITION
WH01-R026	WH01	f81v	B1-S002	HOW	dl	PROC072	L	PATH	LEITEN	LEITEN	WEITERLEITEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	l	dl	READ_ROOT_COMPOSITION
WH01-R027	WH01	f81v	B1-S002	HOW	olor	PROC022	OL+OR	ORDER>MATERIAL	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	ANSATZ WEITERFUEHREN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ol/chol/qol/ls/sol-or	olor	READ_ROOT_COMPOSITION
WH01-R028	WH01	f81v	B1-S002	HOW	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
WH01-R029	WH01	f81v	B1-S002	HOW	sheckhal	PROC073	SH+E+CKH+AL	STATE>GRADE>PATH>ADDRESS	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	KURZ AM ZIELDURCHLASS HALTEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	sh-e-ckh-al	sheckhal	READ_ROOT_COMPOSITION
WH01-R030	WH01	f81v	B1-S002	HOW	daiin	PROC009	AIIN	ARGUMENT	MASS	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	aiin	daiin	READ_SHARED_CORE
WH01-R031	WH01	f81v	B1-S002	HOW	qokeedal	PROC074	OK+EE+AL	OPERATION>GRADE>ADDRESS	ANSETZEN · LANG · ZIELSTELLE	ANSETZEN · LANG · ZIELSTELLE	LAENGER AN DER ZIELSTELLE ANSETZEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	qok/ok/chok-ee-al	qokeedal	READ_ROOT_COMPOSITION
WH01-R032	WH01	f81v	B1-S002	HOW	daiin	PROC009	AIIN	ARGUMENT	MASS	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	aiin	daiin	READ_SHARED_CORE
WH01-R033	WH01	f81v	B1-S002	HOW	chckhy	PROC075	CKH+Y	PATH>REFERENT	DURCHLASS · POSTEN	DURCHLASS · POSTEN	DURCHLASS · POSTEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	ckh-y/chy/chey/dy/shy/sy	chckhy	READ_SHARED_CORE
WH01-R034	WH01	f81v	B1-S002	HOW	schedy	PROC076	CHD+DY	OPERATION>ENDPOINT	UMSETZEN · SCHLIESSEN	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	DEFAULT_TRANSFER_CLOSE	den gewöhnlichen Umsetzschritt schließen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	chd/ched-dy	schedy	READ_SHARED_CORE
WH01-R035	WH01	f81v	B1-S003	HOW	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
WH01-R036	WH01	f81v	B1-S003	HOW	sshkchdy	PROC077	SH+K+CHD+DY	STATE>OPERATION>OPERATION>ENDPOINT	HALTEN · ZUGEBEN · UMSETZEN · SCHLIESSEN	HALTEN · ZUGEBEN · UMSETZEN · SCHLIESSEN	NACHMISCHEN UND SCHLIESSEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	sh-k-chd/ched-dy	sshkchdy	READ_ROOT_COMPOSITION
WH01-R037	WH01	f81v	B1-S004	HOW	chedy	PROC042	CHD+Y	OPERATION>REFERENT	UMSETZEN · POSTEN	UMSETZEN · POSTEN	UMSETZEN · POSTEN	DEFAULT_OPEN_TRANSFER	den laufenden Posten gewöhnlich umsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	chd/ched-y/chy/chey/dy/shy/sy	chedy	READ_SHARED_CORE
WH01-R038	WH01	f81v	B1-S004	HOW	ol	PROC013	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	ol/chol/qol/ls/sol	ol	READ_SHARED_CORE
WH01-R039	WH01	f81v	B1-S004	HOW	shedy	PROC078	SHED+DY	STATE>ENDPOINT	RUHEN · SCHLIESSEN	STEHENLASSEN · SCHLUSS	STEHENLASSEN · SCHLUSS	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	shed-dy	shedy	READ_SHARED_CORE
WH01-R040	WH01	f81v	B1-S005	HOW	qolchedy	PROC079	OL+CHD+DY	ORDER>OPERATION>ENDPOINT	FORTSETZEN · UMSETZEN · SCHLIESSEN	WEITER · UMSETZEN · SCHLUSS	WEITER · UMSETZEN · SCHLUSS	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	ol/chol/qol/ls/sol-chd/ched-dy	qolchedy	READ_SHARED_CORE
WH01-R041	WH01	f81v	B1-S006	HOW	qokain	PROC080	OK+AIN	OPERATION>ARGUMENT	ANSETZEN · PORTION	ANSETZEN · EIN ABGEGRENZTER TEIL	ANSETZEN · EIN ABGEGRENZTER TEIL	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	qok/ok/chok-ain	qokain	READ_SHARED_CORE
WH01-R042	WH01	f81v	B1-S006	HOW	chckhy	PROC075	CKH+Y	PATH>REFERENT	DURCHLASS · POSTEN	DURCHLASS · POSTEN	DURCHLASS · POSTEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	ckh-y/chy/chey/dy/shy/sy	chckhy	READ_SHARED_CORE
WH01-R043	WH01	f81v	B1-S006	HOW	dl	PROC072	L	PATH	LEITEN	LEITEN	WEITERLEITEN	NOT_APPLICABLE	NOT_APPLICABLE	gemeinsame zweireihige Figuren-/Beckenstation	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	l	dl	READ_ROOT_COMPOSITION
